node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ACVR1,BMP7,9606.ENSP00000405004,9606.ENSP00000379204,0,0,0,0,0.049,0.574,0.9,0.995,0.999
ADCYAP1,ADCYAP1R1,9606.ENSP00000462647,9606.ENSP00000483721,0,0,0,0,0.084,0.94,0.9,0.999,0.999
ADCYAP1R1,ADCYAP1,9606.ENSP00000483721,9606.ENSP00000462647,0,0,0,0,0.084,0.94,0.9,0.999,0.999
AIM2,NLRP3,9606.ENSP00000357112,9606.ENSP00000337383,0,0,0,0,0.085,0,0.9,0.999,0.999
BMP7,ACVR1,9606.ENSP00000379204,9606.ENSP00000405004,0,0,0,0,0.049,0.574,0.9,0.995,0.999
CCND2,CDK6,9606.ENSP00000261254,9606.ENSP00000265734,0,0,0,0,0.169,0.995,0.9,0.996,0.999
CDK6,CCND2,9606.ENSP00000265734,9606.ENSP00000261254,0,0,0,0,0.169,0.995,0.9,0.996,0.999
CFTR,SLC9A3R1,9606.ENSP00000003084,9606.ENSP00000262613,0,0,0,0,0.067,0.885,0.9,0.996,0.999
CMKLR1,RARRES2,9606.ENSP00000449716,9606.ENSP00000418009,0,0,0,0,0.047,0,0,0.999,0.999
EZR,SLC9A3R1,9606.ENSP00000338934,9606.ENSP00000262613,0,0,0,0,0.083,0.85,0.9,0.999,0.999
HOXD10,HOXD11,9606.ENSP00000249501,9606.ENSP00000249504,0,0,0,0.675,0.999,0,0,0.576,0.999
HOXD11,HOXD10,9606.ENSP00000249504,9606.ENSP00000249501,0,0,0,0.675,0.999,0,0,0.576,0.999
LEP,LEPR,9606.ENSP00000312652,9606.ENSP00000330393,0,0,0,0,0.042,0.641,0.9,0.999,0.999
LEPR,LEP,9606.ENSP00000330393,9606.ENSP00000312652,0,0,0,0,0.042,0.641,0.9,0.999,0.999
NLRP3,AIM2,9606.ENSP00000337383,9606.ENSP00000357112,0,0,0,0,0.085,0,0.9,0.999,0.999
RARRES2,CMKLR1,9606.ENSP00000418009,9606.ENSP00000449716,0,0,0,0,0.047,0,0,0.999,0.999
SLC9A3R1,CFTR,9606.ENSP00000262613,9606.ENSP00000003084,0,0,0,0,0.067,0.885,0.9,0.996,0.999
SLC9A3R1,EZR,9606.ENSP00000262613,9606.ENSP00000338934,0,0,0,0,0.083,0.85,0.9,0.999,0.999
SST,SSTR4,9606.ENSP00000287641,9606.ENSP00000255008,0,0,0,0,0.131,0.9,0.9,0.982,0.999
SST,SSTR1,9606.ENSP00000287641,9606.ENSP00000267377,0,0,0,0,0.122,0,0.9,0.999,0.999
