protein,ABL1,ACOT11,ACOT7,ACTN2,ACVR1,ADAM19,ADAMTS12,ADAMTS16,ADAMTS20,ADCYAP1,ADCYAP1R1,ADORA2B,ADORA3,AFAP1,AFAP1L1,AHNAK,AHRR,AIM2,AJAP1,ALX3,ANGPTL2,APCS,ASPG,ATP4A,ATXN1,BCAS3,BCAT1,BDNF,BHLHE23,BMP7,BNC1,BVES,C1QL1,C4BPA,CA3,CACNA1A,CACNA1B,CACNA1C,CACNA1E,CACNA1I,CADM3,CAPZB,CARTPT,CAV2,CCDC8,CCND2,CD1B,CD1C,CD1D,CD247,CD38,CD40,CDH23,CDH4,CDH5,CDK6,CDO1,CFTR,CHRNA4,CHST2,CIT,CLDN10,CLDN5,CLDN6,CLEC14A,CMKLR1,CNGA3,COL11A1,COL11A2,COL5A2,CPEB1,CPXM1,CREB3L2,CRHBP,CRMP1,CRTC1,CRYM,CSMD1,CSMD3,CUX1,CYP1B1,CYP26A1,CYTL1,CYYR1,DAB2,DDR2,DGKI,DLEU7,DLK1,DNM3,DOCK2,DPYS,DPYSL2,DSC3,EBF1,EEF1A2,EFEMP1,ENPP2,EOMES,EPHB1,ESRRG,EVX1,EZR,F7,FAIM2,FAT4,FBXO39,FCGRT,FCRL3,FES,FEZF2,FGF18,FGF8,FLG,FLI1,FLRT2,FLT4,FMN2,FMNL2,FOXA2,FOXD3,FOXE1,FOXG1,FOXQ1,FRZB,GALNT6,GALNT7,GALR1,GALR3,GAS1,GCK,GCM2,GHSR,GLI2,GNG4,GRASP,GRIA1,GRIA4,GRIN1,GRM1,GRM6,GSTA4,HAPLN4,HCK,HOPX,HOXA1,HOXA10,HOXA4,HOXA9,HOXC4,HOXD10,HOXD11,HOXD8,HOXD9,HS3ST2,ID4,IGF2BP1,IGFBP4,INA,IRF4,IRX1,ITGAM,ITIH5,ITPKA,KCNE3,KCNIP4,KCNK9,KIF5C,KLHL35,L1TD1,LEMD2,LEP,LEPR,LHX1,LHX2,LHX6,LILRA2,LIMD2,LNX1,LOXL1,LOXL2,LPAR5,LTBP2,MAGI2,MAML3,MAP3K11,MAST1,MGAT5B,MMP9,MPPED2,MSC,MYF6,MYT1,MYT1L,NBEAL2,NCOR2,NDRG2,NEFM,NES,NEUROD1,NFIL3,NID2,NKAPL,NKX2-1,NKX2-2,NKX2-8,NKX6-2,NLRP3,NOL4,NOTCH3,NOX4,NPTX2,NPY,NR1H3,NR1I2,NR5A2,NT5E,NTM,ONECUT2,OPCML,OTX1,OTX2,PACS2,PAX2,PAX3,PAX5,PAX6,PAX9,PBX1,PCDH17,PCDH8,PDE4B,PDE4C,PDLIM3,PDPN,PDX1,PENK,PHLDB1,PHOX2A,PIP4K2A,PITX1,PITX2,PLD5,PLEKHF1,PLTP,PLXNC1,PMEPA1,POLR1D,POU4F1,POU4F2,PPM1H,PPP1R13L,PPP1R14A,PPP1R7,PRDM13,PRDM14,PRDM16,PRKCB,PRR15,PRR5,PTF1A,PTN,PTPRN2,PTPRO,RAB11FIP1,RAB22A,RAD54B,RALYL,RARB,RARRES2,RASSF1,RBM47,RBPMS,RECK,RFX1,RGS12,RGS17,RGS2,RGS20,RGS22,RGS7,RNF216,RPTOR,RUNX1,RUSC1,RYR2,SALL1,SALL2,SALL3,SCARB2,SCT,SEMA4A,SERPING1,SEZ6L2,SFRP2,SFRP5,SGMS1,SH3PXD2A,SHF,SHISA3,SIAH2,SIM1,SIX3,SIX6,SLC12A5,SLC13A5,SLC2A2,SLC6A3,SLC9A3R1,SLITRK1,SMYD3,SOX1,SOX14,SOX17,SPAG6,SPHKAP,SPTBN1,SRGAP3,SRRM4,SSH1,SST,SSTR1,SSTR4,ST7,ST8SIA3,STAG3,STAT5A,STIM1,SYN2,TAC1,TACC1,TBL1XR1,TBX15,TBX18,TCERG1L,TCF7L1,TCL1A,TGFB2,TGFBR3,TIMP2,TLX1,TLX2,TLX3,TMEM132D,TMEM196,TMEM45B,TNFAIP8L3,TNR,TOX2,TRABD,TRH,TRIM71,TSSK6,TXNRD1,UNC5D,USP44,UTF1,VGLL4,VOPP1,VSTM2A,WNT3A,WT1,WWP2,ZBTB46,ZFP42,ZIC1,ZIC4,ZIC5,ZNF521,ZSCAN18
ABL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0.604,0.263,0,0.21,0.15,0.205,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.298,0.276,0.28,0.33,0.594,0.285,0,0.538,0.25,0.56,0,0.214,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277,0,0,0,0,0.297,0.209,0,0,0,0.181,0.228,0,0,0,0.637,0,0.175,0,0,0.94,0,0,0.246,0,0,0.192,0,0,0,0.165,0,0.263,0.264,0,0,0,0.235,0,0,0,0.177,0,0.152,0.177,0,0,0,0,0,0,0,0,0,0.279,0,0,0,0,0,0,0,0,0,0.567,0,0,0.23,0.184,0.659,0,0,0,0,0,0,0.159,0,0,0,0.311,0,0.42,0,0,0,0,0,0,0,0,0.161,0.161,0,0,0,0,0,0,0,0,0.157,0,0.232,0,0.176,0,0,0,0.395,0,0,0,0,0,0,0.291,0,0,0.269,0,0,0,0,0.295,0.18,0,0,0.199,0,0.37,0.27,0,0,0,0,0,0.161,0,0,0,0,0,0,0,0.38,0.623,0.187,0,0.729,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422,0,0,0,0,0,0.208,0.17,0,0,0,0.162,0,0.279,0,0,0,0.605,0.169,0.178,0.164,0.265,0,0.178,0,0.315,0.871,0,0,0,0,0,0.287,0,0,0,0,0,0,0,0.236,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0.155,0,0,0,0,0,0,0.98,0.203,0,0,0.209,0.255,0,0,0,0,0.268,0.256,0,0,0.756,0,0.739,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0.17,0,0,0.248,0.611,0,0,0,0,0,0,0,0
ACOT11,0,0,0.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,0,0.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0,0,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0
ACTN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0.248,0,0.448,0.654,0,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0,0,0,0,0,0.292,0,0,0,0,0,0,0,0,0.186,0,0,0,0,0.171,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0.156,0.375,0,0.226,0,0,0,0,0.202,0,0.167,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0.612,0.467,0.665,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,0,0,0.414,0,0.171,0.246,0,0,0,0,0,0.194,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0,0,0,0,0.151,0.357,0,0.549,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0.218,0,0,0,0,0.17,0,0.171,0,0,0,0,0.161,0,0,0,0,0,0,0.347,0,0.967,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0.25,0,0,0,0,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,0,0.189,0.423,0,0,0,0.152,0,0,0.25,0,0,0,0.301,0.15,0,0,0,0.182,0.209,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0,0,0,0,0
ACVR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0,0.999,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169,0,0,0,0.171,0,0,0,0,0.363,0.177,0,0,0,0,0.163,0,0,0,0,0,0,0.164,0.178,0.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218,0.151,0,0,0.186,0,0,0,0,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.371,0,0,0,0.164,0,0,0.179,0,0,0.235,0,0.215,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,0,0,0,0,0,0,0,0,0,0,0.256,0,0.177,0,0,0,0.232,0,0,0.194,0,0,0,0,0,0,0.391,0,0,0,0,0,0.151,0,0,0,0,0.233,0,0,0,0,0,0,0.222,0,0,0,0,0.155,0,0,0.296,0,0.246,0,0,0,0,0,0,0,0,0.168,0,0,0,0,0.17,0.187,0,0,0,0,0.186,0,0,0,0,0,0,0,0,0.181,0,0,0,0,0,0.161,0,0,0,0,0,0,0.169,0,0,0,0,0,0,0,0.187,0.152,0.181,0,0,0,0,0.203,0,0,0,0,0,0,0,0,0,0,0.235,0.161,0,0.164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0.245,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0.152,0,0.558,0.664,0,0,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,0.343,0,0,0,0,0,0,0,0
ADAM19,0,0,0,0,0,0,0.166,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0,0,0,0,0,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.214,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS12,0,0,0,0,0,0.166,0,0.273,0.344,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373,0,0.444,0,0,0,0,0,0,0,0,0.216,0,0,0,0,0,0,0.169,0.172,0,0,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0.151,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353,0,0,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.257,0,0,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0,0,0,0,0,0,0,0.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0.152,0.156,0.694,0,0,0,0,0,0,0,0,0,0,0,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAMTS16,0,0,0,0,0,0,0.273,0,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237,0,0,0,0,0,0,0,0,0.198,0,0,0.152,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0.351,0,0,0,0,0,0,0.226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0,0,0,0,0,0,0,0
ADAMTS20,0,0,0,0,0,0.162,0.344,0.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173,0.156,0.186,0.648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCYAP1,0,0,0,0,0,0,0,0,0,0,0.999,0.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,0,0.347,0,0,0.183,0,0,0.186,0,0.435,0.152,0,0,0,0.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,0,0,0.179,0,0,0,0,0,0,0,0,0,0,0,0.395,0,0,0,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.195,0,0,0,0.275,0,0.534,0,0.27,0.18,0.223,0.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0,0,0,0,0,0.155,0,0,0,0,0,0,0,0.37,0.46,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0,0,0,0,0,0,0.173,0.285,0,0,0,0.171,0.175,0,0,0,0.172,0,0,0.226,0.707,0,0,0,0,0,0,0,0,0.232,0,0,0,0,0.163,0,0,0,0,0,0,0,0,0,0.463,0,0,0,0,0,0,0,0,0,0,0,0.188,0.224,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0.152,0,0,0,0,0.172,0,0,0.183,0,0,0,0,0,0,0,0,0,0.957,0,0,0,0,0,0,0,0,0,0,0.254,0,0,0,0,0.19,0.331,0,0.157,0,0.18,0,0,0,0,0,0,0,0,0.657,0.243,0.185,0,0,0,0,0,0.211,0.722,0,0,0,0,0.206,0,0,0,0,0,0,0,0.398,0,0,0,0,0,0,0,0.532,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0.161,0,0,0.184,0
