protein,num
SST,7
PRKCB,6
CACNA1A,4
CACNA1C,4
NPY,4
CACNA1B,3
EZR,3
FLT4,3
FOXA2,3
GCK,3
NCOR2,3
PAX5,3
PDX1,3
RUNX1,3
SLC9A3R1,3
ABL1,2
ADCYAP1,2
CACNA1E,2
CD38,2
CDH5,2
CDK6,2
COL11A1,2
COL11A2,2
COL5A2,2
DPYSL2,2
EBF1,2
GHSR,2
GRIA1,2
HOXA9,2
LEP,2
NEFM,2
NOTCH3,2
PBX1,2
RYR2,2
SCT,2
SOX17,2
TAC1,2
TGFB2,2
WNT3A,2
ACTN2,1
ACVR1,1
ADCYAP1R1,1
AHNAK,1
AIM2,1
ATXN1,1
BMP7,1
CCND2,1
CD1B,1
CD1C,1
CFTR,1
CLDN5,1
CMKLR1,1
CYP1B1,1
DOCK2,1
EPHB1,1
ESRRG,1
FES,1
FGF18,1
FGF8,1
FLI1,1
FLRT2,1
FOXE1,1
GALR1,1
GALR3,1
GRIA4,1
GRIN1,1
GSTA4,1
HCK,1
HOXA10,1
HOXD10,1
HOXD11,1
INA,1
IRF4,1
KIF5C,1
LEPR,1
LHX2,1
LTBP2,1
MAML3,1
MMP9,1
NEUROD1,1
NKX2-1,1
NKX2-8,1
NLRP3,1
OTX2,1
PAX2,1
PAX6,1
PAX9,1
PDLIM3,1
PENK,1
PRR5,1
RARRES2,1
RPTOR,1
SFRP2,1
SFRP5,1
SIX3,1
SLC2A2,1
SLC6A3,1
SSTR1,1
SSTR4,1
STAT5A,1
STIM1,1
TBL1XR1,1
TCF7L1,1
TGFBR3,1
TIMP2,1
TLX1,1
UNC5D,1
WWP2,1
ZIC1,1
ZIC4,1
ACOT11,0
ACOT7,0
ADAM19,0
ADAMTS12,0
ADAMTS16,0
ADAMTS20,0
ADORA2B,0
ADORA3,0
AFAP1,0
AFAP1L1,0
AHRR,0
AJAP1,0
ALX3,0
ANGPTL2,0
APCS,0
ASPG,0
ATP4A,0
BCAS3,0
BCAT1,0
BDNF,0
BHLHE23,0
BNC1,0
BVES,0
C1QL1,0
C4BPA,0
CA3,0
CACNA1I,0
CADM3,0
CAPZB,0
CARTPT,0
CAV2,0
CCDC8,0
CD1D,0
CD247,0
CD40,0
CDH23,0
CDH4,0
CDO1,0
CHRNA4,0
CHST2,0
CIT,0
CLDN10,0
CLDN6,0
CLEC14A,0
CNGA3,0
CPEB1,0
CPXM1,0
CREB3L2,0
CRHBP,0
CRMP1,0
CRTC1,0
CRYM,0
CSMD1,0
CSMD3,0
CUX1,0
CYP26A1,0
CYTL1,0
CYYR1,0
DAB2,0
DDR2,0
DGKI,0
DLEU7,0
DLK1,0
DNM3,0
DPYS,0
DSC3,0
EEF1A2,0
EFEMP1,0
ENPP2,0
EOMES,0
EVX1,0
F7,0
FAIM2,0
FAT4,0
FBXO39,0
