"","ADCY4","ANGPTL2","BARHL2","BNC1","CA3","CFTR","CTSA","DDAH2","DDIT4L","DEFB115","DLGAP2","DNM3","FCER1A","FGF8","GNG4","HCK","HOXA10","HOXA4","ITPRIPL1","KCNAB1","LAMA4","LEP","LRP4","MMP26","MRGPRD","NDRG2","NKX2-6","NPY","NUP62","OPCML","OPN3","OR10J5","OR8B8","PAX3","PFN3","PRLHR","PTPRN","RASSF1","RGS17","RGS22","SBK2","SCT","SERPING1","SFRP2","SGIP1","SIM1","SLC2A10","SLC2A2","SPOCK2","SYN2","SYT6","TBX20","TFF1","TLX3","TMEM132B","USP44","ZNF177","ZSCAN18","ATP5G2","C1orf114","C5orf20","C7orf16","DARC","H2AFY","HIST1H1A","MIR663","WDR8","WISP1"
"ADCY4",0,0.432,0.606,0.599,0.396,0.571,0.865,0.493,0,0,0.494,0.459,0.575,0.67,0.432,0.392,0.584,0.834,0,0.616,0.614,0.47,0.344,0.68,0.853,0.458,0.835,0.524,0.479,0,0.623,0.897,0.709,0.583,0.599,0.61,0.419,0.393,0.567,0.212,0.656,0.444,0.531,0.563,0.462,0.558,0.916,0.914,0.44,0.275,0.457,0.749,0.477,0.579,0.533,0.471,0.458,0.421,0.52,0.427,0.486,0.9,0.744,0.579,0.578,0.762,0,0.491
"ANGPTL2",0.432,0,0.494,0.722,0.42,0.638,0.861,0.411,0,0,0.226,0.448,0.428,0.418,0.106,0.388,0.477,0.797,0,0.606,0.247,0.255,0.268,0.783,0.853,0.186,0.813,0.32,0.382,0,0.532,0.862,0.638,0.492,0.413,0.499,0.196,0.233,0.397,0.212,0.868,0.154,0.278,0.37,0.259,0.452,0.897,0.9,0.404,0.251,0.419,0.686,0.159,0.434,0.533,0.445,0.468,0.414,0.312,0.427,0.222,0.9,0.648,0.567,0.476,0.762,0,0.243
"BARHL2",0.606,0.494,0,0.36,0.617,0.689,0.884,0.597,0,0,0.545,0.58,0.622,0.689,0.494,0.579,0.0629999999999999,0.174,0,0.703,0.653,0.407,0.481,0.863,0.853,0.489,0.189,0.563,0.508,0,0.662,0.896,0.733,0.118,0.627,0.652,0.467,0.566,0.627,0.212,0.874,0.487,0.592,0.594,0.509,0.129,0.915,0.914,0.586,0.536,0.598,0.094,0.538,0.07,0.533,0.633,0.17,0.182,0.574,0.427,0.397,0.9,0.757,0.405,0.462,0.723,0,0.546
"BNC1",0.599,0.722,0.36,0,0.574,0.837,0.9,0.736,0.643,0.643,0.712,0.809,0.779,0.872,0.722,0.773,0.419,0.4,0.643,0.836,0.79,0.667,0.634,0.67,0.89,0.659,0.417,0.79,0.763,0.643,0.806,0.907,0.776,0.394,0.734,0.8,0.74,0.563,0.786,0.733,0.88,0.765,0.761,0.808,0.747,0.447,0.93,0.932,0.611,0.738,0.646,0.414,0.746,0.402,0.62,0.659,0.301,0.342,0.74,0.827,0.574,0.928,0.852,0.591,0.615,0.758,0.643,0.744
"CA3",0.396,0.42,0.617,0.574,0,0.665,0.876,0.51,0,0,0.491,0.553,0.584,0.657,0.42,0.543,0.592,0.843,0,0.682,0.612,0.476,0.359,0.468,0.853,0.446,0.837,0.526,0.477,0,0.635,0.894,0.704,0.594,0.575,0.621,0.409,0.2,0.583,0.212,0.863,0.438,0.535,0.556,0.457,0.571,0.915,0.913,0.461,0.479,0.456,0.758,0.473,0.588,0.533,0.349,0.463,0.422,0.522,0.427,0.498,0.9,0.743,0.618,0.591,0.762,0,0.491
"CFTR",0.571,0.638,0.689,0.837,0.665,0,0.841,0.57,0,0,0.636,0.528,0.67,0.786,0.638,0.567,0.667,0.871,0,0.592,0.726,0.626,0.605,0.86,0.853,0.579,0.857,0.602,0.603,0,0.694,0.914,0.778,0.671,0.733,0.691,0.602,0.665,0.582,0.212,0.793,0.615,0.671,0.686,0.631,0.662,0.763,0.769,0.655,0.565,0.701,0.801,0.654,0.681,0.533,0.637,0.68,0.675,0.572,0.427,0.658,0.826,0.79,0.642,0.668,0.762,0,0.651
"CTSA",0.865,0.861,0.884,0.9,0.876,0.841,0,0.728,0.824,0.824,0.807,0.881,0.874,0.884,0.861,0.833,0.886,0.909,0.824,0.872,0.861,0.867,0.878,0.732,0.89,0.72,0.879,0.842,0.869,0.824,0.883,0.911,0.87,0.881,0.866,0.883,0.869,0.872,0.673,0.865,0.829,0.852,0.795,0.768,0.872,0.873,0.932,0.934,0.822,0.876,0.896,0.911,0.847,0.883,0.62,0.672,0.887,0.877,0.864,0.907,0.868,0.68,0.872,0.877,0.877,0.929,0.824,0.872
"DDAH2",0.493,0.411,0.597,0.736,0.51,0.57,0.728,0,0,0,0.446,0.506,0.562,0.646,0.411,0.48,0.574,0.807,0,0.595,0.576,0.47,0.431,0.711,0.79,0.356,0.786,0.508,0.463,0,0.612,0.847,0.678,0.575,0.566,0.597,0.402,0.496,0.508,0.212,0.714,0.431,0.518,0.543,0.45,0.551,0.874,0.871,0.536,0.46,0.549,0.73,0.463,0.572,0.37,0.455,0.584,0.556,0.508,0.427,0.488,0.854,0.69,0.608,0.577,0.762,0,0.483
"DDIT4L",0,0,0,0.643,0,0,0.824,0,0,0,0,0,0,0.483,0,0,0,0.762,0,0.212,0.212,0,0,0.719,0.853,0,0.776,0,0,0,0,0.853,0.457,0,0.343,0,0,0,0,0.212,0.829,0,0,0.212,0,0,0.872,0.888,0,0,0.212,0.427,0,0,0.533,0,0,0,0,0.427,0,0.9,0.427,0,0,0.762,0,0
"DEFB115",0,0,0,0.643,0,0,0.824,0,0,0,0,0,0,0.483,0,0,0,0.762,0,0.212,0.212,0,0,0.719,0.853,0,0.776,0,0,0,0,0.853,0.457,0,0.343,0,0,0,0,0.212,0.829,0,0,0.212,0,0,0.872,0.888,0,0,0.212,0.427,0,0,0.533,0,0,0,0,0.427,0,0.9,0.427,0,0,0.762,0,0
