estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
DecisionTree,CFTR,CNTNAP5,PFN3,SLC2A10,0.9204545454545453,0.9772727272727273,0.8636363636363635,0.8774565217391304,0.9245040600267241,0.9204545454545455,0.8468957024850647,0.955410886550267
DecisionTree,KCNAB1,CNTNAP5,PFN3,SLC2A10,0.909090909090909,1.0,0.8181818181818181,0.846153846153846,0.9166666666666666,0.909090909090909,0.8320502943378438,0.9649122807017545
DecisionTree,TFF1,CNTNAP5,PFN3,SLC2A10,0.8568181818181818,0.9863636363636366,0.7272727272727274,0.7833333333333333,0.8731428571428571,0.8568181818181818,0.7391922748171197,0.9377061469265368
DecisionTree,GNG4,NDRG2,SLC2A2,TMEM196,0.8636363636363635,1.0,0.7272727272727274,0.7857142857142857,0.8800000000000001,0.8636363636363635,0.7559289460184545,0.9482758620689655
DecisionTree,PTPRN,NDRG2,SLC2A2,TMEM196,0.8931818181818182,0.9681818181818181,0.8181818181818181,0.841685618729097,0.9002245862884161,0.8954545454545453,0.7962829085118793,0.9397231418656663
DecisionTree,SERPING1,NDRG2,SLC2A2,TMEM196,0.8272727272727274,0.9727272727272727,0.6818181818181818,0.7533844189016603,0.8490052020808324,0.9422520661157027,0.6848514108617108,0.9191109573418419
DecisionTree,CNTNAP5,GNG4,PAX3,SLC2A10,0.8409090909090908,0.9545454545454545,0.7272727272727274,0.7774652014652015,0.856660587639311,0.9202479338842975,0.7014917276038162,0.9127327812572522
DecisionTree,CNTNAP5,KCNAB1,PAX3,SLC2A10,0.9522727272727275,0.9954545454545455,0.909090909090909,0.9163043478260869,0.9542028985507247,0.9528925619834713,0.9080368297444743,0.9785231660231659
DecisionTree,CNTNAP5,OPCML,PAX3,SLC2A10,0.8818181818181818,0.9454545454545455,0.8181818181818181,0.8385574136008918,0.8885995477438586,0.8818181818181818,0.770496513658737,0.9218050058175814
DecisionTree,CNTNAP5,PTPRN,PAX3,SLC2A10,0.9159090909090908,0.9681818181818184,0.8636363636363635,0.876413043478261,0.9197759276390173,0.9621900826446282,0.8370704019971107,0.9481558438969943
