estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,CFTR,CNTNAP5,PFN3,SLC2A10,"[0.0, 0.13636363636363635, 1.0]","[0.0, 0.9760479041916168, 1.0]",[inf  1.  0.]
DecisionTree,KCNAB1,CNTNAP5,PFN3,SLC2A10,"[0.0, 0.18181818181818182, 1.0]","[0.0, 0.9940119760479041, 1.0]",[inf  1.  0.]
DecisionTree,TFF1,CNTNAP5,PFN3,SLC2A10,"[0.0, 0.2727272727272727, 1.0]","[0.0, 0.9880239520958084, 1.0]",[inf  1.  0.]
DecisionTree,GNG4,NDRG2,SLC2A2,TMEM196,"[0.0, 0.2727272727272727, 1.0]","[0.0, 0.9940119760479041, 1.0]",[inf  1.  0.]
DecisionTree,PTPRN,NDRG2,SLC2A2,TMEM196,"[0.0, 0.18181818181818182, 0.2727272727272727, 1.0]","[0.0, 0.9760479041916168, 0.9820359281437125, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,SERPING1,NDRG2,SLC2A2,TMEM196,"[0.0, 0.09090909090909091, 0.3181818181818182, 0.4090909090909091, 0.45454545454545453, 0.5454545454545454, 1.0]","[0.0, 0.9640718562874252, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 1.0, 1.0]","[       inf 1.         0.66666667 0.5        0.33333333 0.2
 0.        ]"
DecisionTree,CNTNAP5,GNG4,PAX3,SLC2A10,"[0.0, 0.09090909090909091, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 1.0]","[0.0, 0.9401197604790419, 0.9520958083832335, 0.9700598802395209, 0.9820359281437125, 1.0]",[       inf 1.         0.66666667 0.6        0.33333333 0.        ]
DecisionTree,CNTNAP5,KCNAB1,PAX3,SLC2A10,"[0.0, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.45454545454545453, 1.0]","[0.0, 0.9640718562874252, 0.9820359281437125, 0.9940119760479041, 0.9940119760479041, 1.0]",[inf 1.  0.6 0.5 0.2 0. ]
DecisionTree,CNTNAP5,OPCML,PAX3,SLC2A10,"[0.0, 0.18181818181818182, 1.0]","[0.0, 0.9640718562874252, 1.0]",[inf  1.  0.]
DecisionTree,CNTNAP5,PTPRN,PAX3,SLC2A10,"[0.0, 0.045454545454545456, 0.09090909090909091, 0.13636363636363635, 0.2727272727272727, 0.3181818181818182, 1.0]","[0.0, 0.9461077844311377, 0.9700598802395209, 0.9700598802395209, 0.9820359281437125, 0.9820359281437125, 1.0]","[       inf 1.         0.75       0.66666667 0.5        0.33333333
 0.        ]"
