estimator_name,gene_0,gene_1,gene_2,fpr,tpr,threshold
Voting,CFTR,LAMA4,TMEM196,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.4090909090909091, 0.4090909090909091, 0.7727272727272727, 0.7727272727272727, 0.8181818181818182, 0.8181818181818182, 1.0]","[0.0, 0.005988023952095809, 0.8502994011976048, 0.8502994011976048, 0.8622754491017964, 0.8622754491017964, 0.8922155688622755, 0.8922155688622755, 0.9580838323353293, 0.9580838323353293, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99844544 0.98885445 0.98698679 0.98611333 0.98536549
 0.97893241 0.97327725 0.81007133 0.71381072 0.69566877 0.6874903
 0.66133423 0.50038593 0.44902759 0.42483218 0.36978206 0.06623531
 0.06225366 0.05784763 0.04875032 0.02296437]"
Voting,SYN2,LAMA4,TMEM196,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.4090909090909091, 0.4090909090909091, 0.7727272727272727, 0.7727272727272727, 0.8181818181818182, 0.8181818181818182, 1.0]","[0.0, 0.005988023952095809, 0.8502994011976048, 0.8502994011976048, 0.8622754491017964, 0.8622754491017964, 0.8922155688622755, 0.8922155688622755, 0.9580838323353293, 0.9580838323353293, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99844544 0.98885445 0.98698679 0.98611333 0.98536549
 0.97893241 0.97327725 0.81007133 0.71381072 0.69566877 0.6874903
 0.66133423 0.50038593 0.44902759 0.42483218 0.36978206 0.06623531
 0.06225366 0.05784763 0.04875032 0.02296437]"
Voting,HCK,SBK2,WISP1,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.36363636363636365, 0.36363636363636365, 1.0]","[0.0, 0.005988023952095809, 0.9461077844311377, 0.9461077844311377, 0.9520958083832335, 0.9520958083832335, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99844178 0.93071044 0.93003867 0.92461124 0.88559892
 0.81602933 0.77308883 0.71195952 0.68615228 0.65717055 0.61338198
 0.51553445 0.45368341 0.38623672 0.32959405 0.26565092 0.01191086]"
Voting,PTPRN,SBK2,WISP1,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.13636363636363635, 0.13636363636363635, 0.22727272727272727, 0.22727272727272727, 0.6363636363636364, 0.6363636363636364, 0.7272727272727273, 0.7272727272727273, 1.0]","[0.0, 0.005988023952095809, 0.9401197604790419, 0.9401197604790419, 0.9580838323353293, 0.9580838323353293, 0.9760479041916168, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99905817 0.88138401 0.8500066  0.79054406 0.76263621
 0.68622747 0.41797101 0.29950641 0.07940975 0.06009348 0.05499486
 0.04935288 0.01766135]"
Voting,HCK,LAMA4,SIM1,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 1.0]","[0.0, 0.005988023952095809, 0.9341317365269461, 0.9341317365269461, 0.9580838323353293, 0.9580838323353293, 0.9700598802395209, 0.9700598802395209, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99905846 0.96408477 0.95999366 0.9516707  0.94433775
 0.86698818 0.85521856 0.80753484 0.79657453 0.70829847 0.67756825
 0.67250581 0.65000932 0.25450368 0.02472338]"
Voting,HCK,LAMA4,MIR921,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.36363636363636365, 0.36363636363636365, 0.8181818181818182, 0.8181818181818182, 1.0]","[0.0, 0.005988023952095809, 0.011976047904191617, 0.011976047904191617, 0.8982035928143712, 0.8982035928143712, 0.9401197604790419, 0.9401197604790419, 0.9461077844311377, 0.9461077844311377, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99598522 0.9959393  0.99553433 0.9814905  0.98109727
 0.95964046 0.95572136 0.95110108 0.94649323 0.82572974 0.54399492
 0.48718834 0.14217296 0.08734973 0.07900444]"
Voting,CFTR,LEP,MIR921,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.005988023952095809, 0.7724550898203593, 0.7724550898203593, 0.9580838323353293, 0.9580838323353293, 0.9700598802395209, 0.9700598802395209, 0.9880239520958084, 0.9880239520958084, 1.0, 1.0]","[       inf 0.99997364 0.99324742 0.99316558 0.95740266 0.95127489
 0.88265892 0.82271004 0.55434149 0.43686828 0.32630232 0.00997226]"
Voting,PTPRN,LEP,MIR921,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 1.0]","[0.0, 0.005988023952095809, 0.8323353293413174, 0.8323353293413174, 0.9640718562874252, 0.9640718562874252, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99996676 0.99492051 0.99487744 0.96251929 0.96187322
 0.88111414 0.79528634 0.72382857 0.39333859 0.30747864 0.00903674]"
Voting,C7orf16,SYN2,WISP1,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.36363636363636365, 0.36363636363636365, 0.5, 0.5, 0.9545454545454546, 0.9545454545454546, 1.0]","[0.0, 0.005988023952095809, 0.9520958083832335, 0.9520958083832335, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 1.0, 1.0]","[       inf 0.9999645  0.96183277 0.9491283  0.88899913 0.5605773
 0.53821066 0.34032996 0.21572161 0.0496611  0.03465929 0.01965203]"
Voting,ZNF177,SYN2,WISP1,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 1.0]","[0.0, 0.005988023952095809, 0.9461077844311377, 0.9461077844311377, 0.9580838323353293, 0.9580838323353293, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 1.0, 1.0]","[       inf 0.99844902 0.97265876 0.96699822 0.95919643 0.95307669
 0.92769779 0.87976315 0.83991749 0.81947913 0.70110265 0.70043032
 0.65560692 0.01757025]"
