estimator_name,gene_0,gene_1,gene_2,fpr,tpr,threshold
RandomForest,CFTR,LAMA4,TMEM196,"[0.0, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.6363636363636364, 0.6363636363636364, 0.6818181818181818, 0.6818181818181818, 0.7727272727272727, 0.8636363636363636, 1.0]","[0.0, 0.8383233532934131, 0.8562874251497006, 0.8622754491017964, 0.8862275449101796, 0.9221556886227545, 0.9281437125748503, 0.9281437125748503, 0.9640718562874252, 0.9640718562874252, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.96666667 0.95       0.89666667
 0.8725     0.8625     0.7        0.67916667 0.53125    0.50833333
 0.45416667 0.16       0.15583333 0.15       0.08333333 0.075
 0.05       0.        ]"
RandomForest,SYN2,LAMA4,TMEM196,"[0.0, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.6363636363636364, 0.6363636363636364, 0.6818181818181818, 0.6818181818181818, 0.7727272727272727, 0.8636363636363636, 1.0]","[0.0, 0.8383233532934131, 0.8562874251497006, 0.8622754491017964, 0.8862275449101796, 0.9221556886227545, 0.9281437125748503, 0.9281437125748503, 0.9640718562874252, 0.9640718562874252, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.96666667 0.95       0.89666667
 0.8725     0.8625     0.7        0.67916667 0.53125    0.50833333
 0.45416667 0.16       0.15583333 0.15       0.08333333 0.075
 0.05       0.        ]"
RandomForest,HCK,SBK2,WISP1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.3181818181818182, 0.3181818181818182, 0.36363636363636365, 0.36363636363636365, 0.5, 0.5909090909090909, 0.6363636363636364, 0.8636363636363636, 1.0]","[0.0, 0.8323353293413174, 0.8383233532934131, 0.8502994011976048, 0.8862275449101796, 0.8922155688622755, 0.9221556886227545, 0.9281437125748503, 0.9401197604790419, 0.9520958083832335, 0.9640718562874252, 0.9640718562874252, 0.9700598802395209, 0.9760479041916168, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.9875     0.96666667 0.95       0.925
 0.9        0.875      0.85       0.83333333 0.8        0.76666667
 0.7375     0.725      0.7        0.62916667 0.51666667 0.44166667
 0.41666667 0.4        0.15       0.1        0.05833333 0.05
 0.        ]"
RandomForest,PTPRN,SBK2,WISP1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.3181818181818182, 0.36363636363636365, 0.45454545454545453, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6818181818181818, 0.7272727272727273, 0.9090909090909091, 1.0]","[0.0, 0.7664670658682635, 0.8203592814371258, 0.844311377245509, 0.8982035928143712, 0.9221556886227545, 0.9401197604790419, 0.9520958083832335, 0.9520958083832335, 0.9760479041916168, 0.9760479041916168, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9880239520958084, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0, 1.0, 1.0]","[ inf 1.   0.98 0.96 0.9  0.86 0.84 0.8  0.78 0.68 0.6  0.58 0.56 0.5
 0.42 0.38 0.26 0.24 0.16 0.12 0.1  0.06 0.  ]"
RandomForest,HCK,LAMA4,SIM1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.3181818181818182, 0.3181818181818182, 0.36363636363636365, 0.36363636363636365, 0.8181818181818182, 0.9090909090909091, 0.9090909090909091, 1.0]","[0.0, 0.8083832335329342, 0.8263473053892215, 0.8502994011976048, 0.8622754491017964, 0.8922155688622755, 0.9101796407185628, 0.9221556886227545, 0.9461077844311377, 0.9461077844311377, 0.9580838323353293, 0.9580838323353293, 0.9640718562874252, 0.9640718562874252, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 1.         0.96666667 0.96       0.935      0.93
 0.90071429 0.9        0.88       0.86833333 0.84083333 0.81571429
 0.81       0.79       0.7875     0.76904762 0.74333333 0.70738095
 0.65666667 0.64333333 0.61833333 0.455      0.43917749 0.08333333
 0.06666667 0.06285714 0.        ]"
RandomForest,HCK,LAMA4,MIR921,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.3181818181818182, 0.3181818181818182, 0.6363636363636364, 0.6363636363636364, 0.7727272727272727, 0.7727272727272727, 1.0]","[0.0, 0.8263473053892215, 0.8323353293413174, 0.8323353293413174, 0.8383233532934131, 0.844311377245509, 0.8502994011976048, 0.8682634730538922, 0.8802395209580839, 0.8802395209580839, 0.9041916167664671, 0.9161676646706587, 0.9161676646706587, 0.9401197604790419, 0.9461077844311377, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 1.         0.98333333 0.98       0.975      0.96666667
 0.96       0.96       0.95454545 0.95277778 0.95       0.94166667
 0.92       0.9        0.89666667 0.68015873 0.65285714 0.64611111
 0.26388889 0.22595238 0.16833333 0.13928571 0.03      ]"
RandomForest,CFTR,LEP,MIR921,"[0.0, 0.045454545454545456, 0.045454545454545456, 0.045454545454545456, 0.13636363636363635, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.2727272727272727, 0.4090909090909091, 0.45454545454545453, 0.6363636363636364, 0.7727272727272727, 1.0]","[0.0, 0.8802395209580839, 0.9580838323353293, 0.9820359281437125, 0.9820359281437125, 0.9940119760479041, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.95 0.9  0.75 0.7  0.4  0.35 0.3  0.25 0.2  0.1  0.05 0.  ]
RandomForest,PTPRN,LEP,MIR921,"[0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.13636363636363635, 0.22727272727272727, 0.3181818181818182, 0.45454545454545453, 0.6363636363636364, 1.0]","[0.0, 0.9221556886227545, 0.9281437125748503, 0.9700598802395209, 0.9700598802395209, 0.9880239520958084, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.96666667 0.9        0.85       0.8
 0.55       0.25       0.2        0.15       0.1        0.        ]"
RandomForest,C7orf16,SYN2,WISP1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.22727272727272727, 0.22727272727272727, 0.3181818181818182, 0.3181818181818182, 0.36363636363636365, 0.36363636363636365, 0.5, 0.6363636363636364, 0.6818181818181818, 0.7272727272727273, 0.8636363636363636, 0.8636363636363636, 0.9090909090909091, 1.0]","[0.0, 0.7844311377245509, 0.8502994011976048, 0.874251497005988, 0.9101796407185628, 0.9281437125748503, 0.9401197604790419, 0.9580838323353293, 0.9640718562874252, 0.9640718562874252, 0.9640718562874252, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9820359281437125, 0.9820359281437125, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 1.0, 1.0, 1.0]","[ inf 1.   0.98 0.96 0.94 0.92 0.9  0.88 0.86 0.76 0.7  0.68 0.64 0.6
 0.54 0.48 0.2  0.18 0.16 0.14 0.12 0.08 0.06 0.02]"
RandomForest,ZNF177,SYN2,WISP1,"[0.0, 0.09090909090909091, 0.13636363636363635, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.3181818181818182, 0.36363636363636365, 0.45454545454545453, 0.6363636363636364, 0.7727272727272727, 0.8181818181818182, 1.0]","[0.0, 0.9041916167664671, 0.9461077844311377, 0.9461077844311377, 0.9760479041916168, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.9  0.85 0.8  0.7  0.6  0.5  0.35 0.2  0.1  0.05 0.  ]
