estimator_name,gene_0,gene_1,gene_2,fpr,tpr,threshold
SVM,CFTR,LAMA4,TMEM196,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.9545454545454546, 0.9545454545454546, 1.0, 1.0]","[0.0, 0.005988023952095809, 0.9101796407185628, 0.9101796407185628, 0.9221556886227545, 0.9221556886227545, 0.9341317365269461, 0.9341317365269461, 0.9461077844311377, 0.9461077844311377, 0.9640718562874252, 0.9640718562874252, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 1.0]","[       inf 1.         0.88707194 0.87683242 0.86497081 0.86340332
 0.85852956 0.83418587 0.80935569 0.79567508 0.53991268 0.53337309
 0.47064298 0.13000523 0.12293666 0.12127287 0.10627036]"
SVM,SYN2,LAMA4,TMEM196,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.9545454545454546, 0.9545454545454546, 1.0, 1.0]","[0.0, 0.005988023952095809, 0.9101796407185628, 0.9101796407185628, 0.9221556886227545, 0.9221556886227545, 0.9341317365269461, 0.9341317365269461, 0.9461077844311377, 0.9461077844311377, 0.9640718562874252, 0.9640718562874252, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 1.0]","[       inf 1.         0.88707194 0.87683242 0.86497081 0.86340332
 0.85852956 0.83418587 0.80935569 0.79567508 0.53991268 0.53337309
 0.47064298 0.13000523 0.12293666 0.12127287 0.10627036]"
SVM,HCK,SBK2,WISP1,"[0.0, 0.0, 0.0, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.4090909090909091, 0.4090909090909091, 0.5, 0.5, 0.5909090909090909, 0.5909090909090909, 1.0]","[0.0, 0.005988023952095809, 0.9580838323353293, 0.9580838323353293, 0.9640718562874252, 0.9640718562874252, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 1.         0.80725158 0.60674784 0.60108495 0.57921701
 0.55854634 0.5        0.49249472 0.42779206 0.41364781 0.29391445
 0.21096858 0.20181829 0.17393024 0.06052166]"
SVM,PTPRN,SBK2,WISP1,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.6363636363636364, 0.6363636363636364, 1.0, 1.0]","[0.0, 0.005988023952095809, 0.9461077844311377, 0.9461077844311377, 0.9700598802395209, 0.9700598802395209, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0]","[       inf 1.         0.79845011 0.79531377 0.72249827 0.71389464
 0.57796696 0.56295884 0.52762966 0.10622004 0.09254756 0.04727994
 0.00668056]"
SVM,HCK,LAMA4,SIM1,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.2727272727272727, 0.2727272727272727, 0.36363636363636365, 0.36363636363636365, 0.6363636363636364, 0.6363636363636364, 1.0]","[0.0, 0.005988023952095809, 0.5568862275449101, 0.5568862275449101, 0.6526946107784432, 0.6526946107784432, 0.9640718562874252, 0.9640718562874252, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99999992 0.97331679 0.97307758 0.9678217  0.96729502
 0.9243966  0.91019594 0.90871951 0.80409446 0.74394848 0.65833394
 0.61269912 0.42133425 0.41335449 0.17770112 0.17544216 0.06801813]"
SVM,HCK,LAMA4,MIR921,"[0.0, 0.0, 0.0, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.22727272727272727, 0.22727272727272727, 0.2727272727272727, 0.2727272727272727, 0.3181818181818182, 0.3181818181818182, 0.5454545454545454, 0.5454545454545454, 0.6363636363636364, 0.6363636363636364, 0.6818181818181818, 0.6818181818181818, 0.9545454545454546, 0.9545454545454546, 1.0]","[0.0, 0.005988023952095809, 0.9221556886227545, 0.9221556886227545, 0.9341317365269461, 0.9341317365269461, 0.9401197604790419, 0.9401197604790419, 0.9461077844311377, 0.9461077844311377, 0.9580838323353293, 0.9580838323353293, 0.9700598802395209, 0.9700598802395209, 0.9760479041916168, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.9999998  0.90647336 0.8740361  0.85294646 0.85189443
 0.8444304  0.79130182 0.70884921 0.69812383 0.67644439 0.64863756
 0.60315195 0.48984083 0.46967853 0.42585242 0.4011457  0.36064563
 0.30842742 0.17322958 0.14360785 0.09209052]"
SVM,CFTR,LEP,MIR921,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 1.0]","[0.0, 0.005988023952095809, 0.8203592814371258, 0.8203592814371258, 0.9700598802395209, 0.9700598802395209, 1.0, 1.0]","[       inf 0.99998276 0.97896761 0.97873438 0.95358241 0.94723232
 0.76482954 0.0185764 ]"
SVM,PTPRN,LEP,MIR921,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 1.0]","[0.0, 0.005988023952095809, 0.9640718562874252, 0.9640718562874252, 0.9820359281437125, 0.9820359281437125, 1.0, 1.0]","[       inf 0.99672943 0.98294698 0.98255358 0.9666154  0.96166262
 0.67243842 0.03214954]"
SVM,C7orf16,SYN2,WISP1,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.13636363636363635, 0.13636363636363635, 0.18181818181818182, 0.18181818181818182, 0.5909090909090909, 0.5909090909090909, 1.0, 1.0]","[0.0, 0.005988023952095809, 0.9281437125748503, 0.9281437125748503, 0.9401197604790419, 0.9401197604790419, 0.9520958083832335, 0.9520958083832335, 0.9700598802395209, 0.9700598802395209, 0.9820359281437125, 0.9820359281437125, 0.9880239520958084, 0.9880239520958084, 1.0]","[       inf 1.         0.85463582 0.85436321 0.84285289 0.83204881
 0.7805375  0.70022521 0.61380611 0.61085406 0.57465225 0.17626324
 0.143805   0.01952804 0.00580137]"
SVM,ZNF177,SYN2,WISP1,"[0.0, 0.0, 0.0, 0.045454545454545456, 0.045454545454545456, 0.09090909090909091, 0.09090909090909091, 0.36363636363636365, 0.36363636363636365, 0.6363636363636364, 0.6363636363636364, 1.0]","[0.0, 0.005988023952095809, 0.9640718562874252, 0.9640718562874252, 0.9760479041916168, 0.9760479041916168, 0.9880239520958084, 0.9880239520958084, 0.9940119760479041, 0.9940119760479041, 1.0, 1.0]","[       inf 0.99392327 0.96477257 0.95563557 0.93144963 0.9210384
 0.90758119 0.39875711 0.27820266 0.12547911 0.09978142 0.03983779]"
