estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
RandomForest,CFTR,CNTNAP5,PFN3,SLC2A10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.05555555555555555, 0.07777777777777778, 0.1111111111111111, 0.13333333333333333, 0.15555555555555556, 0.2, 0.2222222222222222, 0.24444444444444444, 0.26666666666666666, 0.3111111111111111, 0.32222222222222224, 0.35555555555555557, 0.3888888888888889, 0.4111111111111111, 0.43333333333333335, 0.5666666666666667, 0.5777777777777777, 0.6444444444444445, 0.6555555555555556, 1.0]","[0.0, 0.8796992481203008, 0.8902255639097745, 0.8932330827067669, 0.9368421052631579, 0.9398496240601504, 0.9473684210526315, 0.9503759398496241, 0.9578947368421052, 0.9669172932330827, 0.968421052631579, 0.9714285714285714, 0.9909774436090225, 0.9939849624060151, 0.9939849624060151, 0.9984962406015038, 0.9984962406015038, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.96666667 0.95       0.92666667
 0.925      0.90833333 0.9        0.85       0.83333333 0.825
 0.64166667 0.625      0.62       0.55833333 0.5        0.4875
 0.325      0.31666667 0.285      0.275      0.26666667 0.225
 0.18333333 0.175      0.15       0.125      0.10833333 0.1
 0.09166667 0.075      0.06666667 0.05       0.03333333 0.025
 0.01666667 0.        ]"
RandomForest,KCNAB1,CNTNAP5,PFN3,SLC2A10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.03333333333333333, 0.03333333333333333, 0.14444444444444443, 0.17777777777777778, 0.25555555555555554, 0.2777777777777778, 0.3111111111111111, 0.34444444444444444, 0.36666666666666664, 0.3888888888888889, 0.4111111111111111, 0.43333333333333335, 0.5, 0.5333333333333333, 0.5777777777777777, 1.0]","[0.0, 0.9067669172932331, 0.9112781954887218, 0.9172932330827067, 0.9233082706766917, 0.9278195488721804, 0.9308270676691729, 0.9473684210526315, 0.9503759398496241, 0.9518796992481203, 0.9548872180451128, 0.9578947368421052, 0.9609022556390977, 0.9624060150375939, 0.9654135338345865, 0.9669172932330827, 0.9699248120300752, 0.9714285714285714, 0.9744360902255639, 0.9774436090225563, 0.9804511278195489, 0.9924812030075187, 0.9924812030075187, 0.9984962406015038, 0.9984962406015038, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.9875     0.98333333 0.975      0.9625
 0.95833333 0.95       0.93333333 0.92833333 0.925      0.9125
 0.9        0.86666667 0.86666667 0.85333333 0.85333333 0.85
 0.83333333 0.81666667 0.8        0.67083333 0.63333333 0.54416667
 0.52083333 0.4625     0.23833333 0.23333333 0.1425     0.14166667
 0.1225     0.1        0.0975     0.075      0.06666667 0.05666667
 0.05       0.0475     0.0125     0.        ]"
RandomForest,TFF1,CNTNAP5,PFN3,SLC2A10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.03333333333333333, 0.03333333333333333, 0.044444444444444446, 0.044444444444444446, 0.05555555555555555, 0.05555555555555555, 0.06666666666666667, 0.06666666666666667, 0.08888888888888889, 0.08888888888888889, 0.1111111111111111, 0.1111111111111111, 0.13333333333333333, 0.13333333333333333, 0.14444444444444443, 0.14444444444444443, 0.45555555555555555, 0.4777777777777778, 0.5222222222222223, 0.5333333333333333, 0.6, 0.6111111111111112, 0.6444444444444445, 0.6666666666666666, 0.6777777777777778, 0.7, 0.7666666666666667, 1.0]","[0.0, 0.8796992481203008, 0.8827067669172932, 0.8842105263157894, 0.8917293233082707, 0.8962406015037594, 0.9052631578947369, 0.9157894736842105, 0.9172932330827067, 0.9203007518796993, 0.9233082706766917, 0.9263157894736842, 0.9278195488721804, 0.9308270676691729, 0.9368421052631579, 0.9368421052631579, 0.9398496240601504, 0.9443609022556391, 0.9699248120300752, 0.9699248120300752, 0.9729323308270676, 0.9729323308270676, 0.9819548872180451, 0.9819548872180451, 0.9864661654135338, 0.9864661654135338, 0.9894736842105263, 0.9894736842105263, 0.9909774436090225, 0.9909774436090225, 0.9954887218045113, 0.9954887218045113, 0.9969924812030075, 0.9969924812030075, 0.9984962406015038, 0.9984962406015038, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98888889 0.98333333 0.98       0.975
 0.96666667 0.96       0.95555556 0.94888889 0.93555556 0.93142857
 0.93055556 0.925      0.91666667 0.90222222 0.89428571 0.89166667
 0.77309524 0.74555556 0.73571429 0.71       0.62380952 0.61151515
 0.5702381  0.53428571 0.52730159 0.51214286 0.50984848 0.45309524
 0.42       0.41484848 0.375      0.35198413 0.34444444 0.34285714
 0.335      0.08333333 0.08194444 0.07       0.065      0.05
 0.045      0.04444444 0.04       0.03333333 0.03       0.02
 0.        ]"
RandomForest,GNG4,NDRG2,SLC2A2,TMEM196,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.03333333333333333, 0.03333333333333333, 0.044444444444444446, 0.044444444444444446, 0.07777777777777778, 0.07777777777777778, 0.08888888888888889, 0.08888888888888889, 0.17777777777777778, 0.17777777777777778, 0.23333333333333334, 0.23333333333333334, 0.25555555555555554, 0.25555555555555554, 0.6, 0.6444444444444445, 0.7111111111111111, 0.7333333333333333, 0.7444444444444445, 0.7666666666666667, 0.7777777777777778, 0.8111111111111111, 0.8222222222222222, 0.8444444444444444, 0.8777777777777778, 0.9333333333333333, 0.9555555555555556, 1.0]","[0.0, 0.8015037593984963, 0.8045112781954887, 0.8120300751879699, 0.8180451127819549, 0.8466165413533835, 0.8511278195488722, 0.8586466165413534, 0.869172932330827, 0.8766917293233083, 0.8796992481203008, 0.8842105263157894, 0.8947368421052632, 0.9007518796992481, 0.9067669172932331, 0.9112781954887218, 0.9203007518796993, 0.9233082706766917, 0.9323308270676691, 0.9353383458646617, 0.9533834586466166, 0.9533834586466166, 0.9744360902255639, 0.9744360902255639, 0.9804511278195489, 0.9804511278195489, 0.98796992481203, 0.98796992481203, 0.9894736842105263, 0.9894736842105263, 0.9909774436090225, 0.9909774436090225, 0.9939849624060151, 0.9939849624060151, 0.9954887218045113, 0.9954887218045113, 0.9984962406015038, 0.9984962406015038, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99444444 0.99166667 0.99       0.9875
 0.98333333 0.97777778 0.975      0.9675     0.96666667 0.96666667
 0.95083333 0.94969697 0.9425     0.94166667 0.92559524 0.925
 0.90527778 0.90194444 0.85833333 0.83694444 0.75452381 0.74111111
 0.70103175 0.67666667 0.55797619 0.55583333 0.55323413 0.53511905
 0.52755952 0.51309524 0.49410173 0.39222222 0.39136905 0.35011905
 0.31736111 0.29972222 0.29940476 0.08720238 0.0725     0.0575
 0.05666667 0.05357143 0.035      0.03333333 0.03125    0.02777778
 0.025      0.02       0.01666667 0.00714286 0.        ]"
RandomForest,PTPRN,NDRG2,SLC2A2,TMEM196,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.03333333333333333, 0.03333333333333333, 0.044444444444444446, 0.044444444444444446, 0.05555555555555555, 0.05555555555555555, 0.1111111111111111, 0.1111111111111111, 0.5111111111111111, 0.5333333333333333, 0.5666666666666667, 0.5888888888888889, 0.7222222222222222, 0.7555555555555555, 0.7777777777777778, 0.8111111111111111, 0.8333333333333334, 0.8888888888888888, 0.9111111111111111, 0.9222222222222223, 0.9444444444444444, 1.0]","[0.0, 0.7789473684210526, 0.7804511278195488, 0.7864661654135339, 0.793984962406015, 0.8135338345864662, 0.8165413533834587, 0.8210526315789474, 0.8315789473684211, 0.8390977443609022, 0.8406015037593985, 0.8481203007518797, 0.8511278195488722, 0.8556390977443609, 0.8586466165413534, 0.8631578947368421, 0.8661654135338346, 0.8751879699248121, 0.8857142857142857, 0.8887218045112782, 0.9067669172932331, 0.9097744360902256, 0.9157894736842105, 0.9187969924812031, 0.9849624060150376, 0.9849624060150376, 0.9894736842105263, 0.9894736842105263, 0.9954887218045113, 0.9954887218045113, 0.9969924812030075, 0.9969924812030075, 0.9984962406015038, 0.9984962406015038, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.995      0.99333333 0.99333333 0.99
 0.988      0.98533333 0.985      0.98333333 0.98285714 0.98
 0.98       0.97666667 0.974      0.97333333 0.97166667 0.97
 0.965      0.96466667 0.95       0.95       0.94066667 0.94
 0.67111111 0.65828571 0.61433333 0.57966667 0.54133333 0.537
 0.48414286 0.47966667 0.475      0.38452381 0.3642381  0.064
 0.058      0.05466667 0.04666667 0.02533333 0.025      0.023
 0.02133333 0.02       0.01666667 0.01333333 0.01       0.00666667
 0.        ]"
RandomForest,SERPING1,NDRG2,SLC2A2,TMEM196,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.03333333333333333, 0.03333333333333333, 0.05555555555555555, 0.05555555555555555, 0.08888888888888889, 0.08888888888888889, 0.1111111111111111, 0.1111111111111111, 0.13333333333333333, 0.13333333333333333, 0.15555555555555556, 0.15555555555555556, 0.7444444444444445, 0.7666666666666667, 0.9666666666666667, 0.9888888888888889, 1.0]","[0.0, 0.7413533834586467, 0.7443609022556391, 0.7488721804511278, 0.7518796992481203, 0.7563909774436091, 0.7699248120300752, 0.7729323308270677, 0.7819548872180451, 0.7879699248120301, 0.7954887218045112, 0.8015037593984963, 0.8075187969924812, 0.8105263157894737, 0.8225563909774436, 0.825563909774436, 0.8300751879699249, 0.8345864661654135, 0.8390977443609022, 0.8406015037593985, 0.8526315789473684, 0.8736842105263158, 0.8766917293233083, 0.9428571428571428, 0.9458646616541353, 0.9729323308270676, 0.9729323308270676, 0.9744360902255639, 0.9744360902255639, 0.9774436090225563, 0.9774436090225563, 0.9819548872180451, 0.9819548872180451, 0.98796992481203, 0.98796992481203, 0.9894736842105263, 0.9894736842105263, 0.9909774436090225, 0.9909774436090225, 0.9969924812030075, 0.9969924812030075, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99714286 0.99666667 0.996      0.99555556
 0.995      0.99333333 0.99333333 0.991      0.99       0.98888889
 0.98833333 0.988      0.98416667 0.98412698 0.98333333 0.98183333
 0.98166667 0.98133333 0.98       0.97277778 0.97222222 0.87604762
 0.86566667 0.72475902 0.72010317 0.71885714 0.68519841 0.67825397
 0.67416667 0.61086508 0.59162987 0.54607753 0.529      0.50377778
 0.47688095 0.47299495 0.47074892 0.43864103 0.41997908 0.39010317
 0.04447619 0.04333333 0.008      0.005      0.        ]"
RandomForest,CNTNAP5,GNG4,PAX3,SLC2A10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.022222222222222223, 0.044444444444444446, 0.18888888888888888, 0.2777777777777778, 0.43333333333333335, 1.0]","[0.0, 0.9428571428571428, 0.9759398496240601, 0.9864661654135338, 0.9924812030075187, 0.9954887218045113, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.7 0.6 0.5 0.4 0.3 0.2 0.1 0. ]
RandomForest,CNTNAP5,KCNAB1,PAX3,SLC2A10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.044444444444444446, 0.05555555555555555, 0.05555555555555555, 0.07777777777777778, 0.07777777777777778, 0.1, 0.1, 0.13333333333333333, 0.13333333333333333, 0.14444444444444443, 0.14444444444444443, 0.28888888888888886, 0.3111111111111111, 0.3333333333333333, 0.36666666666666664, 0.3888888888888889, 0.4111111111111111, 0.4444444444444444, 0.4666666666666667, 0.5, 0.5111111111111111, 0.5333333333333333, 0.5444444444444444, 0.5666666666666667, 0.6222222222222222, 0.6333333333333333, 1.0]","[0.0, 0.8902255639097745, 0.8992481203007519, 0.912781954887218, 0.9142857142857143, 0.9233082706766917, 0.9278195488721804, 0.9308270676691729, 0.9323308270676691, 0.9353383458646617, 0.9368421052631579, 0.9428571428571428, 0.9443609022556391, 0.9473684210526315, 0.9503759398496241, 0.9533834586466166, 0.9578947368421052, 0.9593984962406015, 0.9624060150375939, 0.9639097744360903, 0.9639097744360903, 0.9864661654135338, 0.9864661654135338, 0.9909774436090225, 0.9909774436090225, 0.9924812030075187, 0.9924812030075187, 0.9939849624060151, 0.9939849624060151, 0.9954887218045113, 0.9954887218045113, 0.9969924812030075, 0.9969924812030075, 0.9984962406015038, 0.9984962406015038, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98       0.96666667 0.96571429 0.94166667
 0.92       0.91666667 0.91666667 0.91428571 0.90285714 0.9
 0.89166667 0.88809524 0.87666667 0.87333333 0.86666667 0.86507937
 0.85666667 0.85333333 0.83571429 0.64444444 0.64166667 0.59666667
 0.53261905 0.52261905 0.50984127 0.5        0.485      0.4797619
 0.4156746  0.40845238 0.35511905 0.34       0.31       0.2725
 0.18150794 0.16666667 0.135      0.13333333 0.12238095 0.11761905
 0.1        0.08666667 0.07333333 0.06666667 0.04       0.03928571
 0.03333333 0.01666667 0.01428571 0.        ]"
RandomForest,CNTNAP5,OPCML,PAX3,SLC2A10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.011111111111111112, 0.022222222222222223, 0.022222222222222223, 0.044444444444444446, 0.2111111111111111, 0.23333333333333334, 0.3, 0.32222222222222224, 0.35555555555555557, 0.4, 0.4111111111111111, 0.43333333333333335, 0.4444444444444444, 0.4777777777777778, 0.5, 0.5666666666666667, 0.5888888888888889, 1.0]","[0.0, 0.8932330827067669, 0.8992481203007519, 0.9082706766917293, 0.9142857142857143, 0.9172932330827067, 0.9233082706766917, 0.9323308270676691, 0.9428571428571428, 0.9488721804511279, 0.9578947368421052, 0.9699248120300752, 0.9729323308270676, 0.9804511278195489, 0.9834586466165414, 0.9954887218045113, 0.9954887218045113, 0.9969924812030075, 0.9969924812030075, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.9875     0.98333333 0.98       0.975
 0.96666667 0.95833333 0.95       0.92       0.91666667 0.85416667
 0.84583333 0.81666667 0.8125     0.605      0.59166667 0.54583333
 0.52083333 0.47       0.4375     0.21666667 0.2        0.14583333
 0.125      0.105      0.1        0.08333333 0.07916667 0.0625
 0.05       0.02916667 0.025      0.01666667 0.        ]"
RandomForest,CNTNAP5,PTPRN,PAX3,SLC2A10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011111111111111112, 0.03333333333333333, 0.06666666666666667, 0.1, 0.12222222222222222, 0.17777777777777778, 0.18888888888888888, 0.2111111111111111, 0.2222222222222222, 0.28888888888888886, 0.3, 0.3888888888888889, 0.4888888888888889, 0.6, 0.7555555555555555, 1.0]","[0.0, 0.8676691729323308, 0.9142857142857143, 0.9383458646616541, 0.9518796992481203, 0.9669172932330827, 0.9699248120300752, 0.9804511278195489, 0.9819548872180451, 0.9849624060150376, 0.9864661654135338, 0.9894736842105263, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[ inf 1.   0.98 0.96 0.94 0.9  0.88 0.86 0.84 0.82 0.8  0.78 0.46 0.44
 0.36 0.34 0.26 0.24 0.22 0.2  0.18 0.16 0.14 0.12 0.08 0.06 0.04 0.02
 0.  ]"
