estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,ADAM5P,ADCY4,ISL1,SNORD32B,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.7333333333333333, 0.7333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.7692307692307693, 0.7692307692307693, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.9999639  0.96437102 0.94890308 0.94182784 0.94135157
 0.94111036 0.93284277 0.90074745 0.90073973 0.7825565  0.76962155
 0.72786377 0.72773504 0.71752428 0.70383968 0.65057666 0.14483089]"
Voting,ADAM5P,ADCY4,TLX3,SNORD32B,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.8666666666666667, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.5384615384615384, 0.5384615384615384, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99920846 0.99080981 0.98773717 0.96654219 0.96042648
 0.95862498 0.953032   0.94685503 0.91224489 0.82044476 0.79809051
 0.77828685 0.73786835 0.73296567 0.72918633 0.71999019 0.69749399
 0.69539059 0.6786975  0.64525534 0.5957744  0.48366457 0.2126054 ]"
Voting,ADAM5P,ADCY4,ZFP42,SNORD32B,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0]","[0.0, 0.02564102564102564, 0.7435897435897436, 0.7435897435897436, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0]","[       inf 0.99998714 0.97183535 0.95841998 0.95544312 0.95008416
 0.9497415  0.94188591 0.92407078 0.90183314 0.89001108 0.86338219
 0.82558532 0.81728349 0.8022938  0.71714634 0.695747   0.39130616
 0.36014422]"
Voting,COL23A1,PTPRN,SNORD32B,ZNF132,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.8666666666666667, 0.8666666666666667, 1.0]","[0.0, 0.02564102564102564, 0.3333333333333333, 0.3333333333333333, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.9230769230769231, 0.9230769230769231, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.9999759  0.99920205 0.99901519 0.99429942 0.99225144
 0.99026649 0.98240696 0.98195381 0.97866287 0.97819288 0.97569711
 0.96257797 0.9544402  0.90412535 0.85113287 0.83397239 0.72926058]"
Voting,COL23A1,PTPRN,SNX32,ZNF132,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.6666666666666666, 0.6666666666666666, 1.0, 1.0]","[0.0, 0.02564102564102564, 0.6410256410256411, 0.6410256410256411, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0]","[       inf 0.99998339 0.97190211 0.95345269 0.72898765 0.65011195
 0.64457605 0.60285728 0.58619158 0.51280842 0.46302947 0.4565144
 0.19107527 0.10270226 0.08771501 0.04219841 0.041537  ]"
Voting,CCDC108,HES3,SCT,SNORD32B,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.26666666666666666, 0.26666666666666666, 0.4, 0.4, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.7333333333333333, 0.7333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.717948717948718, 0.717948717948718, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.9230769230769231, 0.9230769230769231, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99998353 0.99227561 0.98509986 0.98029611 0.97651358
 0.97573216 0.97396733 0.96944604 0.96922534 0.96574329 0.96264425
 0.96028444 0.9598472  0.95338599 0.77120658 0.75439565 0.58823177]"
Voting,CCDC108,HES3,SCT,WBSCR17,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.5333333333333333, 0.5333333333333333, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.02564102564102564, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99824683 0.9401544  0.93500418 0.89329848 0.88787742
 0.87989766 0.87525213 0.80003389 0.69757198 0.64398388 0.59478384
 0.57561678 0.31331792]"
Voting,CCDC108,ZFP42,SCT,SNORD32B,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.7333333333333333, 0.7333333333333333, 0.8666666666666667, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99998282 0.98494212 0.98389438 0.98215353 0.97853664
 0.97771804 0.97643306 0.97061617 0.96968995 0.95431635 0.94018691
 0.90864246 0.78117671 0.77466901 0.73892391 0.68561093 0.60103305]"
Voting,CCDC108,ZFP42,SCT,WBSCR17,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8717948717948718, 0.8717948717948718, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99811211 0.94393231 0.92982602 0.92302842 0.91155988
 0.90682423 0.87133993 0.85424802 0.8516867  0.81766175 0.44680556
 0.39036357 0.1938098 ]"
Voting,DDR2,HES3,SCT,SNORD32B,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 1.0]","[0.0, 0.02564102564102564, 0.7435897435897436, 0.7435897435897436, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 1.0, 1.0]","[       inf 0.99996137 0.98720132 0.9577817  0.92451852 0.90195491
 0.89836559 0.87786622 0.87636789 0.8470965  0.82523543 0.79436846
 0.73789998 0.69004083 0.67855552 0.6398171  0.61685938 0.47651015]"
Voting,DDR2,HES3,SCT,WBSCR17,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99847761 0.73645084 0.73266673 0.69171146 0.64653458
 0.63664309 0.56876224 0.55638187 0.49105327 0.4869237  0.43917519
 0.43673637 0.25856845 0.25616562 0.10264783 0.08706943 0.05013699]"
Voting,DDR2,ZFP42,SCT,SNORD32B,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.6, 0.6, 0.7333333333333333, 0.7333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99998197 0.94060823 0.90836177 0.89506302 0.87933322
 0.86361507 0.8421774  0.81194896 0.75650571 0.73789158 0.63403544
 0.60189897 0.56689339 0.54586643 0.44010833]"
Voting,DDR2,ZFP42,SCT,WBSCR17,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 0.6666666666666666, 0.6666666666666666, 0.7333333333333333, 0.7333333333333333, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.7435897435897436, 0.7435897435897436, 0.7692307692307693, 0.7692307692307693, 0.8205128205128205, 0.8205128205128205, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99995476 0.84002213 0.83017765 0.81496415 0.71818911
 0.6746928  0.67073961 0.64978732 0.63783849 0.63268699 0.61310255
 0.60467594 0.59237432 0.56101014 0.52453819 0.47620449 0.09012806
 0.08697936 0.04239603]"
Voting,ANGPTL2,ARHGAP10,BARHL2,HRNR,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.4, 0.4, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.7333333333333333, 0.7333333333333333, 0.8666666666666667, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.5641025641025641, 0.5641025641025641, 0.6410256410256411, 0.6410256410256411, 0.717948717948718, 0.717948717948718, 0.7948717948717948, 0.7948717948717948, 0.8461538461538461, 0.8461538461538461, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99996318 0.99880632 0.9987567  0.99814246 0.99806091
 0.99742339 0.99676765 0.99616851 0.99484437 0.99247462 0.99046497
 0.98962891 0.98777105 0.9848801  0.97948704 0.97938536 0.9765094
 0.97618435 0.97610155 0.93198325 0.25829665]"
Voting,ANGPTL2,ARHGAP10,ZSCAN18,HRNR,"[0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.6, 0.6, 0.8666666666666667, 0.8666666666666667, 1.0]","[0.0, 0.02564102564102564, 0.717948717948718, 0.717948717948718, 0.7435897435897436, 0.7435897435897436, 0.8205128205128205, 0.8205128205128205, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9487179487179487, 0.9487179487179487, 1.0, 1.0]","[       inf 0.99998126 0.9803128  0.97599581 0.97378442 0.96791635
 0.9588023  0.95207474 0.94199506 0.93778201 0.93029404 0.90928618
 0.88267333 0.84056035 0.82247422 0.06067676]"
Voting,ANGPTL2,KIR3DX1,BARHL2,HRNR,"[0.0, 0.0, 0.0, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.7333333333333333, 0.7333333333333333, 0.8, 0.8, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0]","[0.0, 0.02564102564102564, 0.15384615384615385, 0.15384615384615385, 0.3333333333333333, 0.3333333333333333, 0.41025641025641024, 0.41025641025641024, 0.4358974358974359, 0.4358974358974359, 0.9230769230769231, 0.9230769230769231, 0.9743589743589743, 0.9743589743589743, 1.0]","[       inf 0.99997115 0.99991248 0.99982756 0.99916753 0.99914583
 0.99887353 0.99875322 0.9986726  0.99853182 0.99736044 0.99714772
 0.99642343 0.99477683 0.99234881]"
Voting,ANGPTL2,KIR3DX1,ZSCAN18,HRNR,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.4666666666666667, 0.4666666666666667, 0.6, 0.6, 0.8, 0.8, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.23076923076923078, 0.23076923076923078, 0.6923076923076923, 0.6923076923076923, 0.7435897435897436, 0.7435897435897436, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8717948717948718, 0.8717948717948718, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99986767 0.99707606 0.99702116 0.99502114 0.99483459
 0.99421302 0.99382734 0.99380592 0.99287337 0.99284188 0.99278356
 0.99034134 0.9896886  0.98946744 0.98729113 0.98663375 0.9837113
 0.98355674 0.96541437 0.94264939 0.93660435]"
