estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,ADAM5P,ADCY4,ISL1,SNORD32B,"[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.26666666666666666, 0.3333333333333333, 0.4, 0.4, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.02564102564102564, 0.10256410256410256, 0.717948717948718, 0.717948717948718, 0.7948717948717948, 0.7948717948717948, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8717948717948718, 0.8717948717948718, 0.9230769230769231, 0.9230769230769231, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.9977391  0.997586   0.96234196 0.93565464 0.8993993
 0.8912282  0.8853356  0.88278925 0.86504805 0.8428652  0.7855168
 0.77760506 0.76125664 0.7356481  0.7239379  0.68524647 0.12068259]"
XGBoost,ADAM5P,ADCY4,TLX3,SNORD32B,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.5333333333333333, 0.6, 0.6, 0.7333333333333333, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.10256410256410256, 0.15384615384615385, 0.23076923076923078, 0.2564102564102564, 0.3076923076923077, 0.6410256410256411, 0.6410256410256411, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 1.0, 1.0]","[       inf 0.9976005  0.99749076 0.9961765  0.9958748  0.99467874
 0.99429816 0.9574738  0.9503885  0.937212   0.9009886  0.8825874
 0.88205874 0.8704892  0.85745716 0.85010254 0.83562344 0.8350328
 0.82750404 0.8262224  0.8172042  0.79407495 0.78047454 0.5285133
 0.3662753 ]"
XGBoost,ADAM5P,ADCY4,ZFP42,SNORD32B,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.26666666666666666, 0.4, 0.4, 0.5333333333333333, 0.7333333333333333, 0.8, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.07692307692307693, 0.1282051282051282, 0.2564102564102564, 0.4358974358974359, 0.48717948717948717, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 1.0]","[       inf 0.9979668  0.9972753  0.99722266 0.9926092  0.9920854
 0.9407932  0.9259786  0.9206819  0.8892187  0.8891496  0.8581546
 0.8494815  0.83872163 0.81009465 0.80309635 0.7960322  0.36558914]"
XGBoost,COL23A1,PTPRN,SNORD32B,ZNF132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.7333333333333333, 0.7333333333333333, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.20512820512820512, 0.2564102564102564, 0.3333333333333333, 0.5641025641025641, 0.5641025641025641, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99755317 0.99638546 0.9962041  0.99329525 0.9930989
 0.97919524 0.97863215 0.9782859  0.9731625  0.9652426  0.9644639
 0.9589664  0.9537588  0.9336897  0.9077979  0.89494425 0.83190155
 0.8281461  0.7727086 ]"
XGBoost,COL23A1,PTPRN,SNX32,ZNF132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.3333333333333333, 0.3333333333333333, 0.4, 0.5333333333333333, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.7333333333333333, 0.7333333333333333, 0.8, 0.8666666666666667, 0.8666666666666667, 1.0]","[0.0, 0.1282051282051282, 0.23076923076923078, 0.28205128205128205, 0.3333333333333333, 0.41025641025641024, 0.4358974358974359, 0.48717948717948717, 0.6666666666666666, 0.6666666666666666, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 1.0, 1.0]","[       inf 0.97559106 0.9732283  0.96588826 0.96231306 0.95973533
 0.95957375 0.9594744  0.8300978  0.8114125  0.7465412  0.7216785
 0.63147134 0.45184276 0.4471499  0.4367126  0.4244918  0.38904518
 0.36922574 0.33724648 0.3345676  0.3341431  0.3305716  0.31727847
 0.2922461  0.28526837 0.24492373]"
XGBoost,CCDC108,HES3,SCT,SNORD32B,"[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.2, 0.5333333333333333, 0.5333333333333333, 0.6666666666666666, 0.6666666666666666, 0.7333333333333333, 0.7333333333333333, 0.8666666666666667, 0.8666666666666667, 1.0, 1.0]","[0.0, 0.05128205128205128, 0.10256410256410256, 0.717948717948718, 0.717948717948718, 0.8205128205128205, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.8974358974358975, 0.8974358974358975, 0.9230769230769231, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0]","[       inf 0.9975043  0.997382   0.94860953 0.9443299  0.9040562
 0.8940613  0.88262457 0.8433423  0.83910143 0.83053905 0.8296761
 0.80562663 0.7947772  0.7853274  0.7694257  0.7573117  0.74002177]"
XGBoost,CCDC108,HES3,SCT,WBSCR17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.2, 0.2, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.7333333333333333, 0.8666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.07692307692307693, 0.1282051282051282, 0.1794871794871795, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99719197 0.99625266 0.995769   0.8493541  0.84051394
 0.83726466 0.798524   0.78885245 0.74781305 0.69092304 0.68068975
 0.62937725 0.5388199  0.52699816 0.51092637 0.50136226 0.38967434]"
XGBoost,CCDC108,ZFP42,SCT,SNORD32B,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.26666666666666666, 0.26666666666666666, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.6666666666666666, 0.6666666666666666, 0.8, 0.8, 1.0, 1.0]","[0.0, 0.10256410256410256, 0.15384615384615385, 0.20512820512820512, 0.23076923076923078, 0.28205128205128205, 0.358974358974359, 0.5128205128205128, 0.5641025641025641, 0.6410256410256411, 0.6666666666666666, 0.6666666666666666, 0.7692307692307693, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.8974358974358975, 0.9487179487179487, 0.9487179487179487, 1.0]","[       inf 0.97503847 0.9735396  0.9726934  0.9705621  0.96899015
 0.96859443 0.952878   0.95260024 0.8991708  0.89909524 0.89553684
 0.8817347  0.8629251  0.85278636 0.85258436 0.82923216 0.82417905
 0.8126339  0.7732496  0.7643335  0.7334291  0.7150217 ]"
XGBoost,CCDC108,ZFP42,SCT,WBSCR17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.26666666666666666, 0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.4666666666666667, 0.4666666666666667, 0.8666666666666667, 0.9333333333333333, 1.0]","[0.0, 0.10256410256410256, 0.1794871794871795, 0.23076923076923078, 0.717948717948718, 0.717948717948718, 0.7435897435897436, 0.7692307692307693, 0.7948717948717948, 0.7948717948717948, 0.8205128205128205, 0.8205128205128205, 0.8974358974358975, 0.8974358974358975, 0.9487179487179487, 0.9487179487179487, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99755186 0.99329424 0.99292916 0.9253812  0.8749649
 0.85637563 0.84576195 0.7949395  0.74484116 0.7313864  0.73073435
 0.6862698  0.6501912  0.63310456 0.6201543  0.6149015  0.47878838
 0.35593644 0.29870448]"
XGBoost,DDR2,HES3,SCT,SNORD32B,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.3333333333333333, 0.5333333333333333, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.02564102564102564, 0.20512820512820512, 0.2564102564102564, 0.28205128205128205, 0.358974358974359, 0.5128205128205128, 0.5641025641025641, 0.5897435897435898, 0.6410256410256411, 0.6923076923076923, 0.6923076923076923, 0.7435897435897436, 0.7948717948717948, 0.8461538461538461, 0.8461538461538461, 0.8717948717948718, 0.8717948717948718, 0.8974358974358975, 0.9743589743589743, 0.9743589743589743, 1.0, 1.0]","[       inf 0.99821705 0.9932805  0.99303585 0.9927003  0.98770905
 0.9657565  0.96197987 0.9565284  0.9550669  0.9527557  0.92668545
 0.912582   0.8858401  0.8396119  0.831878   0.81623197 0.8161473
 0.7998943  0.7556607  0.7325392  0.72519284 0.6040086 ]"
