estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
DecisionTree,APCDD1,HOXA1,SCT,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.6666666666666669,0.447213595499958,0.8823529411764708
DecisionTree,APCDD1,HOXA1,WISP1,TTBK1,0.3333333333333333,0.6666666666666666,0.0,0.39,0.4904761904761904,0.3333333333333333,-0.4097495135372843,0.5821078431372549
DecisionTree,APCDD1,TCF15,SCT,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.8333333333333333,0.447213595499958,0.8823529411764708
DecisionTree,APCDD1,TCF15,WISP1,TTBK1,0.6,0.8666666666666666,0.33333333333333337,0.5599999999999999,0.6785714285714285,0.6000000000000001,0.2683281572999748,0.7794117647058825
DecisionTree,GEFT,HOXA1,SCT,TTBK1,0.5,1.0,0.0,0.5,0.6666666666666667,0.6666666666666669,0.0,0.8333333333333333
DecisionTree,GEFT,HOXA1,WISP1,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.6888888888888889,0.447213595499958,0.8823529411764708
DecisionTree,GEFT,TCF15,SCT,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.6666666666666669,0.447213595499958,0.8823529411764708
DecisionTree,GEFT,TCF15,WISP1,TTBK1,0.6,0.8666666666666666,0.33333333333333337,0.5599999999999999,0.6785714285714285,0.6000000000000001,0.2683281572999748,0.7794117647058825
DecisionTree,OR4F6,HOXA1,SCT,TTBK1,0.8333333333333333,1.0,0.6666666666666667,0.75,0.857142857142857,0.9666666666666668,0.7071067811865477,0.9375
DecisionTree,OR4F6,HOXA1,WISP1,TTBK1,0.5,1.0,0.0,0.5,0.6666666666666667,0.4,0.0,0.8333333333333333
DecisionTree,OR4F6,TCF15,SCT,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.8333333333333333,0.447213595499958,0.8823529411764708
DecisionTree,OR4F6,TCF15,WISP1,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.8333333333333333,0.447213595499958,0.8823529411764708
DecisionTree,PTPRN,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,PTPRN,HOXA1,WISP1,TTBK1,0.5,1.0,0.0,0.5,0.6666666666666667,0.7666666666666667,0.0,0.8333333333333333
DecisionTree,PTPRN,TCF15,SCT,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.8333333333333333,0.447213595499958,0.8823529411764708
DecisionTree,PTPRN,TCF15,WISP1,TTBK1,0.8333333333333333,1.0,0.6666666666666667,0.75,0.857142857142857,0.8333333333333333,0.7071067811865477,0.9375
DecisionTree,SLC4A11,HOXA1,SCT,TTBK1,0.6,0.8666666666666666,0.33333333333333337,0.5599999999999999,0.6785714285714285,0.8222222222222222,0.2683281572999748,0.7794117647058825
DecisionTree,SLC4A11,HOXA1,WISP1,TTBK1,0.5,1.0,0.0,0.5,0.6666666666666667,0.9333333333333333,0.0,0.8333333333333333
DecisionTree,SLC4A11,TCF15,SCT,TTBK1,0.9333333333333333,0.8666666666666666,1.0,1.0,0.9200000000000002,0.9111111111111112,0.882842712474619,0.8857142857142856
DecisionTree,SLC4A11,TCF15,WISP1,TTBK1,0.5,1.0,0.0,0.5,0.6666666666666667,0.6666666666666669,0.0,0.8333333333333333
DecisionTree,TRIM67,HOXA1,SCT,TTBK1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,TRIM67,HOXA1,WISP1,TTBK1,0.5,1.0,0.0,0.5,0.6666666666666667,0.6666666666666667,0.0,0.8333333333333333
DecisionTree,TRIM67,TCF15,SCT,TTBK1,0.6666666666666667,1.0,0.33333333333333337,0.5999999999999999,0.75,0.8333333333333333,0.447213595499958,0.8823529411764708
DecisionTree,TRIM67,TCF15,WISP1,TTBK1,0.5,1.0,0.0,0.5,0.6666666666666667,0.6666666666666669,0.0,0.8333333333333333
