estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,APCDD1,HOXA1,SCT,TTBK1,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,APCDD1,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,APCDD1,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.08333333333333333, 0.3333333333333333, 1.0]","[0.0, 0.8709677419354839, 0.967741935483871, 1.0, 1.0]",[ inf 1.   0.75 0.25 0.  ]
DecisionTree,APCDD1,TCF15,WISP1,TTBK1,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,GEFT,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.08333333333333333, 0.25, 1.0]","[0.0, 0.8709677419354839, 0.9354838709677419, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
DecisionTree,GEFT,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.08333333333333333, 0.3333333333333333, 0.5, 1.0]","[0.0, 0.6451612903225806, 0.7741935483870968, 0.967741935483871, 1.0, 1.0]",[       inf 1.         0.8        0.66666667 0.33333333 0.        ]
DecisionTree,GEFT,TCF15,SCT,TTBK1,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,GEFT,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.08333333333333333, 1.0]","[0.0, 0.967741935483871, 1.0, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,OR4F6,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.16666666666666666, 0.3333333333333333, 1.0]","[0.0, 0.7741935483870968, 0.9032258064516129, 1.0, 1.0]",[       inf 1.         0.66666667 0.6        0.        ]
DecisionTree,OR4F6,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.16666666666666666, 1.0]","[0.0, 0.8709677419354839, 1.0, 1.0]",[       inf 1.         0.66666667 0.        ]
DecisionTree,OR4F6,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.08333333333333333, 0.25, 0.5833333333333334, 1.0]","[0.0, 0.7096774193548387, 0.8387096774193549, 0.967741935483871, 1.0, 1.0]",[       inf 1.         0.8        0.66666667 0.2        0.        ]
DecisionTree,OR4F6,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.08333333333333333, 0.25, 0.4166666666666667, 0.6666666666666666, 1.0]","[0.0, 0.7741935483870968, 0.8709677419354839, 0.9354838709677419, 0.967741935483871, 1.0, 1.0]","[       inf 1.         0.75       0.5        0.33333333 0.25
 0.        ]"
DecisionTree,PTPRN,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.08333333333333333, 0.25, 0.4166666666666667, 0.75, 1.0]","[0.0, 0.7741935483870968, 0.8387096774193549, 0.9354838709677419, 0.967741935483871, 1.0, 1.0]","[       inf 1.         0.66666667 0.6        0.33333333 0.2
 0.        ]"
DecisionTree,PTPRN,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.16666666666666666, 0.25, 1.0]","[0.0, 0.8387096774193549, 0.967741935483871, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
DecisionTree,PTPRN,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.08333333333333333, 0.16666666666666666, 0.3333333333333333, 1.0]","[0.0, 0.7096774193548387, 0.8387096774193549, 0.9032258064516129, 0.9354838709677419, 1.0]",[       inf 1.         0.8        0.66666667 0.33333333 0.2       ]
