estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,APCDD1,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.5, 0.6666666666666666, 0.8333333333333334, 1.0]","[0.0, 0.06451612903225806, 0.45161290322580644, 0.5161290322580645, 0.6129032258064516, 0.6774193548387096, 0.7419354838709677, 0.8064516129032258, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.98483026 0.98428476 0.97405565 0.9417996  0.928561
 0.910048   0.8744185  0.5261608  0.4947454  0.40227947 0.18646063
 0.1843281  0.06526364 0.04806602]"
XGBoost,APCDD1,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.25, 0.25, 0.6666666666666666, 1.0]","[0.0, 0.03225806451612903, 0.2903225806451613, 0.5161290322580645, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 1.0, 1.0, 1.0]","[       inf 0.9668715  0.9618163  0.9604663  0.5821944  0.5690746
 0.54875374 0.519709   0.48989138 0.4498967  0.253014   0.10434607]"
XGBoost,APCDD1,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 1.0]","[0.0, 0.2903225806451613, 0.3225806451612903, 0.3870967741935484, 0.41935483870967744, 0.4838709677419355, 0.5483870967741935, 0.6129032258064516, 0.8387096774193549, 0.8387096774193549, 1.0, 1.0]","[       inf 0.9250393  0.90945643 0.90845776 0.90579253 0.89837444
 0.8400981  0.82743776 0.7041036  0.6979751  0.59073895 0.3024035 ]"
XGBoost,APCDD1,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.25, 0.4166666666666667, 0.4166666666666667, 0.5833333333333334, 0.8333333333333334, 1.0]","[0.0, 0.5161290322580645, 0.7096774193548387, 0.8064516129032258, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 1.0, 1.0, 1.0, 1.0]","[       inf 0.90508556 0.7516875  0.73980236 0.6277138  0.57124174
 0.56198174 0.5610691  0.5023375  0.3617619  0.33454695]"
XGBoost,GEFT,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.75, 1.0]","[0.0, 0.41935483870967744, 0.5483870967741935, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 1.0, 1.0, 1.0]","[       inf 0.9724726  0.970414   0.6793104  0.5594354  0.5501222
 0.41516614 0.32781142 0.25100517 0.14047462]"
XGBoost,GEFT,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.75, 0.9166666666666666, 1.0]","[0.0, 0.06451612903225806, 0.0967741935483871, 0.3548387096774194, 0.6129032258064516, 0.6774193548387096, 0.8387096774193549, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9630432  0.96191925 0.9600071  0.9045304  0.8812809
 0.83027065 0.77611786 0.7532821  0.65303475 0.58173865 0.52000284
 0.5136055  0.41548604 0.34024775 0.15634172 0.15148264 0.14427961]"
XGBoost,GEFT,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.25, 0.25, 0.3333333333333333, 0.4166666666666667, 0.6666666666666666, 1.0]","[0.0, 0.3548387096774194, 0.45161290322580644, 0.5806451612903226, 0.6451612903225806, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0]","[       inf 0.9364613  0.9064494  0.8269075  0.81529987 0.61397135
 0.6075813  0.5625932  0.4859958  0.46631145 0.4431056  0.42264733
 0.3032259 ]"
XGBoost,GEFT,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.5, 0.5833333333333334, 0.75, 0.9166666666666666, 1.0]","[0.0, 0.3548387096774194, 0.4838709677419355, 0.7096774193548387, 0.7741935483870968, 0.8064516129032258, 0.8709677419354839, 0.9354838709677419, 0.9354838709677419, 1.0, 1.0, 1.0, 1.0]","[       inf 0.97400224 0.9658164  0.8362989  0.8136703  0.802995
 0.79392844 0.6900912  0.30026475 0.29159865 0.24853146 0.17119034
 0.14233355]"
XGBoost,OR4F6,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.25, 0.3333333333333333, 0.4166666666666667, 0.5833333333333334, 0.75, 1.0]","[0.0, 0.4838709677419355, 0.5483870967741935, 0.7419354838709677, 0.7741935483870968, 0.8387096774193549, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.92556566 0.92008436 0.8568429  0.82142675 0.773878
 0.75348085 0.6080444  0.59534067 0.45987514 0.4568864  0.3332924
 0.27755964 0.22230163]"
XGBoost,OR4F6,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25, 0.3333333333333333, 0.5, 0.6666666666666666, 1.0]","[0.0, 0.6451612903225806, 0.7096774193548387, 0.7741935483870968, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0]","[       inf 0.96181095 0.84315735 0.81465983 0.71303135 0.685618
 0.3465579  0.3176386  0.30247554 0.2949524  0.27568287 0.26856953]"
XGBoost,OR4F6,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.6666666666666666, 0.8333333333333334, 1.0]","[0.0, 0.4838709677419355, 0.5806451612903226, 0.7096774193548387, 0.7096774193548387, 0.7741935483870968, 0.8387096774193549, 0.8387096774193549, 0.9354838709677419, 0.9354838709677419, 1.0, 1.0, 1.0]","[       inf 0.9632917  0.93323845 0.882026   0.82093847 0.79036796
 0.67929363 0.56980973 0.48659918 0.3682275  0.34991392 0.27065915
 0.25523767]"
XGBoost,OR4F6,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.25, 0.5, 0.5, 0.75, 0.8333333333333334, 1.0]","[0.0, 0.5483870967741935, 0.6774193548387096, 0.7419354838709677, 0.8064516129032258, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9747874  0.8638513  0.7580157  0.7380073  0.5662801
 0.55317944 0.48357308 0.40588912 0.3264724  0.30449262 0.18581928
 0.17772797]"
XGBoost,PTPRN,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25, 0.5, 0.5833333333333334, 1.0]","[0.0, 0.3870967741935484, 0.5806451612903226, 0.7096774193548387, 0.7419354838709677, 0.8064516129032258, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0]","[       inf 0.9165918  0.8803021  0.81528306 0.7946742  0.7891761
 0.67298275 0.64347017 0.600551   0.59668446 0.5647083  0.45251894
 0.42025003 0.3350839 ]"
XGBoost,PTPRN,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.25, 0.25, 0.4166666666666667, 0.5, 0.5833333333333334, 0.75, 1.0]","[0.0, 0.5483870967741935, 0.6129032258064516, 0.6451612903225806, 0.7096774193548387, 0.7741935483870968, 0.7741935483870968, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0]","[       inf 0.9125309  0.90334356 0.8394305  0.82458055 0.79180145
 0.72594094 0.70198226 0.59089315 0.5359347  0.5084967  0.4830341
 0.41661954 0.39422598 0.36657164 0.34325266]"
XGBoost,PTPRN,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.25, 0.3333333333333333, 0.4166666666666667, 1.0]","[0.0, 0.3870967741935484, 0.41935483870967744, 0.5161290322580645, 0.5483870967741935, 0.6129032258064516, 0.7741935483870968, 0.7741935483870968, 0.8709677419354839, 0.8709677419354839, 0.9354838709677419, 0.967741935483871, 1.0]","[       inf 0.93012905 0.9198592  0.9131679  0.8801074  0.8763141
 0.7405983  0.6843409  0.62427723 0.5429191  0.53961736 0.50264096
 0.38416842]"
XGBoost,PTPRN,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.16666666666666666, 0.25, 0.3333333333333333, 0.4166666666666667, 0.5, 0.5833333333333334, 1.0]","[0.0, 0.5161290322580645, 0.5806451612903226, 0.6451612903225806, 0.7096774193548387, 0.8387096774193549, 0.8709677419354839, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 1.0, 1.0, 1.0]","[       inf 0.8661297  0.81820136 0.7729766  0.7395029  0.7031288
 0.678127   0.6638352  0.6328571  0.62620187 0.565983   0.53817624
 0.5281734  0.47565082]"
XGBoost,SLC4A11,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25, 0.25, 0.75, 0.9166666666666666, 1.0]","[0.0, 0.45161290322580644, 0.5483870967741935, 0.6129032258064516, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9284717  0.9197222  0.9128147  0.71975017 0.68453866
 0.6505401  0.5487685  0.49362013 0.49111938 0.31226748 0.2910533
 0.25548756]"
XGBoost,SLC4A11,HOXA1,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.25, 0.3333333333333333, 0.4166666666666667, 1.0]","[0.0, 0.41935483870967744, 0.5483870967741935, 0.7419354838709677, 0.7741935483870968, 0.8387096774193549, 0.8709677419354839, 0.9032258064516129, 0.9032258064516129, 0.9354838709677419, 0.9354838709677419, 1.0]","[       inf 0.9196087  0.85823125 0.8158734  0.80052495 0.70104337
 0.65967757 0.6371001  0.48178697 0.45135638 0.4236064  0.40477562]"
XGBoost,SLC4A11,TCF15,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.25, 0.4166666666666667, 1.0]","[0.0, 0.3548387096774194, 0.3870967741935484, 0.4838709677419355, 0.5806451612903226, 0.6451612903225806, 0.9354838709677419, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0, 1.0]","[       inf 0.93552923 0.9049189  0.89855677 0.85647297 0.8531082
 0.65276647 0.6086273  0.5152752  0.5104117  0.5000295  0.49455684
 0.48444942 0.29595888]"
XGBoost,SLC4A11,TCF15,WISP1,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.5833333333333334, 0.5833333333333334, 0.75, 1.0]","[0.0, 0.41935483870967744, 0.5161290322580645, 0.8709677419354839, 0.8709677419354839, 0.9354838709677419, 0.9354838709677419, 1.0, 1.0, 1.0]","[       inf 0.9784788  0.95126814 0.6748956  0.6728626  0.6275467
 0.3293395  0.30958265 0.29740328 0.22841121]"
XGBoost,TRIM67,HOXA1,SCT,TTBK1,"[0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.5, 0.6666666666666666, 0.75, 1.0]","[0.0, 0.6451612903225806, 0.8387096774193549, 0.9032258064516129, 0.9354838709677419, 0.967741935483871, 0.967741935483871, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.8692613  0.82885885 0.7014417  0.6735063  0.6385406
 0.51978445 0.48620975 0.4476362  0.42276448 0.41138673 0.39841405
 0.37442335]"
