selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.2631578947368421, 0.3684210526315789, 1.0]","[0.0, 0.8930817610062893, 0.9245283018867925, 0.949685534591195, 0.9622641509433962, 0.9937106918238994, 0.9937106918238994, 1.0]","[       inf 0.97127455 0.9599228  0.9356128  0.54888165 0.48936388
 0.30614445 0.2727513 ]"
SVM,RandomForest,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 1.0]","[0.0, 0.9119496855345912, 0.9182389937106918, 0.9308176100628931, 0.9371069182389937, 0.9371069182389937, 0.9433962264150944, 0.9433962264150944, 0.949685534591195, 0.949685534591195, 0.9622641509433962, 0.9685534591194969, 0.9748427672955975, 0.9811320754716981, 0.9874213836477987, 0.9874213836477987, 0.9937106918238994, 0.9937106918238994, 1.0]","[       inf 1.         0.93452381 0.89285714 0.89166667 0.875
 0.86785714 0.85       0.81785714 0.7925     0.73416667 0.725
 0.3725     0.31333333 0.26785714 0.2        0.1        0.025
 0.        ]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.21052631578947367, 0.6842105263157895, 0.6842105263157895, 1.0]","[0.0, 0.006289308176100629, 0.949685534591195, 0.949685534591195, 0.9685534591194969, 0.9685534591194969, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]","[       inf 1.         0.82894253 0.78967919 0.57415935 0.52827222
 0.40511706 0.1074059  0.07477581 0.01186108]"
SVM,DecisionTree,1,"[0.0, 0.2631578947368421, 1.0]","[0.0, 0.9622641509433962, 1.0]",[inf  1.  0.]
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.2631578947368421, 0.3157894736842105, 0.42105263157894735, 0.47368421052631576, 1.0]","[0.0, 0.7358490566037735, 0.7484276729559748, 0.779874213836478, 0.7987421383647799, 0.8113207547169812, 0.8301886792452831, 0.8490566037735849, 0.8616352201257862, 0.8930817610062893, 0.9182389937106918, 0.9182389937106918, 0.9245283018867925, 0.9433962264150944, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9963612  0.9961035  0.9959959  0.9944674  0.993913
 0.992061   0.9896415  0.98948485 0.9862976  0.9732261  0.96200734
 0.9497872  0.94771636 0.91552943 0.80530626 0.74451625 0.350723
 0.25844046 0.11645713 0.05228038 0.05175732 0.04372058 0.03136101]"
SVM,RandomForest,2,"[0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.5263157894736842, 0.631578947368421, 0.6842105263157895, 1.0]","[0.0, 0.9182389937106918, 0.9182389937106918, 0.9308176100628931, 0.9559748427672956, 0.9622641509433962, 0.9748427672955975, 0.9874213836477987, 0.9874213836477987, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.9875     0.975      0.96666667 0.95833333
 0.95       0.73       0.6075     0.50833333 0.0375     0.025
 0.0125     0.        ]"
SVM,SVM,2,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 1.0]","[0.0, 0.006289308176100629, 0.9874213836477987, 0.9874213836477987, 1.0, 1.0]",[       inf 0.99999967 0.97679075 0.96971304 0.80180323 0.01113135]
SVM,DecisionTree,2,"[0.0, 0.10526315789473684, 1.0]","[0.0, 0.9874213836477987, 1.0]",[inf  1.  0.]
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.2631578947368421, 1.0]","[0.0, 0.8176100628930818, 0.8301886792452831, 0.8805031446540881, 0.8867924528301887, 0.9119496855345912, 0.9245283018867925, 0.9433962264150944, 0.9748427672955975, 0.9748427672955975, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0]","[       inf 0.9749572  0.97376484 0.96963286 0.96819514 0.9616861
 0.9487061  0.94434667 0.94385237 0.9259675  0.83140045 0.76641345
 0.35243502 0.15326549 0.13848564]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.3157894736842105, 1.0]","[0.0, 0.949685534591195, 0.9685534591194969, 0.9811320754716981, 0.9811320754716981, 1.0, 1.0, 1.0]","[       inf 1.         0.95       0.91       0.79333333 0.55
 0.05       0.        ]"
SVM,SVM,3,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 1.0]","[0.0, 0.12578616352201258, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0]",[       inf 1.         0.89714839 0.7537308  0.66296172 0.00156125]
SVM,DecisionTree,3,"[0.0, 0.15789473684210525, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
SVM,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.2631578947368421, 0.42105263157894735, 1.0]","[0.0, 0.7484276729559748, 0.7735849056603774, 0.8176100628930818, 0.8427672955974843, 0.8616352201257862, 0.8679245283018868, 0.8930817610062893, 0.89937106918239, 0.9119496855345912, 0.9308176100628931, 0.949685534591195, 0.9622641509433962, 0.9622641509433962, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.97468185 0.97255105 0.9723174  0.9677468  0.9661695
 0.9603471  0.95965135 0.95964456 0.95314467 0.94463986 0.94269603
 0.9030327  0.89767116 0.6979195  0.31679425 0.19532384 0.15337104
 0.13795492]"
SVM,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.42105263157894735, 1.0]","[0.0, 0.949685534591195, 0.9559748427672956, 0.9811320754716981, 0.9811320754716981, 0.9937106918238994, 0.9937106918238994, 1.0, 1.0, 1.0]","[       inf 1.         0.98333333 0.95       0.85       0.66666667
 0.65       0.59666667 0.05       0.        ]"
SVM,SVM,4,"[0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 1.0]","[0.0, 0.006289308176100629, 0.9811320754716981, 0.9811320754716981, 1.0, 1.0]","[           inf 9.99999830e-01 9.81195726e-01 9.81016362e-01
 9.63489415e-01 3.24091413e-04]"
SVM,DecisionTree,4,"[0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 1.0]","[0.0, 0.9937106918238994, 1.0, 1.0, 1.0]",[ inf 1.   0.75 0.5  0.  ]
