selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,XGBoost,1,0.9606741573033708,0.9684542586750788,0.8974358974358975,0.9871382636655949,0.9777070063694268,0.9876041413896304,0.8138386022653337,0.9721342621912603
SVM,RandomForest,1,0.9929775280898876,0.9968454258675079,0.9615384615384616,0.9952755905511811,0.996059889676911,0.999494459273639,0.9638272674749051,0.9965310627562283
SVM,SVM,1,0.9592696629213483,0.9684542586750788,0.8846153846153846,0.985553772070626,0.9769291964996022,0.987118822292324,0.8056332672797223,0.971826527382083
SVM,DecisionTree,1,0.9957865168539326,0.9952681388012619,1.0,1.0,0.9976284584980237,0.9999090026692551,0.9789823062153353,0.996210925165772
SVM,XGBoost,2,0.9817415730337079,0.9936908517350158,0.8846153846153846,0.9859154929577465,0.9897879025923016,0.9974217422955594,0.9043281245566664,0.9921259842519685
SVM,RandomForest,2,0.9929775280898876,0.9952681388012619,0.9743589743589743,0.9968404423380727,0.9960536700868192,0.9996157890479657,0.9642314232627982,0.995582202587567
SVM,SVM,2,0.9845505617977528,0.9905362776025236,0.9358974358974359,0.9921011058451816,0.9913180741910024,0.9933673056701448,0.9212783821764721,0.9908488482171032
SVM,DecisionTree,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,3,0.9887640449438202,0.9968454258675079,0.9230769230769231,0.9905956112852664,0.9937106918238994,0.9990495834344415,0.9414925785155714,0.9955891619407687
SVM,RandomForest,3,0.9943820224719101,0.998422712933754,0.9615384615384616,0.9952830188679245,0.9968503937007874,0.9996360106770201,0.9709799110380937,0.9977931904161412
SVM,SVM,3,0.9873595505617978,0.9921135646687698,0.9487179487179487,0.9936808846761453,0.9928966061562746,0.9987058157405161,0.9355960625385807,0.9924266330072579
SVM,DecisionTree,3,0.9985955056179775,0.998422712933754,1.0,1.0,0.9992107340173638,0.9999898891854728,0.9928667839870156,0.9987377721678763
SVM,XGBoost,4,0.9887640449438202,0.9968454258675079,0.9230769230769231,0.9905956112852664,0.9937106918238994,0.9991405807651864,0.9414925785155714,0.9955891619407687
SVM,RandomForest,4,0.9985955056179775,1.0,0.9871794871794872,0.9984251968503937,0.9992119779353822,1.0,0.9927864190317323,0.9996846420687481
SVM,SVM,4,0.9915730337078652,0.9952681388012619,0.9615384615384616,0.9952681388012619,0.9952681388012619,0.9868357194855618,0.9568066003397234,0.9952681388012619
SVM,DecisionTree,4,0.9915730337078652,0.9936908517350158,0.9743589743589743,0.9968354430379747,0.995260663507109,0.9995349025317479,0.9573838759727142,0.9943181818181818
SVM,XGBoost,5,0.9929775280898876,0.9968454258675079,0.9615384615384616,0.9952755905511811,0.996059889676911,0.999534902531748,0.9638272674749051,0.9965310627562283
SVM,RandomForest,5,0.9971910112359551,1.0,0.9743589743589743,0.9968553459119497,0.9984251968503937,1.0,0.9855429734045228,0.9993694829760403
SVM,SVM,5,0.9929775280898876,0.9952681388012619,0.9743589743589743,0.9968404423380727,0.9960536700868192,0.9950861441397718,0.9642314232627982,0.995582202587567
SVM,DecisionTree,5,0.9929775280898876,0.9921135646687698,1.0,1.0,0.9960411718131433,0.9996562323060746,0.9655815280332805,0.9936808846761453
DecisionTree,XGBoost,1,0.9676966292134831,0.9842271293375394,0.8333333333333334,0.9795918367346939,0.981904012588513,0.9623574375151663,0.8317857257611342,0.9832965647652064
DecisionTree,RandomForest,1,0.9719101123595506,0.9842271293375394,0.8717948717948718,0.9842271293375394,0.9842271293375394,0.9939234004691418,0.8560220011324112,0.9842271293375394
DecisionTree,SVM,1,0.9648876404494382,0.9842271293375394,0.8076923076923077,0.9765258215962441,0.9803613511390417,0.9412763892259159,0.8153819131069708,0.9826771653543307
DecisionTree,DecisionTree,1,0.976123595505618,0.9952681388012619,0.8205128205128205,0.9782945736434109,0.9867083659108679,0.9954602442772791,0.8726663624419437,0.9918264696636278
DecisionTree,XGBoost,2,0.9789325842696629,0.9905362776025236,0.8846153846153846,0.9858712715855573,0.988198269079465,0.9885242255116071,0.8903789918251389,0.9895997478726757
DecisionTree,RandomForest,2,0.9859550561797753,0.9936908517350158,0.9230769230769231,0.9905660377358491,0.9921259842519685,0.999211356466877,0.9272907239388063,0.9930643127364439
DecisionTree,SVM,2,0.9789325842696629,0.9889589905362776,0.8974358974358975,0.9874015748031496,0.9881796690307328,0.9593747472296368,0.8914293885828373,0.988647114474929
DecisionTree,DecisionTree,2,0.9943820224719101,0.9968454258675079,0.9743589743589743,0.9968454258675079,0.9968454258675079,0.999676453935129,0.9712044002264822,0.9968454258675079
DecisionTree,XGBoost,3,0.9873595505617978,0.9936908517350158,0.9358974358974359,0.9921259842519685,0.9929078014184397,0.9988170347003155,0.934868115918078,0.9933774834437086
DecisionTree,RandomForest,3,0.9971910112359551,0.998422712933754,0.9871794871794872,0.998422712933754,0.998422712933754,0.9998281161530373,0.9856022001132412,0.998422712933754
DecisionTree,SVM,3,0.9845505617977528,0.9889589905362776,0.9487179487179487,0.993660855784469,0.991304347826087,0.9979171722073931,0.9223334865131679,0.9898958004420587
DecisionTree,DecisionTree,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTree,XGBoost,4,0.9873595505617978,0.9936908517350158,0.9358974358974359,0.9921259842519685,0.9929078014184397,0.9990192509908599,0.934868115918078,0.9933774834437086
DecisionTree,RandomForest,4,0.9901685393258427,0.9952681388012619,0.9487179487179487,0.9937007874015747,0.9944838455476753,0.9993630186847853,0.9493476916964916,0.9949542730999684
DecisionTree,SVM,4,0.9817415730337079,0.9858044164037855,0.9487179487179487,0.9936406995230525,0.9897070467141726,0.9980385019817197,0.9095304866603486,0.9873617693522907
DecisionTree,DecisionTree,4,0.9915730337078652,0.9921135646687698,0.9871794871794872,0.9984126984126984,0.995253164556962,0.9996157890479657,0.9581365390518554,0.9933670246367656
