"","ADAMTS20","ADCY4","AIP","ALX1","ALX4","ATG16L1","CA3","CCDC8","CDO1","CFTR","CMTM2","DEGS1","DGKI","DNASE2","DOC2A","DRD5","EOMES","ESRRG","EXOC1","FOXB2","FOXD2","FRZB","GATAD2B","GDNF","GFRA2","GHITM","GHSR","GNG4","GRHL3","GRIK3","HLF","HMGCL","HOXB2","HOXD10","HOXD12","HOXD4","HOXD8","HRH1","IFFO1","IMMP2L","KCNK2","KRTAP20-1","LIMD2","LMX1A","LUC7L3","MAGI2","MAL2","MEGF11","MEOX2","MIR10B","MIR1197","MIR124-2","MIR129-2","MIR196A1","MIR196A2","MIR21","MIR495","MIR654","MKX","MNDA","MSX1","NEFM","NID2","NIPSNAP1","NKX2-4","NKX2-6","NPTX2","NSUN4","PCK1","PDE4B","PIGB","PODN","POU3F3","PRLHR","PTF1A","RUSC1","SAR1A","SCT","SNORD93","SUB1","SYTL1","TAC1","TMEM196","TRIM59","TUBB6","WNT3","ZC3H12D","ZFP42","ZNF781","ZSCAN18","ATP5G2","C1orf114","DBC1","EMID2","MARCH11","SFRS13A","WDR8"
"ADAMTS20",0,0.586,0.637,0.733,0.74,0.72,0.632,0.64,0.62,0.705,0.362,0.677,0.676,0.645,0.685,0.658,0.729,0.729,0.586,0.727,0.727,0.4,0.744,0.374,0.621,0.601,0.622,0.553,0.729,0.703,0.738,0.727,0.723,0.716,0.74,0.627,0.727,0.617,0.766,0.857,0.66,0.695,0.634,0.727,0.775,0.673,0.644,0.712,0.675,0.44,0.871,0.871,0.871,0.871,0.871,0.478,0.871,0,0.727,0.608,0.74,0.712,0.163,0.736,0.674,0.727,0.472,0.847,0.593,0.714,0.635,0.125,0.729,0.625,0.684,0.731,0.774,0.349,0.824,0.692,0.605,0.437,0.586,0.803,0.619,0.384,0.767,0.686,0.76,0.76,0.861,0.688,0.717,0.389,0.805,0.691,0.705
"ADCY4",0.586,0,0.301,0.607,0.663,0.472,0.352,0.323,0.159,0.394,0.35,0.343,0.344,0.671,0.526,0.432,0.647,0.647,0.183,0.649,0.649,0.224,0.659,0.523,0.351,0.394,0.373,0.444,0.647,0.371,0.651,0.499,0.654,0.539,0.667,0.569,0.649,0.15,0.678,0.704,0.445,0.511,0.331,0.649,0.693,0.405,0.466,0.36,0.468,0.666,0.853,0.853,0.853,0.853,0.853,0.534,0.853,0.531,0.649,0.544,0.66,0.458,0.456,0.477,0.602,0.649,0.574,0.726,0.41,0.458,0.365,0.435,0.647,0.31,0.485,0.524,0.608,0.552,0.706,0.71,0.406,0.52,0.173,0.629,0.527,0.491,0.609,0.483,0.604,0.604,0.701,0.491,0.523,0.433,0.527,0.374,0.531
"AIP",0.637,0.301,0,0.395,0.444,0.452,0.31,0.168,0,0.374,0.554,0.428,0.345,0.64,0.492,0.538,0.454,0.454,0.244,0.562,0.562,0.357,0.405,0.558,0.368,0.501,0.523,0.532,0.454,0.579,0.451,0.339,0.476,0.322,0.537,0.457,0.562,0.343,0.503,0.692,0.523,0.445,0.182,0.562,0.457,0.448,0.512,0.36,0.316,0.678,0.764,0.764,0.764,0.764,0.764,0.498,0.764,0.588,0.562,0.354,0.415,0.501,0.525,0.477,0.535,0.562,0.645,0.595,0.353,0.447,0.548,0.434,0.454,0.541,0.359,0.437,0.58,0.608,0.238,0.456,0.474,0.644,0.324,0.597,0.465,0.459,0.423,0.384,0.303,0.303,0.693,0.485,0.299,0.409,0.527,0.323,0.493
"ALX1",0.733,0.607,0.395,0,0.144,0.519,0.541,0.393,0.518,0.516,0.697,0.441,0.536,0.537,0.414,0.711,0.055,0.055,0.588,0.141,0.141,0.576,0.172,0.411,0.749,0.464,0.731,0.729,0.055,0.778,0.086,0.409,0.126,0.208,0.231,0.192,0.141,0.656,0.272,0.604,0.672,0.594,0.327,0.141,0.196,0.542,0.673,0.812,0.125,0.727,0.902,0.902,0.902,0.902,0.902,0.621,0.902,0.684,0.141,0.33,0.146,0.551,0.711,0.446,0.216,0.141,0.708,0.454,0.434,0.484,0.569,0.591,0.055,0.698,0.253,0.323,0.357,0.702,0.238,0.272,0.67,0.713,0.56,0.388,0.384,0.553,0.203,0.479,0,0,0.605,0.541,0.207,0.462,0.594,0.338,0.519
"ALX4",0.74,0.663,0.444,0.144,0,0.584,0.623,0.406,0.6,0.56,0.702,0.547,0.528,0.617,0.487,0.725,0.122,0.122,0.64,0.193,0.193,0.635,0.125,0.558,0.664,0.542,0.736,0.748,0.122,0.788,0.101,0.377,0.193,0.147,0.043,0.247,0.193,0.703,0.335,0.659,0.712,0.646,0.409,0.193,0.259,0.54,0.722,0.812,0.207,0.681,0.643,0.643,0.643,0.643,0.643,0.629,0.643,0.684,0.193,0.405,0.018,0.589,0.719,0.555,0.196,0.193,0.715,0.536,0.551,0.534,0.638,0.656,0.122,0.718,0.106,0.455,0.551,0.643,0.238,0.158,0.735,0.718,0.626,0.541,0.441,0.57,0.284,0.304,0,0,0.663,0.592,0.22,0.51,0.69,0.418,0.488
"ATG16L1",0.72,0.472,0.452,0.519,0.584,0,0.4,0.447,0,0.437,0.623,0.488,0.497,0.576,0.558,0.58,0.572,0.572,0.422,0.576,0.576,0.459,0.582,0.542,0.67,0.508,0.652,0.704,0.572,0.697,0.573,0.432,0.616,0.47,0.588,0.603,0.576,0.514,0.624,0.678,0.631,0.482,0.472,0.576,0.62,0.505,0.588,0.706,0.456,0.719,0.827,0.827,0.827,0.827,0.827,0.528,0.827,0.62,0.576,0.466,0.58,0.475,0.674,0.544,0.583,0.576,0.695,0.648,0.395,0.512,0.569,0.493,0.572,0.594,0.466,0.437,0.541,0.684,0.584,0.62,0.648,0.677,0.444,0.55,0.472,0.6,0.555,0.486,0.384,0.384,0.666,0.388,0.467,0.557,0.54,0.467,0.456
"CA3",0.632,0.352,0.31,0.541,0.623,0.4,0,0.338,0,0.487,0.556,0.524,0.49,0.552,0.602,0.703,0.586,0.586,0.265,0.574,0.574,0.256,0.633,0.5,0.669,0.524,0.644,0.706,0.586,0.713,0.602,0.355,0.582,0.402,0.621,0.563,0.574,0.368,0.646,0.637,0.668,0.218,0.346,0.574,0.652,0.542,0.541,0.769,0.325,0.685,0.871,0.871,0.871,0.871,0.871,0.448,0.871,0.588,0.574,0.466,0.625,0.427,0.636,0.502,0.583,0.574,0.58,0.607,0.198,0.479,0.564,0.29,0.586,0.683,0.353,0.412,0.495,0.568,0.706,0.682,0.597,0.607,0.173,0.5,0.453,0.626,0.508,0.323,0.604,0.604,0.654,0.366,0.443,0.584,0.527,0.408,0.465
"CCDC8",0.64,0.323,0.168,0.393,0.406,0.447,0.338,0,0,0.364,0.562,0.438,0.332,0.646,0.493,0.546,0.445,0.445,0.264,0.538,0.538,0.375,0.368,0.561,0.431,0.506,0.53,0.554,0.445,0.59,0.439,0.325,0.462,0.306,0.485,0.444,0.538,0.369,0.49,0.696,0.53,0.44,0.177,0.538,0.466,0.364,0.519,0.36,0.32,0.656,0.643,0.643,0.643,0.643,0.643,0.485,0.643,0.588,0.538,0.365,0.384,0.453,0.532,0.492,0.495,0.538,0.641,0.605,0.371,0.361,0.556,0.445,0.445,0.552,0.33,0.371,0.584,0.591,0.238,0.436,0.497,0.641,0.349,0.601,0.37,0.452,0.433,0.37,0.303,0.303,0.697,0.411,0.281,0.401,0.527,0.338,0.252
"CDO1",0.62,0.159,0,0.518,0.6,0,0,0,0,0,0.573,0.477,0,0.554,0.554,0.658,0.6,0.6,0,0.6,0.6,0.159,0.6,0.518,0.62,0.477,0.573,0.694,0.6,0.658,0.6,0,0.6,0,0.6,0.573,0.6,0,0.639,0.684,0.573,0,0,0.6,0.66,0.159,0.296,0.783,0.159,0.62,0.881,0.881,0.881,0.881,0.881,0.159,0.881,0.62,0.6,0,0.6,0.159,0.573,0.477,0.6,0.6,0.573,0.628,0,0,0.573,0.159,0.6,0.694,0.159,0,0.511,0.573,0.74,0.66,0.546,0.573,0.159,0.518,0.159,0.573,0.511,0.159,0.66,0.66,0.684,0.159,0.159,0.518,0.604,0,0.159
"CFTR",0.705,0.394,0.374,0.516,0.56,0.437,0.487,0.364,0,0,0.554,0.341,0.356,0.661,0.532,0.566,0.604,0.604,0.353,0.619,0.619,0.427,0.53,0.536,0.511,0.477,0.537,0.605,0.604,0.613,0.583,0.446,0.665,0.469,0.572,0.616,0.619,0.483,0.634,0.684,0.406,0.576,0.448,0.619,0.59,0.379,0.486,0.36,0.461,0.668,0.49,0.49,0.49,0.49,0.49,0.522,0.49,0.531,0.619,0.469,0.549,0.542,0.578,0.54,0.569,0.619,0.692,0.703,0.456,0.473,0.452,0.523,0.604,0.619,0.433,0.38,0.559,0.656,0.384,0.572,0.496,0.679,0.422,0.538,0.497,0.423,0.588,0.456,0,0,0.668,0.541,0.45,0.434,0.339,0.456,0.511
"CMTM2",0.362,0.35,0.554,0.697,0.702,0.623,0.556,0.562,0.573,0.554,0,0.481,0.599,0.574,0.632,0.557,0.687,0.687,0.421,0.68,0.68,0.106,0.71,0.28,0.429,0.369,0.499,0.43,0.687,0.627,0.701,0.692,0.676,0.679,0.699,0.563,0.68,0.52,0.713,0.719,0.556,0.644,0.545,0.68,0.744,0.621,0.512,0.533,0.625,0.358,0.853,0.853,0.853,0.853,0.853,0.417,0.853,0,0.68,0.573,0.704,0.674,0.325,0.633,0.613,0.68,0.373,0.82,0.532,0.671,0.301,0.346,0.687,0.519,0.635,0.7,0.723,0.237,0.811,0.652,0.51,0.363,0.266,0.714,0.578,0.448,0.733,0.634,0.732,0.732,0.73,0.641,0.682,0.502,0.629,0.651,0.668
"DEGS1",0.677,0.343,0.428,0.441,0.547,0.488,0.524,0.438,0.477,0.341,0.481,0,0.446,0.585,0.511,0.513,0.524,0.524,0.369,0.53,0.53,0.389,0.552,0.416,0.468,0.241,0.516,0.526,0.524,0.586,0.522,0.395,0.601,0.525,0.555,0.556,0.53,0.466,0.565,0.459,0.373,0.61,0.434,0.53,0.537,0.505,0.506,0.36,0.486,0.699,0.853,0.853,0.853,0.853,0.853,0.582,0.853,0.531,0.53,0.455,0.54,0.581,0.534,0.329,0.513,0.53,0.679,0.543,0.399,0.54,0.242,0.533,0.524,0.532,0.51,0.464,0.4,0.653,0.523,0.564,0.455,0.657,0.373,0.307,0.532,0.393,0.526,0.549,0.306,0.306,0.427,0.57,0.491,0.344,0.296,0.523,0.584
