estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,FOXD2,GFRA2,MIR196A2,SCT,"[0.0, 0.14285714285714285, 1.0]","[0.0, 0.967032967032967, 1.0]",[inf  1.  0.]
DecisionTree,FOXD2,GHSR,MIR196A2,SCT,"[0.0, 0.2857142857142857, 0.32142857142857145, 0.32142857142857145, 1.0]","[0.0, 0.967032967032967, 0.967032967032967, 0.989010989010989, 1.0]",[       inf 1.         0.66666667 0.33333333 0.        ]
DecisionTree,ALX1,GHITM,MIR654,PRLHR,"[0.0, 0.25, 0.2857142857142857, 1.0]","[0.0, 0.9615384615384616, 0.9615384615384616, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,ALX1,KRTAP20-1,MIR654,PRLHR,"[0.0, 0.10714285714285714, 0.2857142857142857, 1.0]","[0.0, 0.945054945054945, 0.9725274725274725, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,ALX1,NEFM,MIR654,PRLHR,"[0.0, 0.17857142857142858, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.39285714285714285, 1.0]","[0.0, 0.9560439560439561, 0.967032967032967, 0.967032967032967, 0.9835164835164835, 0.9835164835164835, 1.0]","[       inf 1.         0.6        0.5        0.33333333 0.2
 0.        ]"
DecisionTree,ALX1,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.32142857142857145, 1.0]","[0.0, 0.967032967032967, 1.0]",[inf  1.  0.]
DecisionTree,ALX1,TAC1,GFRA2,MIR196A2,"[0.0, 0.10714285714285714, 0.10714285714285714, 0.17857142857142858, 0.17857142857142858, 1.0]","[0.0, 0.9505494505494505, 0.9560439560439561, 0.9615384615384616, 0.967032967032967, 1.0]",[       inf 1.         0.75       0.66666667 0.5        0.        ]
DecisionTree,FOXD2,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.17857142857142858, 1.0]","[0.0, 0.9560439560439561, 1.0]",[inf  1.  0.]
DecisionTree,FOXD2,TAC1,GFRA2,MIR196A2,"[0.0, 0.2857142857142857, 1.0]","[0.0, 0.967032967032967, 1.0]",[inf  1.  0.]
DecisionTree,ALX1,CA3,GFRA2,MIR1197,"[0.0, 0.03571428571428571, 0.10714285714285714, 0.14285714285714285, 0.21428571428571427, 0.35714285714285715, 1.0]","[0.0, 0.9560439560439561, 0.9615384615384616, 0.967032967032967, 0.978021978021978, 0.9835164835164835, 1.0]","[       inf 1.         0.75       0.66666667 0.5        0.25
 0.        ]"
DecisionTree,ALX1,FRZB,GFRA2,MIR1197,"[0.0, 0.03571428571428571, 0.10714285714285714, 0.17857142857142858, 1.0]","[0.0, 0.967032967032967, 0.978021978021978, 0.978021978021978, 1.0]",[ inf 1.   0.75 0.5  0.  ]
DecisionTree,FOXD2,CA3,GFRA2,MIR1197,"[0.0, 0.21428571428571427, 0.21428571428571427, 0.32142857142857145, 0.35714285714285715, 1.0]","[0.0, 0.9615384615384616, 0.967032967032967, 0.967032967032967, 0.978021978021978, 1.0]",[       inf 1.         0.75       0.33333333 0.25       0.        ]
DecisionTree,FOXD2,FRZB,GFRA2,MIR1197,"[0.0, 0.17857142857142858, 1.0]","[0.0, 0.9560439560439561, 1.0]",[inf  1.  0.]
DecisionTree,ALX1,CCDC8,GFRA2,MIR654,"[0.0, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.17857142857142858, 1.0]","[0.0, 0.945054945054945, 0.9505494505494505, 0.9560439560439561, 0.978021978021978, 1.0]",[       inf 1.         0.75       0.66666667 0.5        0.        ]
DecisionTree,FOXD2,CCDC8,GFRA2,MIR654,"[0.0, 0.32142857142857145, 0.35714285714285715, 1.0]","[0.0, 0.9560439560439561, 0.9615384615384616, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,POU3F3,CCDC8,GFRA2,MIR654,"[0.0, 0.21428571428571427, 0.21428571428571427, 0.42857142857142855, 0.42857142857142855, 0.4642857142857143, 0.5, 0.5357142857142857, 1.0]","[0.0, 0.9230769230769231, 0.9285714285714286, 0.9505494505494505, 0.9560439560439561, 0.9560439560439561, 0.9615384615384616, 0.9615384615384616, 1.0]","[       inf 1.         0.75       0.66666667 0.6        0.5
 0.33333333 0.25       0.        ]"
DecisionTree,DBC1,FOXB2,GRIK3,MIR129-2,"[0.0, 0.2857142857142857, 1.0]","[0.0, 0.9560439560439561, 1.0]",[inf  1.  0.]
DecisionTree,DEGS1,FOXB2,GRIK3,MIR129-2,"[0.0, 0.14285714285714285, 0.17857142857142858, 0.2857142857142857, 0.2857142857142857, 0.32142857142857145, 0.32142857142857145, 0.35714285714285715, 1.0]","[0.0, 0.9560439560439561, 0.9615384615384616, 0.9725274725274725, 0.989010989010989, 0.989010989010989, 0.9945054945054945, 0.9945054945054945, 1.0]","[       inf 1.         0.8        0.66666667 0.4        0.33333333
 0.25       0.2        0.        ]"
DecisionTree,TRIM59,FOXB2,GRIK3,MIR129-2,"[0.0, 0.2857142857142857, 0.35714285714285715, 0.5, 0.5357142857142857, 1.0]","[0.0, 0.9285714285714286, 0.9505494505494505, 0.9615384615384616, 0.967032967032967, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,CA3,MIR654,PRLHR,ZSCAN18,"[0.0, 0.10714285714285714, 0.21428571428571427, 1.0]","[0.0, 0.978021978021978, 0.978021978021978, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,NID2,MIR654,PRLHR,ZSCAN18,"[0.0, 0.14285714285714285, 1.0]","[0.0, 0.967032967032967, 1.0]",[inf  1.  0.]
DecisionTree,TRIM59,MIR654,PRLHR,ZSCAN18,"[0.0, 0.10714285714285714, 0.17857142857142858, 1.0]","[0.0, 0.9835164835164835, 0.9835164835164835, 1.0]",[       inf 1.         0.33333333 0.        ]
DecisionTree,DGKI,FOXB2,GRIK3,MIR129-2,"[0.0, 0.32142857142857145, 1.0]","[0.0, 0.9725274725274725, 1.0]",[inf  1.  0.]
DecisionTree,HMGCL,FOXB2,GRIK3,MIR129-2,"[0.0, 0.07142857142857142, 0.10714285714285714, 0.21428571428571427, 0.21428571428571427, 1.0]","[0.0, 0.9505494505494505, 0.9505494505494505, 0.9560439560439561, 0.9725274725274725, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,TRIM59,FOXB2,GRIK3,MIR129-2,"[0.0, 0.2857142857142857, 0.35714285714285715, 0.5, 0.5357142857142857, 1.0]","[0.0, 0.9285714285714286, 0.9505494505494505, 0.9615384615384616, 0.967032967032967, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,DGKI,FOXB2,KCNK2,MIR124-2,"[0.0, 0.17857142857142858, 0.21428571428571427, 0.32142857142857145, 0.35714285714285715, 1.0]","[0.0, 0.9285714285714286, 0.945054945054945, 0.9560439560439561, 0.9560439560439561, 1.0]",[       inf 1.         0.66666667 0.33333333 0.25       0.        ]
DecisionTree,SUB1,FOXB2,KCNK2,MIR124-2,"[0.0, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.21428571428571427, 0.25, 1.0]","[0.0, 0.9285714285714286, 0.9340659340659341, 0.967032967032967, 0.978021978021978, 0.978021978021978, 1.0]","[       inf 1.         0.66666667 0.5        0.4        0.33333333
 0.        ]"
DecisionTree,TRIM59,FOXB2,KCNK2,MIR124-2,"[0.0, 0.17857142857142858, 0.21428571428571427, 0.25, 0.42857142857142855, 0.5357142857142857, 0.5357142857142857, 0.6071428571428571, 1.0]","[0.0, 0.9065934065934066, 0.9285714285714286, 0.9340659340659341, 0.9340659340659341, 0.945054945054945, 0.9615384615384616, 0.967032967032967, 1.0]","[       inf 1.         0.8        0.66666667 0.6        0.5
 0.33333333 0.2        0.        ]"
DecisionTree,FOXB2,MIR124-2,NID2,PRLHR,"[0.0, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.17857142857142858, 0.25, 1.0]","[0.0, 0.9175824175824175, 0.945054945054945, 0.978021978021978, 0.978021978021978, 0.978021978021978, 1.0]","[       inf 1.         0.66666667 0.5        0.33333333 0.2
 0.        ]"
DecisionTree,FOXB2,MIR124-2,SUB1,PRLHR,"[0.0, 0.03571428571428571, 0.07142857142857142, 0.10714285714285714, 0.21428571428571427, 0.21428571428571427, 1.0]","[0.0, 0.9175824175824175, 0.9285714285714286, 0.9560439560439561, 0.9835164835164835, 1.0, 1.0]","[       inf 1.         0.8        0.75       0.6        0.33333333
 0.        ]"
DecisionTree,FOXB2,MIR124-2,TRIM59,PRLHR,"[0.0, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.35714285714285715, 0.42857142857142855, 0.5, 1.0]","[0.0, 0.8901098901098901, 0.8901098901098901, 0.9120879120879121, 0.9615384615384616, 0.9615384615384616, 0.967032967032967, 0.978021978021978, 1.0]","[       inf 1.         0.8        0.75       0.66666667 0.5
 0.33333333 0.2        0.        ]"
