estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,FOXD2,GFRA2,MIR196A2,SCT,0.9214285714285717,0.9857142857142855,0.857142857142857,0.8733870967741936,0.9261016949152543,0.9924744897959183,0.850088997999929,0.9609557109557109
Voting,FOXD2,GHSR,MIR196A2,SCT,0.9410714285714284,0.9892857142857142,0.8928571428571429,0.9022580645161291,0.9437171244886032,0.9955357142857142,0.886419911747908,0.9705259529203192
Voting,ALX1,GHITM,MIR654,PRLHR,0.8767857142857143,0.9678571428571429,0.7857142857142857,0.8186497326203208,0.8869240260884894,0.9818877551020408,0.7667833217956892,0.9337440298115783
Voting,ALX1,KRTAP20-1,MIR654,PRLHR,0.9017857142857142,0.9821428571428571,0.8214285714285714,0.8461174242424242,0.9090163934426231,0.9826530612244897,0.8143518650362287,0.9515086206896551
Voting,ALX1,NEFM,MIR654,PRLHR,0.8785714285714284,0.9714285714285713,0.7857142857142857,0.8192513368983958,0.8888418826017979,0.9826530612244898,0.7706813005660961,0.9366084081247049
Voting,ALX1,ATP5G2,GFRA2,MIR196A2,0.9464285714285714,0.9642857142857142,0.9285714285714286,0.930985221674877,0.9471739694062743,0.9829081632653061,0.8937985029641675,0.957324799863008
Voting,ALX1,TAC1,GFRA2,MIR196A2,0.9267857142857142,0.9607142857142856,0.8928571428571429,0.899610678531702,0.9290319603802024,0.9872448979591837,0.8558601094631275,0.9477520531611031
Voting,FOXD2,ATP5G2,GFRA2,MIR196A2,0.9482142857142856,0.9678571428571427,0.9285714285714286,0.9312479474548441,0.9491184858698472,0.9841836734693878,0.8973031316199187,0.960253007406139
Voting,FOXD2,TAC1,GFRA2,MIR196A2,0.9321428571428572,0.9714285714285713,0.8928571428571429,0.9005784204671858,0.9344673782644806,0.9863520408163267,0.867466707849094,0.9562470792617631
Voting,ALX1,CA3,GFRA2,MIR1197,0.9517857142857142,0.975,0.9285714285714286,0.9317077175697867,0.9527482499351828,0.991326530612245,0.9048075763972052,0.9659467442955607
Voting,ALX1,FRZB,GFRA2,MIR1197,0.9214285714285715,0.9857142857142855,0.857142857142857,0.8733870967741936,0.9261016949152543,0.9917091836734695,0.850088997999929,0.9609557109557109
Voting,FOXD2,CA3,GFRA2,MIR1197,0.9571428571428571,0.9857142857142855,0.9285714285714286,0.9324137931034484,0.9582577132486388,0.9917091836734695,0.9159404466966894,0.9745280191789032
Voting,FOXD2,FRZB,GFRA2,MIR1197,0.917857142857143,0.9785714285714284,0.857142857142857,0.8725806451612904,0.9224858757062148,0.9895408163265307,0.8421207951076741,0.9553224553224553
Voting,ALX1,CCDC8,GFRA2,MIR654,0.9125,0.9678571428571429,0.857142857142857,0.8713172043010753,0.9169374634716541,0.9868622448979589,0.830445088085589,0.9467932302439344
Voting,FOXD2,CCDC8,GFRA2,MIR654,0.9107142857142858,0.9642857142857144,0.857142857142857,0.8709139784946236,0.9151295538671341,0.9757653061224489,0.8264609866394617,0.9439766024273066
Voting,POU3F3,CCDC8,GFRA2,MIR654,0.7874999999999999,0.9678571428571429,0.607142857142857,0.7112284349126453,0.8198914518317505,0.9543367346938776,0.6168613330601072,0.9026787857238101
Voting,DBC1,FOXB2,GRIK3,MIR129-2,0.8464285714285713,0.9785714285714286,0.7142857142857143,0.773968253968254,0.8642857142857142,0.9640306122448979,0.7186377317310628,0.9293987865416437
Voting,DEGS1,FOXB2,GRIK3,MIR129-2,0.9,0.9785714285714286,0.8214285714285714,0.8456133919843598,0.907151986662962,0.9752551020408162,0.8104004298739007,0.948667711598746
Voting,TRIM59,FOXB2,GRIK3,MIR129-2,0.8232142857142858,0.9321428571428572,0.7142857142857143,0.7649990827220429,0.8399996062654372,0.9359693877551021,0.6637886308238763,0.8928570986739555
Voting,CA3,MIR654,PRLHR,ZSCAN18,0.9410714285714284,0.9892857142857142,0.8928571428571429,0.9022580645161291,0.9437171244886032,0.9922193877551022,0.886419911747908,0.9705259529203192
Voting,NID2,MIR654,PRLHR,ZSCAN18,0.9392857142857143,0.9857142857142855,0.8928571428571429,0.9019354838709678,0.9419053185271771,0.9918367346938775,0.8825510456192525,0.9676942775534325
Voting,TRIM59,MIR654,PRLHR,ZSCAN18,0.9589285714285714,0.9892857142857142,0.9285714285714286,0.9326436781609196,0.9600725952813068,0.9938775510204083,0.9196926690853326,0.9773748876236141
Voting,DGKI,FOXB2,GRIK3,MIR129-2,0.8982142857142857,0.9750000000000002,0.8214285714285714,0.8451093597262952,0.9052875798833009,0.9693877551020409,0.8064489947115725,0.945826802507837
Voting,HMGCL,FOXB2,GRIK3,MIR129-2,0.9446428571428571,0.9964285714285713,0.8928571428571429,0.9029032258064517,0.9473407364114553,0.9848214285714286,0.894157644005219,0.9761893036540924
Voting,TRIM59,FOXB2,GRIK3,MIR129-2,0.8232142857142858,0.9321428571428572,0.7142857142857143,0.7649990827220429,0.8399996062654372,0.9359693877551021,0.6637886308238763,0.8928570986739555
Voting,DGKI,FOXB2,KCNK2,MIR124-2,0.8946428571428571,0.9678571428571427,0.8214285714285714,0.8441929374389051,0.9017421505973884,0.9792091836734693,0.7981032829336047,0.940262539184953
Voting,SUB1,FOXB2,KCNK2,MIR124-2,0.9214285714285715,0.9857142857142855,0.857142857142857,0.8733870967741936,0.9261016949152543,0.9932397959183673,0.850088997999929,0.9609557109557109
Voting,TRIM59,FOXB2,KCNK2,MIR124-2,0.8982142857142857,0.975,0.8214285714285714,0.8451704545454547,0.905409836065574,0.9795918367346939,0.8061537670760315,0.9459051724137932
Voting,FOXB2,MIR124-2,NID2,PRLHR,0.9232142857142858,0.9535714285714286,0.8928571428571429,0.8988741458763705,0.9251506542510572,0.9779336734693878,0.8486281287313119,0.9419271793035652
Voting,FOXB2,MIR124-2,SUB1,PRLHR,0.9428571428571427,0.9928571428571429,0.8928571428571429,0.9025806451612903,0.9455289304500292,0.997576530612245,0.8902887778765635,0.9733576282872057
Voting,FOXB2,MIR124-2,TRIM59,PRLHR,0.8964285714285716,0.9714285714285713,0.8214285714285714,0.8446358748778104,0.9034843011947764,0.9826530612244898,0.8023499457314738,0.943025078369906
