estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,FOXD2,GFRA2,MIR196A2,SCT,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,FOXD2,GHSR,MIR196A2,SCT,"[0.0, 0.0, 0.009009009009009009, 0.04504504504504504, 0.08108108108108109, 1.0]","[0.0, 0.9889655172413793, 0.9917241379310345, 0.9972413793103448, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,ALX1,GHITM,MIR654,PRLHR,"[0.0, 0.0, 0.018018018018018018, 1.0]","[0.0, 0.9972413793103448, 1.0, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,ALX1,KRTAP20-1,MIR654,PRLHR,"[0.0, 0.0, 0.009009009009009009, 0.14414414414414414, 0.16216216216216217, 1.0]","[0.0, 0.9751724137931035, 0.9779310344827586, 0.9986206896551724, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,ALX1,NEFM,MIR654,PRLHR,"[0.0, 0.0, 0.018018018018018018, 0.036036036036036036, 0.06306306306306306, 0.15315315315315314, 0.22522522522522523, 1.0]","[0.0, 0.9806896551724138, 0.9848275862068966, 0.9875862068965517, 0.9903448275862069, 0.9972413793103448, 1.0, 1.0]","[       inf 1.         0.6        0.5        0.4        0.33333333
 0.2        0.        ]"
DecisionTree,ALX1,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,ALX1,TAC1,GFRA2,MIR196A2,"[0.0, 0.0, 0.009009009009009009, 0.036036036036036036, 0.04504504504504504, 1.0]","[0.0, 0.9862068965517241, 0.9903448275862069, 0.9986206896551724, 1.0, 1.0]",[       inf 1.         0.75       0.66666667 0.5        0.        ]
DecisionTree,FOXD2,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,FOXD2,TAC1,GFRA2,MIR196A2,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,ALX1,CA3,GFRA2,MIR1197,"[0.0, 0.0, 0.009009009009009009, 0.018018018018018018, 0.04504504504504504, 0.12612612612612611, 1.0]","[0.0, 0.9848275862068966, 0.9889655172413793, 0.9917241379310345, 0.9958620689655172, 1.0, 1.0]","[       inf 1.         0.75       0.66666667 0.5        0.25
 0.        ]"
