estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
LogisticRegressionElastic,FOXD2,GFRA2,MIR196A2,SCT,"[0.0, 0.0, 0.0, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.05405405405405406, 0.05405405405405406, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.08108108108108109, 0.08108108108108109, 0.0990990990990991, 0.0990990990990991, 0.11711711711711711, 0.11711711711711711, 0.15315315315315314, 0.15315315315315314, 0.16216216216216217, 0.16216216216216217, 0.34234234234234234, 0.34234234234234234, 0.36036036036036034, 0.36036036036036034, 0.38738738738738737, 0.38738738738738737, 0.42342342342342343, 0.42342342342342343, 0.5135135135135135, 0.5135135135135135, 0.7747747747747747, 0.7747747747747747, 1.0, 1.0]","[0.0, 0.001379310344827586, 0.9558620689655173, 0.9558620689655173, 0.9572413793103448, 0.9572413793103448, 0.96, 0.96, 0.9641379310344828, 0.9641379310344828, 0.9655172413793104, 0.9655172413793104, 0.976551724137931, 0.976551724137931, 0.9779310344827586, 0.9779310344827586, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9903448275862069, 0.9903448275862069, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9986206896551724, 0.9986206896551724, 1.0]","[       inf 0.9999933  0.78854018 0.7816791  0.77987116 0.77720084
 0.76599265 0.75900328 0.72808888 0.7137076  0.70607039 0.6965807
 0.56633104 0.55569949 0.54784675 0.53823726 0.49837503 0.48146825
 0.48140106 0.47428067 0.4307463  0.38114784 0.37997821 0.37040485
 0.36550087 0.22617666 0.22572102 0.21804687 0.20746943 0.20265036
 0.19834692 0.18159227 0.17946648 0.16670115 0.16630288 0.08667939
 0.08068558 0.04071729 0.03624197]"
LogisticRegressionElastic,FOXD2,GHSR,MIR196A2,SCT,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.05405405405405406, 0.05405405405405406, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.13513513513513514, 0.13513513513513514, 0.14414414414414414, 0.14414414414414414, 0.1891891891891892, 0.1891891891891892, 0.21621621621621623, 0.21621621621621623, 0.2702702702702703, 0.2702702702702703, 0.3153153153153153, 0.3153153153153153, 0.5225225225225225, 0.5225225225225225, 0.7027027027027027, 0.7027027027027027, 0.8288288288288288, 0.8288288288288288, 1.0]","[0.0, 0.001379310344827586, 0.953103448275862, 0.953103448275862, 0.96, 0.96, 0.9613793103448276, 0.9613793103448276, 0.9682758620689655, 0.9682758620689655, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.9999975  0.86199142 0.85973915 0.80776654 0.79759561
 0.7934568  0.79169393 0.73507618 0.72228021 0.60716663 0.60427762
 0.59529253 0.5866619  0.54703964 0.54069288 0.42347775 0.38207001
 0.38010174 0.35047824 0.34425518 0.30692785 0.3019926  0.29159772
 0.2853177  0.24208908 0.23033061 0.196792   0.19663229 0.12461806
 0.12343406 0.08191128 0.08176793 0.06837721 0.06788659 0.03709801]"
LogisticRegressionElastic,ALX1,GHITM,MIR654,PRLHR,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.05405405405405406, 0.05405405405405406, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.15315315315315314, 0.15315315315315314, 0.1981981981981982, 0.1981981981981982, 0.21621621621621623, 0.21621621621621623, 0.22522522522522523, 0.22522522522522523, 0.23423423423423423, 0.23423423423423423, 0.35135135135135137, 0.35135135135135137, 0.44144144144144143, 0.44144144144144143, 0.5225225225225225, 0.5225225225225225, 0.6756756756756757, 0.6756756756756757, 0.8468468468468469, 0.8468468468468469, 0.8918918918918919, 0.8918918918918919, 1.0]","[0.0, 0.001379310344827586, 0.9337931034482758, 0.9337931034482758, 0.9406896551724138, 0.9406896551724138, 0.9475862068965517, 0.9475862068965517, 0.953103448275862, 0.953103448275862, 0.9627586206896551, 0.9627586206896551, 0.9724137931034482, 0.9724137931034482, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.99999966 0.84806083 0.84767747 0.80743489 0.80711359
 0.77707312 0.76803475 0.7417346  0.74031998 0.68625901 0.67838934
 0.62378168 0.61398785 0.54656955 0.52354146 0.51758558 0.49841273
 0.49152398 0.4090308  0.40285027 0.37009201 0.36965064 0.35495184
 0.35342085 0.33551827 0.33394491 0.32618123 0.32461224 0.26440159
 0.26326826 0.23329279 0.23005405 0.20516177 0.19796876 0.1572618
 0.15684939 0.11964359 0.11643517 0.10320645 0.10260601 0.02957666]"
LogisticRegressionElastic,ALX1,KRTAP20-1,MIR654,PRLHR,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.05405405405405406, 0.05405405405405406, 0.08108108108108109, 0.08108108108108109, 0.13513513513513514, 0.13513513513513514, 0.16216216216216217, 0.16216216216216217, 0.1891891891891892, 0.1891891891891892, 0.22522522522522523, 0.22522522522522523, 0.23423423423423423, 0.23423423423423423, 0.2702702702702703, 0.2702702702702703, 0.2882882882882883, 0.2882882882882883, 0.3333333333333333, 0.3333333333333333, 0.42342342342342343, 0.42342342342342343, 0.45045045045045046, 0.45045045045045046, 0.4594594594594595, 0.4594594594594595, 0.8648648648648649, 0.8648648648648649, 0.9099099099099099, 0.9099099099099099, 1.0]","[0.0, 0.001379310344827586, 0.8510344827586207, 0.8510344827586207, 0.9186206896551724, 0.9186206896551724, 0.9337931034482758, 0.9337931034482758, 0.9379310344827586, 0.9379310344827586, 0.9586206896551724, 0.9586206896551724, 0.9682758620689655, 0.9682758620689655, 0.9737931034482759, 0.9737931034482759, 0.9793103448275862, 0.9793103448275862, 0.9820689655172414, 0.9820689655172414, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.99999992 0.97113594 0.96857825 0.9112035  0.90968013
 0.87706415 0.86973009 0.85569126 0.850466   0.73756626 0.71637658
 0.63263345 0.61866839 0.58270298 0.53443662 0.49202784 0.42997505
 0.41347494 0.39950986 0.39660851 0.39474251 0.39435685 0.35900507
 0.35627476 0.34241111 0.34175049 0.30729097 0.3049694  0.28976339
 0.2851419  0.25514452 0.25506251 0.21946368 0.20955323 0.19206966
 0.18719645 0.18637314 0.18329049 0.06833907 0.06756556 0.06533708
 0.06465713 0.02420614]"
LogisticRegressionElastic,ALX1,NEFM,MIR654,PRLHR,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.05405405405405406, 0.05405405405405406, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.10810810810810811, 0.10810810810810811, 0.11711711711711711, 0.11711711711711711, 0.14414414414414414, 0.14414414414414414, 0.16216216216216217, 0.16216216216216217, 0.18018018018018017, 0.18018018018018017, 0.1891891891891892, 0.1891891891891892, 0.1981981981981982, 0.1981981981981982, 0.2072072072072072, 0.2072072072072072, 0.23423423423423423, 0.23423423423423423, 0.26126126126126126, 0.26126126126126126, 0.27927927927927926, 0.27927927927927926, 0.2882882882882883, 0.2882882882882883, 0.2972972972972973, 0.2972972972972973, 0.3963963963963964, 0.3963963963963964, 0.4864864864864865, 0.4864864864864865, 0.7747747747747747, 0.7747747747747747, 0.8738738738738738, 0.8738738738738738, 0.9279279279279279, 0.9279279279279279, 0.9819819819819819, 0.9819819819819819, 1.0]","[0.0, 0.001379310344827586, 0.9434482758620689, 0.9434482758620689, 0.9503448275862069, 0.9503448275862069, 0.9544827586206897, 0.9544827586206897, 0.9586206896551724, 0.9586206896551724, 0.96, 0.96, 0.9613793103448276, 0.9613793103448276, 0.9641379310344828, 0.9641379310344828, 0.9710344827586207, 0.9710344827586207, 0.9724137931034482, 0.9724137931034482, 0.9737931034482759, 0.9737931034482759, 0.9751724137931035, 0.9751724137931035, 0.976551724137931, 0.976551724137931, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 1.0, 1.0]","[       inf 0.99999632 0.790951   0.79005556 0.76150506 0.7601425
 0.73880342 0.73562461 0.69937978 0.69494445 0.68117444 0.66394768
 0.65886174 0.6448564  0.62027866 0.60973356 0.55178486 0.52707021
 0.51606595 0.51189666 0.50629059 0.47770327 0.47617617 0.46127625
 0.45044526 0.43858197 0.43464754 0.42914662 0.41239566 0.41042076
 0.40884303 0.40198505 0.37932088 0.35771244 0.35113102 0.33944836
 0.33774339 0.32928882 0.31510167 0.30837955 0.30712859 0.30600557
 0.30515334 0.24525896 0.24225552 0.22416882 0.22392225 0.14093213
 0.14080513 0.11442265 0.11284403 0.09578195 0.09509419 0.07620168
 0.07484538 0.03964872]"
LogisticRegressionElastic,ALX1,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.05405405405405406, 0.05405405405405406, 0.08108108108108109, 0.08108108108108109, 0.10810810810810811, 0.10810810810810811, 0.11711711711711711, 0.11711711711711711, 0.16216216216216217, 0.16216216216216217, 0.17117117117117117, 0.17117117117117117, 0.22522522522522523, 0.22522522522522523, 0.2972972972972973, 0.2972972972972973, 0.35135135135135137, 0.35135135135135137, 0.36936936936936937, 0.36936936936936937, 0.3963963963963964, 0.3963963963963964, 0.6396396396396397, 0.6396396396396397, 0.8288288288288288, 0.8288288288288288, 1.0, 1.0]","[0.0, 0.001379310344827586, 0.9627586206896551, 0.9627586206896551, 0.9696551724137931, 0.9696551724137931, 0.9737931034482759, 0.9737931034482759, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0]","[       inf 0.99997676 0.66849825 0.66631672 0.60238781 0.57080882
 0.54825569 0.52035478 0.49363774 0.48499025 0.4794991  0.47828227
 0.46823616 0.45136227 0.44878787 0.44818172 0.44705678 0.40524232
 0.40317571 0.39346067 0.38366257 0.35885356 0.35708321 0.35454208
 0.35391684 0.34672194 0.3463457  0.27475729 0.27434854 0.23725856
 0.23705867 0.17777594 0.11293361]"
LogisticRegressionElastic,ALX1,TAC1,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.05405405405405406, 0.05405405405405406, 0.08108108108108109, 0.08108108108108109, 0.10810810810810811, 0.10810810810810811, 0.12612612612612611, 0.12612612612612611, 0.13513513513513514, 0.13513513513513514, 0.14414414414414414, 0.14414414414414414, 0.15315315315315314, 0.15315315315315314, 0.17117117117117117, 0.17117117117117117, 0.1891891891891892, 0.1891891891891892, 0.26126126126126126, 0.26126126126126126, 0.6396396396396397, 0.6396396396396397, 0.6666666666666666, 0.6666666666666666, 0.9099099099099099, 0.9099099099099099, 0.990990990990991, 0.990990990990991, 1.0]","[0.0, 0.001379310344827586, 0.9365517241379311, 0.9365517241379311, 0.9655172413793104, 0.9655172413793104, 0.9724137931034482, 0.9724137931034482, 0.9751724137931035, 0.9751724137931035, 0.976551724137931, 0.976551724137931, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.9848275862068966, 0.9848275862068966, 0.9875862068965517, 0.9875862068965517, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.99999999 0.91314614 0.90713756 0.73860752 0.7363922
 0.66454294 0.65429503 0.63067287 0.6178739  0.6091685  0.54195457
 0.50959897 0.48314207 0.46573465 0.44022458 0.42271388 0.39156185
 0.3888201  0.38595616 0.35827815 0.34247652 0.33520651 0.3306773
 0.30472273 0.2990419  0.29534103 0.28557962 0.2778905  0.22026625
 0.2182424  0.10000029 0.09970016 0.09216493 0.08860705 0.052474
 0.05246366 0.03002722 0.02632329 0.02465525]"
LogisticRegressionElastic,FOXD2,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.05405405405405406, 0.05405405405405406, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.09009009009009009, 0.09009009009009009, 0.14414414414414414, 0.14414414414414414, 0.1891891891891892, 0.1891891891891892, 0.22522522522522523, 0.22522522522522523, 0.2882882882882883, 0.2882882882882883, 0.2972972972972973, 0.2972972972972973, 0.3063063063063063, 0.3063063063063063, 0.3333333333333333, 0.3333333333333333, 0.3783783783783784, 0.3783783783783784, 0.3963963963963964, 0.3963963963963964, 0.46846846846846846, 0.46846846846846846, 0.6306306306306306, 0.6306306306306306, 0.6666666666666666, 0.6666666666666666, 0.6936936936936937, 0.6936936936936937, 0.7927927927927928, 0.7927927927927928, 0.9009009009009009, 0.9009009009009009, 0.918918918918919, 0.918918918918919, 0.990990990990991, 0.990990990990991, 1.0, 1.0]","[0.0, 0.001379310344827586, 0.9117241379310345, 0.9117241379310345, 0.9131034482758621, 0.9131034482758621, 0.9365517241379311, 0.9365517241379311, 0.9406896551724138, 0.9406896551724138, 0.9462068965517242, 0.9462068965517242, 0.9489655172413793, 0.9489655172413793, 0.9517241379310345, 0.9517241379310345, 0.9558620689655173, 0.9558620689655173, 0.9586206896551724, 0.9586206896551724, 0.9627586206896551, 0.9627586206896551, 0.9668965517241379, 0.9668965517241379, 0.9682758620689655, 0.9682758620689655, 0.9696551724137931, 0.9696551724137931, 0.9710344827586207, 0.9710344827586207, 0.9724137931034482, 0.9724137931034482, 0.9737931034482759, 0.9737931034482759, 0.976551724137931, 0.976551724137931, 0.9779310344827586, 0.9779310344827586, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 1.0]","[       inf 1.         0.88558556 0.88382193 0.87921828 0.87659728
 0.80776347 0.80691712 0.75608967 0.74953183 0.69165037 0.68227882
 0.66370179 0.66307471 0.65171622 0.64970489 0.60837008 0.60184973
 0.57787912 0.56603446 0.54290504 0.50428525 0.48540915 0.45326515
 0.45316456 0.42780537 0.42646027 0.37789872 0.37752303 0.3713399
 0.36769679 0.36705437 0.35940951 0.35602486 0.3540213  0.33356093
 0.32943067 0.32525783 0.31129092 0.28257727 0.28099818 0.23096371
 0.22245422 0.19997049 0.1994384  0.18647768 0.17169547 0.13808362
 0.13427119 0.09966615 0.09900657 0.09158073 0.08827565 0.07298223
 0.05436518 0.05210675 0.01486725]"
LogisticRegressionElastic,FOXD2,TAC1,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.06306306306306306, 0.06306306306306306, 0.09009009009009009, 0.09009009009009009, 0.10810810810810811, 0.10810810810810811, 0.11711711711711711, 0.11711711711711711, 0.14414414414414414, 0.14414414414414414, 0.18018018018018017, 0.18018018018018017, 0.2072072072072072, 0.2072072072072072, 0.21621621621621623, 0.21621621621621623, 0.23423423423423423, 0.23423423423423423, 0.3063063063063063, 0.3063063063063063, 0.3153153153153153, 0.3153153153153153, 0.3333333333333333, 0.3333333333333333, 0.5585585585585585, 0.5585585585585585, 0.5855855855855856, 0.5855855855855856, 0.7837837837837838, 0.7837837837837838, 0.918918918918919, 0.918918918918919, 1.0, 1.0]","[0.0, 0.001379310344827586, 0.8689655172413793, 0.8689655172413793, 0.9158620689655173, 0.9158620689655173, 0.9241379310344827, 0.9241379310344827, 0.9448275862068966, 0.9448275862068966, 0.9517241379310345, 0.9517241379310345, 0.96, 0.96, 0.9613793103448276, 0.9613793103448276, 0.9641379310344828, 0.9641379310344828, 0.9696551724137931, 0.9696551724137931, 0.9710344827586207, 0.9710344827586207, 0.9724137931034482, 0.9724137931034482, 0.9737931034482759, 0.9737931034482759, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.9820689655172414, 0.9820689655172414, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9917241379310345, 0.9917241379310345, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 1.0]","[       inf 0.99999987 0.95815382 0.957977   0.88352048 0.88149134
 0.87280507 0.87146719 0.79351439 0.78640787 0.73328031 0.72793963
 0.67583267 0.67146431 0.66939088 0.64132145 0.62705772 0.60575942
 0.57030979 0.56830482 0.55474978 0.52189072 0.51392112 0.46651666
 0.46363457 0.44225525 0.42472509 0.41097542 0.37844923 0.36180477
 0.35088529 0.32257855 0.31573638 0.31203199 0.3112559  0.30413977
 0.29985254 0.19131213 0.188442   0.17821663 0.17412609 0.08526968
 0.07643763 0.05562673 0.05523751 0.02853414 0.00801274]"
LogisticRegressionElastic,ALX1,CA3,GFRA2,MIR1197,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.05405405405405406, 0.05405405405405406, 0.09009009009009009, 0.09009009009009009, 0.12612612612612611, 0.12612612612612611, 0.26126126126126126, 0.26126126126126126, 0.36936936936936937, 0.36936936936936937, 0.4774774774774775, 0.4774774774774775, 0.4954954954954955, 0.4954954954954955, 0.7657657657657657, 0.7657657657657657, 1.0]","[0.0, 0.001379310344827586, 0.9448275862068966, 0.9448275862068966, 0.9779310344827586, 0.9779310344827586, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.99999154 0.8029786  0.79931924 0.61497958 0.61029514
 0.55770398 0.54557538 0.53038297 0.51506967 0.48236342 0.47239239
 0.46688802 0.44408082 0.43717077 0.42151198 0.42124216 0.3406176
 0.33891527 0.29854265 0.28971468 0.25111633 0.25062354 0.24758493
 0.24492009 0.17033274 0.17027407 0.06563762]"
