estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
SVM,FOXD2,GFRA2,MIR196A2,SCT,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.05405405405405406, 0.05405405405405406, 0.07207207207207207, 0.07207207207207207, 0.0990990990990991, 0.0990990990990991, 0.12612612612612611, 0.12612612612612611, 0.24324324324324326, 0.24324324324324326, 0.3063063063063063, 0.3063063063063063, 0.45045045045045046, 0.45045045045045046, 0.5315315315315315, 0.5315315315315315, 0.7297297297297297, 0.7297297297297297, 0.8108108108108109, 0.8108108108108109, 1.0]","[0.0, 0.001379310344827586, 0.9751724137931035, 0.9751724137931035, 0.976551724137931, 0.976551724137931, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.99999998 0.88177296 0.85405236 0.84099325 0.8399445
 0.80634891 0.73620477 0.70464329 0.58817711 0.5325486  0.43109505
 0.41974342 0.32756876 0.24672493 0.20569688 0.20443227 0.1668578
 0.1620912  0.14439328 0.14319095 0.12178556 0.12165978 0.10180119
 0.10163092 0.09537012 0.09510595 0.0785163  0.07642788 0.07263435
 0.07208839 0.03603782]"
SVM,FOXD2,GHSR,MIR196A2,SCT,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.08108108108108109, 0.08108108108108109, 0.13513513513513514, 0.13513513513513514, 0.2702702702702703, 0.2702702702702703, 0.27927927927927926, 0.27927927927927926, 0.4144144144144144, 0.4144144144144144, 0.5495495495495496, 0.5495495495495496, 0.9819819819819819, 0.9819819819819819, 1.0]","[0.0, 0.001379310344827586, 0.9682758620689655, 0.9682758620689655, 0.9737931034482759, 0.9737931034482759, 0.9751724137931035, 0.9751724137931035, 0.9793103448275862, 0.9793103448275862, 0.9820689655172414, 0.9820689655172414, 0.9875862068965517, 0.9875862068965517, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.99999801 0.96471644 0.95888067 0.92905901 0.92287307
 0.90470792 0.8999041  0.8008849  0.79070479 0.76144933 0.60613623
 0.47941086 0.47183809 0.35967544 0.35471546 0.34421609 0.20901661
 0.19766886 0.09235744 0.08856269 0.08662006 0.08593483 0.06787772
 0.06744141 0.05997503 0.059907   0.03097427 0.03063436 0.02906056]"
SVM,ALX1,GHITM,MIR654,PRLHR,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.06306306306306306, 0.06306306306306306, 0.17117117117117117, 0.17117117117117117, 0.1891891891891892, 0.1891891891891892, 0.1981981981981982, 0.1981981981981982, 0.23423423423423423, 0.23423423423423423, 0.36036036036036034, 0.36036036036036034, 0.4774774774774775, 0.4774774774774775, 0.5135135135135135, 0.5135135135135135, 0.6666666666666666, 0.6666666666666666, 0.8468468468468469, 0.8468468468468469, 0.9009009009009009, 0.9009009009009009, 1.0]","[0.0, 0.08413793103448276, 0.9255172413793104, 0.9255172413793104, 0.9379310344827586, 0.9379310344827586, 0.9448275862068966, 0.9448275862068966, 0.9586206896551724, 0.9586206896551724, 0.9668965517241379, 0.9668965517241379, 0.9737931034482759, 0.9737931034482759, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9875862068965517, 0.9875862068965517, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 1.         0.95399372 0.95351792 0.9169105  0.91235646
 0.88422993 0.88286536 0.82308384 0.81851993 0.74965043 0.74282135
 0.65874206 0.61460548 0.4794844  0.35794814 0.33717568 0.31072903
 0.2926887  0.29019841 0.28722622 0.26587649 0.25419853 0.17355286
 0.17003205 0.13413516 0.13022384 0.11145412 0.11129098 0.07395618
 0.0731022  0.04412938 0.0435704  0.03569227 0.0350749  0.00525374]"
SVM,ALX1,KRTAP20-1,MIR654,PRLHR,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.05405405405405406, 0.05405405405405406, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.08108108108108109, 0.08108108108108109, 0.09009009009009009, 0.09009009009009009, 0.13513513513513514, 0.13513513513513514, 0.14414414414414414, 0.14414414414414414, 0.17117117117117117, 0.17117117117117117, 0.18018018018018017, 0.18018018018018017, 0.2072072072072072, 0.2072072072072072, 0.2702702702702703, 0.2702702702702703, 0.27927927927927926, 0.27927927927927926, 0.2882882882882883, 0.2882882882882883, 0.34234234234234234, 0.34234234234234234, 0.40540540540540543, 0.40540540540540543, 0.45045045045045046, 0.45045045045045046, 0.8558558558558559, 0.8558558558558559, 0.918918918918919, 0.918918918918919, 1.0]","[0.0, 0.044137931034482755, 0.8386206896551724, 0.8386206896551724, 0.9144827586206896, 0.9144827586206896, 0.9310344827586207, 0.9310344827586207, 0.9406896551724138, 0.9406896551724138, 0.96, 0.96, 0.9696551724137931, 0.9696551724137931, 0.9724137931034482, 0.9724137931034482, 0.9737931034482759, 0.9737931034482759, 0.9751724137931035, 0.9751724137931035, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 1.         0.99055662 0.99036316 0.95551506 0.95217215
 0.93872481 0.9316485  0.9041213  0.90249097 0.77900121 0.77123534
 0.65736681 0.6564345  0.63815162 0.63188952 0.60453039 0.57868627
 0.5763567  0.55743231 0.51907383 0.5098034  0.46767111 0.41944932
 0.39893892 0.3979446  0.39036256 0.38102746 0.37929272 0.36549983
 0.36353891 0.35290657 0.3387599  0.25169469 0.25006562 0.24558489
 0.2419168  0.22807707 0.22540422 0.20604163 0.2022144  0.16399081
 0.1631974  0.13913513 0.13280101 0.03809172 0.03610648 0.03102361
 0.03073197 0.00880142]"
SVM,ALX1,NEFM,MIR654,PRLHR,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.04504504504504504, 0.04504504504504504, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.08108108108108109, 0.08108108108108109, 0.10810810810810811, 0.10810810810810811, 0.11711711711711711, 0.11711711711711711, 0.16216216216216217, 0.16216216216216217, 0.18018018018018017, 0.18018018018018017, 0.1891891891891892, 0.1891891891891892, 0.21621621621621623, 0.21621621621621623, 0.22522522522522523, 0.22522522522522523, 0.25225225225225223, 0.25225225225225223, 0.26126126126126126, 0.26126126126126126, 0.35135135135135137, 0.35135135135135137, 0.40540540540540543, 0.40540540540540543, 0.8018018018018018, 0.8018018018018018, 0.8648648648648649, 0.8648648648648649, 0.9279279279279279, 0.9279279279279279, 0.954954954954955, 0.954954954954955, 1.0]","[0.0, 0.002758620689655172, 0.9324137931034483, 0.9324137931034483, 0.9503448275862069, 0.9503448275862069, 0.9517241379310345, 0.9517241379310345, 0.9558620689655173, 0.9558620689655173, 0.9572413793103448, 0.9572413793103448, 0.9613793103448276, 0.9613793103448276, 0.9641379310344828, 0.9641379310344828, 0.9724137931034482, 0.9724137931034482, 0.9737931034482759, 0.9737931034482759, 0.9751724137931035, 0.9751724137931035, 0.976551724137931, 0.976551724137931, 0.9793103448275862, 0.9793103448275862, 0.9820689655172414, 0.9820689655172414, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9875862068965517, 0.9875862068965517, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 1.0, 1.0]","[       inf 1.         0.89314769 0.89174729 0.82640273 0.81679027
 0.79850981 0.79371893 0.7828045  0.73922483 0.73270691 0.72593362
 0.71329955 0.70193682 0.66325027 0.62684111 0.56932572 0.5288031
 0.52698877 0.52309051 0.48757054 0.43562992 0.42729703 0.39364389
 0.38624515 0.36928096 0.35946143 0.3438232  0.3274587  0.3164001
 0.31389759 0.2865068  0.27028444 0.26699475 0.26281957 0.19236331
 0.18742434 0.17296921 0.17277742 0.07957838 0.07911856 0.06157981
 0.06113596 0.05160654 0.04959032 0.04204009 0.03801337 0.01477474]"
SVM,ALX1,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.02702702702702703, 0.02702702702702703, 0.06306306306306306, 0.06306306306306306, 0.08108108108108109, 0.08108108108108109, 0.0990990990990991, 0.0990990990990991, 0.10810810810810811, 0.10810810810810811, 0.13513513513513514, 0.13513513513513514, 0.14414414414414414, 0.14414414414414414, 0.1981981981981982, 0.1981981981981982, 0.2882882882882883, 0.2882882882882883, 0.32432432432432434, 0.32432432432432434, 0.46846846846846846, 0.46846846846846846, 0.4864864864864865, 0.4864864864864865, 0.5045045045045045, 0.5045045045045045, 0.6486486486486487, 0.6486486486486487, 0.8018018018018018, 0.8018018018018018, 1.0]","[0.0, 0.001379310344827586, 0.9737931034482759, 0.9737931034482759, 0.976551724137931, 0.976551724137931, 0.9779310344827586, 0.9779310344827586, 0.9820689655172414, 0.9820689655172414, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 1.         0.70557931 0.61427344 0.55097933 0.39415977
 0.36012219 0.31901999 0.28131971 0.27206706 0.26341998 0.26286792
 0.25689158 0.23646645 0.2270682  0.22594415 0.22548268 0.18866037
 0.18539612 0.18173402 0.18157456 0.17406714 0.16950255 0.13122288
 0.13010463 0.1268002  0.12595212 0.1207096  0.12022947 0.11289268
 0.11195201 0.10073657 0.10041273 0.08254539]"
SVM,ALX1,TAC1,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.05405405405405406, 0.05405405405405406, 0.09009009009009009, 0.09009009009009009, 0.0990990990990991, 0.0990990990990991, 0.11711711711711711, 0.11711711711711711, 0.12612612612612611, 0.12612612612612611, 0.15315315315315314, 0.15315315315315314, 0.17117117117117117, 0.17117117117117117, 0.1891891891891892, 0.1891891891891892, 0.25225225225225223, 0.25225225225225223, 0.6036036036036037, 0.6036036036036037, 0.6666666666666666, 0.6666666666666666, 0.918918918918919, 0.918918918918919, 1.0, 1.0]","[0.0, 0.0910344827586207, 0.1103448275862069, 0.11310344827586206, 0.13241379310344828, 0.13517241379310344, 0.9475862068965517, 0.9475862068965517, 0.9641379310344828, 0.9641379310344828, 0.9737931034482759, 0.9737931034482759, 0.9751724137931035, 0.9751724137931035, 0.976551724137931, 0.976551724137931, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.9862068965517241, 0.9862068965517241, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0]","[       inf 1.         1.         1.         1.         1.
 0.90793496 0.90539464 0.80391368 0.76624357 0.69761149 0.69374813
 0.68246651 0.67384484 0.64147255 0.58623986 0.55246978 0.4876593
 0.46723378 0.46482857 0.44406186 0.43908117 0.42008147 0.40135436
 0.35103602 0.32915744 0.31819339 0.29776469 0.27824835 0.24923465
 0.23612021 0.19601964 0.19480503 0.08940828 0.08570746 0.0689403
 0.06722448 0.0376838  0.03758159 0.01530365 0.01512208]"
SVM,FOXD2,ATP5G2,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.06306306306306306, 0.06306306306306306, 0.07207207207207207, 0.07207207207207207, 0.08108108108108109, 0.08108108108108109, 0.0990990990990991, 0.0990990990990991, 0.13513513513513514, 0.13513513513513514, 0.16216216216216217, 0.16216216216216217, 0.1891891891891892, 0.1891891891891892, 0.22522522522522523, 0.22522522522522523, 0.23423423423423423, 0.23423423423423423, 0.2702702702702703, 0.2702702702702703, 0.2882882882882883, 0.2882882882882883, 0.3063063063063063, 0.3063063063063063, 0.3153153153153153, 0.3153153153153153, 0.3963963963963964, 0.3963963963963964, 0.40540540540540543, 0.40540540540540543, 0.42342342342342343, 0.42342342342342343, 0.43243243243243246, 0.43243243243243246, 0.4954954954954955, 0.4954954954954955, 0.5495495495495496, 0.5495495495495496, 0.5585585585585585, 0.5585585585585585, 0.5765765765765766, 0.5765765765765766, 0.8468468468468469, 0.8468468468468469, 1.0]","[0.0, 0.001379310344827586, 0.9255172413793104, 0.9255172413793104, 0.9365517241379311, 0.9365517241379311, 0.9572413793103448, 0.9572413793103448, 0.96, 0.96, 0.9613793103448276, 0.9613793103448276, 0.9655172413793104, 0.9655172413793104, 0.9668965517241379, 0.9668965517241379, 0.9682758620689655, 0.9682758620689655, 0.9696551724137931, 0.9696551724137931, 0.9710344827586207, 0.9710344827586207, 0.9724137931034482, 0.9724137931034482, 0.9737931034482759, 0.9737931034482759, 0.9751724137931035, 0.9751724137931035, 0.976551724137931, 0.976551724137931, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 0.99999998 0.91852041 0.9159861  0.86107137 0.85351275
 0.74141568 0.72774331 0.6801225  0.64078026 0.62813741 0.57765301
 0.55013686 0.50650819 0.5        0.49145813 0.48415848 0.45166646
 0.4416033  0.40753674 0.38105088 0.34641558 0.34235163 0.33097798
 0.32288878 0.30663295 0.28792113 0.27383269 0.26939852 0.26856131
 0.26758465 0.25298942 0.24697956 0.24659142 0.24591577 0.24198918
 0.24160574 0.24158808 0.23821881 0.22624253 0.22133457 0.21841626
 0.2159983  0.21499703 0.21448129 0.21112629 0.20863667 0.20278743
 0.19936451 0.19015036 0.18698718 0.18611243 0.18583819 0.18401644
 0.18339112 0.15292203 0.15170165 0.1241247 ]"
SVM,FOXD2,TAC1,GFRA2,MIR196A2,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.018018018018018018, 0.018018018018018018, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.08108108108108109, 0.08108108108108109, 0.09009009009009009, 0.09009009009009009, 0.0990990990990991, 0.0990990990990991, 0.10810810810810811, 0.10810810810810811, 0.11711711711711711, 0.11711711711711711, 0.13513513513513514, 0.13513513513513514, 0.18018018018018017, 0.18018018018018017, 0.1981981981981982, 0.1981981981981982, 0.2072072072072072, 0.2072072072072072, 0.21621621621621623, 0.21621621621621623, 0.2702702702702703, 0.2702702702702703, 0.2882882882882883, 0.2882882882882883, 0.3063063063063063, 0.3063063063063063, 0.34234234234234234, 0.34234234234234234, 0.36036036036036034, 0.36036036036036034, 0.4864864864864865, 0.4864864864864865, 0.5585585585585585, 0.5585585585585585, 0.7117117117117117, 0.7117117117117117, 0.7837837837837838, 0.7837837837837838, 0.9009009009009009, 0.9009009009009009, 0.9099099099099099, 0.9099099099099099, 0.972972972972973, 0.972972972972973, 1.0, 1.0]","[0.0, 0.001379310344827586, 0.856551724137931, 0.856551724137931, 0.9089655172413793, 0.9089655172413793, 0.9158620689655173, 0.9158620689655173, 0.9475862068965517, 0.9475862068965517, 0.96, 0.96, 0.9627586206896551, 0.9627586206896551, 0.9655172413793104, 0.9655172413793104, 0.9682758620689655, 0.9682758620689655, 0.9696551724137931, 0.9696551724137931, 0.9724137931034482, 0.9724137931034482, 0.9737931034482759, 0.9737931034482759, 0.9751724137931035, 0.9751724137931035, 0.9779310344827586, 0.9779310344827586, 0.9793103448275862, 0.9793103448275862, 0.9806896551724138, 0.9806896551724138, 0.9820689655172414, 0.9820689655172414, 0.983448275862069, 0.983448275862069, 0.9848275862068966, 0.9848275862068966, 0.9862068965517241, 0.9862068965517241, 0.9875862068965517, 0.9875862068965517, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 1.0]","[       inf 1.         0.96428873 0.96318925 0.89146867 0.88412815
 0.87930201 0.8756845  0.79607205 0.77428958 0.71089911 0.64927998
 0.64800509 0.64451593 0.61943098 0.61688025 0.59358715 0.5850889
 0.58122959 0.57775298 0.53252363 0.5        0.47351426 0.45986975
 0.45415314 0.43810043 0.40879489 0.40314265 0.36617814 0.36165859
 0.3603478  0.34449294 0.34422059 0.3231761  0.32043372 0.31218006
 0.30760963 0.27899358 0.27800794 0.27430008 0.2701303  0.21411369
 0.21148432 0.1738279  0.17350848 0.10907691 0.10855603 0.07485965
 0.07209565 0.05392322 0.0538344  0.05346047 0.05326449 0.03923379
 0.0388886  0.02671719 0.00661417]"
SVM,ALX1,CA3,GFRA2,MIR1197,"[0.0, 0.0, 0.0, 0.009009009009009009, 0.009009009009009009, 0.02702702702702703, 0.02702702702702703, 0.036036036036036036, 0.036036036036036036, 0.04504504504504504, 0.04504504504504504, 0.09009009009009009, 0.09009009009009009, 0.11711711711711711, 0.11711711711711711, 0.2072072072072072, 0.2072072072072072, 0.2972972972972973, 0.2972972972972973, 0.38738738738738737, 0.38738738738738737, 0.4864864864864865, 0.4864864864864865, 0.5405405405405406, 0.5405405405405406, 0.7027027027027027, 0.7027027027027027, 1.0]","[0.0, 0.13517241379310344, 0.9448275862068966, 0.9448275862068966, 0.9793103448275862, 0.9793103448275862, 0.9820689655172414, 0.9820689655172414, 0.9848275862068966, 0.9848275862068966, 0.9889655172413793, 0.9889655172413793, 0.9903448275862069, 0.9903448275862069, 0.9917241379310345, 0.9917241379310345, 0.993103448275862, 0.993103448275862, 0.9944827586206897, 0.9944827586206897, 0.9958620689655172, 0.9958620689655172, 0.9972413793103448, 0.9972413793103448, 0.9986206896551724, 0.9986206896551724, 1.0, 1.0]","[       inf 1.         0.94988016 0.94942561 0.71773339 0.70652236
 0.62238302 0.60389976 0.5124384  0.48232097 0.450552   0.39381863
 0.35847021 0.31517968 0.31514768 0.2247657  0.22311635 0.16680873
 0.16454559 0.1198903  0.11944116 0.08288297 0.07780123 0.06784567
 0.06605407 0.03951761 0.03694716 0.00326399]"
