selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,XGBoost,1,0.9400000000000001,0.9466666666666667,0.9333333333333333,0.9340476190476192,0.9397404523544679,0.9702222222222223,0.8811891504915155,0.9437458511142722
SVM,RandomForest,1,0.9066666666666666,0.9466666666666667,0.8666666666666668,0.8762745098039215,0.9096236559139786,0.9817777777777777,0.8171700098396583,0.9313647755753017
SVM,SVM,1,0.9400000000000001,0.9466666666666667,0.9333333333333333,0.9340476190476192,0.9397404523544679,0.984,0.8811891504915155,0.9437458511142722
SVM,DecisionTree,1,0.9066666666666666,0.9466666666666667,0.8666666666666668,0.8762745098039215,0.9096236559139784,0.9737777777777777,0.8171700098396585,0.9313647755753018
SVM,XGBoost,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,2,0.9933333333333334,0.9866666666666667,1.0,1.0,0.993103448275862,1.0,0.987082869338697,0.9891891891891891
SVM,DecisionTree,2,0.9533333333333334,0.9733333333333334,0.9333333333333333,0.9358333333333334,0.953978494623656,0.9955555555555555,0.9079152746827578,0.9654385964912281
SVM,XGBoost,3,0.96,0.9866666666666667,0.9333333333333333,0.9366666666666668,0.9608602150537635,0.9977777777777778,0.9216648106881216,0.9761403508771929
SVM,RandomForest,3,0.96,0.9866666666666667,0.9333333333333333,0.9366666666666668,0.9608602150537635,0.9991111111111112,0.9216648106881216,0.9761403508771929
SVM,SVM,3,0.9933333333333334,0.9866666666666667,1.0,1.0,0.993103448275862,0.9991111111111112,0.987082869338697,0.9891891891891891
SVM,DecisionTree,3,0.9800000000000001,0.96,1.0,1.0,0.9788177339901478,0.9800000000000001,0.9619777957777383,0.9672713809700111
SVM,XGBoost,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,4,0.9933333333333334,0.9866666666666667,1.0,1.0,0.993103448275862,1.0,0.987082869338697,0.9891891891891891
SVM,DecisionTree,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,RandomForest,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
