selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.0, 0.0, 0.06666666666666667, 1.0]","[0.0, 0.9467455621301775, 0.9526627218934911, 0.9644970414201184, 1.0]",[       inf 0.9402962  0.8668748  0.62820804 0.43568513]
SVM,RandomForest,1,"[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.26666666666666666, 0.4, 0.4666666666666667, 0.4666666666666667, 0.5333333333333333, 0.5333333333333333, 1.0]","[0.0, 0.9408284023668639, 0.9526627218934911, 0.9644970414201184, 0.9644970414201184, 0.9704142011834319, 0.9763313609467456, 0.9822485207100592, 0.9822485207100592, 0.9822485207100592, 0.9881656804733728, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]","[       inf 1.         0.92152381 0.75133333 0.74059524 0.69059524
 0.54666667 0.47619048 0.35685714 0.32019048 0.205      0.06333333
 0.01333333 0.00666667 0.        ]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.8, 0.8, 1.0]","[0.0, 0.005917159763313609, 0.9644970414201184, 0.9644970414201184, 0.9704142011834319, 0.9704142011834319, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]","[       inf 0.99998175 0.79252683 0.785474   0.7287385  0.72498291
 0.39060203 0.07329935 0.07293873 0.06295133]"
SVM,DecisionTree,1,"[0.0, 0.0, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.4, 1.0]","[0.0, 0.9526627218934911, 0.9585798816568047, 0.9704142011834319, 0.9822485207100592, 0.9822485207100592, 1.0]","[       inf 1.         0.75       0.66666667 0.5        0.25
 0.        ]"
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.6, 0.7333333333333333, 0.8, 1.0]","[0.0, 0.8224852071005917, 0.8402366863905325, 0.8461538461538461, 0.8579881656804734, 0.863905325443787, 0.8816568047337278, 0.9585798816568047, 0.9704142011834319, 0.9763313609467456, 0.9881656804733728, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99831116 0.9981445  0.9925477  0.9896945  0.98820066
 0.98099166 0.918658   0.91775066 0.9128121  0.8860978  0.5020871
 0.40268853 0.28917155 0.08074858 0.06846389 0.06313628 0.05733687]"
SVM,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.3333333333333333, 0.7333333333333333, 1.0]","[0.0, 0.9289940828402367, 0.9526627218934911, 0.9704142011834319, 0.9822485207100592, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.94 0.54 0.46 0.32 0.06 0.02 0.  ]
SVM,SVM,2,"[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.10650887573964497, 0.9940828402366864, 0.9940828402366864, 1.0]",[       inf 1.         0.44779858 0.01408019 0.00441392]
SVM,DecisionTree,2,"[0.0, 0.0, 0.06666666666666667, 0.26666666666666666, 1.0]","[0.0, 0.9822485207100592, 0.9881656804733728, 1.0, 1.0]",[       inf 1.         0.75       0.33333333 0.        ]
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.2, 0.3333333333333333, 1.0]","[0.0, 0.727810650887574, 0.7396449704142012, 0.7455621301775148, 0.7928994082840237, 0.8047337278106509, 0.8106508875739645, 0.8284023668639053, 0.8520710059171598, 0.893491124260355, 0.8994082840236687, 0.9112426035502958, 0.9408284023668639, 0.9526627218934911, 0.9704142011834319, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0]","[       inf 0.99818134 0.9959686  0.99588734 0.9954816  0.9946313
 0.99142784 0.9894192  0.9810955  0.98004365 0.9788431  0.97630286
 0.9629143  0.9558834  0.951947   0.63932914 0.18072201 0.18011846
 0.08747051 0.07737128]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.4, 0.5333333333333333, 0.6, 1.0]","[0.0, 0.8994082840236687, 0.9112426035502958, 0.9289940828402367, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.996      0.98       0.72       0.5347619
 0.255      0.03       0.02       0.00666667 0.        ]"
SVM,SVM,3,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0]","[0.0, 0.16568047337278108, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]",[       inf 1.         0.83325648 0.30142892 0.2398945  0.00828986]
SVM,DecisionTree,3,"[0.0, 0.0, 1.0]","[0.0, 0.9822485207100592, 1.0]",[inf  1.  0.]
SVM,XGBoost,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.6666666666666666, 1.0]","[0.0, 0.42011834319526625, 0.4319526627218935, 0.621301775147929, 0.6331360946745562, 0.6568047337278107, 0.6627218934911243, 0.6745562130177515, 0.7041420118343196, 0.7396449704142012, 0.7514792899408284, 0.757396449704142, 0.7751479289940828, 0.8047337278106509, 0.8224852071005917, 0.8402366863905325, 0.8520710059171598, 0.8757396449704142, 0.8875739644970414, 0.9053254437869822, 0.9289940828402367, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0]","[       inf 0.99634886 0.99617577 0.996157   0.9961444  0.9959747
 0.9959616  0.9959417  0.9939142  0.9933247  0.9930091  0.99109507
 0.9907352  0.98667854 0.98619473 0.9847221  0.98441494 0.9841472
 0.9833245  0.9832855  0.98241884 0.56161356 0.44212887 0.36128545
 0.05953171 0.05470738]"
SVM,RandomForest,4,"[0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.26666666666666666, 1.0]","[0.0, 0.9349112426035503, 0.9585798816568047, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0]","[       inf 1.         0.96666667 0.525      0.46       0.42666667
 0.1        0.        ]"
SVM,SVM,4,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.005917159763313609, 1.0, 1.0]",[       inf 0.99999996 0.4875709  0.00723726]
SVM,DecisionTree,4,"[0.0, 0.0, 0.06666666666666667, 1.0]","[0.0, 0.9940828402366864, 1.0, 1.0]",[inf 1.  0.5 0. ]
SVM,XGBoost,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4666666666666667, 0.6, 0.6666666666666666, 0.8, 1.0]","[0.0, 0.5976331360946746, 0.621301775147929, 0.6272189349112426, 0.6745562130177515, 0.6863905325443787, 0.6923076923076923, 0.7159763313609467, 0.7396449704142012, 0.7869822485207101, 0.7928994082840237, 0.8047337278106509, 0.834319526627219, 0.8461538461538461, 0.8579881656804734, 0.8757396449704142, 0.893491124260355, 0.9053254437869822, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9979709  0.9978416  0.997815   0.9978077  0.9974324
 0.9971909  0.9971219  0.9969087  0.9968988  0.996852   0.99682707
 0.9959675  0.99580127 0.99569404 0.9953446  0.9946525  0.99457586
 0.5493856  0.02425259 0.02190637 0.02121849 0.02083481 0.01873842]"
SVM,RandomForest,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.3333333333333333, 0.5333333333333333, 1.0]","[0.0, 0.8994082840236687, 0.9408284023668639, 0.9526627218934911, 0.9704142011834319, 0.9763313609467456, 0.9881656804733728, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.94 0.92 0.74 0.56 0.18 0.04 0.02 0.  ]
SVM,SVM,5,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.005917159763313609, 1.0, 1.0]",[       inf 0.99999996 0.60685617 0.00635647]
SVM,DecisionTree,5,"[0.0, 0.13333333333333333, 1.0]","[0.0, 0.9881656804733728, 1.0]",[inf  1.  0.]
DecisionTree,XGBoost,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.2, 1.0]","[0.0, 0.9230769230769231, 0.9289940828402367, 0.9526627218934911, 0.9644970414201184, 0.9822485207100592, 0.9881656804733728, 0.9881656804733728, 1.0]","[       inf 0.9409077  0.93569493 0.8891312  0.87904865 0.6772226
 0.4329251  0.40462798 0.37807566]"
DecisionTree,RandomForest,1,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.26666666666666666, 0.4, 0.5333333333333333, 0.5333333333333333, 1.0]","[0.0, 0.9644970414201184, 0.9704142011834319, 0.9763313609467456, 0.9822485207100592, 0.9881656804733728, 0.9881656804733728, 1.0, 1.0]","[       inf 1.         0.88333333 0.63333333 0.6        0.26666667
 0.2        0.1        0.        ]"
DecisionTree,SVM,1,"[0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.9333333333333333, 0.9333333333333333, 1.0]","[0.0, 0.005917159763313609, 0.9822485207100592, 0.9822485207100592, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0]","[       inf 1.         0.42431704 0.24552703 0.22248031 0.01980084
 0.0099723  0.00708975]"
DecisionTree,DecisionTree,1,"[0.0, 0.26666666666666666, 1.0]","[0.0, 0.9763313609467456, 1.0]",[inf  1.  0.]
DecisionTree,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.4, 0.8666666666666667, 1.0]","[0.0, 0.6390532544378699, 0.6923076923076923, 0.7041420118343196, 0.7633136094674556, 0.7751479289940828, 0.7928994082840237, 0.7988165680473372, 0.8224852071005917, 0.834319526627219, 0.8579881656804734, 0.8816568047337278, 0.8994082840236687, 0.9230769230769231, 0.9289940828402367, 0.9644970414201184, 0.9763313609467456, 0.9940828402366864, 0.9940828402366864, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9977925  0.9977005  0.99751294 0.9970721  0.9968219
 0.99341726 0.98967534 0.98404056 0.98305124 0.9729576  0.94035256
 0.9399945  0.93829346 0.93579054 0.9180377  0.8140306  0.7672468
 0.207857   0.18422627 0.17237058 0.09982663 0.07766183 0.07551914]"
