estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
DecisionTree,APOC3,C15orf2,FBRSL1,RNH1,0.9801324503311258,1.0,0.8235294117647058,0.9781021897810219,0.988929889298893,0.9705882352941176,0.8974942456618514,0.9955423476968797
DecisionTree,ATG3,C15orf2,FBRSL1,RNH1,0.9735099337748344,1.0,0.7647058823529411,0.9710144927536232,0.9852941176470589,0.8823529411764706,0.861707893928478,0.9940652818991098
DecisionTree,C1orf212,C2orf89,IKBKB,MNX1,0.9867549668874173,1.0,0.8823529411764706,0.9852941176470589,0.9925925925925926,0.9411764705882353,0.9324039696557269,0.9970238095238095
DecisionTree,C1orf212,MME,IKBKB,MNX1,0.9602649006622517,0.9925373134328358,0.7058823529411765,0.9637681159420289,0.9779411764705882,0.849209833187006,0.7870133520322666,0.9866468842729971
DecisionTree,ATG3,ICOSLG,IRF7,MME,0.9602649006622517,1.0,0.6470588235294118,0.9571428571428572,0.9781021897810219,0.8516242317822651,0.7869737804351787,0.9911242603550295
DecisionTree,ATG3,PTPRG,IRF7,MME,0.9602649006622517,0.9925373134328358,0.7058823529411765,0.9637681159420289,0.9779411764705882,0.849209833187006,0.7870133520322666,0.9866468842729971
DecisionTree,ACCN4,APBB1,DNMT1,MME,0.9867549668874173,1.0,0.8823529411764706,0.9852941176470589,0.9925925925925926,0.9411764705882353,0.9324039696557269,0.9970238095238095
DecisionTree,ACCN4,APBB1,FXR2,MME,0.9933774834437086,1.0,0.9411764705882353,0.9925925925925926,0.9962825278810409,0.9705882352941175,0.9665427010889496,0.9985096870342772
DecisionTree,ACCN4,ARRB2,DNMT1,MME,0.9668874172185431,0.9850746268656716,0.8235294117647058,0.9777777777777777,0.9814126394052045,0.9043020193151887,0.8303972273348158,0.9836065573770492
DecisionTree,ACCN4,ARRB2,FXR2,MME,0.9602649006622517,0.9850746268656716,0.7647058823529411,0.9705882352941176,0.9777777777777777,0.9596136962247586,0.7923114329213838,0.9821428571428571
