estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,APOC3,C15orf2,FBRSL1,RNH1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 1.0]","[0.0, 0.3656716417910448, 0.4253731343283582, 0.44029850746268656, 0.4552238805970149, 0.5, 0.5298507462686567, 0.582089552238806, 0.5970149253731343, 0.6044776119402985, 0.6343283582089553, 0.6492537313432836, 0.6716417910447762, 0.6791044776119403, 0.7014925373134329, 0.7164179104477612, 0.7388059701492538, 0.753731343283582, 0.7835820895522388, 0.8283582089552238, 0.8432835820895522, 0.8507462686567164, 0.8656716417910447, 0.9701492537313433, 0.9701492537313433, 1.0, 1.0]","[       inf 0.9976525  0.9975471  0.99751616 0.99740475 0.9973495
 0.9971981  0.9971585  0.99706155 0.99699366 0.99678373 0.9966149
 0.9966092  0.9964934  0.99647826 0.99645716 0.9963096  0.99547994
 0.9949945  0.99396086 0.99356383 0.99288756 0.9926944  0.9548696
 0.95474976 0.91869897 0.01726357]"
XGBoost,ATG3,C15orf2,FBRSL1,RNH1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6470588235294118, 0.7647058823529411, 0.9411764705882353, 1.0]","[0.0, 0.417910447761194, 0.4701492537313433, 0.5373134328358209, 0.5671641791044776, 0.6417910447761194, 0.6716417910447762, 0.6865671641791045, 0.7089552238805971, 0.7164179104477612, 0.7313432835820896, 0.753731343283582, 0.7686567164179104, 0.7910447761194029, 0.8208955223880597, 0.8432835820895522, 0.8805970149253731, 0.8955223880597015, 0.9402985074626866, 0.9552238805970149, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9978695  0.9977701  0.9976392  0.99750346 0.9970451
 0.9969766  0.9968491  0.9964941  0.99612975 0.99605703 0.99566406
 0.99541533 0.9953768  0.9948183  0.9947596  0.9925922  0.9920494
 0.98156905 0.97762567 0.9240746  0.05443925 0.04605183 0.03771313
 0.03573197]"
XGBoost,C1orf212,C2orf89,IKBKB,MNX1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.23529411764705882, 0.4117647058823529, 0.47058823529411764, 0.6470588235294118, 1.0]","[0.0, 0.5671641791044776, 0.582089552238806, 0.6268656716417911, 0.664179104477612, 0.6791044776119403, 0.6940298507462687, 0.7014925373134329, 0.8134328358208955, 0.8582089552238806, 0.8731343283582089, 0.8880597014925373, 0.9029850746268657, 0.9328358208955224, 0.9552238805970149, 0.9626865671641791, 0.9626865671641791, 0.9701492537313433, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9976043  0.9972097  0.9968119  0.9964449  0.99539113
 0.9953033  0.9952709  0.9948487  0.992366   0.9887279  0.9882211
 0.98437434 0.9793382  0.9782322  0.9778978  0.9041302  0.7729053
 0.598281   0.23019819 0.18571213 0.1070701  0.10244785 0.06937336]"
XGBoost,C1orf212,MME,IKBKB,MNX1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.23529411764705882, 0.35294117647058826, 0.47058823529411764, 0.47058823529411764, 0.7058823529411765, 0.7647058823529411, 1.0]","[0.0, 0.6343283582089553, 0.6417910447761194, 0.6940298507462687, 0.7611940298507462, 0.7835820895522388, 0.8134328358208955, 0.8507462686567164, 0.8582089552238806, 0.8731343283582089, 0.8880597014925373, 0.9253731343283582, 0.9402985074626866, 0.9626865671641791, 0.9626865671641791, 0.9701492537313433, 0.9776119402985075, 0.9850746268656716, 0.9925373134328358, 0.9925373134328358, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9975668  0.9969452  0.99656904 0.996506   0.99617517
 0.9880285  0.987002   0.9840718  0.9830888  0.98077434 0.97969145
 0.9736361  0.87245125 0.8552667  0.7593565  0.5937136  0.46747005
 0.3945976  0.31196707 0.2890527  0.16930415 0.11539467 0.10271559
 0.08460111 0.0765295 ]"
XGBoost,ATG3,ICOSLG,IRF7,MME,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.29411764705882354, 0.5294117647058824, 0.7647058823529411, 1.0]","[0.0, 0.7164179104477612, 0.7313432835820896, 0.7611940298507462, 0.7835820895522388, 0.7985074626865671, 0.8134328358208955, 0.8283582089552238, 0.8582089552238806, 0.8731343283582089, 0.8880597014925373, 0.9029850746268657, 0.9402985074626866, 0.9552238805970149, 0.9701492537313433, 0.9850746268656716, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.97600853 0.97276527 0.97207505 0.97204936 0.9695034
 0.9648222  0.9637926  0.95515245 0.9540383  0.9515242  0.94999814
 0.94125164 0.9406631  0.9309993  0.9119245  0.7938755  0.76425713
 0.75162214 0.4448672  0.24618332 0.1914031  0.18605083]"
XGBoost,ATG3,PTPRG,IRF7,MME,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.5882352941176471, 0.7058823529411765, 0.7647058823529411, 1.0]","[0.0, 0.7164179104477612, 0.7388059701492538, 0.7985074626865671, 0.8134328358208955, 0.835820895522388, 0.8432835820895522, 0.8656716417910447, 0.8880597014925373, 0.9029850746268657, 0.9253731343283582, 0.9402985074626866, 0.9552238805970149, 0.9701492537313433, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9761504  0.97445834 0.9724717  0.9700078  0.9686665
 0.96669513 0.96464014 0.9613818  0.96067387 0.9545904  0.9509204
 0.93057925 0.9058692  0.8218904  0.79939437 0.7379215  0.21027668
 0.17597327 0.16638139 0.1573972 ]"
XGBoost,ACCN4,APBB1,DNMT1,MME,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.47058823529411764, 0.7058823529411765, 0.7647058823529411, 1.0]","[0.0, 0.5970149253731343, 0.6268656716417911, 0.6343283582089553, 0.6716417910447762, 0.6940298507462687, 0.7164179104477612, 0.7238805970149254, 0.753731343283582, 0.7611940298507462, 0.7910447761194029, 0.835820895522388, 0.8432835820895522, 0.8582089552238806, 0.8731343283582089, 0.8880597014925373, 0.9104477611940298, 0.9253731343283582, 0.9552238805970149, 0.9552238805970149, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9759237  0.9742109  0.97251916 0.96866626 0.96492517
 0.9645685  0.96436125 0.9636923  0.9620793  0.96006495 0.9577581
 0.9572734  0.9353124  0.92139536 0.9197793  0.91682756 0.9123405
 0.9005542  0.8410036  0.6965608  0.23251125 0.2264209  0.21692125
 0.200166  ]"
XGBoost,ACCN4,APBB1,FXR2,MME,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 1.0]","[0.0, 0.6268656716417911, 0.6343283582089553, 0.6791044776119403, 0.746268656716418, 0.7985074626865671, 0.8656716417910447, 0.8805970149253731, 0.9029850746268657, 0.9328358208955224, 0.9552238805970149, 0.9701492537313433, 0.9701492537313433, 0.9850746268656716, 0.9925373134328358, 1.0, 1.0]","[       inf 0.9980927  0.9942344  0.9897076  0.98960155 0.9834631
 0.9748013  0.9459101  0.91616505 0.9153663  0.87667376 0.87554985
 0.74942756 0.6652654  0.5638502  0.5080655  0.12810153]"
XGBoost,ACCN4,ARRB2,DNMT1,MME,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.29411764705882354, 0.4117647058823529, 0.8823529411764706, 1.0]","[0.0, 0.6194029850746269, 0.6417910447761194, 0.6791044776119403, 0.7089552238805971, 0.7164179104477612, 0.746268656716418, 0.7686567164179104, 0.8059701492537313, 0.8283582089552238, 0.8432835820895522, 0.9850746268656716, 0.9850746268656716, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9979285  0.9972651  0.9962643  0.99588275 0.9956256
 0.9953793  0.9948842  0.9945214  0.9932526  0.9895034  0.78730136
 0.77383757 0.68661034 0.6782013  0.36810648 0.17079397 0.12145171
 0.06319334 0.05539075]"
XGBoost,ACCN4,ARRB2,FXR2,MME,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.35294117647058826, 0.4117647058823529, 0.7647058823529411, 0.8823529411764706, 1.0]","[0.0, 0.6194029850746269, 0.664179104477612, 0.6865671641791045, 0.7164179104477612, 0.746268656716418, 0.7761194029850746, 0.7910447761194029, 0.8507462686567164, 0.8656716417910447, 0.8880597014925373, 0.9552238805970149, 0.9552238805970149, 0.9776119402985075, 0.9776119402985075, 0.9850746268656716, 0.9850746268656716, 0.9925373134328358, 0.9925373134328358, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99716574 0.9967384  0.9956306  0.9954333  0.99483114
 0.9923636  0.9918949  0.984631   0.98438156 0.9836821  0.962117
 0.9534548  0.42431107 0.407964   0.40286255 0.34647295 0.1977561
 0.16784066 0.15897974 0.09964295 0.09948147 0.05087603]"
