selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.0, 0.017543859649122806, 0.08771929824561403, 0.12280701754385964, 0.21052631578947367, 1.0]","[0.0, 0.9834254143646409, 0.9852670349907919, 0.990791896869245, 0.992633517495396, 0.996316758747698, 1.0]","[       inf 0.974934   0.47799018 0.41143167 0.31056818 0.27062735
 0.20512636]"
SVM,RandomForest,1,"[0.0, 0.0, 0.0, 0.03508771929824561, 0.03508771929824561, 0.05263157894736842, 0.07017543859649122, 0.08771929824561403, 0.08771929824561403, 0.2631578947368421, 0.3157894736842105, 0.3508771929824561, 0.3684210526315789, 0.40350877192982454, 0.42105263157894735, 0.45614035087719296, 0.47368421052631576, 1.0]","[0.0, 0.9852670349907919, 0.990791896869245, 0.990791896869245, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.49433333 0.47071429 0.41571429 0.35496825
 0.33866667 0.33       0.32226984 0.07733333 0.07233333 0.06222222
 0.04       0.032      0.02333333 0.01       0.00952381 0.        ]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.07017543859649122, 0.07017543859649122, 0.08771929824561403, 0.08771929824561403, 0.10526315789473684, 0.10526315789473684, 0.14035087719298245, 0.14035087719298245, 0.5789473684210527, 0.5789473684210527, 0.9473684210526315, 0.9473684210526315, 0.9649122807017544, 0.9649122807017544, 1.0]","[0.0, 0.001841620626151013, 0.9852670349907919, 0.9852670349907919, 0.9871086556169429, 0.9871086556169429, 0.990791896869245, 0.990791896869245, 0.992633517495396, 0.992633517495396, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0]","[       inf 1.         0.97780896 0.43527413 0.30973125 0.24318797
 0.19664587 0.13267352 0.12637053 0.12066163 0.1205402  0.11470888
 0.11436546 0.10248954 0.10231672 0.10180772 0.10179148 0.10025608]"
SVM,DecisionTree,1,"[0.0, 0.0, 0.10526315789473684, 1.0]","[0.0, 0.988950276243094, 1.0, 1.0]",[inf 1.  0.5 0. ]
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.05263157894736842, 0.08771929824561403, 0.10526315789473684, 0.21052631578947367, 0.2807017543859649, 0.2982456140350877, 0.38596491228070173, 0.42105263157894735, 0.45614035087719296, 1.0]","[0.0, 0.9079189686924494, 0.9447513812154696, 0.9613259668508287, 0.9760589318600368, 0.9779005524861878, 0.9834254143646409, 0.9852670349907919, 0.990791896869245, 0.990791896869245, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99667287 0.99437684 0.99048376 0.9846674  0.94695145
 0.93282586 0.8551325  0.6109045  0.55305195 0.3281909  0.3017542
 0.28006697 0.23160927 0.20278102 0.1731954  0.14169842 0.13565338
 0.06118925 0.04180019 0.03282254]"
SVM,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.08771929824561403, 0.12280701754385964, 0.15789473684210525, 0.24561403508771928, 0.2631578947368421, 0.3157894736842105, 0.3333333333333333, 0.42105263157894735, 0.43859649122807015, 1.0]","[0.0, 0.9723756906077348, 0.9797421731123389, 0.9815837937384899, 0.9852670349907919, 0.988950276243094, 0.992633517495396, 0.992633517495396, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.93333333 0.9        0.88333333
 0.85       0.76666667 0.55       0.38333333 0.36111111 0.21666667
 0.2        0.16666667 0.1        0.08333333 0.06666667 0.05
 0.04444444 0.03333333 0.        ]"
SVM,SVM,2,"[0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.03508771929824561, 0.03508771929824561, 0.05263157894736842, 0.05263157894736842, 0.07017543859649122, 0.07017543859649122, 0.08771929824561403, 0.08771929824561403, 0.631578947368421, 0.631578947368421, 1.0]","[0.0, 0.001841620626151013, 0.9705340699815838, 0.9705340699815838, 0.988950276243094, 0.988950276243094, 0.990791896869245, 0.990791896869245, 0.994475138121547, 0.994475138121547, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0, 1.0]","[       inf 0.99999125 0.98179912 0.98064377 0.86521263 0.62565685
 0.57936399 0.5        0.42233694 0.38174903 0.36444529 0.33188968
 0.24116102 0.01771162 0.01765491 0.00829753]"
SVM,DecisionTree,2,"[0.0, 0.0, 0.017543859649122806, 0.03508771929824561, 0.10526315789473684, 0.15789473684210525, 1.0]","[0.0, 0.9852670349907919, 0.990791896869245, 0.994475138121547, 0.998158379373849, 1.0, 1.0]","[       inf 1.         0.75       0.66666667 0.33333333 0.25
 0.        ]"
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.017543859649122806, 0.10526315789473684, 0.10526315789473684, 0.2982456140350877, 0.3333333333333333, 0.38596491228070173, 0.42105263157894735, 0.5263157894736842, 0.5964912280701754, 0.7719298245614035, 0.8245614035087719, 1.0]","[0.0, 0.858195211786372, 0.8692449355432781, 0.9060773480662984, 0.9244935543278084, 0.9263351749539595, 0.9337016574585635, 0.9355432780847146, 0.9410681399631676, 0.9429097605893186, 0.9465930018416207, 0.9484346224677717, 0.9539594843462247, 0.9558011049723757, 0.9594843462246777, 0.9668508287292817, 0.9723756906077348, 0.9742173112338858, 0.9779005524861878, 0.9852670349907919, 0.990791896869245, 0.990791896869245, 0.994475138121547, 0.998158379373849, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9759443  0.97126615 0.9672859  0.9550678  0.9488107
 0.94296235 0.938052   0.93494123 0.93487334 0.9282815  0.9256825
 0.9245374  0.913905   0.91306424 0.8888984  0.88809955 0.876482
 0.8746935  0.87024075 0.8106011  0.7967519  0.7297444  0.6119369
 0.37262627 0.35329142 0.23227902 0.22746265 0.22078538 0.21700433
 0.15818648 0.1521135  0.14497614 0.14384337 0.13703133]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10526315789473684, 0.2807017543859649, 0.49122807017543857, 1.0]","[0.0, 0.9447513812154696, 0.9705340699815838, 0.9779005524861878, 0.9834254143646409, 0.9871086556169429, 0.990791896869245, 0.994475138121547, 0.998158379373849, 1.0, 1.0, 1.0, 1.0, 1.0]",[ inf 1.   0.98 0.96 0.94 0.9  0.88 0.8  0.78 0.66 0.08 0.04 0.02 0.  ]
