estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,APOC3,C15orf2,FBRSL1,RNH1,"[0.0, 0.0, 0.03508771929824561, 0.07017543859649122, 0.21052631578947367, 1.0]","[0.0, 0.9815837937384899, 0.988950276243094, 0.992633517495396, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,ATG3,C15orf2,FBRSL1,RNH1,"[0.0, 0.0, 0.03508771929824561, 1.0]","[0.0, 0.996316758747698, 1.0, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,C1orf212,C2orf89,IKBKB,MNX1,"[0.0, 0.0, 0.017543859649122806, 0.05263157894736842, 1.0]","[0.0, 0.996316758747698, 0.998158379373849, 1.0, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
DecisionTree,C1orf212,MME,IKBKB,MNX1,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,ATG3,ICOSLG,IRF7,MME,"[0.0, 0.0, 0.017543859649122806, 1.0]","[0.0, 0.996316758747698, 1.0, 1.0]",[       inf 1.         0.66666667 0.        ]
DecisionTree,ATG3,PTPRG,IRF7,MME,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,ACCN4,APBB1,DNMT1,MME,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,ACCN4,APBB1,FXR2,MME,"[0.0, 0.0, 0.03508771929824561, 0.07017543859649122, 1.0]","[0.0, 0.994475138121547, 0.998158379373849, 1.0, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
DecisionTree,ACCN4,ARRB2,DNMT1,MME,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",[inf  1.  0.]
DecisionTree,ACCN4,ARRB2,FXR2,MME,"[0.0, 0.0, 0.017543859649122806, 0.03508771929824561, 0.05263157894736842, 0.08771929824561403, 1.0]","[0.0, 0.9871086556169429, 0.992633517495396, 0.996316758747698, 0.998158379373849, 1.0, 1.0]","[       inf 1.         0.75       0.66666667 0.5        0.33333333
 0.        ]"
