estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
XGBoost,APOC3,C15orf2,FBRSL1,RNH1,0.9883333333333333,0.994475138121547,0.9298245614035088,0.9926470588235294,0.9935602575896965,0.9988045620496915,0.9316583724055288,0.9941089837997055
XGBoost,ATG3,C15orf2,FBRSL1,RNH1,0.995,0.998158379373849,0.9649122807017544,0.9963235294117647,0.9972401103955841,0.9991276533876127,0.9707380021205259,0.9977908689248896
XGBoost,C1orf212,C2orf89,IKBKB,MNX1,0.9933333333333333,0.994475138121547,0.9824561403508771,0.9981515711645101,0.996309963099631,0.9977060515007594,0.9620036479869868,0.9952082565425728
XGBoost,C1orf212,MME,IKBKB,MNX1,0.9883333333333333,0.988950276243094,0.9824561403508771,0.9981412639405205,0.9935245143385754,0.9972860327614615,0.9357316687413266,0.9907749077490775
XGBoost,ATG3,ICOSLG,IRF7,MME,0.9916666666666667,0.996316758747698,0.9473684210526315,0.9944852941176471,0.9954001839926403,0.998433007011082,0.9511981872630273,0.9959499263622975
XGBoost,ATG3,PTPRG,IRF7,MME,0.9933333333333333,0.998158379373849,0.9473684210526315,0.9944954128440368,0.9963235294117647,0.9992407353558851,0.9607968928831127,0.9974236290025764
XGBoost,ACCN4,APBB1,DNMT1,MME,0.9816666666666667,0.992633517495396,0.8771929824561403,0.9871794871794872,0.98989898989899,0.9963329133145941,0.8912032795991514,0.9915378955114055
XGBoost,ACCN4,APBB1,FXR2,MME,0.99,0.996316758747698,0.9298245614035088,0.9926605504587156,0.9944852941176471,0.9980937611062646,0.9410983404918648,0.9955833640044166
XGBoost,ACCN4,ARRB2,DNMT1,MME,0.9933333333333333,0.994475138121547,0.9824561403508771,0.9981515711645101,0.996309963099631,0.9993215081903654,0.9620036479869868,0.9952082565425728
XGBoost,ACCN4,ARRB2,FXR2,MME,0.9916666666666667,0.994475138121547,0.9649122807017544,0.996309963099631,0.9953917050691244,0.9979806791379924,0.9519578544586824,0.9948415622697127
