"","CALCA","TMCO4","MYBPHL","ARFGAP1","THADA","PPP1R14A","ARSJ","TATDN3","OLFM3","HDAC4","ASB1","GCC2","RALA","BMF","WDR90","ANKRD30B","APP","SULF2","ESR1","CMTM2","ANKRD27","BAD","RPS27","ARID2","VAT1L","ASH2L","TBX18","FBXO25","LARP1B","PLEKHG4","CDH8","TXNRD1","STEAP3","CCDC102B","LAMC2","ERLIN1","TOM1","PNKD","ALPP","NSL1","TFIP11","BAIAP2L1","MAPK4","AKR1A1","COL11A2","FGF3","HOOK2","TCHH","SDCCAG8","MYBL1","ATAD3B","SNX9","TMBIM4","MIR657","ADRA1B","CAPN10","MGST3","POLE","TYSND1","AGTRAP","BARX2","TIPRL","CSRNP1","ASAP2","NKX1-2","TP53BP2","NDC80","ZBTB25","FEZF2","OSBPL5","EFCAB5","TCEA1","RAD23A","TJP1","ZDHHC2","C17orf37","MYEOV2","FAM46C","C20orf194","MFSD4","HBXIP","COBRA1","MORG1"
"CALCA",0,0,0.283,0.383,0.318,0.9,0.762,0.759,0,0.479,0.343,0.197,0.486,0,0,0.533,0.342,0.729,0.485,0.19,0.395,0.393,0.446,0.355,0.38,0.351,0.471,0.579,0.364,0.34,0.354,0.382,0.531,0.275,0.747,0.333,0.323,0.383,0.432,0,0.299,0.282,0.477,0.608,0.452,0.223,0.199,0.764,0,0.857,0.878,0.326,0,0.762,0.344,0.311,0.391,0.512,0.585,0.344,0.504,0,0.488,0.383,0.855,0.221,0.268,0.474,0.679,0.754,0.689,0.366,0.384,0.242,0.668,0,0,0.39,0,0.902,0.39,0.307,0
"TMCO4",0,0,0,0,0,0.9,0.643,0.643,0,0,0,0,0,0,0,0.533,0,0.572,0,0,0,0,0,0,0,0,0,0.343,0,0,0.212,0,0,0,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0.807,0.829,0,0,0.762,0,0,0,0,0.343,0,0,0,0,0,0.807,0,0,0,0.457,0.658,0.689,0,0,0,0.424,0,0,0,0,0.902,0,0,0
"MYBPHL",0.283,0,0,0.385,0.266,0.772,0.665,0.657,0,0.47,0.325,0.234,0.506,0,0,0,0.445,0.643,0.472,0.265,0.375,0.399,0.448,0.37,0.357,0.362,0.484,0.516,0.383,0.309,0.415,0.425,0.522,0.254,0.596,0.34,0.324,0.376,0.444,0,0.29,0.27,0.486,0.552,0.427,0.297,0.231,0.693,0,0.715,0.784,0.384,0,0.762,0.325,0.287,0.399,0.529,0.536,0.323,0.506,0,0.323,0.385,0.714,0.255,0.286,0.463,0.62,0.669,0.689,0.385,0.398,0.217,0.657,0,0,0.389,0,0.755,0.289,0.302,0
"ARFGAP1",0.383,0,0.385,0,0.317,0.796,0.489,0.485,0,0.48,0.483,0.361,0.556,0,0,0.533,0.422,0.593,0.485,0.409,0.209,0.421,0.449,0.259,0.373,0.269,0.579,0.654,0.485,0.285,0.338,0.526,0.491,0.401,0.751,0.449,0.391,0.292,0.344,0,0.43,0.373,0.565,0.696,0.392,0.412,0.339,0.431,0,0.852,0.862,0.439,0,0.762,0.461,0.407,0.537,0.521,0.661,0.484,0.59,0,0.567,0,0.848,0.347,0.4,0.417,0.543,0.759,0.175,0.356,0.452,0.327,0.769,0,0,0.515,0,0.902,0.353,0.44,0
"THADA",0.318,0,0.266,0.317,0,0.553,0.753,0.748,0,0.536,0.417,0.283,0.542,0,0,0.533,0.427,0.734,0.479,0.317,0.28,0.366,0.517,0.419,0.454,0.403,0.558,0.601,0.432,0.214,0.456,0.497,0.606,0.315,0.717,0.389,0.351,0.458,0.511,0,0.351,0.311,0.548,0.691,0.525,0.339,0.271,0.735,0,0.827,0.861,0.409,0,0.762,0.403,0.35,0.507,0.576,0.61,0.418,0.572,0,0.531,0.317,0.816,0.289,0.35,0.553,0.697,0.748,0.689,0.434,0.422,0.257,0.753,0,0,0.469,0,0.902,0.31,0.363,0
"PPP1R14A",0.9,0.9,0.772,0.796,0.553,0,0.946,0.946,0.9,0.854,0.9,0.9,0.9,0.9,0.9,0.772,0.777,0.928,0.68,0.9,0.796,0.813,0.9,0.9,0.9,0.9,0.9,0.946,0.9,0.813,0.928,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.958,0.9,0.928,0.972,0.9,0.9,0.97,0.9,0.9,0.9,0.9,0.946,0.9,0.9,0.9,0.772,0.796,0.928,0.9,0.9,0.9,0.9,0.928,0.958,0.9,0.9,0.9,0.951,0.9,0.9,0.9,0.9,0.978,0.813,0.9,0.9
"ARSJ",0.762,0.643,0.665,0.489,0.753,0.946,0,0.236,0.643,0.685,0.76,0.744,0.803,0.643,0.643,0.671,0.715,0.237,0.782,0.753,0.797,0.765,0.652,0.464,0.521,0.521,0.819,0.815,0.76,0.772,0.556,0.761,0.62,0.752,0.822,0.766,0.771,0.36,0.43,0.643,0.731,0.756,0.803,0.824,0.577,0.768,0.742,0.367,0.643,0.902,0.816,0.767,0.643,0.872,0.78,0.729,0.764,0.671,0.793,0.776,0.797,0.643,0.77,0.489,0.896,0.752,0.763,0.599,0.609,0.85,0.175,0.581,0.776,0.736,0.85,0.643,0.643,0.773,0.643,0.953,0.764,0.741,0.643
"TATDN3",0.759,0.643,0.657,0.485,0.748,0.946,0.236,0,0.643,0.672,0.748,0.74,0.792,0.643,0.643,0.671,0.714,0.417,0.781,0.748,0.794,0.763,0.649,0.461,0.502,0.518,0.817,0.798,0.756,0.767,0.553,0.748,0.604,0.748,0.818,0.762,0.769,0.318,0.396,0.643,0.726,0.753,0.791,0.797,0.574,0.764,0.739,0.364,0.643,0.898,0.786,0.765,0.643,0.872,0.776,0.711,0.744,0.624,0.769,0.771,0.795,0.643,0.766,0.485,0.892,0.749,0.76,0.596,0.606,0.848,0.175,0.577,0.774,0.732,0.83,0.643,0.643,0.763,0.643,0.953,0.759,0.736,0.643
"OLFM3",0,0,0,0,0,0.9,0.643,0.643,0,0,0,0,0,0,0,0.533,0,0.572,0,0,0,0,0,0,0,0,0,0.343,0,0,0.212,0,0,0,0.658,0,0,0,0,0,0,0,0,0,0,0,0,0.689,0,0.807,0.829,0,0,0.762,0,0,0,0,0.343,0,0,0,0,0,0.807,0,0,0,0.457,0.658,0.689,0,0,0,0.424,0,0,0,0,0.902,0,0,0
"HDAC4",0.479,0,0.47,0.48,0.536,0.854,0.685,0.672,0,0,0.481,0.476,0.555,0,0,0.37,0.362,0.679,0.386,0.526,0.535,0.531,0.417,0.412,0.419,0.343,0.425,0.616,0.509,0.544,0.533,0.523,0.515,0.523,0.787,0.532,0.489,0.453,0.436,0,0.48,0.498,0.507,0.615,0.45,0.52,0.462,0.714,0,0.725,0.851,0.483,0,0.711,0.534,0.47,0.503,0.446,0.648,0.546,0.441,0,0.466,0.48,0.719,0.425,0.443,0.393,0.531,0.775,0.45,0.393,0.475,0.481,0.662,0,0,0.512,0,0.85,0.462,0.501,0
