selection_model,train_model,features,fpr,tpr,AUC
XGBoost,XGBoost,25,"[0.0, 0.0, 1.0]","[0.0, 0.9926062846580407, 1.0]",0.9963031423290203
XGBoost,Random Forest,25,"[0.0, 0.0, 1.0]","[0.0, 0.9944547134935305, 1.0]",0.9972273567467653
XGBoost,Decision Tree,25,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
XGBoost,SVM,25,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
XGBoost,XGBoost,30,"[0.0, 0.0, 1.0]","[0.0, 0.9944547134935305, 1.0]",0.9972273567467653
XGBoost,Random Forest,30,"[0.0, 0.0, 1.0]","[0.0, 0.9944547134935305, 1.0]",0.9972273567467653
XGBoost,Decision Tree,30,"[0.0, 0.0, 1.0]","[0.0, 0.977818853974122, 1.0]",0.9889094269870611
XGBoost,SVM,30,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
XGBoost,XGBoost,35,"[0.0, 0.0, 1.0]","[0.0, 0.9926062846580407, 1.0]",0.9963031423290203
XGBoost,Random Forest,35,"[0.0, 0.0, 1.0]","[0.0, 0.9907578558225508, 1.0]",0.9953789279112755
XGBoost,Decision Tree,35,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
XGBoost,SVM,35,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
Random Forest,XGBoost,25,"[0.0, 0.0, 1.0]","[0.0, 0.9926062846580407, 1.0]",0.9963031423290203
Random Forest,Random Forest,25,"[0.0, 0.0, 1.0]","[0.0, 0.9870609981515711, 1.0]",0.9935304990757856
Random Forest,Decision Tree,25,"[0.0, 0.0, 1.0]","[0.0, 0.977818853974122, 1.0]",0.9889094269870611
Random Forest,SVM,25,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
Random Forest,XGBoost,30,"[0.0, 0.0, 1.0]","[0.0, 0.9907578558225508, 1.0]",0.9953789279112755
Random Forest,Random Forest,30,"[0.0, 0.0, 1.0]","[0.0, 0.9926062846580407, 1.0]",0.9963031423290203
Random Forest,Decision Tree,30,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
Random Forest,SVM,30,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
Random Forest,XGBoost,35,"[0.0, 0.0, 1.0]","[0.0, 0.9944547134935305, 1.0]",0.9972273567467653
Random Forest,Random Forest,35,"[0.0, 0.0, 1.0]","[0.0, 0.9907578558225508, 1.0]",0.9953789279112755
Random Forest,Decision Tree,35,"[0.0, 0.0, 1.0]","[0.0, 0.977818853974122, 1.0]",0.9889094269870611
Random Forest,SVM,35,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
Decision Tree,XGBoost,25,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
Decision Tree,Random Forest,25,"[0.0, 0.0, 1.0]","[0.0, 0.9870609981515711, 1.0]",0.9935304990757856
Decision Tree,Decision Tree,25,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
Decision Tree,SVM,25,"[0.0, 0.0, 1.0]","[0.0, 0.9963031423290203, 1.0]",0.9981515711645101
Decision Tree,XGBoost,30,"[0.0, 0.0018450184501845018, 1.0]","[0.0, 0.9870609981515711, 1.0]",0.9926079898506934
Decision Tree,Random Forest,30,"[0.0, 0.0, 1.0]","[0.0, 0.9870609981515711, 1.0]",0.9935304990757856
Decision Tree,Decision Tree,30,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
Decision Tree,SVM,30,"[0.0, 0.0, 1.0]","[0.0, 0.9963031423290203, 1.0]",0.9981515711645101
Decision Tree,XGBoost,35,"[0.0, 0.0018450184501845018, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9916837754329484
Decision Tree,Random Forest,35,"[0.0, 0.0, 1.0]","[0.0, 0.9870609981515711, 1.0]",0.9935304990757856
Decision Tree,Decision Tree,35,"[0.0, 0.012915129151291513, 1.0]","[0.0, 0.9704251386321626, 1.0]",0.9787550047404356
Decision Tree,SVM,35,"[0.0, 0.0, 1.0]","[0.0, 0.9981515711645101, 1.0]",0.9990757855822551
SVM,XGBoost,25,"[0.0, 0.0, 1.0]","[0.0, 0.9926062846580407, 1.0]",0.9963031423290203
SVM,Random Forest,25,"[0.0, 0.0, 1.0]","[0.0, 0.9944547134935305, 1.0]",0.9972273567467653
SVM,Decision Tree,25,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
SVM,SVM,25,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
SVM,XGBoost,30,"[0.0, 0.0, 1.0]","[0.0, 0.9926062846580407, 1.0]",0.9963031423290203
SVM,Random Forest,30,"[0.0, 0.0, 1.0]","[0.0, 0.9944547134935305, 1.0]",0.9972273567467653
SVM,Decision Tree,30,"[0.0, 0.0, 1.0]","[0.0, 0.9852125693160814, 1.0]",0.9926062846580407
SVM,SVM,30,"[0.0, 0.0, 1.0]","[0.0, 1.0, 1.0]",1.0
