selection_model,train_model,features,accuracy,recall,speficity,precision,f1_score,J-index,AUC,MCC
XGBoost,XGBoost,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
XGBoost,Random Forest,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
XGBoost,Decision Tree,25,0.975,0.9742173112338858,0.9824561403508771,0.9981132075471698,0.9860205032618826,0.9566734515847628,0.9783367257923814,0.8738041639975958
XGBoost,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
XGBoost,Random Forest,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
XGBoost,Decision Tree,30,0.9716666666666667,0.9723756906077348,0.9649122807017544,0.9962264150943396,0.9841565703634669,0.9372879713094893,0.9686439856547445,0.8560978992762666
XGBoost,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,XGBoost,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
XGBoost,Random Forest,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
XGBoost,Decision Tree,35,0.9716666666666667,0.9723756906077348,0.9649122807017544,0.9962264150943396,0.9841565703634669,0.9372879713094893,0.9686439856547445,0.8560978992762666
XGBoost,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,XGBoost,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Random Forest,Random Forest,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Random Forest,Decision Tree,25,0.9783333333333334,0.9760589318600368,1.0,1.0,0.9878844361602982,0.9760589318600368,0.9880294659300184,0.8915104287189249
Random Forest,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,XGBoost,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Random Forest,Random Forest,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Random Forest,Decision Tree,30,0.9716666666666667,0.9723756906077348,0.9649122807017544,0.9962264150943396,0.9841565703634669,0.9372879713094893,0.9686439856547445,0.8560978992762666
Random Forest,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,XGBoost,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Random Forest,Random Forest,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Random Forest,Decision Tree,35,0.9716666666666667,0.9723756906077348,0.9649122807017544,0.9962264150943396,0.9841565703634669,0.9372879713094893,0.9686439856547445,0.8560978992762666
Random Forest,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,XGBoost,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Decision Tree,Random Forest,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Decision Tree,Decision Tree,25,0.9783333333333334,0.9760589318600368,1.0,1.0,0.9878844361602982,0.9760589318600368,0.9880294659300184,0.8915104287189249
Decision Tree,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,XGBoost,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Decision Tree,Random Forest,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Decision Tree,Decision Tree,30,0.9783333333333334,0.9760589318600368,1.0,1.0,0.9878844361602982,0.9760589318600368,0.9880294659300184,0.8915104287189249
Decision Tree,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,XGBoost,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Decision Tree,Random Forest,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
Decision Tree,Decision Tree,35,0.9666666666666667,0.9668508287292817,0.9649122807017544,0.9962049335863378,0.9813084112149533,0.9317631094310361,0.965881554715518,0.8357494832448489
Decision Tree,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
SVM,Random Forest,25,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
SVM,Decision Tree,25,0.9783333333333334,0.9760589318600368,1.0,1.0,0.9878844361602982,0.9760589318600368,0.9880294659300184,0.8915104287189249
SVM,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
SVM,Random Forest,30,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
SVM,Decision Tree,30,0.9733333333333334,0.9705340699815838,1.0,1.0,0.9850467289719627,0.9705340699815839,0.9852670349907919,0.8705252861469543
SVM,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,XGBoost,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
SVM,Random Forest,35,0.905,1.0,0.0,0.905,0.9501312335958005,0.0,0.5,0.0
SVM,Decision Tree,35,0.9783333333333334,0.9760589318600368,1.0,1.0,0.9878844361602982,0.9760589318600368,0.9880294659300184,0.8915104287189249
SVM,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
