selection_model,train_model,features,accuracy,recall,speficity,precision,f1_score,J-index,AUC,MCC,Mean cross-validated score,Best parameters
XGBoost,XGBoost,25,0.994475138121547,0.990791896869245,0.998158379373849,0.9981447124304267,0.9944547134935305,0.988950276243094,0.994475138121547,0.9889771100604622,0.9935526148902888,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 200, 'subsample': 0.6}"
XGBoost,Random Forest,25,0.9953959484346224,0.990791896869245,1.0,1.0,0.9953746530989824,0.9907918968692448,0.9953959484346224,0.9908339037485134,0.9935526148902888,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,25,0.9880294659300184,0.9760589318600368,1.0,1.0,0.9878844361602982,0.9760589318600368,0.9880294659300184,0.9763387783305252,0.9871094575740921,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972392508349893,"{'C': 50, 'kernel': 'rbf'}"
XGBoost,XGBoost,30,0.9935543278084714,0.988950276243094,0.998158379373849,0.9981412639405205,0.9935245143385754,0.987108655616943,0.9935543278084714,0.9871505063368089,0.9935526148902888,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 100, 'subsample': 0.6}"
XGBoost,Random Forest,30,0.994475138121547,0.990791896869245,0.998158379373849,0.9981447124304267,0.9944547134935305,0.988950276243094,0.994475138121547,0.9889771100604622,0.9944742738764638,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
XGBoost,Decision Tree,30,0.990791896869245,0.9834254143646409,0.998158379373849,0.9981308411214953,0.9907235621521335,0.9815837937384899,0.9907918968692448,0.9816903425001703,0.9880311165602672,"{'max_features': 10, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972392508349893,"{'C': 50, 'kernel': 'rbf'}"
XGBoost,XGBoost,35,0.9953959484346224,0.990791896869245,1.0,1.0,0.9953746530989824,0.9907918968692448,0.9953959484346224,0.9908339037485134,0.9953959328626392,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.7}"
XGBoost,Random Forest,35,0.994475138121547,0.988950276243094,1.0,1.0,0.9944444444444445,0.988950276243094,0.994475138121547,0.9890106554040419,0.9944742738764638,"{'max_features': 10, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 200}"
XGBoost,Decision Tree,35,0.988950276243094,0.9834254143646409,0.994475138121547,0.994413407821229,0.9888888888888889,0.9779005524861879,0.988950276243094,0.9779602570196391,0.9825096182302456,"{'max_features': 20, 'min_samples_leaf': 70, 'min_samples_split': 70}"
XGBoost,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972392508349893,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,25,0.994475138121547,0.990791896869245,0.998158379373849,0.9981447124304267,0.9944547134935305,0.988950276243094,0.994475138121547,0.9889771100604622,0.9944742738764638,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 200, 'subsample': 0.6}"
Random Forest,Random Forest,25,0.9935543278084714,0.988950276243094,0.998158379373849,0.9981412639405205,0.9935245143385754,0.987108655616943,0.9935543278084714,0.9871505063368089,0.9926351836976283,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,25,0.990791896869245,0.9834254143646409,0.998158379373849,0.9981308411214953,0.9907235621521335,0.9815837937384899,0.9907918968692448,0.9816903425001703,0.9880311165602672,"{'max_features': 20, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972392508349893,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,30,0.994475138121547,0.990791896869245,0.998158379373849,0.9981447124304267,0.9944547134935305,0.988950276243094,0.994475138121547,0.9889771100604622,0.9935568426838033,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.8}"
Random Forest,Random Forest,30,0.9935543278084714,0.988950276243094,0.998158379373849,0.9981412639405205,0.9935245143385754,0.987108655616943,0.9935543278084714,0.9871505063368089,0.9917135247114531,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 50}"
Random Forest,Decision Tree,30,0.990791896869245,0.9834254143646409,0.998158379373849,0.9981308411214953,0.9907235621521335,0.9815837937384899,0.9907918968692448,0.9816903425001703,0.9880311165602672,"{'max_features': 10, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972392508349893,"{'C': 50, 'kernel': 'rbf'}"
Random Forest,XGBoost,35,0.994475138121547,0.990791896869245,0.998158379373849,0.9981447124304267,0.9944547134935305,0.988950276243094,0.994475138121547,0.9889771100604622,0.9944742738764638,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 200, 'subsample': 0.7}"
Random Forest,Random Forest,35,0.9935543278084714,0.988950276243094,0.998158379373849,0.9981412639405205,0.9935245143385754,0.987108655616943,0.9935543278084714,0.9871505063368089,0.9926351836976283,"{'max_features': 10, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 150}"
Random Forest,Decision Tree,35,0.988950276243094,0.9834254143646409,0.994475138121547,0.994413407821229,0.9888888888888889,0.9779005524861879,0.988950276243094,0.9779602570196391,0.9852745951887709,"{'max_features': 5, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Random Forest,SVM,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972392508349893,"{'C': 50, 'kernel': 'rbf'}"
Decision Tree,XGBoost,25,0.990791896869245,0.9834254143646409,0.998158379373849,0.9981308411214953,0.9907235621521335,0.9815837937384899,0.9907918968692448,0.9816903425001703,0.9907918657252781,"{'colsample_bytree': 0.6, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 60, 'n_estimators': 100, 'subsample': 0.7}"
Decision Tree,Random Forest,25,0.9935543278084714,0.990791896869245,0.996316758747698,0.9962962962962963,0.9935364727608494,0.987108655616943,0.9935543278084714,0.987123721262896,0.9935610704773179,"{'max_features': 5, 'min_samples_leaf': 80, 'min_samples_split': 80, 'n_estimators': 100}"
Decision Tree,Decision Tree,25,0.990791896869245,0.9834254143646409,0.998158379373849,0.9981308411214953,0.9907235621521335,0.9815837937384899,0.9907918968692448,0.9816903425001703,0.9880311165602672,"{'max_features': 20, 'min_samples_leaf': 70, 'min_samples_split': 70}"
Decision Tree,SVM,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9953959328626389,"{'C': 50, 'kernel': 'rbf'}"
Decision Tree,XGBoost,30,0.9917127071823204,0.9852670349907919,0.998158379373849,0.9981343283582089,0.9916589434661723,0.9834254143646408,0.9917127071823205,0.9835071406928159,0.9917135247114531,"{'colsample_bytree': 0.7, 'learning_rate': 0.1, 'max_depth': 2, 'min_child_weight': 40, 'n_estimators': 50, 'subsample': 0.7}"
