selection_model,train_model,features,fpr,tpr,threshold
XGBoost,XGBoost,40,"[0.0, 1.0]","[0.0, 1.0]",[      inf 0.8379679]
XGBoost,RandomForest,40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.07017543859649122, 1.0]","[0.0, 0.09023941068139964, 0.10497237569060773, 0.11233885819521179, 0.12338858195211787, 0.1252302025782689, 0.15653775322283608, 0.1694290976058932, 0.1731123388581952, 0.17679558011049723, 0.19337016574585636, 0.2154696132596685, 0.22099447513812154, 0.22467771639042358, 0.2302025782688766, 0.23204419889502761, 0.23572744014732966, 0.24125230202578268, 0.24861878453038674, 0.2596685082872928, 0.26335174953959484, 0.27255985267034993, 0.289134438305709, 0.292817679558011, 0.3020257826887661, 0.30755064456721914, 0.31307550644567217, 0.31675874769797424, 0.32044198895027626, 0.3259668508287293, 0.3314917127071823, 0.3351749539594843, 0.3462246777163904, 0.35359116022099446, 0.35543278084714547, 0.36095764272559855, 0.3683241252302026, 0.3720073664825046, 0.37937384898710863, 0.3885819521178637, 0.39042357274401474, 0.39410681399631675, 0.43278084714548803, 0.43646408839779005, 0.4677716390423573, 0.48250460405156537, 0.5119705340699816, 0.5156537753222836, 0.569060773480663, 0.572744014732965, 0.580110497237569, 0.583793738489871, 0.7882136279926335, 0.7918968692449355, 0.988950276243094, 0.988950276243094, 1.0, 1.0, 1.0]","[       inf 1.         0.99984252 0.99983871 0.99983607 0.99969231
 0.99968992 0.99967742 0.9995484  0.99951613 0.99938223 0.99167158
 0.99159075 0.99145299 0.99145161 0.99142946 0.99134448 0.99104
 0.9910344  0.99083872 0.99078125 0.99067797 0.98986586 0.98976252
 0.98276525 0.98273969 0.98242961 0.98199637 0.98183508 0.98172667
 0.98160594 0.98152679 0.98092138 0.98087746 0.98071353 0.98057468
 0.97978366 0.97941819 0.97453564 0.97443604 0.97427475 0.97427211
 0.97161468 0.97141687 0.96508468 0.96488972 0.96217221 0.96145214
 0.95287543 0.95226262 0.95121349 0.95107255 0.90725738 0.90684073
 0.62359472 0.62111398 0.56129063 0.55148631 0.54232557]"
XGBoost,DecisionTree,40,"[0.0, 0.0, 1.0]","[0.0, 0.9760589318600368, 1.0]",[       inf 1.         0.18571429]
XGBoost,SVM,40,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.001841620626151013, 1.0, 1.0]",[           inf 1.00000000e+00 9.85842558e-01 5.00380776e-04]
Random Forest,XGBoost,40,"[0.0, 1.0]","[0.0, 1.0]",[      inf 0.8379679]
Random Forest,RandomForest,40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.05263157894736842, 0.05263157894736842, 0.08771929824561403, 1.0]","[0.0, 0.141804788213628, 0.15285451197053407, 0.16206261510128914, 0.1694290976058932, 0.1731123388581952, 0.17495395948434622, 0.17863720073664824, 0.18232044198895028, 0.19705340699815838, 0.20257826887661143, 0.20441988950276244, 0.20810313075506445, 0.20994475138121546, 0.22467771639042358, 0.2265193370165746, 0.2302025782688766, 0.23204419889502761, 0.23572744014732966, 0.23756906077348067, 0.2430939226519337, 0.24493554327808473, 0.24861878453038674, 0.2559852670349908, 0.26335174953959484, 0.26703499079189685, 0.285451197053407, 0.289134438305709, 0.292817679558011, 0.32228360957642727, 0.3259668508287293, 0.3314917127071823, 0.3351749539594843, 0.3388581952117864, 0.3425414364640884, 0.34806629834254144, 0.35174953959484345, 0.35911602209944754, 0.36279926335174956, 0.36464088397790057, 0.3683241252302026, 0.3701657458563536, 0.3738489871086556, 0.3756906077348066, 0.3812154696132597, 0.3885819521178637, 0.39226519337016574, 0.39410681399631675, 0.4014732965009208, 0.4162062615101289, 0.4198895027624309, 0.43830570902394106, 0.44751381215469616, 0.4585635359116022, 0.4622467771639042, 0.4843462246777164, 0.4953959484346225, 0.5101289134438306, 0.5138121546961326, 0.5156537753222836, 0.5193370165745856, 0.5432780847145487, 0.5469613259668509, 0.56353591160221, 0.567219152854512, 0.6077348066298343, 0.6114180478821363, 0.6703499079189686, 0.6758747697974218, 0.996316758747698, 0.996316758747698, 0.996316758747698, 0.998158379373849, 0.998158379373849, 1.0]","[       inf 1.         0.99984    0.99983607 0.99983471 0.99967598
 0.99951205 0.99230769 0.99179487 0.99153098 0.99140496 0.99138211
 0.99137225 0.99136569 0.99136013 0.99131783 0.9911962  0.99119607
 0.99119403 0.99108471 0.99105263 0.9910353  0.99103448 0.99094891
 0.99076923 0.99055118 0.99048387 0.99038725 0.99032514 0.98230021
 0.98225673 0.98209279 0.98208123 0.98198293 0.98196143 0.9818518
 0.98174521 0.98152134 0.98142857 0.98128013 0.98125695 0.9811748
 0.98111403 0.98109166 0.98103857 0.98052923 0.98048127 0.98015205
 0.97492051 0.97337499 0.97336811 0.97254178 0.9724493  0.97206293
 0.97201225 0.9714168  0.97117695 0.96542341 0.96514784 0.96495168
 0.96494388 0.96348378 0.96337239 0.96249612 0.9623693  0.95438804
 0.95419451 0.94442528 0.94414726 0.57134605 0.57037194 0.56946716
 0.56015858 0.55168401 0.54223519]"
Random Forest,DecisionTree,40,"[0.0, 0.0, 1.0]","[0.0, 0.9760589318600368, 1.0]",[       inf 1.         0.18571429]
Random Forest,SVM,40,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.001841620626151013, 1.0, 1.0]",[       inf 1.         0.98107895 0.00330346]
Decision Tree,XGBoost,40,"[0.0, 1.0]","[0.0, 1.0]",[      inf 0.8379679]
Decision Tree,RandomForest,40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017543859649122806, 0.017543859649122806, 0.05263157894736842, 0.08771929824561403, 0.12280701754385964, 1.0]","[0.0, 0.15285451197053407, 0.17679558011049723, 0.22283609576427257, 0.2283609576427256, 0.23204419889502761, 0.23756906077348067, 0.23941068139963168, 0.24493554327808473, 0.24677716390423574, 0.2541436464088398, 0.26335174953959484, 0.283609576427256, 0.285451197053407, 0.292817679558011, 0.2946593001841621, 0.2983425414364641, 0.30570902394106814, 0.31123388581952116, 0.3241252302025783, 0.3296500920810313, 0.3333333333333333, 0.3388581952117864, 0.3462246777163904, 0.3572744014732965, 0.36279926335174956, 0.3683241252302026, 0.3738489871086556, 0.3885819521178637, 0.39594843462246776, 0.4014732965009208, 0.40515653775322286, 0.40699815837937386, 0.4106813996316759, 0.42357274401473294, 0.429097605893186, 0.43830570902394106, 0.4604051565377532, 0.46408839779005523, 0.4732965009208103, 0.47697974217311234, 0.4861878453038674, 0.48987108655616945, 0.4972375690607735, 0.5027624309392266, 0.5285451197053407, 0.5322283609576427, 0.5469613259668509, 0.5543278084714549, 0.5616942909760589, 0.565377532228361, 0.570902394106814, 0.574585635359116, 0.6114180478821363, 0.6151012891344383, 0.6206261510128913, 0.6243093922651933, 0.9815837937384899, 0.9815837937384899, 0.998158379373849, 0.998158379373849, 0.998158379373849, 0.998158379373849, 1.0]","[       inf 1.         0.99983193 0.99982759 0.99965952 0.99163934
 0.99157143 0.99147128 0.99140336 0.99105691 0.99105263 0.99102362
 0.99101695 0.99096774 0.99088022 0.99085555 0.99085121 0.99084454
 0.99071643 0.99063492 0.99046685 0.99046251 0.99032258 0.98298926
 0.98285561 0.98282119 0.98269198 0.98268755 0.98227426 0.98223424
 0.98206617 0.98206183 0.98206    0.98204057 0.98143025 0.9813462
 0.98095486 0.97371117 0.97349054 0.97270812 0.97250062 0.97197445
 0.97192783 0.97105427 0.97070967 0.9652235  0.96508986 0.96381312
 0.96381048 0.96349926 0.9631891  0.96273517 0.96259013 0.95482743
 0.95482635 0.95416156 0.95413306 0.67099098 0.64141828 0.56942764
 0.56124505 0.55245567 0.5520263  0.54347929]"
Decision Tree,DecisionTree,40,"[0.0, 0.0, 0.017543859649122806, 1.0]","[0.0, 0.8471454880294659, 0.9742173112338858, 1.0]",[       inf 1.         0.98571429 0.2       ]
Decision Tree,SVM,40,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.001841620626151013, 1.0, 1.0]",[       inf 1.         0.97923088 0.00145296]
SVM,XGBoost,40,"[0.0, 1.0]","[0.0, 1.0]",[      inf 0.8379679]
SVM,RandomForest,40,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07017543859649122, 1.0]","[0.0, 0.2302025782688766, 0.24861878453038674, 0.2559852670349908, 0.2578268876611418, 0.27808471454880296, 0.283609576427256, 0.2965009208103131, 0.3001841620626151, 0.32044198895027626, 0.32228360957642727, 0.3278084714548803, 0.3370165745856354, 0.3443830570902394, 0.34990791896869244, 0.35174953959484345, 0.3572744014732965, 0.36095764272559855, 0.3664825046040516, 0.3701657458563536, 0.3738489871086556, 0.3812154696132597, 0.3848987108655617, 0.3885819521178637, 0.39779005524861877, 0.3996316758747698, 0.40699815837937386, 0.4125230202578269, 0.4180478821362799, 0.4198895027624309, 0.42357274401473294, 0.43646408839779005, 0.44014732965009207, 0.44935543278084716, 0.4530386740331492, 0.4567219152854512, 0.4585635359116022, 0.4622467771639042, 0.46408839779005523, 0.4714548802946593, 0.4953959484346225, 0.4990791896869245, 0.5009208103130756, 0.5064456721915286, 0.5138121546961326, 0.5174953959484346, 0.5248618784530387, 0.5303867403314917, 0.5377532228360957, 0.5414364640883977, 0.6279926335174953, 0.6316758747697975, 0.7366482504604052, 0.7440147329650092, 0.996316758747698, 0.996316758747698, 1.0]","[       inf 1.         0.9998374  0.99302326 0.99220339 0.99216
 0.99193277 0.99180321 0.99168    0.99166667 0.9916021  0.99150407
 0.9915     0.99145161 0.99131783 0.99115523 0.99082707 0.99066447
 0.99032258 0.98998891 0.98966102 0.98382667 0.98382667 0.98366
 0.98361161 0.98325482 0.98313845 0.98295161 0.98291967 0.98287221
 0.9826727  0.98165558 0.981558   0.98147426 0.98139034 0.98131166
 0.98126312 0.98107459 0.98097885 0.9804386  0.97413612 0.97401871
 0.97376139 0.97369487 0.97327747 0.97324259 0.97292587 0.9725986
 0.97201754 0.97189021 0.94882169 0.94815115 0.91881066 0.91730635
 0.60348852 0.5568893  0.54885511]"
SVM,DecisionTree,40,"[0.0, 0.0, 0.05263157894736842, 1.0]","[0.0, 0.8471454880294659, 0.9705340699815838, 1.0]",[       inf 1.         0.95714286 0.22857143]
SVM,SVM,40,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.001841620626151013, 1.0, 1.0]",[       inf 1.         0.98228602 0.00307254]
