estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
RandomForest,APOC3,C15orf2,FBRSL1,RNH1,0.9966666666666667,1.0,0.9649122807017544,0.9963302752293578,0.9981617647058824,0.9999515362993119,0.9804954452743605,0.9992638940007361
RandomForest,ATG3,C15orf2,FBRSL1,RNH1,0.9966666666666667,1.0,0.9649122807017544,0.9963302752293578,0.9981617647058824,1.0,0.9804954452743605,0.9992638940007361
RandomForest,C1orf212,C2orf89,IKBKB,MNX1,0.9983333333333333,1.0,0.9824561403508771,0.9981617647058824,0.9990800367985281,0.9999353817324158,0.9902778169780243,0.9996318114874816
RandomForest,C1orf212,MME,IKBKB,MNX1,0.9983333333333333,1.0,0.9824561403508771,0.9981617647058824,0.9990800367985281,0.9998707634648315,0.9902778169780243,0.9996318114874816
RandomForest,ABCA4,APOC3,MME,POU3F2,0.9966666666666667,0.998158379373849,0.9824561403508771,0.998158379373849,0.998158379373849,0.9999676908662078,0.9806145197247261,0.998158379373849
RandomForest,ABCA4,BCL2L15,MME,POU3F2,0.995,0.998158379373849,0.9649122807017544,0.9963235294117647,0.9972401103955841,0.9999353817324157,0.9707380021205259,0.9977908689248896
RandomForest,EFCAB4B,APOC3,MME,POU3F2,0.9983333333333333,0.998158379373849,1.0,1.0,0.9990783410138249,1.0,0.990428569934887,0.9985261606484893
RandomForest,EFCAB4B,BCL2L15,MME,POU3F2,0.9966666666666667,0.996316758747698,1.0,1.0,0.9981549815498155,0.9998707634648315,0.9810929157315446,0.9970512347954295
RandomForest,PTPRG,APOC3,MME,POU3F2,0.995,0.998158379373849,0.9649122807017544,0.9963235294117647,0.9972401103955841,0.9998384543310394,0.9707380021205259,0.9977908689248896
RandomForest,PTPRG,BCL2L15,MME,POU3F2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,C20orf72,DIRAS1,MME,SRP68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,C20orf72,ICOSLG,MME,SRP68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
