estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,APOC3,C15orf2,FBRSL1,RNH1,0.985,0.988950276243094,0.9473684210526315,0.9944444444444445,0.9916897506925207,0.9960905948111531,0.9151420966306932,0.9900442477876106
SVM,ATG3,C15orf2,FBRSL1,RNH1,0.99,0.990791896869245,0.9824561403508771,0.9981447124304267,0.9944547134935305,0.9980291428386805,0.9442817127077164,0.9922537808926596
SVM,C1orf212,C2orf89,IKBKB,MNX1,0.9916666666666667,0.992633517495396,0.9824561403508771,0.9981481481481481,0.9953831948291783,0.9984491615779781,0.9530361793069124,0.9937315634218289
SVM,C1orf212,MME,IKBKB,MNX1,0.9883333333333333,0.988950276243094,0.9824561403508771,0.9981412639405205,0.9935245143385754,0.9978029789021357,0.9357316687413266,0.9907749077490775
SVM,ABCA4,APOC3,MME,POU3F2,0.9916666666666667,0.992633517495396,0.9824561403508771,0.9981481481481481,0.9953831948291783,0.9972860327614617,0.9530361793069124,0.9937315634218289
SVM,ABCA4,BCL2L15,MME,POU3F2,0.9916666666666667,0.990791896869245,1.0,1.0,0.9953746530989824,0.9972537236276695,0.9544052203027181,0.992619926199262
SVM,EFCAB4B,APOC3,MME,POU3F2,0.9916666666666667,0.990791896869245,1.0,1.0,0.9953746530989824,0.9966075409518271,0.9544052203027181,0.992619926199262
SVM,EFCAB4B,BCL2L15,MME,POU3F2,0.99,0.988950276243094,1.0,1.0,0.9944444444444445,0.9974475784304223,0.945919941458321,0.991140642303433
SVM,PTPRG,APOC3,MME,POU3F2,0.9883333333333333,0.9871086556169429,1.0,1.0,0.9935125115848007,0.9971891053600852,0.9376266028696283,0.9896602658788775
SVM,PTPRG,BCL2L15,MME,POU3F2,0.9883333333333333,0.9871086556169429,1.0,1.0,0.9935125115848007,0.9967367774869956,0.9376266028696283,0.9896602658788775
SVM,C20orf72,DIRAS1,MME,SRP68,0.9883333333333333,0.990791896869245,0.9649122807017544,0.9962962962962963,0.9935364727608494,0.997641433233175,0.9340891379688028,0.9918879056047197
SVM,C20orf72,ICOSLG,MME,SRP68,0.99,0.988950276243094,1.0,1.0,0.9944444444444445,0.9968013957545798,0.945919941458321,0.991140642303433
