estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
RandomForest,AIM2,BHLHE23,MIR377,SCARF1,"[0.0, 0.0, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 1.0]","[0.0, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.38461538461538464, 0.46153846153846156, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 1.0]","[       inf 1.         0.99166667 0.91549242 0.89924242 0.8727381
 0.85690476 0.84674242 0.77948052 0.63902778 0.61650433 0.52667027
 0.4360119  0.27626984 0.2750487  0.26958333 0.25541667 0.15541667]"
RandomForest,AIM2,BHLHE23,PATE2,SCARF1,"[0.0, 0.0, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 1.0]","[0.0, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.9230769230769231, 1.0]","[       inf 1.         0.795      0.79166667 0.7        0.69
 0.67666667 0.675      0.60833333 0.55       0.4        0.15
 0.06666667 0.        ]"
RandomForest,AIM2,BHLHE23,PCK1,SCARF1,"[0.0, 0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.38461538461538464, 0.38461538461538464, 0.6153846153846154, 0.6153846153846154, 0.8461538461538461, 0.8461538461538461, 1.0]","[0.0, 0.15384615384615385, 0.3076923076923077, 0.3076923076923077, 0.5384615384615384, 0.5384615384615384, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0, 1.0]","[       inf 1.         0.99       0.90942857 0.78495238 0.71721429
 0.5882381  0.48080159 0.4607619  0.36495238 0.36488095 0.30878571
 0.22613492 0.13088889]"
RandomForest,AIM2,BHLHE23,RALYL,SCARF1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.5384615384615384, 0.5384615384615384, 1.0]","[0.0, 0.07692307692307693, 0.15384615384615385, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 1.0, 1.0]","[       inf 1.         0.98125    0.9775     0.94458333 0.72797619
 0.72553571 0.67214286 0.66119048 0.54244048 0.49944805 0.37011905
 0.29035714 0.14964286]"
RandomForest,AIM2,BHLHE23,SNORD115-10,SCARF1,"[0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.3076923076923077, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.6923076923076923, 0.6923076923076923, 1.0, 1.0]","[0.0, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.5384615384615384, 0.5384615384615384, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.9230769230769231, 0.9230769230769231, 1.0]","[       inf 1.         0.965      0.95       0.88333333 0.86333333
 0.74583333 0.72       0.605      0.575      0.53738095 0.50833333
 0.46666667 0.26785714 0.09166667 0.0625    ]"
RandomForest,AIM2,BHLHE23,TMEM196,SCARF1,"[0.0, 0.0, 0.15384615384615385, 0.15384615384615385, 0.8461538461538461, 0.8461538461538461, 1.0]","[0.0, 0.15384615384615385, 0.15384615384615385, 0.9230769230769231, 0.9230769230769231, 1.0, 1.0]","[       inf 1.         0.982      0.36233333 0.17233333 0.15033333
 0.13066667]"
RandomForest,ATG16L1,BHLHE23,MIR377,SCARF1,"[0.0, 0.0, 0.0, 0.15384615384615385, 0.15384615384615385, 0.38461538461538464, 0.38461538461538464, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 0.9230769230769231, 1.0]","[0.0, 0.46153846153846156, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0, 1.0]","[       inf 1.         0.9        0.72642857 0.69       0.54214286
 0.5397619  0.29904762 0.28821429 0.14584416 0.10190476 0.02857143]"
RandomForest,ATG16L1,BHLHE23,PATE2,SCARF1,"[0.0, 0.07692307692307693, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.46153846153846156, 0.46153846153846156, 0.7692307692307693, 0.9230769230769231, 1.0]","[0.0, 0.38461538461538464, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 1.0]",[inf 1.  0.9 0.7 0.6 0.5 0.4 0.3 0.2 0. ]
RandomForest,ATG16L1,BHLHE23,PCK1,SCARF1,"[0.0, 0.0, 0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.7692307692307693, 0.7692307692307693, 1.0]","[0.0, 0.07692307692307693, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0, 1.0]","[       inf 1.         0.9925     0.92252381 0.88738095 0.76452381
 0.62265079 0.61678571 0.55622222 0.53495238 0.47904762 0.41685714
 0.36663492 0.35430098 0.22104762 0.21285714 0.07928571]"
RandomForest,ATG16L1,BHLHE23,RALYL,SCARF1,"[0.0, 0.0, 0.0, 0.15384615384615385, 0.15384615384615385, 0.46153846153846156, 0.46153846153846156, 0.9230769230769231, 0.9230769230769231, 1.0]","[0.0, 0.15384615384615385, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.9230769230769231, 0.9230769230769231, 1.0, 1.0]","[       inf 1.         0.68660714 0.63875    0.63680556 0.39564394
 0.35333333 0.08166667 0.06875    0.05      ]"
