estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
XGBoost,AKR7L,C10orf26,FOXI2,MIR21,0.49230769230769234,0.9846153846153847,0.0,0.49612403100775193,0.6597938144329897,0.3966863905325444,-0.08804509063256238,0.8226221079691518
XGBoost,AKR7L,C10orf26,OTP,MIR21,0.3769230769230769,0.7538461538461538,0.0,0.4298245614035088,0.547486033519553,0.15502958579881657,-0.3746343246326776,0.6550802139037433
XGBoost,AKR7L,CXCL5,FOXI2,MIR21,0.5,1.0,0.0,0.5,0.6666666666666666,0.2860355029585799,0.0,0.8333333333333334
XGBoost,AKR7L,CXCL5,OTP,MIR21,0.45384615384615384,0.8923076923076924,0.015384615384615385,0.47540983606557374,0.6203208556149733,0.4385798816568048,-0.19205531989934396,0.7591623036649214
XGBoost,AKR7L,GNG4,FOXI2,MIR21,0.5,1.0,0.0,0.5,0.6666666666666666,0.2192899408284024,0.0,0.8333333333333334
XGBoost,AKR7L,GNG4,OTP,MIR21,0.5,0.9846153846153847,0.015384615384615385,0.5,0.6632124352331606,0.5591715976331361,0.0,0.8247422680412372
XGBoost,AKR7L,LEP,FOXI2,MIR21,0.49230769230769234,0.9846153846153847,0.0,0.49612403100775193,0.6597938144329897,0.2275739644970414,-0.08804509063256238,0.8226221079691518
XGBoost,AKR7L,LEP,OTP,MIR21,0.5,0.9846153846153847,0.015384615384615385,0.5,0.6632124352331606,0.4862721893491124,0.0,0.8247422680412372
XGBoost,AKR7L,SRGN,FOXI2,MIR21,0.47692307692307695,0.9538461538461539,0.0,0.4881889763779528,0.6458333333333333,0.2191715976331361,-0.153694655873568,0.8010335917312662
XGBoost,AKR7L,SRGN,OTP,MIR21,0.3923076923076923,0.7846153846153846,0.0,0.4396551724137931,0.56353591160221,0.33360946745562137,-0.3474041668898256,0.678191489361702
XGBoost,AKR7L,SSTR4,FOXI2,MIR21,0.49230769230769234,0.9846153846153847,0.0,0.49612403100775193,0.6597938144329897,0.3662721893491124,-0.08804509063256238,0.8226221079691518
XGBoost,AKR7L,SSTR4,OTP,MIR21,0.49230769230769234,0.9846153846153847,0.0,0.49612403100775193,0.6597938144329897,0.47633136094674555,-0.08804509063256238,0.8226221079691518
XGBoost,AKR7L,TAC1,FOXI2,MIR21,0.49230769230769234,0.9846153846153847,0.0,0.49612403100775193,0.6597938144329897,0.3307692307692307,-0.08804509063256238,0.8226221079691518
