estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,AKR7L,C10orf26,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,C10orf26,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,CXCL5,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,CXCL5,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,GNG4,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,GNG4,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,LEP,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,LEP,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,SRGN,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,SRGN,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,SSTR4,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,SSTR4,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,TAC1,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,AKR7L,TAC1,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,C17orf93,C10orf26,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,C17orf93,C10orf26,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,C17orf93,CXCL5,FOXI2,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,C17orf93,CXCL5,OTP,MIR21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,C17orf93,GNG4,FOXI2,MIR21,0.9989082969432315,1.0,0.9864864864864865,0.9988137603795967,0.9994065281899109,0.9999839506965398,0.9926309873922049,0.9997625267157443
Voting,C17orf93,GNG4,OTP,MIR21,0.9989082969432315,0.998812351543943,1.0,1.0,0.9994058229352347,1.0,0.9927209343634076,0.9990496555001187
