estimator_name,gene_0,gene_1,gene_2,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
DecisionTree,E2F8,FLOT1,HDAC9,0.8397058823529411,0.9441176470588235,0.7352941176470589,0.7808777807558295,0.8546365413719416,0.8526384083044982,0.6953112857893265,0.9061247558700425
DecisionTree,MIR9-1,FLOT1,HDAC9,0.7955882352941176,0.9147058823529411,0.6764705882352943,0.7385258487966939,0.8170812544496757,0.8010380622837371,0.6094135529362781,0.8729369353639445
DecisionTree,FBXO30,KLHDC8A,PYCARD,0.8338235294117646,0.9029411764705884,0.7647058823529411,0.7930564058677023,0.8442125138837466,0.8701989619377162,0.6748160229287531,0.8784311826702377
DecisionTree,LPAR1,KLHDC8A,PYCARD,0.7455882352941177,0.9323529411764706,0.5588235294117646,0.678740749306198,0.7855495332731105,0.7444204152249133,0.5298350074846022,0.867491723648174
DecisionTree,E2F8,FLOT1,PAQR9,0.8499999999999999,0.9058823529411765,0.7941176470588235,0.814640338719286,0.8576391890360633,0.856228373702422,0.7049947241046443,0.885891197227323
DecisionTree,DUOX1,FBXO30,MIR9-1,0.8191176470588235,0.9029411764705882,0.7352941176470589,0.7731544386294066,0.8328902464107942,0.8134083044982698,0.6478684848252241,0.8735132805048058
DecisionTree,DUOX1,SFXN5,MIR9-1,0.7588235294117647,0.9294117647058824,0.588235294117647,0.692766148675621,0.793693170402031,0.8736159169550174,0.5517153570699809,0.8698630021591315
DecisionTree,FBXO30,FLOT1,NAT8L,0.8191176470588235,0.9029411764705882,0.7352941176470589,0.773039434891168,0.8327185707697604,0.8162629757785467,0.6482443069494208,0.8734064208342917
DecisionTree,HDAC9,FLOT1,NAT8L,0.7941176470588235,0.8823529411764705,0.7058823529411765,0.7496935623014077,0.8103813637512266,0.8408304498269896,0.5985591878092168,0.8520062496272869
DecisionTree,SFXN5,FLOT1,NAT8L,0.776470588235294,0.9058823529411765,0.6470588235294119,0.7192900482009954,0.8016408568413897,0.7881055363321801,0.5736561993835153,0.8610169295459945
DecisionTree,CAV1,FJX1,JDP2,0.8617647058823529,0.9294117647058824,0.7941176470588235,0.8185052112940431,0.8702609194183571,0.9009083044982701,0.7308366502108846,0.9047598417599694
DecisionTree,CAV1,SFXN5,JDP2,0.8455882352941175,0.9264705882352942,0.7647058823529411,0.7973569006945129,0.8569621127977293,0.8845155709342561,0.7008057098231165,0.8973224437748109
DecisionTree,HDAC9,HES5,KLHDC8A,0.8102941176470587,0.9147058823529413,0.7058823529411765,0.7565599035111229,0.8280419078054262,0.8550173010380622,0.6350256407256287,0.8779174632578745
DecisionTree,HDAC9,JDP2,KLHDC8A,0.7867647058823529,0.9264705882352942,0.6470588235294119,0.7239846974730696,0.8126956321493296,0.7877162629757783,0.5979772356821967,0.8773029708111627
DecisionTree,ANKH,CBX5,FLOT1,0.776470588235294,0.9058823529411766,0.6470588235294119,0.7195085119078313,0.8019280368754054,0.7723183391003461,0.5728743431228205,0.8611989014300253
DecisionTree,SFXN5,CBX5,FLOT1,0.8279411764705882,0.9205882352941177,0.7352941176470589,0.7765134822636242,0.8422808355411096,0.8255622837370241,0.6680803804067779,0.8875325080105642
DecisionTree,ANKH,C1orf114,HIF3A,0.813235294117647,0.9794117647058824,0.6470588235294119,0.7350461133069829,0.8397728010386238,0.813235294117647,0.6645480582970261,0.9183163674876382
DecisionTree,HDAC9,C1orf114,HIF3A,0.8235294117647058,0.9411764705882353,0.7058823529411765,0.7617155060858974,0.8418244780350042,0.8235294117647058,0.6665650325806111,0.8986951753265352
DecisionTree,ANKH,C1orf114,HIF3A,0.813235294117647,0.9794117647058824,0.6470588235294119,0.7350461133069829,0.8397728010386238,0.813235294117647,0.6645480582970261,0.9183163674876382
DecisionTree,HDAC9,C1orf114,HIF3A,0.8235294117647058,0.9411764705882353,0.7058823529411765,0.7617155060858974,0.8418244780350042,0.8235294117647058,0.6665650325806111,0.8986951753265352
