estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
DecisionTree,CDX2,ITIH5,OR4K2,RARRES1,0.6450000000000001,0.99,0.29999999999999993,0.5856617647058823,0.7358974358974357,0.718,0.4030756226875627,0.8698308270676691
DecisionTree,GCM2,ITIH5,OR4K2,RARRES1,0.6249999999999999,0.9500000000000002,0.29999999999999993,0.5753676470588236,0.7165242165242165,0.6280000000000001,0.3350420126042015,0.8403822055137844
DecisionTree,HAAO,ITIH5,OR4K2,RARRES1,0.7000000000000001,1.0,0.39999999999999997,0.625,0.7692307692307693,0.6849999999999999,0.5,0.8928571428571429
DecisionTree,RNF152,ITIH5,OR4K2,RARRES1,0.635,0.9700000000000001,0.29999999999999993,0.5805147058823529,0.7262108262108261,0.7774999999999999,0.3690588176458821,0.8551065162907268
DecisionTree,APCDD1,INPP5B,PLAT,SLC2A2,0.784,0.9679999999999997,0.5999999999999999,0.7075497557881036,0.8174966553331459,0.75742,0.6111949972237508,0.901591539215312
DecisionTree,APCDD1,INPP5B,SERPINE2,SLC2A2,0.826,0.8920000000000001,0.7599999999999999,0.7876900186938685,0.8363171582943858,0.826,0.6586200609973083,0.8687780536457061
DecisionTree,APCDD1,NDRG2,PLAT,SLC2A2,0.808,0.9359999999999999,0.6799999999999999,0.7450568756703078,0.8295513284578917,0.8298,0.6379458680584417,0.8902585141559035
DecisionTree,APCDD1,NDRG2,SERPINE2,SLC2A2,0.807,0.914,0.7000000000000001,0.752579492900827,0.8252266837268409,0.8353399999999999,0.6295983812068128,0.8762173887542529
DecisionTree,ITPRIPL1,INPP5B,PLAT,SLC2A2,0.46799999999999997,0.8160000000000001,0.12000000000000002,0.48074431358193176,0.6049293099449473,0.48339999999999994,-0.08573257273025592,0.7160089172711357
DecisionTree,ITPRIPL1,INPP5B,SERPINE2,SLC2A2,0.6719999999999999,0.9640000000000001,0.37999999999999995,0.6084752842875205,0.7459972948628523,0.7868599999999999,0.42510141893351444,0.8630869465153331
DecisionTree,ITPRIPL1,NDRG2,PLAT,SLC2A2,0.8860000000000001,0.9720000000000001,0.7999999999999999,0.829309832149046,0.8949489753056588,0.93338,0.7838883714191096,0.9396241880632434
DecisionTree,ITPRIPL1,NDRG2,SERPINE2,SLC2A2,0.857,0.9339999999999999,0.7800000000000001,0.809219468894328,0.8669873196266774,0.8824,0.7231514094118319,0.9059435130867521
DecisionTree,LIMD2,INPP5B,PLAT,SLC2A2,0.7380000000000001,0.9559999999999998,0.5199999999999999,0.6656504943520185,0.7847822722861446,0.7349599999999998,0.5295596625049639,0.8792472974547539
DecisionTree,LIMD2,INPP5B,SERPINE2,SLC2A2,0.8459999999999999,0.9119999999999999,0.7800000000000001,0.8055770412621591,0.8554085965433169,0.85068,0.6983550130004136,0.8884647406234956
DecisionTree,LIMD2,NDRG2,PLAT,SLC2A2,0.733,0.946,0.5199999999999999,0.6631407843241534,0.779567975542778,0.733,0.5167496862968626,0.8715148422481291
DecisionTree,LIMD2,NDRG2,SERPINE2,SLC2A2,0.794,0.968,0.62,0.718022819833905,0.8244248975946984,0.83118,0.6276517098312191,0.9049399536035029
DecisionTree,RTN3,INPP5B,PLAT,SLC2A2,0.682,0.9640000000000001,0.39999999999999997,0.6163082170993563,0.7518772977617513,0.7348999999999999,0.44148874040103775,0.8662320156352251
DecisionTree,RTN3,INPP5B,SERPINE2,SLC2A2,0.607,0.8140000000000001,0.39999999999999997,0.5747198488535223,0.6733878042747743,0.78674,0.23847717277322017,0.7511139092978
DecisionTree,RTN3,NDRG2,PLAT,SLC2A2,0.9030000000000001,0.9259999999999999,0.8800000000000001,0.8851482739201147,0.9048626597756204,0.89706,0.8073869512876202,0.9173646297283181
DecisionTree,RTN3,NDRG2,SERPINE2,SLC2A2,0.7889999999999999,0.9179999999999998,0.66,0.7293835569541328,0.8126448310029545,0.8302800000000001,0.5995058982729249,0.8726611701684339
