estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
SVM,CDX2,ITIH5,OR4K2,RARRES1,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.7, 0.7, 0.9, 0.9, 1.0]","[0.0, 0.009900990099009901, 0.18811881188118812, 0.18811881188118812, 0.4752475247524752, 0.4752475247524752, 0.9603960396039604, 0.9603960396039604, 0.9702970297029703, 0.9702970297029703, 0.9801980198019802, 0.9801980198019802, 1.0, 1.0]","[       inf 0.99999994 0.99999462 0.99999364 0.99528786 0.99507534
 0.9089655  0.84513094 0.74784116 0.55868457 0.44804918 0.27967081
 0.12061916 0.11745008]"
SVM,GCM2,ITIH5,OR4K2,RARRES1,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.7, 0.7, 0.9, 0.9, 1.0, 1.0]","[0.0, 0.009900990099009901, 0.19801980198019803, 0.19801980198019803, 0.504950495049505, 0.504950495049505, 0.9603960396039604, 0.9603960396039604, 0.9702970297029703, 0.9702970297029703, 0.9801980198019802, 0.9801980198019802, 0.9900990099009901, 0.9900990099009901, 1.0]","[       inf 0.99999994 0.99999436 0.99999361 0.99563956 0.99544531
 0.92558026 0.86452688 0.76613546 0.57255605 0.39771307 0.27232001
 0.17871191 0.12024911 0.1103607 ]"
SVM,HAAO,ITIH5,OR4K2,RARRES1,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.7, 0.7, 0.9, 0.9, 1.0]","[0.0, 0.009900990099009901, 0.0297029702970297, 0.0297029702970297, 0.25742574257425743, 0.25742574257425743, 0.48514851485148514, 0.48514851485148514, 0.9702970297029703, 0.9702970297029703, 0.9801980198019802, 0.9801980198019802, 1.0, 1.0]","[       inf 0.99372667 0.98984175 0.98964789 0.98178325 0.98174462
 0.98082559 0.9807057  0.97553125 0.64029727 0.30798061 0.21682618
 0.16265944 0.11481476]"
SVM,RNF152,ITIH5,OR4K2,RARRES1,"[0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.8, 0.8, 1.0]","[0.0, 0.0, 0.36633663366336633, 0.36633663366336633, 0.504950495049505, 0.504950495049505, 0.7920792079207921, 0.7920792079207921, 0.9702970297029703, 0.9702970297029703, 1.0, 1.0]","[       inf 0.99341218 0.9740103  0.97398604 0.97252731 0.97239764
 0.96978193 0.96960013 0.9112741  0.3696037  0.27885308 0.12334194]"
SVM,APCDD1,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.18, 0.18, 0.2, 0.2, 0.22, 0.22, 0.24, 0.24, 0.26, 0.26, 0.28, 0.28, 0.3, 0.3, 0.32, 0.32, 0.36, 0.36, 0.38, 0.38, 0.4, 0.4, 0.42, 0.42, 0.44, 0.44, 0.46, 0.46, 0.5, 0.5, 0.52, 0.52, 0.56, 0.56, 0.58, 0.58, 0.6, 0.6, 0.66, 0.66, 0.68, 0.68, 0.7, 0.7, 0.76, 0.76, 0.86, 0.86, 0.98, 0.98, 1.0, 1.0]","[0.0, 0.00199203187250996, 0.398406374501992, 0.398406374501992, 0.5039840637450199, 0.5039840637450199, 0.5976095617529881, 0.5976095617529881, 0.6155378486055777, 0.6155378486055777, 0.6175298804780877, 0.6175298804780877, 0.7091633466135459, 0.7091633466135459, 0.7151394422310757, 0.7151394422310757, 0.7589641434262948, 0.7589641434262948, 0.7709163346613546, 0.7709163346613546, 0.7788844621513944, 0.7788844621513944, 0.8187250996015937, 0.8187250996015937, 0.8426294820717132, 0.8426294820717132, 0.8804780876494024, 0.8804780876494024, 0.9023904382470119, 0.9023904382470119, 0.9103585657370518, 0.9103585657370518, 0.9282868525896414, 0.9282868525896414, 0.9442231075697212, 0.9442231075697212, 0.9482071713147411, 0.9482071713147411, 0.950199203187251, 0.950199203187251, 0.952191235059761, 0.952191235059761, 0.954183266932271, 0.954183266932271, 0.9601593625498008, 0.9601593625498008, 0.9621513944223108, 0.9621513944223108, 0.9641434262948207, 0.9641434262948207, 0.9661354581673307, 0.9661354581673307, 0.9681274900398407, 0.9681274900398407, 0.9721115537848606, 0.9721115537848606, 0.9741035856573705, 0.9741035856573705, 0.9780876494023905, 0.9780876494023905, 0.9800796812749004, 0.9800796812749004, 0.9860557768924303, 0.9860557768924303, 0.9880478087649402, 0.9880478087649402, 0.9940239043824701, 0.9940239043824701, 0.99800796812749, 0.99800796812749, 1.0]","[       inf 0.95756227 0.92064733 0.92041224 0.90873676 0.90862279
 0.89593794 0.8958339  0.89292666 0.8929161  0.89268342 0.89257314
 0.8768248  0.87674609 0.87556553 0.87501076 0.86788389 0.86748063
 0.86679495 0.86637947 0.86520208 0.8649902  0.85496873 0.85450903
 0.84584599 0.84566255 0.83108034 0.82755655 0.79929096 0.79856233
 0.79229675 0.78965367 0.7316173  0.73146881 0.67331395 0.66468662
 0.64705096 0.64528606 0.64354519 0.62220443 0.61808988 0.60398731
 0.57349357 0.55536954 0.547694   0.53513352 0.52762229 0.4936537
 0.49293678 0.49123216 0.48419468 0.44909984 0.43364341 0.42197941
 0.39127845 0.38297209 0.37071765 0.33923164 0.31708699 0.29480121
 0.29406946 0.29261064 0.28854735 0.27653767 0.27559827 0.24282345
 0.2171525  0.17031505 0.15890841 0.15662885 0.12671769]"
SVM,APCDD1,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.14, 0.14, 0.16, 0.16, 0.2, 0.2, 0.22, 0.22, 0.24, 0.24, 0.28, 0.28, 0.3, 0.3, 0.36, 0.36, 0.38, 0.38, 0.4, 0.4, 0.56, 0.56, 0.58, 0.58, 0.66, 0.66, 0.68, 0.68, 0.7, 0.7, 0.72, 0.72, 0.86, 0.86, 0.88, 0.88, 0.9, 0.9, 1.0]","[0.0, 0.00199203187250996, 0.28087649402390436, 0.28087649402390436, 0.3466135458167331, 0.3466135458167331, 0.7649402390438247, 0.7649402390438247, 0.8326693227091634, 0.8326693227091634, 0.848605577689243, 0.848605577689243, 0.850597609561753, 0.850597609561753, 0.8685258964143426, 0.8685258964143426, 0.8804780876494024, 0.8804780876494024, 0.8824701195219123, 0.8824701195219123, 0.900398406374502, 0.900398406374502, 0.9023904382470119, 0.9023904382470119, 0.9362549800796812, 0.9362549800796812, 0.9402390438247012, 0.9402390438247012, 0.9442231075697212, 0.9442231075697212, 0.9482071713147411, 0.9482071713147411, 0.9701195219123506, 0.9701195219123506, 0.9741035856573705, 0.9741035856573705, 0.9780876494023905, 0.9780876494023905, 0.9800796812749004, 0.9800796812749004, 0.9840637450199203, 0.9840637450199203, 0.9860557768924303, 0.9860557768924303, 0.9900398406374502, 0.9900398406374502, 0.9940239043824701, 0.9940239043824701, 0.9960159362549801, 0.9960159362549801, 1.0, 1.0]","[       inf 0.99999874 0.99138456 0.99134907 0.98910944 0.98910301
 0.90049045 0.90002925 0.84052721 0.83703255 0.81509452 0.81377731
 0.8130788  0.80516766 0.78394527 0.77707543 0.74210435 0.72789536
 0.72654946 0.72140228 0.6727752  0.67158196 0.6653199  0.65024478
 0.54071083 0.53565705 0.5116852  0.46052164 0.44791595 0.43939255
 0.41764072 0.4153128  0.37517704 0.29367378 0.27531639 0.27404533
 0.23389989 0.18542765 0.18469428 0.17847956 0.15498272 0.13392304
 0.12673173 0.12428246 0.0930288  0.07505754 0.05816839 0.05459089
 0.04875471 0.04696407 0.02536397 0.00487415]"
SVM,APCDD1,NDRG2,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.18, 0.18, 0.2, 0.2, 0.24, 0.24, 0.28, 0.28, 0.32, 0.32, 0.34, 0.34, 0.38, 0.38, 0.42, 0.42, 0.44, 0.44, 0.52, 0.52, 0.62, 0.62, 0.68, 0.68, 0.72, 0.72, 0.74, 0.74, 0.78, 0.78, 0.84, 0.84, 0.88, 0.88, 0.94, 0.94, 0.96, 0.96, 0.98, 0.98, 1.0]","[0.0, 0.00199203187250996, 0.24900398406374502, 0.24900398406374502, 0.49800796812749004, 0.49800796812749004, 0.7171314741035857, 0.7171314741035857, 0.7729083665338645, 0.7729083665338645, 0.8565737051792829, 0.8565737051792829, 0.8625498007968128, 0.8625498007968128, 0.898406374501992, 0.898406374501992, 0.900398406374502, 0.900398406374502, 0.9203187250996016, 0.9203187250996016, 0.9442231075697212, 0.9442231075697212, 0.9482071713147411, 0.9482071713147411, 0.952191235059761, 0.952191235059761, 0.954183266932271, 0.954183266932271, 0.9561752988047809, 0.9561752988047809, 0.9601593625498008, 0.9601593625498008, 0.9641434262948207, 0.9641434262948207, 0.9721115537848606, 0.9721115537848606, 0.9741035856573705, 0.9741035856573705, 0.9760956175298805, 0.9760956175298805, 0.9780876494023905, 0.9780876494023905, 0.9820717131474104, 0.9820717131474104, 0.9860557768924303, 0.9860557768924303, 0.9880478087649402, 0.9880478087649402, 0.9900398406374502, 0.9900398406374502, 0.9920318725099602, 0.9920318725099602, 0.9940239043824701, 0.9940239043824701, 0.9960159362549801, 0.9960159362549801, 0.99800796812749, 0.99800796812749, 1.0, 1.0]","[       inf 0.99999976 0.99998773 0.99998751 0.99261284 0.99256753
 0.97249392 0.9724639  0.95695519 0.95580692 0.90356302 0.90152378
 0.89856387 0.88430497 0.83203722 0.83120894 0.82990915 0.82425643
 0.74991682 0.74724592 0.65060355 0.64194006 0.63387121 0.6119726
 0.58417314 0.57416211 0.56853966 0.56021607 0.54350617 0.5392096
 0.52042987 0.48731193 0.47558341 0.45855934 0.39827354 0.39664675
 0.39035116 0.34827215 0.32870845 0.265314   0.25146566 0.19707384
 0.18986971 0.16154198 0.15426388 0.13468542 0.1152744  0.10686772
 0.10182217 0.0939084  0.07829871 0.06473672 0.06046233 0.04816501
 0.04154108 0.03424599 0.03148378 0.02941993 0.02573784 0.01731596]"
SVM,APCDD1,NDRG2,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.18, 0.18, 0.24, 0.24, 0.28, 0.28, 0.3, 0.3, 0.32, 0.32, 0.34, 0.34, 0.36, 0.36, 0.38, 0.38, 0.6, 0.6, 0.64, 0.64, 0.66, 0.66, 0.7, 0.7, 0.72, 0.72, 0.76, 0.76, 0.78, 0.78, 0.86, 0.86, 0.98, 0.98, 1.0]","[0.0, 0.00199203187250996, 0.2868525896414343, 0.2868525896414343, 0.3565737051792829, 0.3565737051792829, 0.7649402390438247, 0.7649402390438247, 0.8466135458167331, 0.8466135458167331, 0.8545816733067729, 0.8545816733067729, 0.8824701195219123, 0.8824701195219123, 0.8884462151394422, 0.8884462151394422, 0.898406374501992, 0.898406374501992, 0.9183266932270916, 0.9183266932270916, 0.9402390438247012, 0.9402390438247012, 0.9422310756972112, 0.9422310756972112, 0.9482071713147411, 0.9482071713147411, 0.954183266932271, 0.954183266932271, 0.9641434262948207, 0.9641434262948207, 0.9661354581673307, 0.9661354581673307, 0.9701195219123506, 0.9701195219123506, 0.9741035856573705, 0.9741035856573705, 0.9760956175298805, 0.9760956175298805, 0.9780876494023905, 0.9780876494023905, 0.9800796812749004, 0.9800796812749004, 0.9840637450199203, 0.9840637450199203, 0.9880478087649402, 0.9880478087649402, 0.9900398406374502, 0.9900398406374502, 0.9920318725099602, 0.9920318725099602, 0.9960159362549801, 0.9960159362549801, 1.0, 1.0]","[       inf 0.99999942 0.98931054 0.98927053 0.98465167 0.98463083
 0.86799555 0.86722681 0.77794896 0.77014527 0.764384   0.76432348
 0.6911974  0.68667267 0.66994596 0.66895338 0.62995532 0.61727156
 0.54928574 0.54599609 0.41927155 0.3870155  0.38275751 0.37865564
 0.35757226 0.3490758  0.3087125  0.30850498 0.26496108 0.26435308
 0.26045875 0.25637563 0.22960134 0.22753481 0.22180116 0.15967195
 0.14221344 0.11247882 0.11138931 0.10064033 0.0983749  0.09298542
 0.08163246 0.07109904 0.05447763 0.0477007  0.04452509 0.04348685
 0.04252154 0.03114081 0.02956056 0.01711847 0.0148103  0.00912073]"
SVM,ITPRIPL1,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.18, 0.18, 0.2, 0.2, 0.22, 0.22, 0.24, 0.24, 0.26, 0.26, 0.28, 0.28, 0.3, 0.3, 0.32, 0.32, 0.4, 0.4, 0.42, 0.42, 0.44, 0.44, 0.46, 0.46, 0.48, 0.48, 0.52, 0.52, 0.54, 0.54, 0.56, 0.56, 0.58, 0.58, 0.62, 0.62, 0.66, 0.66, 0.86, 0.86, 0.98, 0.98, 1.0]","[0.0, 0.00199203187250996, 0.00597609561752988, 0.00597609561752988, 0.027888446215139442, 0.027888446215139442, 0.029880478087649404, 0.029880478087649404, 0.06374501992031872, 0.06374501992031872, 0.08167330677290836, 0.08167330677290836, 0.17131474103585656, 0.17131474103585656, 0.18127490039840638, 0.18127490039840638, 0.199203187250996, 0.199203187250996, 0.33665338645418325, 0.33665338645418325, 0.34063745019920316, 0.34063745019920316, 0.4541832669322709, 0.4541832669322709, 0.4581673306772908, 0.4581673306772908, 0.5079681274900398, 0.5079681274900398, 0.5398406374501992, 0.5398406374501992, 0.9043824701195219, 0.9043824701195219, 0.954183266932271, 0.954183266932271, 0.9601593625498008, 0.9601593625498008, 0.9621513944223108, 0.9621513944223108, 0.9681274900398407, 0.9681274900398407, 0.9721115537848606, 0.9721115537848606, 0.9741035856573705, 0.9741035856573705, 0.9780876494023905, 0.9780876494023905, 0.9800796812749004, 0.9800796812749004, 0.9820717131474104, 0.9820717131474104, 0.9840637450199203, 0.9840637450199203, 0.9860557768924303, 0.9860557768924303, 0.9920318725099602, 0.9920318725099602, 0.9960159362549801, 0.9960159362549801, 1.0, 1.0]","[       inf 0.99629617 0.99268466 0.98968372 0.98122443 0.98109708
 0.98102684 0.98028602 0.97484952 0.97467851 0.97327608 0.97311301
 0.96532119 0.9650487  0.96349435 0.96347051 0.96198448 0.96179117
 0.95110562 0.95105751 0.95039578 0.95018296 0.94323827 0.9429517
 0.94195219 0.94174734 0.9378764  0.93780152 0.9324072  0.93238589
 0.87707729 0.87522027 0.80646628 0.72553438 0.64909401 0.64032052
 0.60442159 0.56751197 0.53226709 0.51595024 0.48717158 0.45970653
 0.44290874 0.38453808 0.3734267  0.37014637 0.36365547 0.35883893
 0.33661451 0.33160824 0.30478361 0.28891584 0.2843597  0.28003395
 0.23877264 0.18843852 0.17605514 0.14832207 0.14506377 0.12089928]"
SVM,ITPRIPL1,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.18, 0.18, 0.22, 0.22, 0.24, 0.24, 0.26, 0.26, 0.28, 0.28, 0.32, 0.32, 0.34, 0.34, 0.36, 0.36, 0.38, 0.38, 0.4, 0.4, 0.42, 0.42, 0.44, 0.44, 0.5, 0.5, 0.54, 0.54, 0.58, 0.58, 0.6, 0.6, 0.66, 0.66, 0.7, 0.7, 0.72, 0.72, 0.74, 0.74, 0.78, 0.78, 0.8, 0.8, 0.82, 0.82, 0.9, 0.9, 1.0, 1.0]","[0.0, 0.00199203187250996, 0.18127490039840638, 0.18127490039840638, 0.4262948207171315, 0.4262948207171315, 0.5657370517928287, 0.5657370517928287, 0.599601593625498, 0.599601593625498, 0.701195219123506, 0.701195219123506, 0.8027888446215139, 0.8027888446215139, 0.8247011952191236, 0.8247011952191236, 0.8545816733067729, 0.8545816733067729, 0.8705179282868526, 0.8705179282868526, 0.8924302788844621, 0.8924302788844621, 0.9223107569721115, 0.9223107569721115, 0.9302788844621513, 0.9302788844621513, 0.9362549800796812, 0.9362549800796812, 0.9382470119521913, 0.9382470119521913, 0.9402390438247012, 0.9402390438247012, 0.9442231075697212, 0.9442231075697212, 0.9462151394422311, 0.952191235059761, 0.9561752988047809, 0.9561752988047809, 0.9581673306772909, 0.9581673306772909, 0.9601593625498008, 0.9601593625498008, 0.9681274900398407, 0.9681274900398407, 0.9701195219123506, 0.9701195219123506, 0.9741035856573705, 0.9741035856573705, 0.9780876494023905, 0.9780876494023905, 0.9800796812749004, 0.9800796812749004, 0.9840637450199203, 0.9840637450199203, 0.9860557768924303, 0.9860557768924303, 0.9880478087649402, 0.9880478087649402, 0.9900398406374502, 0.9900398406374502, 0.9920318725099602, 0.9920318725099602, 0.9940239043824701, 0.9940239043824701, 0.9960159362549801, 0.9960159362549801, 0.99800796812749, 0.99800796812749, 1.0]","[       inf 0.95519941 0.94199509 0.94185756 0.92588891 0.92585374
 0.91169674 0.9111956  0.9056778  0.90539513 0.89074207 0.89067267
 0.86853858 0.86814679 0.86107027 0.85907126 0.8424741  0.83590966
 0.82723234 0.82569439 0.78245249 0.77549634 0.691728   0.69081706
 0.65627364 0.65367871 0.62849265 0.61988827 0.61745366 0.60317091
 0.59568226 0.59362257 0.57943484 0.57647064 0.53940266 0.5
 0.48293908 0.4513142  0.44935747 0.43611176 0.43290973 0.42306856
 0.40252146 0.337857   0.33696158 0.32015562 0.30518388 0.28116806
 0.26296624 0.25223343 0.25151552 0.23091995 0.22280263 0.21115209
 0.20960704 0.2044707  0.19006741 0.1812629  0.17907009 0.17702903
 0.17533874 0.16758253 0.15266018 0.15070464 0.14936985 0.13604907
 0.13346375 0.09351264 0.08594525]"
