estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,CDX2,ITIH5,OR4K2,RARRES1,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.5, 0.5, 0.8, 0.8, 1.0]","[0.0, 0.009900990099009901, 0.1485148514851485, 0.1485148514851485, 0.5346534653465347, 0.5346534653465347, 0.7821782178217822, 0.7821782178217822, 0.9504950495049505, 0.9504950495049505, 0.9801980198019802, 0.9801980198019802, 0.9900990099009901, 0.9900990099009901, 1.0, 1.0]","[       inf 0.99624468 0.99443051 0.99441789 0.99338328 0.99336941
 0.98944881 0.98817193 0.9547834  0.90101517 0.55046526 0.36410882
 0.35848578 0.29365542 0.17472111 0.0604079 ]"
Voting,GCM2,ITIH5,OR4K2,RARRES1,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.6, 0.6, 0.7, 0.7, 0.8, 0.8, 1.0]","[0.0, 0.009900990099009901, 0.21782178217821782, 0.21782178217821782, 0.5247524752475248, 0.5247524752475248, 0.9207920792079208, 0.9207920792079208, 0.9603960396039604, 0.9603960396039604, 0.9801980198019802, 0.9801980198019802, 0.9900990099009901, 0.9900990099009901, 1.0, 1.0]","[       inf 0.99674136 0.99439713 0.99433935 0.99349583 0.99344643
 0.97950593 0.97882594 0.95823145 0.82138577 0.49348485 0.4929505
 0.26726897 0.1910793  0.1439808  0.05681257]"
Voting,HAAO,ITIH5,OR4K2,RARRES1,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.5, 0.5, 0.6, 0.6, 1.0]","[0.0, 0.009900990099009901, 0.16831683168316833, 0.16831683168316833, 0.3465346534653465, 0.3465346534653465, 0.8217821782178217, 0.8217821782178217, 0.9702970297029703, 0.9702970297029703, 0.9801980198019802, 0.9801980198019802, 1.0, 1.0]","[       inf 0.99804495 0.99531941 0.9952778  0.99503708 0.99501807
 0.99249236 0.99222981 0.9175756  0.64311989 0.49620597 0.48027681
 0.43175017 0.07133686]"
Voting,RNF152,ITIH5,OR4K2,RARRES1,"[0.0, 0.0, 0.0, 0.1, 0.1, 0.2, 0.2, 0.3, 0.3, 0.4, 0.4, 0.7, 0.7, 1.0]","[0.0, 0.009900990099009901, 0.12871287128712872, 0.12871287128712872, 0.13861386138613863, 0.13861386138613863, 0.8910891089108911, 0.8910891089108911, 0.9504950495049505, 0.9504950495049505, 0.9702970297029703, 0.9702970297029703, 1.0, 1.0]","[       inf 0.99715453 0.9950633  0.99501553 0.99501392 0.99496613
 0.98876269 0.986635   0.94220476 0.93770474 0.86259122 0.60604403
 0.4454023  0.07486476]"
Voting,APCDD1,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.18, 0.18, 0.2, 0.2, 0.22, 0.22, 0.24, 0.24, 0.26, 0.26, 0.28, 0.28, 0.3, 0.3, 0.32, 0.32, 0.34, 0.34, 0.38, 0.38, 0.4, 0.4, 0.42, 0.42, 0.44, 0.44, 0.46, 0.46, 0.5, 0.5, 0.52, 0.52, 0.6, 0.6, 0.66, 0.66, 0.72, 0.72, 0.74, 0.74, 0.76, 0.76, 0.82, 0.82, 0.84, 0.84, 0.86, 0.86, 0.9, 0.9, 0.96, 0.96, 1.0, 1.0]","[0.0, 0.00199203187250996, 0.14342629482071714, 0.14342629482071714, 0.18127490039840638, 0.18127490039840638, 0.21713147410358566, 0.21713147410358566, 0.43227091633466136, 0.43227091633466136, 0.5219123505976095, 0.5219123505976095, 0.5278884462151394, 0.5278884462151394, 0.6852589641434262, 0.6852589641434262, 0.7270916334661355, 0.7270916334661355, 0.7430278884462151, 0.7430278884462151, 0.7749003984063745, 0.7749003984063745, 0.8107569721115537, 0.8107569721115537, 0.8745019920318725, 0.8745019920318725, 0.8784860557768924, 0.8784860557768924, 0.8864541832669323, 0.8864541832669323, 0.9043824701195219, 0.9043824701195219, 0.9063745019920318, 0.9063745019920318, 0.9123505976095617, 0.9123505976095617, 0.9143426294820717, 0.9143426294820717, 0.9223107569721115, 0.9223107569721115, 0.954183266932271, 0.954183266932271, 0.9561752988047809, 0.9561752988047809, 0.9641434262948207, 0.9641434262948207, 0.9681274900398407, 0.9681274900398407, 0.9760956175298805, 0.9760956175298805, 0.9780876494023905, 0.9780876494023905, 0.9820717131474104, 0.9820717131474104, 0.9840637450199203, 0.9840637450199203, 0.9860557768924303, 0.9860557768924303, 0.9880478087649402, 0.9880478087649402, 0.9900398406374502, 0.9900398406374502, 0.9940239043824701, 0.9940239043824701, 0.9960159362549801, 0.9960159362549801, 0.99800796812749, 0.99800796812749, 1.0]","[       inf 0.98796124 0.96623356 0.96568178 0.95736253 0.95715545
 0.95434461 0.95431254 0.93884319 0.93845442 0.92480536 0.92440435
 0.92416019 0.92405823 0.9052629  0.90462471 0.89731735 0.89727509
 0.89393069 0.89384418 0.88506707 0.88453809 0.87797822 0.87727013
 0.85827837 0.85764937 0.85631171 0.85525881 0.85207619 0.85166314
 0.82959542 0.82063825 0.81171137 0.80454067 0.79693864 0.79461039
 0.79133694 0.78340261 0.74619663 0.72441119 0.52711046 0.52668536
 0.51853873 0.50160009 0.44825583 0.43150543 0.42334427 0.39881483
 0.26584403 0.25238347 0.24789298 0.21215332 0.19157595 0.19050989
 0.18750336 0.16420459 0.16049974 0.15473978 0.15174515 0.14704159
 0.14558125 0.13999976 0.12051881 0.1036564  0.09929006 0.07375087
 0.07321406 0.06879745 0.04830234]"
Voting,APCDD1,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.18, 0.18, 0.24, 0.24, 0.26, 0.26, 0.28, 0.28, 0.32, 0.32, 0.36, 0.36, 0.42, 0.42, 0.46, 0.46, 0.48, 0.48, 0.5, 0.5, 0.56, 0.56, 0.58, 0.58, 0.6, 0.6, 0.68, 0.68, 0.74, 0.74, 0.76, 0.76, 0.8, 0.8, 0.84, 0.84, 0.88, 0.88, 0.9, 0.9, 0.94, 0.94, 1.0, 1.0]","[0.0, 0.00199203187250996, 0.1952191235059761, 0.1952191235059761, 0.5936254980079682, 0.5936254980079682, 0.601593625498008, 0.601593625498008, 0.647410358565737, 0.647410358565737, 0.7330677290836654, 0.7330677290836654, 0.7450199203187251, 0.7450199203187251, 0.7928286852589641, 0.7928286852589641, 0.8107569721115537, 0.8107569721115537, 0.8446215139442231, 0.8446215139442231, 0.8645418326693227, 0.8645418326693227, 0.8844621513944223, 0.8844621513944223, 0.9103585657370518, 0.9103585657370518, 0.9143426294820717, 0.9143426294820717, 0.9223107569721115, 0.9223107569721115, 0.9302788844621513, 0.9302788844621513, 0.9342629482071713, 0.9342629482071713, 0.9362549800796812, 0.9362549800796812, 0.9482071713147411, 0.9482071713147411, 0.9581673306772909, 0.9581673306772909, 0.9601593625498008, 0.9601593625498008, 0.9621513944223108, 0.9621513944223108, 0.9661354581673307, 0.9661354581673307, 0.9681274900398407, 0.9681274900398407, 0.9701195219123506, 0.9701195219123506, 0.9760956175298805, 0.9760956175298805, 0.9780876494023905, 0.9780876494023905, 0.9820717131474104, 0.9820717131474104, 0.9900398406374502, 0.9900398406374502, 0.9960159362549801, 0.9960159362549801, 0.99800796812749, 0.99800796812749, 1.0]","[       inf 0.98817268 0.9677322  0.96763327 0.94562646 0.94522317
 0.94414896 0.94400671 0.92906128 0.92887521 0.81622493 0.8154962
 0.75703963 0.75665704 0.66060491 0.6598894  0.64985243 0.64403982
 0.60734006 0.60383784 0.5797269  0.57365575 0.56349595 0.56338393
 0.53172206 0.53128446 0.52656915 0.51626272 0.50456226 0.499946
 0.48635553 0.47041463 0.46372973 0.45768924 0.45692547 0.45466904
 0.43802347 0.43785304 0.42274388 0.41571055 0.41401302 0.38904836
 0.38893303 0.37965096 0.37601002 0.35825699 0.35790456 0.34805381
 0.34345581 0.34253847 0.31761925 0.31212246 0.30339425 0.28900206
 0.2624127  0.25057165 0.18196311 0.16103432 0.09791593 0.07097291
 0.0706241  0.06722292 0.04413457]"
Voting,APCDD1,NDRG2,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.2, 0.2, 0.22, 0.22, 0.24, 0.24, 0.26, 0.26, 0.28, 0.28, 0.3, 0.3, 0.34, 0.34, 0.36, 0.36, 0.46, 0.46, 0.48, 0.48, 0.52, 0.52, 0.56, 0.56, 0.58, 0.58, 0.6, 0.6, 0.64, 0.64, 0.66, 0.66, 0.8, 0.8, 0.94, 0.94, 0.96, 0.96, 0.98, 0.98, 1.0]","[0.0, 0.00199203187250996, 0.32270916334661354, 0.32270916334661354, 0.4203187250996016, 0.4203187250996016, 0.47410358565737054, 0.47410358565737054, 0.5318725099601593, 0.5318725099601593, 0.5557768924302788, 0.5557768924302788, 0.5916334661354582, 0.5916334661354582, 0.7450199203187251, 0.7450199203187251, 0.7749003984063745, 0.7749003984063745, 0.8784860557768924, 0.8784860557768924, 0.8804780876494024, 0.8804780876494024, 0.8924302788844621, 0.8924302788844621, 0.9063745019920318, 0.9063745019920318, 0.9163346613545816, 0.9163346613545816, 0.9203187250996016, 0.9203187250996016, 0.9382470119521913, 0.9382470119521913, 0.9601593625498008, 0.9601593625498008, 0.9641434262948207, 0.9641434262948207, 0.9681274900398407, 0.9681274900398407, 0.9741035856573705, 0.9741035856573705, 0.9760956175298805, 0.9760956175298805, 0.9800796812749004, 0.9800796812749004, 0.9840637450199203, 0.9840637450199203, 0.9880478087649402, 0.9880478087649402, 0.9900398406374502, 0.9900398406374502, 0.9920318725099602, 0.9920318725099602, 0.9940239043824701, 0.9940239043824701, 0.9960159362549801, 0.9960159362549801, 0.99800796812749, 0.99800796812749, 1.0, 1.0]","[       inf 0.99012427 0.95645182 0.95635416 0.94134238 0.94102187
 0.93759327 0.93683357 0.93347371 0.9334642  0.93125549 0.93124341
 0.9281226  0.92808983 0.90633503 0.90599305 0.87942309 0.87772772
 0.82750573 0.82179917 0.81716917 0.81645032 0.80833132 0.79756591
 0.76119086 0.75282325 0.70610162 0.701487   0.67982289 0.67443816
 0.63516069 0.62939479 0.54572261 0.54457988 0.425983   0.38755762
 0.37736486 0.37415451 0.33338876 0.31505015 0.31140346 0.28777974
 0.22336013 0.22301356 0.20439249 0.20227024 0.19714519 0.19121451
 0.18278703 0.17848561 0.17803448 0.1380658  0.13751747 0.06310214
 0.05980615 0.05798922 0.05599883 0.05402392 0.05353041 0.04010516]"
Voting,APCDD1,NDRG2,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.16, 0.16, 0.18, 0.18, 0.2, 0.2, 0.22, 0.22, 0.26, 0.26, 0.28, 0.28, 0.3, 0.3, 0.32, 0.32, 0.34, 0.34, 0.36, 0.36, 0.42, 0.42, 0.44, 0.44, 0.46, 0.46, 0.48, 0.48, 0.54, 0.54, 0.66, 0.66, 0.7, 0.7, 0.74, 0.74, 0.82, 0.82, 0.88, 0.88, 0.94, 0.94, 0.98, 0.98, 1.0, 1.0]","[0.0, 0.00199203187250996, 0.11354581673306773, 0.11354581673306773, 0.46613545816733065, 0.46613545816733065, 0.6135458167330677, 0.6135458167330677, 0.7171314741035857, 0.7171314741035857, 0.796812749003984, 0.796812749003984, 0.8127490039840638, 0.8127490039840638, 0.8366533864541833, 0.8366533864541833, 0.8386454183266933, 0.8386454183266933, 0.8406374501992032, 0.8406374501992032, 0.850597609561753, 0.850597609561753, 0.8924302788844621, 0.8924302788844621, 0.898406374501992, 0.898406374501992, 0.9023904382470119, 0.9023904382470119, 0.9143426294820717, 0.9143426294820717, 0.9362549800796812, 0.9362549800796812, 0.9382470119521913, 0.9382470119521913, 0.9402390438247012, 0.9402390438247012, 0.9462151394422311, 0.9462151394422311, 0.952191235059761, 0.952191235059761, 0.9561752988047809, 0.9561752988047809, 0.9661354581673307, 0.9661354581673307, 0.9760956175298805, 0.9760956175298805, 0.9800796812749004, 0.9800796812749004, 0.9820717131474104, 0.9820717131474104, 0.9840637450199203, 0.9840637450199203, 0.9860557768924303, 0.9860557768924303, 0.9900398406374502, 0.9900398406374502, 0.9920318725099602, 0.9920318725099602, 0.9940239043824701, 0.9940239043824701, 1.0]","[       inf 0.98579134 0.97418301 0.97416161 0.96220709 0.9619791
 0.94584608 0.94541178 0.93100006 0.93024995 0.86510039 0.86458488
 0.85660834 0.85654356 0.79252853 0.78692476 0.7868406  0.78419832
 0.7577139  0.75534155 0.73025402 0.724576   0.62556239 0.61364233
 0.60664357 0.59505744 0.59079312 0.59025369 0.57992052 0.57732339
 0.50108981 0.49415863 0.4864654  0.44004385 0.43093111 0.38080915
 0.33607695 0.33261373 0.31713573 0.31221924 0.27833764 0.278001
 0.1953351  0.16956016 0.1201183  0.10146801 0.092387   0.07747755
 0.07283991 0.07057355 0.06146261 0.05669024 0.05469923 0.05245477
 0.05179503 0.05028268 0.04985606 0.04695625 0.04516244 0.04515478
 0.03682664]"
Voting,ITPRIPL1,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.08, 0.08, 0.1, 0.1, 0.12, 0.12, 0.16, 0.16, 0.18, 0.18, 0.2, 0.2, 0.22, 0.22, 0.26, 0.26, 0.28, 0.28, 0.34, 0.34, 0.4, 0.4, 0.44, 0.44, 0.46, 0.46, 0.48, 0.48, 0.5, 0.5, 0.52, 0.52, 0.56, 0.56, 0.58, 0.58, 0.68, 0.68, 0.78, 0.78, 0.8, 0.8, 0.84, 0.84, 0.86, 0.86, 0.88, 0.88, 0.98, 0.98, 1.0]","[0.0, 0.00199203187250996, 0.3705179282868526, 0.3705179282868526, 0.40039840637450197, 0.40039840637450197, 0.5697211155378487, 0.5697211155378487, 0.651394422310757, 0.651394422310757, 0.6972111553784861, 0.6972111553784861, 0.8386454183266933, 0.8386454183266933, 0.8764940239043825, 0.8764940239043825, 0.8784860557768924, 0.8784860557768924, 0.8824701195219123, 0.8824701195219123, 0.8864541832669323, 0.8864541832669323, 0.8904382470119522, 0.8904382470119522, 0.8924302788844621, 0.8924302788844621, 0.898406374501992, 0.898406374501992, 0.900398406374502, 0.900398406374502, 0.9023904382470119, 0.9023904382470119, 0.9561752988047809, 0.9561752988047809, 0.9621513944223108, 0.9621513944223108, 0.9661354581673307, 0.9661354581673307, 0.9701195219123506, 0.9701195219123506, 0.9741035856573705, 0.9741035856573705, 0.9780876494023905, 0.9780876494023905, 0.9820717131474104, 0.9820717131474104, 0.9840637450199203, 0.9840637450199203, 0.9860557768924303, 0.9860557768924303, 0.9880478087649402, 0.9880478087649402, 0.9900398406374502, 0.9900398406374502, 0.9940239043824701, 0.9940239043824701, 0.99800796812749, 0.99800796812749, 1.0, 1.0]","[       inf 0.98969243 0.96002933 0.95997518 0.95476931 0.95463847
 0.93968215 0.9389303  0.91709477 0.91667057 0.91248161 0.91234223
 0.89492485 0.8936888  0.87594721 0.87511978 0.87481665 0.87262688
 0.86975777 0.86396664 0.85826015 0.85776139 0.84407083 0.83908776
 0.8384261  0.83719698 0.82366371 0.80936117 0.80581356 0.75953429
 0.75681654 0.73683011 0.59009033 0.58353625 0.56722455 0.56461905
 0.53376062 0.53060525 0.49811069 0.46625938 0.41654458 0.41495545
 0.39684358 0.39656487 0.39529665 0.37742655 0.36260666 0.34565934
 0.34424452 0.34005651 0.32874423 0.32197697 0.31734386 0.31096679
 0.19282802 0.18569474 0.16608031 0.05367952 0.04943864 0.04405039]"
Voting,ITPRIPL1,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.04, 0.06, 0.06, 0.1, 0.1, 0.12, 0.12, 0.14, 0.14, 0.16, 0.16, 0.2, 0.2, 0.22, 0.22, 0.24, 0.24, 0.26, 0.26, 0.3, 0.3, 0.32, 0.32, 0.34, 0.34, 0.36, 0.36, 0.42, 0.42, 0.44, 0.44, 0.48, 0.48, 0.52, 0.52, 0.56, 0.56, 0.58, 0.58, 0.6, 0.6, 0.62, 0.62, 0.66, 0.66, 0.68, 0.68, 0.76, 0.76, 0.78, 0.78, 0.8, 0.8, 0.86, 0.86, 0.88, 0.88, 0.92, 0.92, 1.0, 1.0]","[0.0, 0.00199203187250996, 0.09561752988047809, 0.09561752988047809, 0.4721115537848606, 0.4721115537848606, 0.651394422310757, 0.651394422310757, 0.6892430278884463, 0.6892430278884463, 0.7290836653386454, 0.7290836653386454, 0.8087649402390438, 0.8087649402390438, 0.852589641434263, 0.852589641434263, 0.9023904382470119, 0.9023904382470119, 0.9043824701195219, 0.9043824701195219, 0.9063745019920318, 0.9063745019920318, 0.9083665338645418, 0.9083665338645418, 0.9103585657370518, 0.9103585657370518, 0.9143426294820717, 0.9143426294820717, 0.9223107569721115, 0.9223107569721115, 0.9302788844621513, 0.9302788844621513, 0.9322709163346613, 0.9322709163346613, 0.9342629482071713, 0.9342629482071713, 0.9362549800796812, 0.9362549800796812, 0.9382470119521913, 0.9382470119521913, 0.9402390438247012, 0.9402390438247012, 0.950199203187251, 0.950199203187251, 0.9621513944223108, 0.9621513944223108, 0.9641434262948207, 0.9641434262948207, 0.9681274900398407, 0.9681274900398407, 0.9721115537848606, 0.9721115537848606, 0.9760956175298805, 0.9760956175298805, 0.9780876494023905, 0.9780876494023905, 0.9820717131474104, 0.9820717131474104, 0.9840637450199203, 0.9840637450199203, 0.9900398406374502, 0.9900398406374502, 0.9920318725099602, 0.9920318725099602, 0.99800796812749, 0.99800796812749, 1.0]","[       inf 0.98891221 0.97933642 0.97932868 0.96152954 0.96152505
 0.95467228 0.95466174 0.95224467 0.95214522 0.94693742 0.94676379
 0.92631894 0.92628201 0.90698034 0.90549533 0.85058511 0.84688213
 0.84624749 0.84441206 0.8329323  0.82686968 0.8256842  0.824381
 0.82393096 0.80145911 0.79610559 0.78836576 0.7327745  0.71002858
 0.65287085 0.62666433 0.56061321 0.52787748 0.51359442 0.50980059
 0.5046166  0.47834268 0.47541034 0.45134673 0.4306399  0.42480585
 0.33412022 0.32962335 0.25440069 0.25428838 0.2512645  0.24429036
 0.23604487 0.22215481 0.21603622 0.21586518 0.20885305 0.16724475
 0.16641598 0.16460201 0.15783879 0.15697321 0.15032842 0.14238433
 0.11878867 0.10702257 0.09823059 0.08326409 0.07060754 0.04424943
 0.03642692]"
