selection_model,train_model,features,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
SVM,XGBoost,1,0.963718820861678,0.9800498753117207,0.8,0.9800498753117207,0.9800498753117207,0.9485349127182046,0.7800498753117207,0.9800498753117207
SVM,RandomForest,1,0.9705215419501134,0.9875311720698254,0.8,0.9801980198019802,0.9838509316770186,0.9938902743142145,0.8157900244758992,0.9860557768924303
SVM,SVM,1,0.9659863945578231,0.9800498753117207,0.825,0.9825,0.9812734082397003,0.9220698254364089,0.7961649326577488,0.9805389221556886
SVM,DecisionTree,1,0.9727891156462585,0.9825436408977556,0.875,0.9874686716791979,0.985,0.9939526184538653,0.8389717157536505,0.9835247129306041
SVM,XGBoost,2,0.9705215419501134,0.9875311720698254,0.8,0.9801980198019802,0.9838509316770186,0.9881234413965088,0.8157900244758992,0.9860557768924303
SVM,RandomForest,2,0.9954648526077098,0.9975062344139651,0.975,0.9975062344139651,0.9975062344139651,0.9997506234413965,0.9725062344139651,0.9975062344139651
SVM,SVM,2,0.9682539682539683,0.9775561097256857,0.875,0.9874055415617129,0.9824561403508771,0.9569825436408977,0.8169652074881115,0.9795102448775612
SVM,DecisionTree,2,0.9795918367346939,0.9900249376558603,0.875,0.9875621890547264,0.9887920298879203,0.9960411471321695,0.8749545214421762,0.9895314057826521
SVM,XGBoost,3,0.9727891156462585,0.9875311720698254,0.825,0.9826302729528535,0.9850746268656716,0.9880922693266834,0.8315682359666569,0.9865470852017937
SVM,RandomForest,3,0.9750566893424036,0.9875311720698254,0.85,0.9850746268656716,0.9863013698630136,0.9966957605985036,0.847145156112014,0.9870388833499502
SVM,SVM,3,0.9659863945578231,0.9750623441396509,0.875,0.9873737373737373,0.9811794228356336,0.9679551122194513,0.8064902296938895,0.9775
SVM,DecisionTree,3,0.9773242630385488,0.9900249376558603,0.85,0.9851116625310173,0.9875621890547264,0.9959476309226933,0.8597061621587305,0.98903836571998
SVM,XGBoost,4,0.9795918367346939,0.9875311720698254,0.9,0.99,0.9887640449438202,0.9949189526184539,0.8777359235898483,0.9880239520958084
SVM,RandomForest,4,0.9909297052154195,0.9975062344139651,0.925,0.9925558312655087,0.9950248756218906,0.9991271820448878,0.9441199407349514,0.9965122072745392
SVM,SVM,4,0.9705215419501134,0.9800498753117207,0.875,0.9874371859296482,0.983729662077597,0.9683915211970074,0.8277855979284007,0.9815184815184815
SVM,DecisionTree,4,0.9841269841269841,0.9825436408977556,1.0,1.0,0.9911949685534591,0.9984725685785536,0.9144437401806285,0.985985985985986
SVM,XGBoost,5,0.9773242630385488,0.9875311720698254,0.875,0.9875311720698254,0.9875311720698254,0.9931733167082294,0.8625311720698254,0.9875311720698254
SVM,RandomForest,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,SVM,5,0.9659863945578231,0.9750623441396509,0.875,0.9873737373737373,0.9811794228356336,0.9868453865336659,0.8064902296938895,0.9775
SVM,DecisionTree,5,0.9909297052154195,0.9925187032418953,0.975,0.9974937343358395,0.995,0.9993453865336658,0.9465650350258744,0.9935097353969047
DecisionTree,XGBoost,1,0.9705215419501134,0.9875311720698254,0.8,0.9801980198019802,0.9838509316770186,0.9487219451371571,0.8157900244758992,0.9860557768924303
DecisionTree,RandomForest,1,0.9773242630385488,0.9925187032418953,0.825,0.9827160493827161,0.9875930521091811,0.9953865336658354,0.857474309669313,0.9905425584868094
