selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.075, 0.125, 0.175, 0.225, 0.325, 0.375, 1.0]","[0.0, 0.9077306733167082, 0.9501246882793017, 0.9775561097256857, 0.9825436408977556, 0.9900249376558603, 0.9925187032418953, 1.0]","[       inf 0.9652577  0.8964883  0.8190315  0.4051599  0.37646753
 0.34237018 0.27399027]"
SVM,RandomForest,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.075, 0.075, 0.1, 0.125, 0.125, 0.175, 0.175, 0.2, 0.2, 0.25, 0.25, 0.325, 0.325, 0.375, 0.425, 0.475, 0.525, 0.575, 0.625, 0.725, 0.825, 0.85, 0.925, 0.975, 1.0]","[0.0, 0.8329177057356608, 0.8403990024937655, 0.8453865336658354, 0.8478802992518704, 0.8553615960099751, 0.8603491271820449, 0.8628428927680798, 0.8728179551122195, 0.885286783042394, 0.8902743142144638, 0.912718204488778, 0.9177057356608479, 0.9576059850374065, 0.9625935162094763, 0.9650872817955112, 0.9650872817955112, 0.970074812967581, 0.970074812967581, 0.972568578553616, 0.9775561097256857, 0.9775561097256857, 0.9800498753117207, 0.9800498753117207, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.996      0.99428571 0.99333333 0.99333333
 0.99314286 0.991      0.99       0.98166667 0.98111905 0.95190476
 0.95       0.85233333 0.85028571 0.84909524 0.84409524 0.83330952
 0.80795238 0.77664286 0.69350794 0.65626984 0.64764286 0.58530952
 0.53015873 0.52513492 0.48000794 0.43140476 0.41362698 0.21746032
 0.20744444 0.18744444 0.18335714 0.16285714 0.16071429 0.14739683
 0.13601587 0.09833333 0.06552381 0.05938095 0.02471429 0.02238095
 0.01971429]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.05, 0.05, 0.075, 0.075, 0.1, 0.1, 0.125, 0.125, 0.175, 0.175, 0.2, 0.2, 0.3, 0.3, 0.325, 0.325, 0.35, 0.35, 0.5, 0.5, 0.775, 0.775, 0.975, 0.975, 1.0]","[0.0, 0.0024937655860349127, 0.004987531172069825, 0.004987531172069825, 0.5760598503740648, 0.5760598503740648, 0.8129675810473815, 0.8129675810473815, 0.8154613466334164, 0.8154613466334164, 0.9501246882793017, 0.9501246882793017, 0.9800498753117207, 0.9800498753117207, 0.9825436408977556, 0.9825436408977556, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9950124688279302, 0.9950124688279302, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0]","[       inf 0.99328212 0.99316351 0.99315239 0.97638928 0.97638894
 0.97630062 0.97630012 0.97629984 0.97629902 0.97368318 0.95797154
 0.79710481 0.68562128 0.66352333 0.5        0.4622464  0.39265025
 0.36401576 0.34523191 0.33637228 0.22182391 0.21801753 0.1446755
 0.13538117 0.10642848 0.09781693 0.08496629]"
SVM,DecisionTree,1,"[0.0, 0.0, 0.125, 0.175, 0.425, 1.0]","[0.0, 0.9576059850374065, 0.9825436408977556, 0.9875311720698254, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
SVM,XGBoost,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.025, 0.025, 0.025, 0.05, 0.05, 0.05, 0.05, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.1, 0.1, 0.125, 0.15, 0.15, 0.225, 0.225, 0.25, 0.25, 0.3, 0.35, 0.5, 0.55, 0.625, 0.675, 0.825, 0.925, 1.0]","[0.0, 0.34413965087281795, 0.4389027431421446, 0.6932668329177057, 0.7007481296758105, 0.7356608478802993, 0.7406483790523691, 0.7655860349127181, 0.770573566084788, 0.7980049875311721, 0.8079800498753117, 0.8329177057356608, 0.8453865336658354, 0.8528678304239401, 0.8678304239401496, 0.8753117206982544, 0.8827930174563591, 0.8877805486284289, 0.9002493765586035, 0.9027431421446384, 0.9052369077306733, 0.9102244389027432, 0.9152119700748129, 0.9226932668329177, 0.9251870324189526, 0.9301745635910225, 0.9501246882793017, 0.9600997506234414, 0.9650872817955112, 0.9775561097256857, 0.9775561097256857, 0.9800498753117207, 0.9825436408977556, 0.9825436408977556, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9925187032418953, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.99539137 0.99492884 0.99467987 0.9944208  0.9940904
 0.9936987  0.99092346 0.990017   0.98952955 0.988376   0.9804764
 0.9749946  0.9725415  0.97174275 0.97122556 0.96209985 0.95233375
 0.9453245  0.9402066  0.9401394  0.93737036 0.91943717 0.91637105
 0.9134889  0.9050543  0.9022895  0.8888113  0.8612713  0.6957107
 0.694115   0.6861316  0.68225425 0.651853   0.6255205  0.46897393
 0.2925633  0.25673613 0.22940363 0.21674243 0.18127733 0.1607988
 0.15303043 0.14840014 0.11176656 0.10876211 0.10415283 0.08848416]"
SVM,RandomForest,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.05, 0.1, 0.2, 0.275, 0.325, 0.525, 0.55, 0.6, 1.0]","[0.0, 0.9326683291770573, 0.9351620947630923, 0.9650872817955112, 0.972568578553616, 0.9750623441396509, 0.9800498753117207, 0.9850374064837906, 0.9925187032418953, 0.9950124688279302, 0.9950124688279302, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.95       0.9        0.8        0.76666667
 0.75       0.655      0.65       0.63333333 0.58       0.55
 0.5        0.45       0.25       0.2        0.15       0.1
 0.075      0.05       0.        ]"
SVM,SVM,2,"[0.0, 0.0, 0.0, 0.025, 0.025, 0.05, 0.05, 0.075, 0.075, 0.125, 0.125, 0.2, 0.2, 0.225, 0.225, 0.375, 0.375, 0.65, 0.65, 0.85, 0.85, 1.0, 1.0]","[0.0, 0.0024937655860349127, 0.3192019950124688, 0.3192019950124688, 0.41895261845386533, 0.41895261845386533, 0.8977556109725686, 0.8977556109725686, 0.9600997506234414, 0.9600997506234414, 0.9775561097256857, 0.9775561097256857, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9925187032418953, 0.9925187032418953, 0.9950124688279302, 0.9950124688279302, 0.9975062344139651, 0.9975062344139651, 1.0]","[       inf 0.999981   0.98612846 0.98610422 0.98377431 0.98377221
 0.98177463 0.98177358 0.98039137 0.96875646 0.82082441 0.70184201
 0.48127719 0.41285515 0.32810006 0.23089272 0.2178515  0.1476368
 0.14670982 0.10745411 0.10690304 0.09058206 0.08469588]"
SVM,DecisionTree,2,"[0.0, 0.0, 0.125, 0.225, 0.3, 0.4, 1.0]","[0.0, 0.9650872817955112, 0.9900249376558603, 0.9950124688279302, 0.9975062344139651, 1.0, 1.0]","[       inf 1.         0.66666667 0.33333333 0.25       0.2
 0.        ]"
SVM,XGBoost,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.075, 0.075, 0.075, 0.1, 0.1, 0.125, 0.125, 0.25, 0.25, 0.375, 0.425, 0.55, 0.875, 0.9, 1.0]","[0.0, 0.6334164588528678, 0.6708229426433915, 0.683291770573566, 0.6907730673316709, 0.71571072319202, 0.7182044887780549, 0.7356608478802993, 0.7406483790523691, 0.7556109725685786, 0.7880299251870324, 0.8104738154613467, 0.8129675810473815, 0.8179551122194514, 0.8354114713216958, 0.8403990024937655, 0.85785536159601, 0.8603491271820449, 0.8653366583541147, 0.8753117206982544, 0.8802992518703242, 0.885286783042394, 0.9152119700748129, 0.9226932668329177, 0.9326683291770573, 0.9351620947630923, 0.9451371571072319, 0.9451371571072319, 0.9501246882793017, 0.9625935162094763, 0.972568578553616, 0.9775561097256857, 0.9800498753117207, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9900249376558603, 0.9900249376558603, 1.0, 1.0, 1.0]","[       inf 0.99465066 0.9939586  0.9916877  0.9906159  0.98953944
 0.98819375 0.98603314 0.9837915  0.97444904 0.9694685  0.9679832
 0.96767586 0.96695685 0.9663444  0.9656307  0.9639657  0.9621294
 0.96100533 0.96037316 0.9588723  0.95867306 0.95776635 0.9532135
 0.9395777  0.92340726 0.9166899  0.881677   0.88115    0.7975976
 0.7866616  0.7388505  0.71997577 0.64146507 0.25135735 0.25115559
 0.18909854 0.18700024 0.18644595 0.17912221 0.17437708 0.17165849]"
SVM,RandomForest,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025, 0.025, 0.05, 0.05, 0.1, 0.1, 0.15, 0.15, 0.175, 0.175, 0.225, 0.225, 0.3, 0.3, 1.0]","[0.0, 0.8054862842892768, 0.8079800498753117, 0.8129675810473815, 0.8204488778054863, 0.830423940149626, 0.8354114713216958, 0.8478802992518704, 0.8528678304239401, 0.8678304239401496, 0.8728179551122195, 0.8827930174563591, 0.885286783042394, 0.8902743142144638, 0.8952618453865336, 0.9002493765586035, 0.9102244389027432, 0.9152119700748129, 0.9177057356608479, 0.9276807980049875, 0.9675810473815462, 0.9675810473815462, 0.9825436408977556, 0.9825436408977556, 0.9850374064837906, 0.9850374064837906, 0.9875311720698254, 0.9875311720698254, 0.9900249376558603, 0.9900249376558603, 0.9950124688279302, 0.9950124688279302, 0.9975062344139651, 0.9975062344139651, 1.0, 1.0]","[       inf 1.         0.99444444 0.99285714 0.99166667 0.99
 0.9875     0.98333333 0.98285714 0.98       0.9775     0.975
 0.97333333 0.97083333 0.96666667 0.965      0.95083333 0.94833333
 0.94666667 0.93333333 0.83464286 0.80694444 0.70083333 0.69849206
 0.68071429 0.5943254  0.54861111 0.50047619 0.47980519 0.4418254
 0.39277778 0.34380952 0.34367424 0.31409091 0.27875    0.02666667]"
