estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,CDX2,ITIH5,OR4K2,RARRES1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,GCM2,ITIH5,OR4K2,RARRES1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,HAAO,ITIH5,OR4K2,RARRES1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RNF152,ITIH5,OR4K2,RARRES1,0.9977324263038548,1.0,0.975,0.9975124378109452,0.9987546699875467,1.0,0.9861919827628247,0.9995014955134596
Voting,APCDD1,INPP5B,PLAT,SLC2A2,0.9957983193277311,1.0,0.9915254237288136,0.9917355371900827,0.995850622406639,1.0,0.9916304748944131,0.9983361064891847
Voting,APCDD1,INPP5B,SERPINE2,SLC2A2,0.9957983193277311,1.0,0.9915254237288136,0.9917355371900827,0.995850622406639,1.0,0.9916304748944131,0.9983361064891847
Voting,APCDD1,NDRG2,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,APCDD1,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ITPRIPL1,INPP5B,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ITPRIPL1,INPP5B,SERPINE2,SLC2A2,0.9957983193277311,1.0,0.9915254237288136,0.9917355371900827,0.995850622406639,1.0,0.9916304748944131,0.9983361064891847
Voting,ITPRIPL1,NDRG2,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ITPRIPL1,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,LIMD2,INPP5B,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,LIMD2,INPP5B,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,LIMD2,NDRG2,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,LIMD2,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RTN3,INPP5B,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RTN3,INPP5B,SERPINE2,SLC2A2,0.9957983193277311,1.0,0.9915254237288136,0.9917355371900827,0.995850622406639,1.0,0.9916304748944131,0.9983361064891847
Voting,RTN3,NDRG2,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RTN3,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
