selection_model,train_model,features,fpr,tpr,AUC
XGBoost,XGBoost,25,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9625935162094763, 1.0]",0.9351620947630923
XGBoost,Random Forest,25,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9600997506234414, 1.0]",0.9339152119700748
XGBoost,Decision Tree,25,"[0.0, 0.09476309226932668, 1.0]","[0.0, 0.9600997506234414, 1.0]",0.9326683291770574
XGBoost,SVM,25,"[0.0, 0.0, 1.0]","[0.0, 0.9975062344139651, 1.0]",0.9987531172069826
XGBoost,XGBoost,30,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9600997506234414, 1.0]",0.9339152119700748
XGBoost,Random Forest,30,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9576059850374065, 1.0]",0.9326683291770573
XGBoost,Decision Tree,30,"[0.0, 0.0773067331670823, 1.0]","[0.0, 0.940149625935162, 1.0]",0.9314214463840399
XGBoost,SVM,30,"[0.0, 0.0, 1.0]","[0.0, 0.9975062344139651, 1.0]",0.9987531172069826
XGBoost,XGBoost,35,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9625935162094763, 1.0]",0.9351620947630923
XGBoost,Random Forest,35,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9576059850374065, 1.0]",0.9326683291770573
XGBoost,Decision Tree,35,"[0.0, 0.10723192019950124, 1.0]","[0.0, 0.9675810473815462, 1.0]",0.9301745635910226
XGBoost,SVM,35,"[0.0, 0.0, 1.0]","[0.0, 0.9975062344139651, 1.0]",0.9987531172069826
Random Forest,XGBoost,25,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9625935162094763, 1.0]",0.9351620947630923
Random Forest,Random Forest,25,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9576059850374065, 1.0]",0.9326683291770573
Random Forest,Decision Tree,25,"[0.0, 0.10723192019950124, 1.0]","[0.0, 0.9675810473815462, 1.0]",0.9301745635910226
Random Forest,SVM,25,"[0.0, 0.0, 1.0]","[0.0, 0.9950124688279302, 1.0]",0.9975062344139651
Random Forest,XGBoost,30,"[0.0, 0.07481296758104738, 1.0]","[0.0, 0.9600997506234414, 1.0]",0.942643391521197
Random Forest,Random Forest,30,"[0.0, 0.08977556109725686, 1.0]","[0.0, 0.9551122194513716, 1.0]",0.9326683291770573
Random Forest,Decision Tree,30,"[0.0, 0.09476309226932668, 1.0]","[0.0, 0.9600997506234414, 1.0]",0.9326683291770574
Random Forest,SVM,30,"[0.0, 0.0, 1.0]","[0.0, 0.9975062344139651, 1.0]",0.9987531172069826
Random Forest,XGBoost,35,"[0.0, 0.06982543640897755, 1.0]","[0.0, 0.9526184538653366, 1.0]",0.9413965087281796
Random Forest,Random Forest,35,"[0.0, 0.09226932668329177, 1.0]","[0.0, 0.9576059850374065, 1.0]",0.9326683291770573
Random Forest,Decision Tree,35,"[0.0, 0.09476309226932668, 1.0]","[0.0, 0.9600997506234414, 1.0]",0.9326683291770574
Random Forest,SVM,35,"[0.0, 0.0, 1.0]","[0.0, 0.9950124688279302, 1.0]",0.9975062344139651
