train_model,test_model,features,AUC,accuracy (5-fold-Cross-Validation),accuracy,precision,recall,f1_score,MCC,J-index,incorrect predictions count
SVM,SVM,20,0.84009901,0.9546476,0.954954955,0.970588235,0.98019802,0.975369458,0.713468346,0.915350995,5
SVM,LR,20,0.74009901,0.936516854,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
SVM,DT,20,0.785148515,0.911593463,0.936936937,0.960784314,0.97029703,0.965517241,0.598191801,0.877530996,7
SVM,RF,20,0.895049505,0.952374872,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
SVM,XGB,20,0.945049505,0.961440245,0.981981982,0.99009901,0.99009901,0.99009901,0.89009901,0.962180002,2
SVM,SVM,21,0.89009901,0.952374872,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
SVM,LR,21,0.74009901,0.936516854,0.936936937,0.951923077,0.98019802,0.965853659,0.565607764,0.897332977,7
SVM,DT,21,0.79009901,0.911618999,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
SVM,RF,21,0.995049505,0.9546476,0.990990991,1,0.99009901,0.995024876,0.948730736,0.971189011,1
SVM,XGB,21,0.895049505,0.959193054,0.972972973,0.980392157,0.99009901,0.985221675,0.828744891,0.953170993,3
SVM,SVM,22,0.99009901,0.954622063,0.981981982,1,0.98019802,0.99,0.90378741,0.942378022,2
SVM,LR,22,0.79009901,0.931971399,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
SVM,DT,22,0.79009901,0.900280899,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
SVM,RF,22,0.995049505,0.952374872,0.990990991,1,0.99009901,0.995024876,0.948730736,0.971189011,1
SVM,XGB,22,0.89009901,0.9546476,0.963963964,0.98019802,0.98019802,0.98019802,0.78019802,0.924360004,4
SVM,SVM,23,0.94009901,0.954622063,0.972972973,0.99,0.98019802,0.985074627,0.843421624,0.933369013,3
SVM,LR,23,0.79009901,0.931971399,0.945945946,0.961165049,0.98019802,0.970588235,0.642352359,0.906341986,6
