estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
RandomForest,APCDD1,INPP5B,PLAT,SLC2A2,0.8333333333333333,0.7916666666666667,0.875,0.8636363636363635,0.826086956521739,0.8472222222222223,0.6689936080056728,0.8050847457627117
RandomForest,APCDD1,INPP5B,SERPINE2,SLC2A2,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8828125000000002,0.6666666666666667,0.8333333333333333
RandomForest,APCDD1,NDRG2,PLAT,SLC2A2,0.875,0.7916666666666667,0.9583333333333334,0.95,0.8636363636363635,0.8550347222222221,0.760638829255665,0.8189655172413792
RandomForest,APCDD1,NDRG2,SERPINE2,SLC2A2,0.8541666666666667,0.7916666666666667,0.9166666666666666,0.9047619047619049,0.8444444444444443,0.8446180555555556,0.7139328934618738,0.811965811965812
RandomForest,ITPRIPL1,INPP5B,PLAT,SLC2A2,0.7708333333333333,0.6666666666666667,0.875,0.8421052631578947,0.7441860465116278,0.8142361111111109,0.5538186196949965,0.6956521739130433
RandomForest,ITPRIPL1,INPP5B,SERPINE2,SLC2A2,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.7916666666666667,0.8723958333333333,0.5833333333333333,0.7916666666666667
RandomForest,ITPRIPL1,NDRG2,PLAT,SLC2A2,0.8333333333333333,0.7083333333333333,0.9583333333333334,0.9444444444444444,0.8095238095238095,0.8168402777777779,0.6885303726590964,0.7456140350877193
RandomForest,ITPRIPL1,NDRG2,SERPINE2,SLC2A2,0.7916666666666667,0.7083333333333333,0.875,0.8499999999999999,0.7727272727272726,0.8489583333333333,0.5916079783099616,0.732758620689655
RandomForest,LIMD2,INPP5B,PLAT,SLC2A2,0.8333333333333333,0.7916666666666667,0.875,0.8636363636363635,0.826086956521739,0.8949652777777779,0.6689936080056728,0.8050847457627117
RandomForest,LIMD2,INPP5B,SERPINE2,SLC2A2,0.7708333333333333,0.7083333333333333,0.8333333333333333,0.8095238095238095,0.7555555555555555,0.8567708333333333,0.5459486832355506,0.7264957264957265
RandomForest,LIMD2,NDRG2,PLAT,SLC2A2,0.8125,0.75,0.875,0.857142857142857,0.7999999999999999,0.8654513888888891,0.629940788348712,0.7692307692307693
RandomForest,LIMD2,NDRG2,SERPINE2,SLC2A2,0.8333333333333333,0.7916666666666667,0.875,0.8636363636363635,0.826086956521739,0.8532986111111109,0.6689936080056728,0.8050847457627117
RandomForest,RTN3,INPP5B,PLAT,SLC2A2,0.8333333333333333,0.7916666666666667,0.875,0.8636363636363635,0.826086956521739,0.8810763888888891,0.6689936080056728,0.8050847457627117
RandomForest,RTN3,INPP5B,SERPINE2,SLC2A2,0.8333333333333333,0.7916666666666667,0.875,0.8636363636363635,0.826086956521739,0.8671875,0.6689936080056728,0.8050847457627117
RandomForest,RTN3,NDRG2,PLAT,SLC2A2,0.7916666666666667,0.75,0.8333333333333333,0.8181818181818181,0.782608695652174,0.8524305555555556,0.5853694070049634,0.7627118644067795
RandomForest,RTN3,NDRG2,SERPINE2,SLC2A2,0.8333333333333333,0.7916666666666667,0.875,0.8636363636363635,0.826086956521739,0.8732638888888891,0.6689936080056728,0.8050847457627117
