estimator_name,gene_0,gene_1,gene_2,gene_3,accuracy,recall,specificity,precision,f1_score,AUC,MCC,fbeta2_score
Voting,APCDD1,INPP5B,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,APCDD1,INPP5B,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,APCDD1,NDRG2,PLAT,SLC2A2,0.9947368421052631,1.0,0.9893617021276596,0.9896907216494846,0.9948186528497409,1.0,0.9895261982136127,0.997920997920998
Voting,APCDD1,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ITPRIPL1,INPP5B,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ITPRIPL1,INPP5B,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,ITPRIPL1,NDRG2,PLAT,SLC2A2,0.9947368421052631,1.0,0.9893617021276596,0.9896907216494846,0.9948186528497409,1.0,0.9895261982136127,0.997920997920998
Voting,ITPRIPL1,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,LIMD2,INPP5B,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,LIMD2,INPP5B,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,LIMD2,NDRG2,PLAT,SLC2A2,0.9947368421052631,1.0,0.9893617021276596,0.9896907216494846,0.9948186528497409,1.0,0.9895261982136127,0.997920997920998
Voting,LIMD2,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RTN3,INPP5B,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RTN3,INPP5B,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RTN3,NDRG2,PLAT,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Voting,RTN3,NDRG2,SERPINE2,SLC2A2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
