estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,APCDD1,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.98797249 0.59668647 0.01328396]
Voting,APCDD1,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.99210247 0.61458275 0.01569146]
Voting,APCDD1,NDRG2,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.98967412 0.59547627 0.01649749]
Voting,APCDD1,NDRG2,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.98987226 0.63388151 0.01525325]
Voting,ITPRIPL1,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.99432363 0.5907995  0.0148076 ]
Voting,ITPRIPL1,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.99328724 0.62389583 0.01703901]
Voting,ITPRIPL1,NDRG2,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.99482906 0.614029   0.01580582]
Voting,ITPRIPL1,NDRG2,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.99514276 0.63891144 0.01586518]
Voting,LIMD2,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.99223364 0.61888429 0.01303547]
Voting,LIMD2,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.9886531  0.57313113 0.01288516]
Voting,LIMD2,NDRG2,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.9946263  0.61913156 0.01570257]
Voting,LIMD2,NDRG2,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.99071772 0.61446095 0.01260907]
Voting,RTN3,INPP5B,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.98731462 0.60692845 0.01510686]
Voting,RTN3,INPP5B,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.98708582 0.58963591 0.01693523]
Voting,RTN3,NDRG2,PLAT,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.98764036 0.59891362 0.01599662]
Voting,RTN3,NDRG2,SERPINE2,SLC2A2,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.010416666666666666, 1.0, 1.0]",[       inf 0.98769449 0.61258564 0.0172593 ]
