"","ACTBL2","ADAMTS16","B3GALT1","C10orf90","C1D","C1QL2","CCL7","CD40","CHL1","CLDN17","CLRN1","CLSTN2","CNTNAP2","COL23A1","COL4A1","DOK6","DRD4","EYA4","FIGN","FLG","FOXI2","GAP43","GATA2","GFRAL","GPR26","GSC2","HMGCLL1","INA","IRX4","ITGA8","KCNA1","KIFC3","KRTAP24-1","KY","MEST","MIR124-3","MMP26","NALCN","NDRG4","NPR3","OR10J5","OR10S1","PCDH10","PIGB","PODN","RASGRF1","RIMS4","SALL1","SCN7A","SHISA2","SIRPG","SLC18A3","SLC4A11","SLC6A15","SLC6A2","SLITRK5","SORCS1","SOX21","ST6GALNAC5","SUB1","THBS4","TMEM196","TRDN","TRPC6","TWIST1","UNC5C","UNC5D","VSTM2B","ZNF132","ZNF135","ZNF334","ZNF793","C6orf186","FAM19A4","FAM5C","WDR8"
"ACTBL2",0,0.547,0.53,0.425,0.482,0.592,0.454,0.413,0.372,0.672,0.531,0.509,0.43,0.492,0.499,0.489,0.377,0.492,0.457,0.477,0.621,0.448,0.488,0.522,0.313,0.621,0.42,0.344,0.621,0.515,0.398,0.481,0.526,0.472,0.509,0.853,0.52,0.664,0.45,0.502,0.313,0.313,0.313,0.532,0.405,0.436,0.623,0.46,0.708,0.668,0.505,0.64,0.607,0.505,0.42,0.569,0.48,0.581,0.59,0.492,0.405,0.403,0.432,0.434,0.579,0.479,0.582,0,0.489,0.489,0.489,0.489,0.197,0,0.403,0.536
"ADAMTS16",0.547,0,0.583,0.611,0.701,0.561,0.202,0.596,0.531,0.646,0.626,0.673,0.646,0.398,0.274,0.573,0.578,0.613,0.652,0.517,0.693,0.628,0.658,0.662,0.543,0.693,0.606,0.591,0.693,0.648,0.632,0.71,0.658,0.622,0.688,0.853,0.099,0.618,0.632,0.57,0.543,0.543,0.543,0.587,0.25,0.595,0.69,0.653,0.712,0.78,0.5,0.756,0.637,0.5,0.571,0.601,0.568,0.623,0.807,0.698,0.317,0.514,0.668,0.573,0.698,0.597,0.5,0.457,0.732,0.732,0.732,0.732,0,0.197,0.46,0.675
"B3GALT1",0.53,0.583,0,0.558,0.631,0.706,0.563,0.514,0.413,0.542,0.592,0.438,0.511,0.539,0.59,0.556,0.45,0.54,0.634,0.546,0.6,0.566,0.595,0.576,0.313,0.6,0.334,0.641,0.6,0.546,0.566,0.626,0.651,0.605,0.52,0.853,0.624,0.486,0.449,0.562,0.313,0.313,0.313,0.196,0.57,0.533,0.635,0.597,0.719,0.466,0.244,0.574,0.455,0.244,0.405,0.547,0.146,0.563,0,0.662,0.543,0.28,0.418,0.389,0.607,0.581,0.461,0,0.548,0.548,0.548,0.548,0.457,0.531,0.532,0.666
"C10orf90",0.425,0.611,0.558,0,0.482,0.732,0.627,0.483,0.512,0.587,0.4,0.606,0.562,0.536,0.63,0.313,0.339,0.406,0.244,0.314,0.521,0.422,0.469,0.372,0,0.521,0.355,0.418,0.521,0.507,0.49,0.397,0.377,0.224,0.604,0.871,0.641,0.561,0.271,0.581,0,0,0,0.563,0.423,0.356,0.555,0.363,0.714,0.585,0.448,0.622,0.506,0.448,0.472,0.565,0.491,0.525,0.59,0.634,0.582,0.328,0.389,0.344,0.534,0.571,0.476,0.313,0.604,0.604,0.604,0.604,0.531,0.588,0.448,0.198
"C1D",0.482,0.701,0.631,0.482,0,0.715,0.693,0.556,0.685,0.783,0.646,0.662,0.622,0.55,0.579,0.466,0.656,0.278,0.367,0.376,0.413,0.608,0.135,0.459,0.67,0.413,0.443,0.522,0.413,0.639,0.6,0.568,0.572,0.458,0.566,0.733,0.728,0.779,0.461,0.639,0.67,0.67,0.67,0.633,0.533,0.606,0.739,0.242,0.81,0.552,0.702,0.744,0.736,0.702,0.699,0.701,0.535,0.407,0.548,0.229,0.572,0.505,0.382,0.562,0.312,0.701,0.702,0.531,0,0,0,0,0.531,0.588,0.455,0.498
"C1QL2",0.592,0.561,0.706,0.732,0.715,0,0.506,0.708,0.678,0.77,0.732,0.644,0.71,0.534,0.589,0.707,0.588,0.731,0.744,0.746,0.787,0.64,0.658,0.7,0.711,0.787,0.707,0.631,0.787,0.663,0.637,0.767,0.759,0.729,0.795,0.643,0.628,0.76,0.746,0.594,0.711,0.711,0.711,0.708,0.635,0.738,0.655,0.744,0.805,0.85,0.683,0.796,0.786,0.683,0.682,0.489,0.697,0.672,0.851,0.7,0.621,0.669,0.733,0.693,0.784,0.628,0.683,0.572,0.803,0.803,0.803,0.803,0.212,0.369,0.619,0.693
"CCL7",0.454,0.202,0.563,0.627,0.693,0.506,0,0.584,0.506,0.688,0.634,0.668,0.647,0.471,0.374,0.556,0.587,0.596,0.64,0.644,0.68,0.645,0.646,0.695,0.627,0.68,0.594,0.496,0.68,0.661,0.64,0.661,0.642,0.608,0.583,0.853,0.202,0.67,0.654,0.534,0.627,0.627,0.627,0.567,0.279,0.622,0.693,0.643,0.703,0.77,0.518,0.782,0.683,0.518,0.586,0.635,0.548,0.613,0.807,0.627,0.366,0.494,0.674,0.584,0.687,0.604,0.518,0.457,0.732,0.732,0.732,0.732,0,0,0.4,0.668
"CD40",0.413,0.596,0.514,0.483,0.556,0.708,0.584,0,0.337,0.539,0.475,0.471,0.305,0.384,0.571,0.653,0.454,0.559,0.608,0.471,0.596,0.433,0.557,0.411,0,0.596,0.487,0.61,0.596,0.289,0.322,0.554,0.687,0.631,0.521,0.853,0.596,0.513,0.401,0.389,0,0,0,0.516,0.595,0.432,0.604,0.535,0.603,0.647,0.43,0.562,0.447,0.43,0.298,0.509,0.472,0.564,0.447,0.498,0.455,0.534,0.42,0.465,0.573,0.342,0.353,0.313,0.129,0.129,0.129,0.129,0.457,0.407,0.427,0.628
"CHL1",0.372,0.531,0.413,0.512,0.685,0.678,0.506,0.337,0,0.485,0.481,0.461,0.431,0.466,0.578,0.621,0.281,0.631,0.659,0.541,0.7,0.397,0.656,0.516,0,0.7,0.474,0.631,0.7,0.426,0.453,0.612,0.679,0.646,0.551,0.853,0.531,0.446,0.448,0.306,0,0,0,0.415,0.548,0.381,0.581,0.654,0.622,0.734,0.274,0.565,0.368,0.274,0.304,0.477,0.418,0.637,0.661,0.603,0.489,0.394,0.505,0.374,0.702,0.38,0.384,0,0.699,0.699,0.699,0.699,0.457,0.407,0.439,0.669
"CLDN17",0.672,0.646,0.542,0.587,0.783,0.77,0.688,0.539,0.485,0,0.616,0.668,0.604,0.566,0.706,0.72,0.512,0.746,0.761,0.613,0.792,0.561,0.748,0.528,0,0.792,0.614,0.766,0.792,0.55,0.585,0.739,0.771,0.745,0.815,0.859,0.664,0.213,0.514,0.49,0,0,0,0.543,0.688,0.536,0.598,0.762,0.631,0.817,0.327,0.641,0.412,0.327,0.431,0.47,0.553,0.746,0.759,0.803,0.716,0.524,0.616,0.332,0.791,0.599,0.42,0.313,0.823,0.823,0.823,0.823,0.627,0.67,0.724,0.761
