estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,CLDN17,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.24390243902439024, 0.3170731707317073, 0.36585365853658536, 0.6097560975609756, 0.6341463414634146, 1.0]","[0.0, 0.46875, 0.4895833333333333, 0.5208333333333334, 0.5416666666666666, 0.5729166666666666, 0.6145833333333334, 0.6458333333333334, 0.6875, 0.7083333333333334, 0.71875, 0.75, 0.7916666666666666, 0.8333333333333334, 0.8541666666666666, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0, 1.0]","[       inf 0.93158025 0.92899084 0.92753553 0.92451334 0.92237186
 0.92071897 0.9205534  0.913339   0.91329926 0.91281736 0.9112965
 0.90781164 0.8970434  0.8906052  0.5776162  0.5615877  0.4846329
 0.14293069 0.13776685 0.11774472 0.11720014 0.10971483 0.10386632]"
XGBoost,NPR3,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.07317073170731707, 0.07317073170731707, 0.12195121951219512, 0.17073170731707318, 0.2682926829268293, 0.2926829268292683, 0.34146341463414637, 1.0]","[0.0, 0.46875, 0.6458333333333334, 0.7916666666666666, 0.8020833333333334, 0.8229166666666666, 0.8854166666666666, 0.90625, 0.90625, 0.9479166666666666, 0.9583333333333334, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 0.8184342  0.81535333 0.7855174  0.75257635 0.7279295
 0.70116425 0.64268935 0.59251064 0.56943583 0.53302455 0.51865125
 0.4695359  0.44056755 0.43020356 0.39487264 0.37296793 0.286173
 0.27887642 0.27726582 0.25109065]"
XGBoost,SLC4A11,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.07317073170731707, 0.1951219512195122, 0.24390243902439024, 1.0]","[0.0, 0.4583333333333333, 0.5104166666666666, 0.6354166666666666, 0.7395833333333334, 0.7604166666666666, 0.78125, 0.8645833333333334, 0.90625, 0.9166666666666666, 0.9270833333333334, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 0.69491386 0.6939442  0.69372296 0.68940157 0.6865243
 0.6786248  0.6708771  0.59174097 0.5787812  0.57803154 0.5717276
 0.55553687 0.5511282  0.54231673 0.36678463 0.35752088 0.35447392]"
XGBoost,SLC18A3,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.024390243902439025, 0.07317073170731707, 0.07317073170731707, 0.12195121951219512, 0.12195121951219512, 0.21951219512195122, 1.0]","[0.0, 0.8229166666666666, 0.8333333333333334, 0.8541666666666666, 0.8645833333333334, 0.8854166666666666, 0.8958333333333334, 0.8958333333333334, 0.90625, 0.9479166666666666, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0, 1.0]","[       inf 0.50488484 0.50471234 0.50423867 0.50397766 0.5037858
 0.5037467  0.5034731  0.5034613  0.50345695 0.50270665 0.5004267
 0.49876246 0.49735817 0.49697122 0.49623695 0.4957471 ]"
XGBoost,SLC18A3,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.12195121951219512, 0.1951219512195122, 0.21951219512195122, 0.3170731707317073, 0.5121951219512195, 0.6097560975609756, 1.0]","[0.0, 0.8229166666666666, 0.8333333333333334, 0.8541666666666666, 0.8854166666666666, 0.9166666666666666, 0.9166666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.50973856 0.5092305  0.50868326 0.5076397  0.50712746
 0.5068406  0.4999171  0.49905065 0.49582094 0.492292   0.49228492
 0.4922685  0.49225014 0.49200118 0.49194178 0.49167448]"
XGBoost,UNC5C,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.1951219512195122, 0.1951219512195122, 0.21951219512195122, 0.36585365853658536, 0.4634146341463415, 0.4878048780487805, 1.0]","[0.0, 0.7083333333333334, 0.7395833333333334, 0.78125, 0.8333333333333334, 0.8958333333333334, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.93273664 0.9305252  0.9299187  0.9123516  0.88132536
 0.7510032  0.7084782  0.5360742  0.216277   0.16349874 0.15271683
 0.12712222 0.11782961 0.10669443 0.09978638]"
XGBoost,UNC5C,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.36585365853658536, 0.36585365853658536, 0.43902439024390244, 0.4878048780487805, 0.6097560975609756, 0.6585365853658537, 0.7073170731707317, 0.8048780487804879, 0.8536585365853658, 0.9024390243902439, 0.926829268292683, 0.975609756097561, 1.0]","[0.0, 0.6666666666666666, 0.6979166666666666, 0.7291666666666666, 0.75, 0.7604166666666666, 0.78125, 0.7916666666666666, 0.8125, 0.84375, 0.8645833333333334, 0.9583333333333334, 0.9583333333333334, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9951218  0.9927321  0.9922133  0.9920366  0.9916584
 0.9911775  0.99022406 0.9890999  0.9870968  0.98606014 0.92854875
 0.85664755 0.5842973  0.06069432 0.05228213 0.04603299 0.03740723
 0.03419903 0.03412083 0.03346107 0.02946295 0.02754671 0.02595761
 0.02539611 0.02526301 0.0219405 ]"
XGBoost,KRTAP24-1,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.17073170731707318, 1.0]","[0.0, 0.625, 0.6354166666666666, 0.71875, 0.7604166666666666, 0.8333333333333334, 0.8541666666666666, 0.8645833333333334, 0.8854166666666666, 0.90625, 0.9270833333333334, 0.9375, 0.9375, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 0.50965583 0.50932693 0.5093043  0.5092938  0.50817555
 0.5078218  0.5072551  0.50614154 0.5057007  0.50493175 0.50434756
 0.50217205 0.49848562 0.4975864  0.49393484 0.4924048 ]"
XGBoost,KRTAP24-1,UNC5C,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43902439024390244, 0.43902439024390244, 0.6097560975609756, 0.6585365853658537, 0.7317073170731707, 0.7804878048780488, 0.9024390243902439, 0.9512195121951219, 1.0]","[0.0, 0.5833333333333334, 0.6041666666666666, 0.625, 0.65625, 0.6875, 0.7291666666666666, 0.7395833333333334, 0.7604166666666666, 0.8020833333333334, 0.84375, 0.8645833333333334, 0.8854166666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 0.9942907  0.9938019  0.99370766 0.99335384 0.99304235
 0.992906   0.99249333 0.99209785 0.9888319  0.988734   0.9843859
 0.9838478  0.66922474 0.03674417 0.03145162 0.02380003 0.02314602
 0.0208436  0.02033252 0.01482229 0.01288939 0.01011772]"
XGBoost,PIGB,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.12195121951219512, 0.1951219512195122, 1.0]","[0.0, 0.5729166666666666, 0.5833333333333334, 0.7291666666666666, 0.7395833333333334, 0.7604166666666666, 0.7916666666666666, 0.8125, 0.8229166666666666, 0.84375, 0.875, 0.90625, 0.9270833333333334, 0.9479166666666666, 0.96875, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 0.5239541  0.52363783 0.5230221  0.52259856 0.5225856
 0.52170116 0.5214405  0.52104175 0.5205377  0.5179699  0.51404643
 0.51395214 0.50989795 0.50417    0.503853   0.50075686 0.4886708
 0.48324966 0.48207775 0.4809763 ]"
