estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
LogisticRegressionElastic,CLDN17,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.019230769230769232, 0.019230769230769232, 0.02564102564102564, 0.02564102564102564, 0.03205128205128205, 0.03205128205128205, 0.038461538461538464, 0.038461538461538464, 0.04487179487179487, 0.04487179487179487, 0.057692307692307696, 0.057692307692307696, 0.07051282051282051, 0.07051282051282051, 0.08974358974358974, 0.08974358974358974, 0.10256410256410256, 0.10256410256410256, 0.12179487179487179, 0.12179487179487179, 0.1282051282051282, 0.1282051282051282, 0.14743589743589744, 0.14743589743589744, 0.15384615384615385, 0.15384615384615385, 0.19230769230769232, 0.19230769230769232, 0.3717948717948718, 0.3717948717948718, 0.8333333333333334, 0.8333333333333334, 0.8525641025641025, 0.8525641025641025, 1.0]","[0.0, 0.0025575447570332483, 0.9386189258312021, 0.9386189258312021, 0.9437340153452686, 0.9437340153452686, 0.948849104859335, 0.948849104859335, 0.9514066496163683, 0.9514066496163683, 0.9565217391304348, 0.9565217391304348, 0.9616368286445013, 0.9616368286445013, 0.969309462915601, 0.969309462915601, 0.9718670076726342, 0.9718670076726342, 0.9744245524296675, 0.9744245524296675, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99999721 0.65256047 0.60647881 0.59431138 0.58609136
 0.57605055 0.52547545 0.50576238 0.46653413 0.45109246 0.44368647
 0.40625587 0.40180604 0.37706223 0.36373229 0.35543306 0.33872904
 0.33190254 0.31347663 0.30214002 0.28858645 0.28850459 0.28525245
 0.27698428 0.24631647 0.24072592 0.23775054 0.2355054  0.22048351
 0.2153073  0.14931526 0.14749823 0.04137005 0.04135578 0.03806536
 0.03774035 0.01473965]"
LogisticRegressionElastic,NPR3,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 0.038461538461538464, 0.038461538461538464, 0.11538461538461539, 0.11538461538461539, 0.1282051282051282, 0.1282051282051282, 0.14102564102564102, 0.14102564102564102, 0.17307692307692307, 0.17307692307692307, 0.2692307692307692, 0.2692307692307692, 0.358974358974359, 0.358974358974359, 0.36538461538461536, 0.36538461538461536, 0.8910256410256411, 0.8910256410256411, 0.9358974358974359, 0.9358974358974359, 1.0]","[0.0, 0.0025575447570332483, 0.9616368286445013, 0.9616368286445013, 0.9641943734015346, 0.9641943734015346, 0.9667519181585678, 0.9667519181585678, 0.969309462915601, 0.969309462915601, 0.9718670076726342, 0.9718670076726342, 0.9769820971867008, 0.9769820971867008, 0.9820971867007673, 0.9820971867007673, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.55961197 0.52069719 0.4795511  0.4563207
 0.41250481 0.39366058 0.38807373 0.27863473 0.27756169 0.25469311
 0.25041335 0.24177959 0.2369086  0.20355353 0.19278998 0.12427652
 0.12244878 0.08275596 0.08181635 0.07954844 0.07905096 0.0110272
 0.01097325 0.00757109 0.0073582  0.00297977]"
LogisticRegressionElastic,SLC4A11,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.02564102564102564, 0.02564102564102564, 0.03205128205128205, 0.03205128205128205, 0.07692307692307693, 0.07692307692307693, 0.08333333333333333, 0.08333333333333333, 0.09615384615384616, 0.09615384615384616, 0.10897435897435898, 0.10897435897435898, 0.16025641025641027, 0.16025641025641027, 0.21153846153846154, 0.21153846153846154, 0.21794871794871795, 0.21794871794871795, 0.27564102564102566, 0.27564102564102566, 0.28205128205128205, 0.28205128205128205, 0.28846153846153844, 0.28846153846153844, 0.4935897435897436, 0.4935897435897436, 0.8717948717948718, 0.8717948717948718, 0.9038461538461539, 0.9038461538461539, 1.0]","[0.0, 0.0025575447570332483, 0.9437340153452686, 0.9437340153452686, 0.9462915601023018, 0.9462915601023018, 0.948849104859335, 0.948849104859335, 0.9514066496163683, 0.9514066496163683, 0.9641943734015346, 0.9641943734015346, 0.9667519181585678, 0.9667519181585678, 0.969309462915601, 0.969309462915601, 0.9718670076726342, 0.9718670076726342, 0.9744245524296675, 0.9744245524296675, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.73494934 0.71993889 0.70374745 0.65042652
 0.636156   0.62377008 0.62062423 0.60131603 0.51504247 0.3907669
 0.38844979 0.38736011 0.38158145 0.36341743 0.33461206 0.29511354
 0.28831274 0.24661553 0.23245268 0.19015003 0.18841163 0.17049108
 0.16622881 0.13764157 0.12390428 0.11881577 0.11766702 0.11482285
 0.11069987 0.05853593 0.05739778 0.00825364 0.00808444 0.00689226
 0.00685474 0.00224377]"
LogisticRegressionElastic,SLC18A3,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.02564102564102564, 0.02564102564102564, 0.03205128205128205, 0.03205128205128205, 0.038461538461538464, 0.038461538461538464, 0.04487179487179487, 0.04487179487179487, 0.07051282051282051, 0.07051282051282051, 0.08974358974358974, 0.08974358974358974, 0.10256410256410256, 0.10256410256410256, 0.10897435897435898, 0.10897435897435898, 0.12179487179487179, 0.12179487179487179, 0.21794871794871795, 0.21794871794871795, 0.22435897435897437, 0.22435897435897437, 0.5769230769230769, 0.5769230769230769, 0.5897435897435898, 0.5897435897435898, 0.782051282051282, 0.782051282051282, 0.8461538461538461, 0.8461538461538461, 0.9743589743589743, 0.9743589743589743, 1.0]","[0.0, 0.0025575447570332483, 0.9258312020460358, 0.9258312020460358, 0.9309462915601023, 0.9309462915601023, 0.9360613810741688, 0.9360613810741688, 0.9386189258312021, 0.9386189258312021, 0.9411764705882353, 0.9411764705882353, 0.9437340153452686, 0.9437340153452686, 0.9514066496163683, 0.9514066496163683, 0.9539641943734015, 0.9539641943734015, 0.959079283887468, 0.959079283887468, 0.9641943734015346, 0.9641943734015346, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99983582 0.80152254 0.7729544  0.76400382 0.76033737
 0.71237785 0.71098484 0.70638231 0.68476398 0.68158254 0.65343458
 0.60832372 0.57020157 0.5478247  0.48741181 0.48729849 0.42497762
 0.37761253 0.37405136 0.36806518 0.359763   0.31135383 0.30930843
 0.29883105 0.21319419 0.20391211 0.19908464 0.19413609 0.07547917
 0.07523591 0.07173303 0.07113373 0.04436509 0.04367088 0.03616725
 0.03480482 0.01907816 0.01811463 0.01597525]"
LogisticRegressionElastic,SLC18A3,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.019230769230769232, 0.019230769230769232, 0.02564102564102564, 0.02564102564102564, 0.05128205128205128, 0.05128205128205128, 0.0641025641025641, 0.0641025641025641, 0.07051282051282051, 0.07051282051282051, 0.10897435897435898, 0.10897435897435898, 0.11538461538461539, 0.11538461538461539, 0.1346153846153846, 0.1346153846153846, 0.15384615384615385, 0.15384615384615385, 0.16666666666666666, 0.16666666666666666, 0.26282051282051283, 0.26282051282051283, 0.6346153846153846, 0.6346153846153846, 0.8589743589743589, 0.8589743589743589, 0.9102564102564102, 0.9102564102564102, 0.9230769230769231, 0.9230769230769231, 1.0]","[0.0, 0.0025575447570332483, 0.907928388746803, 0.907928388746803, 0.9258312020460358, 0.9258312020460358, 0.928388746803069, 0.928388746803069, 0.9335038363171355, 0.9335038363171355, 0.9437340153452686, 0.9437340153452686, 0.9565217391304348, 0.9565217391304348, 0.9616368286445013, 0.9616368286445013, 0.9667519181585678, 0.9667519181585678, 0.969309462915601, 0.969309462915601, 0.9718670076726342, 0.9718670076726342, 0.9769820971867008, 0.9769820971867008, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.96757039 0.67891857 0.67775791 0.6482983  0.64761121
 0.64016027 0.62885813 0.61776928 0.59209988 0.58136351 0.56786295
 0.55288977 0.54547405 0.53586951 0.51174407 0.49062215 0.49052152
 0.49042657 0.48269538 0.46799585 0.46366125 0.46157332 0.45094323
 0.44566595 0.40712228 0.40518585 0.31107882 0.30627491 0.25033285
 0.24860473 0.23647109 0.23530072 0.2306584  0.22666461 0.19564079]"
LogisticRegressionElastic,UNC5C,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.038461538461538464, 0.038461538461538464, 0.04487179487179487, 0.04487179487179487, 0.05128205128205128, 0.05128205128205128, 0.0641025641025641, 0.0641025641025641, 0.07051282051282051, 0.07051282051282051, 0.09615384615384616, 0.09615384615384616, 0.12179487179487179, 0.12179487179487179, 0.1282051282051282, 0.1282051282051282, 0.1346153846153846, 0.1346153846153846, 0.16025641025641027, 0.16025641025641027, 0.5384615384615384, 0.5384615384615384, 0.5961538461538461, 0.5961538461538461, 0.8076923076923077, 0.8076923076923077, 1.0]","[0.0, 0.0025575447570332483, 0.9156010230179028, 0.9156010230179028, 0.9411764705882353, 0.9411764705882353, 0.9462915601023018, 0.9462915601023018, 0.9539641943734015, 0.9539641943734015, 0.9565217391304348, 0.9565217391304348, 0.9667519181585678, 0.9667519181585678, 0.969309462915601, 0.969309462915601, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99999999 0.93761098 0.92490378 0.8604351  0.74883227
 0.73461866 0.62847891 0.56231473 0.55486217 0.54961301 0.46874151
 0.41902852 0.39636074 0.37357368 0.35111667 0.33000016 0.29237935
 0.27121638 0.24714177 0.23461679 0.2142668  0.21034693 0.20769392
 0.18493326 0.16498862 0.1541381  0.03979691 0.03938202 0.03556793
 0.03527972 0.02080808 0.02047576 0.0102435 ]"
LogisticRegressionElastic,UNC5C,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.03205128205128205, 0.03205128205128205, 0.05128205128205128, 0.05128205128205128, 0.07692307692307693, 0.07692307692307693, 0.08333333333333333, 0.08333333333333333, 0.08974358974358974, 0.08974358974358974, 0.09615384615384616, 0.09615384615384616, 0.10256410256410256, 0.10256410256410256, 0.10897435897435898, 0.10897435897435898, 0.11538461538461539, 0.11538461538461539, 0.1346153846153846, 0.1346153846153846, 0.26282051282051283, 0.26282051282051283, 0.3076923076923077, 0.3076923076923077, 0.5705128205128205, 0.5705128205128205, 0.6346153846153846, 0.6346153846153846, 0.6410256410256411, 0.6410256410256411, 0.8269230769230769, 0.8269230769230769, 1.0]","[0.0, 0.0025575447570332483, 0.907928388746803, 0.907928388746803, 0.9360613810741688, 0.9360613810741688, 0.9462915601023018, 0.9462915601023018, 0.9514066496163683, 0.9514066496163683, 0.9565217391304348, 0.9565217391304348, 0.9616368286445013, 0.9616368286445013, 0.9667519181585678, 0.9667519181585678, 0.9718670076726342, 0.9718670076726342, 0.9744245524296675, 0.9744245524296675, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99161621 0.6622072  0.65758041 0.5877181  0.57772183
 0.54784541 0.53994748 0.52724269 0.52141679 0.50146762 0.44938846
 0.43451382 0.43057451 0.4261701  0.41065336 0.40903253 0.40473441
 0.40411356 0.40119348 0.40106115 0.38566448 0.38501012 0.38437482
 0.38359598 0.37068545 0.36828117 0.311677   0.30910158 0.29968182
 0.29889046 0.2377914  0.23638138 0.22385137 0.22136935 0.22023816
 0.21999102 0.18446649 0.18219914 0.14476708]"
LogisticRegressionElastic,KRTAP24-1,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.05128205128205128, 0.05128205128205128, 0.07051282051282051, 0.07051282051282051, 0.10256410256410256, 0.10256410256410256, 0.10897435897435898, 0.10897435897435898, 0.1282051282051282, 0.1282051282051282, 0.23717948717948717, 0.23717948717948717, 0.5769230769230769, 0.5769230769230769, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.0025575447570332483, 0.9309462915601023, 0.9309462915601023, 0.9718670076726342, 0.9718670076726342, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99999998 0.91812572 0.91640698 0.43985109 0.43626596
 0.31871692 0.26559579 0.25785391 0.22733759 0.2217109  0.18612039
 0.18139835 0.17588538 0.16706848 0.15963612 0.15517889 0.10519484
 0.1051382  0.05501219 0.05396067 0.03244455 0.03217749 0.00963906]"
LogisticRegressionElastic,KRTAP24-1,UNC5C,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 0.03205128205128205, 0.03205128205128205, 0.07051282051282051, 0.07051282051282051, 0.07692307692307693, 0.07692307692307693, 0.17307692307692307, 0.17307692307692307, 0.2692307692307692, 0.2692307692307692, 0.6153846153846154, 0.6153846153846154, 0.8333333333333334, 0.8333333333333334, 1.0]","[0.0, 0.0025575447570332483, 0.948849104859335, 0.948849104859335, 0.9718670076726342, 0.9718670076726342, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.98691041 0.57724011 0.57207181 0.49411648 0.48634344
 0.44040239 0.43364291 0.43233968 0.42303228 0.42176234 0.41190631
 0.40962251 0.40807607 0.40253428 0.36939005 0.3672784  0.35745003
 0.35351353 0.31780847 0.31706986 0.29601051 0.29524312 0.24927105]"
LogisticRegressionElastic,PIGB,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.019230769230769232, 0.019230769230769232, 0.02564102564102564, 0.02564102564102564, 0.057692307692307696, 0.057692307692307696, 0.09615384615384616, 0.09615384615384616, 0.4230769230769231, 0.4230769230769231, 0.5769230769230769, 0.5769230769230769, 0.717948717948718, 0.717948717948718, 0.8846153846153846, 0.8846153846153846, 1.0]","[0.0, 0.0025575447570332483, 0.9616368286445013, 0.9616368286445013, 0.9744245524296675, 0.9744245524296675, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.98977146 0.57536747 0.54803839 0.51763215 0.51429497
 0.489239   0.47466143 0.46850583 0.46470648 0.46425597 0.44845571
 0.44823439 0.42443495 0.42173072 0.33097639 0.33012917 0.31220715
 0.31130414 0.29397466 0.29166634 0.2673575  0.26661795 0.23154565]"
