estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
RandomForest,CLDN17,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.019230769230769232, 0.038461538461538464, 0.057692307692307696, 0.08333333333333333, 0.10256410256410256, 0.1346153846153846, 0.14743589743589744, 0.19230769230769232, 0.30128205128205127, 0.5384615384615384, 1.0]","[0.0, 0.8849104859335039, 0.9360613810741688, 0.9462915601023018, 0.9539641943734015, 0.959079283887468, 0.9641943734015346, 0.979539641943734, 0.989769820971867, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[ inf 1.   0.98 0.96 0.94 0.9  0.86 0.76 0.74 0.54 0.4  0.28 0.26 0.18
 0.14 0.12 0.1  0.08 0.06 0.04 0.02 0.  ]"
RandomForest,NPR3,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.05128205128205128, 0.05128205128205128, 0.16025641025641027, 0.17307692307692307, 0.20512820512820512, 0.21794871794871795, 0.25, 0.27564102564102566, 0.2948717948717949, 0.3076923076923077, 0.3525641025641026, 0.3782051282051282, 0.40384615384615385, 0.4166666666666667, 0.4358974358974359, 0.46153846153846156, 0.5192307692307693, 0.532051282051282, 0.5512820512820513, 0.6217948717948718, 0.6346153846153846, 0.6410256410256411, 0.6602564102564102, 0.6666666666666666, 0.7435897435897436, 0.7564102564102564, 0.782051282051282, 1.0]","[0.0, 0.8184143222506394, 0.8209718670076727, 0.8312020460358056, 0.8363171355498721, 0.8542199488491049, 0.8567774936061381, 0.8644501278772379, 0.8670076726342711, 0.8797953964194374, 0.8849104859335039, 0.887468030690537, 0.907928388746803, 0.9130434782608695, 0.9258312020460358, 0.9360613810741688, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99666667 0.996      0.99333333 0.99
 0.98833333 0.98666667 0.986      0.985      0.984      0.98333333
 0.98       0.978      0.97       0.96       0.44333333 0.42633333
 0.40433333 0.36833333 0.33316667 0.295      0.27990476 0.1015
 0.10066667 0.08571429 0.08533333 0.07566667 0.07       0.066
 0.065      0.057      0.05333333 0.046      0.045      0.04066667
 0.04       0.028      0.02633333 0.02285714 0.02       0.01833333
 0.01733333 0.01666667 0.015      0.01       0.00666667 0.005
 0.        ]"
RandomForest,SLC4A11,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.10256410256410256, 0.11538461538461539, 0.12179487179487179, 0.1346153846153846, 0.14102564102564102, 0.1794871794871795, 0.1987179487179487, 0.21153846153846154, 0.26282051282051283, 0.27564102564102566, 0.30128205128205127, 0.33974358974358976, 0.3782051282051282, 1.0]","[0.0, 0.887468030690537, 0.8976982097186701, 0.9002557544757033, 0.9104859335038363, 0.9130434782608695, 0.9437340153452686, 0.9514066496163683, 0.9641943734015346, 0.969309462915601, 0.9846547314578005, 0.9846547314578005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.95       0.93333333 0.91666667 0.91
 0.9        0.88333333 0.84666667 0.8        0.59166667 0.58333333
 0.48333333 0.20833333 0.2        0.18333333 0.17888889 0.16666667
 0.13333333 0.125      0.10833333 0.1        0.08333333 0.07333333
 0.05       0.03333333 0.        ]"
RandomForest,SLC18A3,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.019230769230769232, 0.02564102564102564, 0.07692307692307693, 0.16025641025641027, 0.3141025641025641, 1.0]","[0.0, 0.928388746803069, 0.9641943734015346, 0.969309462915601, 0.9846547314578005, 0.9923273657289002, 0.9974424552429667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[ inf 1.   0.95 0.9  0.8  0.6  0.55 0.5  0.4  0.35 0.25 0.15 0.1  0.05
 0.  ]"
RandomForest,SLC18A3,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.02564102564102564, 0.02564102564102564, 0.03205128205128205, 0.03205128205128205, 0.04487179487179487, 0.04487179487179487, 0.24358974358974358, 0.2564102564102564, 0.30128205128205127, 0.3141025641025641, 0.3333333333333333, 0.40384615384615385, 0.4166666666666667, 0.4230769230769231, 0.4358974358974359, 0.44871794871794873, 0.46153846153846156, 0.48717948717948717, 0.5128205128205128, 0.5192307692307693, 0.5512820512820513, 0.5897435897435898, 0.5961538461538461, 0.6153846153846154, 0.6346153846153846, 0.6474358974358975, 0.6666666666666666, 0.6730769230769231, 0.6923076923076923, 0.7051282051282052, 0.717948717948718, 0.75, 0.7564102564102564, 0.782051282051282, 0.7884615384615384, 0.8076923076923077, 1.0]","[0.0, 0.8132992327365729, 0.8184143222506394, 0.8312020460358056, 0.8670076726342711, 0.8823529411764706, 0.8849104859335039, 0.8900255754475703, 0.9053708439897699, 0.9104859335038363, 0.979539641943734, 0.979539641943734, 0.9872122762148338, 0.9872122762148338, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.99777778 0.995      0.99       0.98
 0.976      0.97333333 0.964      0.96       0.53228571 0.51733333
 0.47071429 0.404      0.364      0.34719048 0.33166667 0.32516667
 0.29633333 0.26985714 0.26916667 0.06666667 0.06466667 0.05333333
 0.05266667 0.04666667 0.037      0.035      0.034      0.03333333
 0.03166667 0.03       0.02777778 0.02666667 0.026      0.025
 0.02166667 0.02133333 0.02       0.01666667 0.016      0.015
 0.01466667 0.01333333 0.01238095 0.01166667 0.01       0.008
 0.00666667 0.005      0.004      0.        ]"
RandomForest,UNC5C,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.02564102564102564, 0.0641025641025641, 0.07692307692307693, 0.09615384615384616, 0.11538461538461539, 0.16025641025641027, 0.17307692307692307, 0.21153846153846154, 0.2564102564102564, 1.0]","[0.0, 0.9156010230179028, 0.9207161125319693, 0.9258312020460358, 0.9411764705882353, 0.9539641943734015, 0.9641943734015346, 0.9769820971867008, 0.9820971867007673, 0.9923273657289002, 0.9923273657289002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.975      0.96666667 0.95       0.925
 0.9        0.825      0.8        0.625      0.56666667 0.4
 0.3        0.28333333 0.2        0.16666667 0.15       0.11666667
 0.1        0.06666667 0.05       0.03333333 0.        ]"
RandomForest,UNC5C,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.00641025641025641, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.03205128205128205, 0.03205128205128205, 0.038461538461538464, 0.04487179487179487, 0.057692307692307696, 0.07051282051282051, 0.10256410256410256, 0.11538461538461539, 0.1282051282051282, 0.1346153846153846, 0.17307692307692307, 0.1987179487179487, 0.26282051282051283, 0.28846153846153844, 0.3269230769230769, 1.0]","[0.0, 0.8797953964194374, 0.8925831202046036, 0.8951406649616368, 0.9181585677749361, 0.928388746803069, 0.9309462915601023, 0.959079283887468, 0.969309462915601, 0.9744245524296675, 0.979539641943734, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.98       0.975      0.95       0.925
 0.91       0.9        0.875      0.84333333 0.825      0.36309524
 0.33       0.325      0.275      0.275      0.25833333 0.21666667
 0.15       0.13809524 0.1        0.08333333 0.075      0.07142857
 0.06666667 0.06       0.05       0.03333333 0.025      0.        ]"
RandomForest,KRTAP24-1,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.05128205128205128, 0.17307692307692307, 1.0]","[0.0, 0.9565217391304348, 0.9667519181585678, 0.979539641943734, 0.9872122762148338, 0.9948849104859335, 1.0, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.8 0.7 0.6 0.4 0.3 0.2 0.1 0. ]
RandomForest,KRTAP24-1,UNC5C,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.05128205128205128, 0.12179487179487179, 0.1282051282051282, 0.15384615384615385, 0.21794871794871795, 1.0]","[0.0, 0.959079283887468, 0.9641943734015346, 0.9744245524296675, 0.9820971867007673, 0.9872122762148338, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[       inf 1.         0.925      0.9        0.725      0.7
 0.65       0.6        0.53333333 0.5        0.4        0.13333333
 0.1        0.06666667 0.05       0.03333333 0.        ]"
RandomForest,PIGB,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01282051282051282, 0.1346153846153846, 1.0]","[0.0, 0.969309462915601, 0.9846547314578005, 0.9948849104859335, 1.0, 1.0, 1.0, 1.0]",[inf 1.  0.9 0.6 0.4 0.2 0.1 0. ]
