estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
SVM,CLDN17,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.10256410256410256, 0.10256410256410256, 0.22435897435897437, 0.22435897435897437, 0.6923076923076923, 0.6923076923076923, 0.7756410256410257, 0.7756410256410257, 1.0]","[0.0, 0.0076726342710997444, 0.9641943734015346, 0.9641943734015346, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.88431621 0.87870317 0.46359863 0.14276503
 0.12851661 0.09649784 0.09270722 0.04442119 0.04404274 0.03939878
 0.0392335  0.02077411]"
SVM,NPR3,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.02564102564102564, 0.02564102564102564, 0.03205128205128205, 0.03205128205128205, 0.038461538461538464, 0.038461538461538464, 0.09615384615384616, 0.09615384615384616, 0.3076923076923077, 0.3076923076923077, 0.46153846153846156, 0.46153846153846156, 0.5897435897435898, 0.5897435897435898, 0.7756410256410257, 0.7756410256410257, 0.9038461538461539, 0.9038461538461539, 1.0]","[0.0, 0.0025575447570332483, 0.9641943734015346, 0.9641943734015346, 0.9744245524296675, 0.9744245524296675, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.51322808 0.50598184 0.33304938 0.27712332
 0.27426769 0.24555258 0.24071349 0.23497025 0.22495207 0.17515798
 0.16620765 0.09503703 0.09446149 0.07646773 0.07636449 0.06287313
 0.06242294 0.04873511 0.04847384 0.03893051 0.03865225 0.029264  ]"
SVM,SLC4A11,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.05128205128205128, 0.05128205128205128, 0.057692307692307696, 0.057692307692307696, 0.07051282051282051, 0.07051282051282051, 0.17307692307692307, 0.17307692307692307, 0.4166666666666667, 0.4166666666666667, 0.4423076923076923, 0.4423076923076923, 0.5512820512820513, 0.5512820512820513, 0.5833333333333334, 0.5833333333333334, 0.8141025641025641, 0.8141025641025641, 1.0]","[0.0, 0.0025575447570332483, 0.9616368286445013, 0.9616368286445013, 0.9667519181585678, 0.9667519181585678, 0.969309462915601, 0.969309462915601, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.58942067 0.57040995 0.43566226 0.39708655
 0.35418231 0.30581838 0.27352939 0.27128898 0.25654578 0.24586957
 0.22978522 0.14503492 0.14314733 0.09188585 0.09179509 0.09116323
 0.08995074 0.07584184 0.07571492 0.07317815 0.07209454 0.05981981
 0.05978762 0.04785232]"
SVM,SLC18A3,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.0641025641025641, 0.0641025641025641, 0.22435897435897437, 0.22435897435897437, 0.23717948717948717, 0.23717948717948717, 0.34615384615384615, 0.34615384615384615, 0.5641025641025641, 0.5641025641025641, 0.6602564102564102, 0.6602564102564102, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.0025575447570332483, 0.9718670076726342, 0.9718670076726342, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.80544895 0.5        0.3654968  0.29510232
 0.24879101 0.13458428 0.13183175 0.09529433 0.09442229 0.09404632
 0.09360029 0.08242316 0.08043532 0.06388318 0.06293284 0.05733008
 0.05729974 0.0569745  0.05583439 0.03257605]"
SVM,SLC18A3,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.04487179487179487, 0.04487179487179487, 0.057692307692307696, 0.057692307692307696, 0.07692307692307693, 0.07692307692307693, 0.27564102564102566, 0.27564102564102566, 0.3141025641025641, 0.3141025641025641, 0.4551282051282051, 0.4551282051282051, 0.4935897435897436, 0.4935897435897436, 0.6666666666666666, 0.6666666666666666, 1.0]","[0.0, 0.0025575447570332483, 0.9744245524296675, 0.9744245524296675, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.59408197 0.52134164 0.40465701 0.26090446
 0.25714801 0.20309947 0.17653846 0.11991641 0.11897383 0.09417338
 0.09404262 0.0880902  0.08733278 0.07126028 0.06915941 0.06664744
 0.06647614 0.0542396  0.05338239 0.02046109]"
SVM,UNC5C,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.038461538461538464, 0.038461538461538464, 0.05128205128205128, 0.05128205128205128, 0.24358974358974358, 0.24358974358974358, 0.34615384615384615, 0.34615384615384615, 0.4358974358974359, 0.4358974358974359, 0.6858974358974359, 0.6858974358974359, 1.0]","[0.0, 0.0025575447570332483, 0.979539641943734, 0.979539641943734, 0.9820971867007673, 0.9820971867007673, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.51046218 0.48130825 0.34820262 0.25579728
 0.24987765 0.16652555 0.15901093 0.14830935 0.13635632 0.09366787
 0.09342275 0.08319944 0.0829776  0.07404107 0.07395101 0.05763508
 0.05732047 0.04263492]"
SVM,UNC5C,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.04487179487179487, 0.04487179487179487, 0.28846153846153844, 0.28846153846153844, 0.358974358974359, 0.358974358974359, 0.3717948717948718, 0.3717948717948718, 0.8461538461538461, 0.8461538461538461, 1.0]","[0.0, 0.0025575447570332483, 0.979539641943734, 0.979539641943734, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 1.         0.59506355 0.44907541 0.35429542 0.34896008
 0.31690406 0.18639642 0.17216194 0.07741915 0.07738997 0.07312107
 0.07275699 0.07229793 0.07181566 0.04307198 0.04305521 0.02148216]"
SVM,KRTAP24-1,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 0.02564102564102564, 0.02564102564102564, 0.10256410256410256, 0.10256410256410256, 0.17307692307692307, 0.17307692307692307, 0.2564102564102564, 0.2564102564102564, 0.7628205128205128, 0.7628205128205128, 0.8974358974358975, 0.8974358974358975, 1.0]","[0.0, 0.0025575447570332483, 0.9514066496163683, 0.9514066496163683, 0.9744245524296675, 0.9744245524296675, 0.9820971867007673, 0.9820971867007673, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99999979 0.98468625 0.98404317 0.6804078  0.39581716
 0.33839534 0.31507186 0.2288081  0.11500303 0.09943024 0.07861552
 0.07483985 0.06198445 0.06187821 0.03467736 0.03462839 0.03170212
 0.03153981 0.02803585]"
SVM,KRTAP24-1,UNC5C,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.038461538461538464, 0.038461538461538464, 0.05128205128205128, 0.05128205128205128, 0.14743589743589744, 0.14743589743589744, 0.24358974358974358, 0.24358974358974358, 0.7307692307692307, 0.7307692307692307, 0.8974358974358975, 0.8974358974358975, 1.0]","[0.0, 0.0025575447570332483, 0.9616368286445013, 0.9616368286445013, 0.9744245524296675, 0.9744245524296675, 0.9846547314578005, 0.9846547314578005, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99999973 0.9841513  0.97045506 0.6768548  0.59775392
 0.22450393 0.17977181 0.17376235 0.16798301 0.16487084 0.08141019
 0.078553   0.05697201 0.05588371 0.0302674  0.03026428 0.02694448
 0.02674131 0.02309881]"
SVM,PIGB,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.22435897435897437, 0.22435897435897437, 0.2564102564102564, 0.2564102564102564, 0.7051282051282052, 0.7051282051282052, 0.7371794871794872, 0.7371794871794872, 0.9230769230769231, 0.9230769230769231, 1.0]","[0.0, 0.0025575447570332483, 0.9769820971867008, 0.9769820971867008, 0.979539641943734, 0.979539641943734, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99999995 0.86291465 0.67936388 0.5567908  0.47441379
 0.26195319 0.05514106 0.05506244 0.05307667 0.05298509 0.03334243
 0.03301309 0.03126835 0.03069976 0.02439297 0.02431541 0.02083071]"
