estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,CLDN17,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.03205128205128205, 0.03205128205128205, 1.0]","[0.0, 0.0025575447570332483, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 1.0, 1.0]","[       inf 0.99495845 0.4300049  0.38550499 0.37335455 0.3299387
 0.2968392  0.0750156 ]"
Voting,NPR3,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0025575447570332483, 1.0, 1.0]",[       inf 0.9969725  0.34039664 0.07639326]
Voting,SLC4A11,FOXI2,KY,TRDN,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 1.0]","[0.0, 0.0025575447570332483, 0.9923273657289002, 0.9923273657289002, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99369063 0.39465883 0.35527381 0.35013177 0.33312755
 0.33288232 0.08069769]"
Voting,SLC18A3,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 1.0]","[0.0, 0.0025575447570332483, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 1.0, 1.0]","[       inf 0.99205164 0.44252212 0.39364716 0.37426181 0.33216801
 0.28190456 0.06873853]"
Voting,SLC18A3,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 0.03205128205128205, 0.03205128205128205, 1.0]","[0.0, 0.0025575447570332483, 0.9872122762148338, 0.9872122762148338, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 0.9948849104859335, 0.9948849104859335, 1.0, 1.0]","[       inf 0.9921687  0.43046441 0.42782837 0.42539077 0.36392906
 0.35930475 0.31613385 0.30253322 0.2985742  0.26785045 0.06640525]"
Voting,UNC5C,VSTM2B,WDR8,ZNF132,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.038461538461538464, 0.038461538461538464, 1.0]","[0.0, 0.0025575447570332483, 0.9872122762148338, 0.9872122762148338, 0.9948849104859335, 0.9948849104859335, 1.0, 1.0]","[       inf 0.99614678 0.58230611 0.47885695 0.32155658 0.27092208
 0.26664974 0.06028302]"
Voting,UNC5C,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.038461538461538464, 0.038461538461538464, 1.0]","[0.0, 0.0025575447570332483, 0.9846547314578005, 0.9846547314578005, 0.9948849104859335, 0.9948849104859335, 1.0, 1.0]","[       inf 0.99596774 0.50320891 0.48918828 0.32964143 0.27869458
 0.26229243 0.05894775]"
Voting,KRTAP24-1,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 1.0]","[0.0, 0.0025575447570332483, 0.989769820971867, 0.989769820971867, 0.9923273657289002, 0.9923273657289002, 1.0, 1.0]","[       inf 0.99608273 0.57807923 0.46565504 0.36600006 0.36466066
 0.31808807 0.06886379]"
Voting,KRTAP24-1,UNC5C,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 1.0]","[0.0, 0.0025575447570332483, 0.989769820971867, 0.989769820971867, 0.9948849104859335, 0.9948849104859335, 1.0, 1.0]","[       inf 0.99529811 0.58277636 0.57002737 0.35211961 0.33482646
 0.27359165 0.06395223]"
Voting,PIGB,NPR3,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 1.0]","[0.0, 0.0025575447570332483, 0.9923273657289002, 0.9923273657289002, 1.0, 1.0]",[       inf 0.99769416 0.38698169 0.35257748 0.2895588  0.06497428]
Voting,PIGB,UNC5C,SHISA2,ZNF793,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.01282051282051282, 0.01282051282051282, 1.0]","[0.0, 0.0025575447570332483, 0.9923273657289002, 0.9923273657289002, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]","[       inf 0.99665198 0.40282423 0.39987425 0.32129208 0.24171128
 0.2344813  0.06215919]"
Voting,CD40,FAM5C,KIFC3,ZNF132,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 1.0]","[0.0, 0.0025575447570332483, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]",[       inf 0.98942482 0.49381458 0.45280489 0.4423913  0.06161874]
Voting,NPR3,FAM5C,KIFC3,ZNF132,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 1.0]","[0.0, 0.0025575447570332483, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]",[       inf 0.99469766 0.48729645 0.43987219 0.39990683 0.05655035]
Voting,OR10S1,FAM5C,KIFC3,ZNF132,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0025575447570332483, 1.0, 1.0]",[       inf 0.99113856 0.50360607 0.05252541]
Voting,SLC18A3,FAM5C,KIFC3,ZNF132,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 1.0]","[0.0, 0.0025575447570332483, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]",[       inf 0.98942482 0.49381458 0.45280489 0.4423913  0.06161874]
Voting,C6orf186,CD40,INA,SUB1,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 1.0]","[0.0, 0.0025575447570332483, 0.9846547314578005, 0.9846547314578005, 0.989769820971867, 0.989769820971867, 1.0, 1.0]","[       inf 0.98967146 0.58191355 0.52305977 0.47748669 0.46163484
 0.41760204 0.08065383]"
Voting,C6orf186,NPR3,INA,SUB1,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 1.0]","[0.0, 0.0025575447570332483, 0.9872122762148338, 0.9872122762148338, 1.0, 1.0]",[       inf 0.99494845 0.57650879 0.57540499 0.36579498 0.07700219]
Voting,C6orf186,SLC18A3,INA,SUB1,"[0.0, 0.0, 0.0, 0.00641025641025641, 0.00641025641025641, 0.019230769230769232, 0.019230769230769232, 1.0]","[0.0, 0.0025575447570332483, 0.9846547314578005, 0.9846547314578005, 0.989769820971867, 0.989769820971867, 1.0, 1.0]","[       inf 0.98967146 0.58191355 0.52305977 0.47748669 0.46163484
 0.41760204 0.08065383]"
Voting,CCL7,FOXI2,NALCN,VSTM2B,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 1.0]","[0.0, 0.0025575447570332483, 0.9923273657289002, 0.9923273657289002, 1.0, 1.0]",[       inf 0.9916117  0.42927489 0.33237831 0.26716528 0.04906556]
Voting,CCL7,FOXI2,OR10J5,VSTM2B,"[0.0, 0.0, 0.0, 0.01282051282051282, 0.01282051282051282, 1.0]","[0.0, 0.0025575447570332483, 0.9974424552429667, 0.9974424552429667, 1.0, 1.0]",[       inf 0.99269309 0.30387648 0.29417975 0.29346163 0.05440682]
