"","ACTBL2","ADAMTS16","ADCY4","B3GALT1","BMP10","BTG4","C10orf90","C1D","CCL7","CD40","CHL1","CLDN17","CLRN1","CLSTN2","CMTM3","CNTNAP2","COL23A1","COL4A1","DOK6","DRD4","EFS","ESRRG","EYA4","FBN2","FIGN","FLG","FOXI2","GAP43","GATA2","GFRAL","GPR26","GRIK3","GSC2","HMGCLL1","IKZF1","INA","IRX4","ITGA8","KCNA1","KCNG1","KIFC3","KRTAP24-1","KY","LRRFIP1","MIR124-3","MMP26","NALCN","NDRG4","NPR3","NTM","OR10J5","PCDH10","PDE4B","PIGB","PODN","PPP1R16B","PTPN5","RASGRF1","RIMS4","SALL1","SCN7A","SHISA2","SIRPD","SIRPG","SLC18A3","SLC4A11","SLC6A15","SLITRK5","SORCS1","SOX17","SOX21","ST6GALNAC5","SUB1","TBX5","THBS4","TMEM196","TRDN","TRPC6","TWIST1","TYR","UNC5C","UNC5D","UNCX","VSTM2B","ZNF132","ZNF135","ZNF229","ZNF334","ZNF793","C6orf186","C8orf42","FAM19A4","FAM5C","WDR8"
"ACTBL2",0,0.547,0.378,0.53,0.353,0.492,0.425,0.482,0.454,0.413,0.372,0.672,0.531,0.509,0.427,0.43,0.492,0.499,0.489,0.377,0.5,0.579,0.492,0.554,0.457,0.477,0.621,0.448,0.488,0.522,0.313,0.468,0.621,0.42,0.53,0.344,0.621,0.515,0.398,0.679,0.481,0.526,0.472,0.399,0.853,0.52,0.664,0.45,0.502,0.465,0.313,0.313,0.49,0.532,0.405,0.409,0.375,0.436,0.623,0.46,0.708,0.668,0.503,0.505,0.64,0.607,0.505,0.569,0.48,0.595,0.581,0.59,0.492,0.514,0.405,0.403,0.432,0.434,0.579,0.463,0.479,0.582,0.621,0,0.489,0.489,0.489,0.489,0.489,0.197,0.456,0,0.403,0.536
"ADAMTS16",0.547,0,0.543,0.583,0.353,0.597,0.611,0.701,0.202,0.596,0.531,0.646,0.626,0.673,0.524,0.646,0.398,0.274,0.573,0.578,0.567,0.698,0.613,0.082,0.652,0.517,0.693,0.628,0.658,0.662,0.543,0.692,0.693,0.606,0.676,0.591,0.693,0.648,0.632,0.63,0.71,0.658,0.622,0.596,0.853,0.099,0.618,0.632,0.57,0.323,0.543,0.543,0.686,0.587,0.25,0.569,0.571,0.595,0.69,0.653,0.712,0.78,0.271,0.5,0.756,0.637,0.5,0.601,0.568,0.711,0.623,0.807,0.698,0.674,0.317,0.514,0.668,0.573,0.698,0.675,0.597,0.5,0.693,0.457,0.732,0.732,0.732,0.732,0.732,0,0.623,0.197,0.46,0.675
"ADCY4",0.378,0.543,0,0.36,0.412,0.442,0.306,0.542,0.555,0.425,0.191,0.446,0.438,0.432,0.477,0.387,0.471,0.595,0.352,0.234,0.251,0.647,0.426,0.57,0.485,0.36,0.649,0.288,0.496,0.474,0,0.371,0.649,0.285,0.551,0.493,0.649,0.446,0.397,0.394,0.637,0.51,0.426,0.267,0.853,0.582,0.393,0.258,0.46,0.301,0,0,0.458,0.365,0.435,0.269,0.276,0.229,0.544,0.484,0.595,0.629,0.338,0.21,0.528,0.37,0.21,0.44,0.317,0.663,0.602,0.59,0.71,0.544,0.559,0.173,0.349,0.224,0.647,0.421,0.357,0.338,0.649,0,0.604,0.604,0.604,0.604,0.604,0.457,0.411,0.531,0.283,0.531
"B3GALT1",0.53,0.583,0.36,0,0.528,0.538,0.558,0.631,0.563,0.514,0.413,0.542,0.592,0.438,0.538,0.511,0.539,0.59,0.556,0.45,0.487,0.607,0.54,0.623,0.634,0.546,0.6,0.566,0.595,0.576,0.313,0.636,0.6,0.334,0.619,0.641,0.6,0.546,0.566,0.523,0.626,0.651,0.605,0.504,0.853,0.624,0.486,0.449,0.562,0.376,0.313,0.313,0.647,0.196,0.57,0.497,0.345,0.533,0.635,0.597,0.719,0.466,0.461,0.244,0.574,0.455,0.244,0.547,0.146,0.635,0.563,0,0.662,0.633,0.543,0.28,0.418,0.389,0.607,0.575,0.581,0.461,0.6,0,0.548,0.548,0.548,0.548,0.548,0.457,0.513,0.531,0.532,0.666
"BMP10",0.353,0.353,0.412,0.528,0,0.405,0.416,0.501,0.237,0.471,0.52,0.687,0.57,0.528,0.298,0.543,0.396,0.4,0.323,0.566,0.427,0.6,0.387,0.412,0.43,0.459,0.595,0.54,0.458,0.609,0.627,0.683,0.595,0.397,0.523,0.328,0.595,0.545,0.534,0.688,0.545,0.461,0.265,0.396,0.853,0.376,0.676,0.449,0.591,0.377,0.627,0.627,0.475,0.532,0.231,0.399,0.464,0.511,0.658,0.44,0.702,0.617,0.355,0.533,0.694,0.683,0.533,0.638,0.478,0.62,0.549,0.59,0.589,0.509,0.348,0.337,0.482,0.447,0.6,0.399,0.522,0.403,0.595,0.457,0.604,0.604,0.604,0.604,0.604,0,0.382,0,0.284,0.491
"BTG4",0.492,0.597,0.442,0.538,0.405,0,0.43,0.289,0.583,0.556,0.618,0.732,0.623,0.627,0.38,0.613,0.581,0.604,0.276,0.616,0.432,0.355,0.123,0.636,0.369,0.33,0.366,0.576,0.196,0.556,0.67,0.717,0.366,0.351,0.254,0.478,0.366,0.637,0.595,0.739,0.586,0.469,0.364,0.25,0.671,0.642,0.725,0.415,0.58,0.598,0.67,0.67,0.459,0.541,0.418,0.251,0.416,0.529,0.704,0.258,0.745,0.5,0.599,0.599,0.71,0.695,0.599,0.631,0.442,0.352,0.182,0.548,0.382,0.266,0.538,0.334,0.435,0.48,0.355,0.298,0.651,0.599,0.366,0.531,0,0,0,0,0,0.531,0.129,0.588,0.387,0.483
"C10orf90",0.425,0.611,0.306,0.558,0.416,0.43,0,0.482,0.627,0.483,0.512,0.587,0.4,0.606,0.448,0.562,0.536,0.63,0.313,0.339,0.302,0.534,0.406,0.619,0.244,0.314,0.521,0.422,0.469,0.372,0,0.589,0.521,0.355,0.473,0.418,0.521,0.507,0.49,0.544,0.397,0.377,0.224,0.122,0.871,0.641,0.561,0.271,0.581,0.472,0,0,0.354,0.563,0.423,0.326,0.351,0.356,0.555,0.363,0.714,0.585,0.476,0.448,0.622,0.506,0.448,0.565,0.491,0.561,0.525,0.59,0.634,0.469,0.582,0.328,0.389,0.344,0.534,0.396,0.571,0.476,0.521,0.313,0.604,0.604,0.604,0.604,0.604,0.531,0.347,0.588,0.448,0.198
"C1D",0.482,0.701,0.542,0.631,0.501,0.289,0.482,0,0.693,0.556,0.685,0.783,0.646,0.662,0.475,0.622,0.55,0.579,0.466,0.656,0.543,0.312,0.278,0.707,0.367,0.376,0.413,0.608,0.135,0.459,0.67,0.75,0.413,0.443,0.24,0.522,0.413,0.639,0.6,0.796,0.568,0.572,0.458,0.315,0.733,0.728,0.779,0.461,0.639,0.691,0.67,0.67,0.454,0.633,0.533,0.291,0.374,0.606,0.739,0.242,0.81,0.552,0.702,0.702,0.744,0.736,0.702,0.701,0.535,0.242,0.407,0.548,0.229,0.211,0.572,0.505,0.382,0.562,0.312,0.356,0.701,0.702,0.413,0.531,0,0,0,0,0,0.531,0.254,0.588,0.455,0.498
"CCL7",0.454,0.202,0.555,0.563,0.237,0.583,0.627,0.693,0,0.584,0.506,0.688,0.634,0.668,0.381,0.647,0.471,0.374,0.556,0.587,0.593,0.687,0.596,0.369,0.64,0.644,0.68,0.645,0.646,0.695,0.627,0.712,0.68,0.594,0.667,0.496,0.68,0.661,0.64,0.691,0.661,0.642,0.608,0.614,0.853,0.202,0.67,0.654,0.534,0.271,0.627,0.627,0.683,0.567,0.279,0.578,0.58,0.622,0.693,0.643,0.703,0.77,0.206,0.518,0.782,0.683,0.518,0.635,0.548,0.702,0.613,0.807,0.627,0.666,0.366,0.494,0.674,0.584,0.687,0.667,0.604,0.518,0.68,0.457,0.732,0.732,0.732,0.732,0.732,0,0.611,0,0.4,0.668
"CD40",0.413,0.596,0.425,0.514,0.471,0.556,0.483,0.556,0.584,0,0.337,0.539,0.475,0.471,0.572,0.305,0.384,0.571,0.653,0.454,0.477,0.573,0.559,0.605,0.608,0.471,0.596,0.433,0.557,0.411,0,0.414,0.596,0.487,0.564,0.61,0.596,0.289,0.322,0.469,0.554,0.687,0.631,0.403,0.853,0.596,0.513,0.401,0.389,0.42,0,0,0.556,0.516,0.595,0.375,0.411,0.432,0.604,0.535,0.603,0.647,0.425,0.43,0.562,0.447,0.43,0.509,0.472,0.585,0.564,0.447,0.498,0.571,0.455,0.534,0.42,0.465,0.573,0.538,0.342,0.353,0.596,0.313,0.129,0.129,0.129,0.129,0.129,0.457,0.498,0.407,0.427,0.628
"CHL1",0.372,0.531,0.191,0.413,0.52,0.618,0.512,0.685,0.506,0.337,0,0.485,0.481,0.461,0.571,0.431,0.466,0.578,0.621,0.281,0.447,0.702,0.631,0.558,0.659,0.541,0.7,0.397,0.656,0.516,0,0.4,0.7,0.474,0.675,0.631,0.7,0.426,0.453,0.447,0.612,0.679,0.646,0.482,0.853,0.531,0.446,0.448,0.306,0.321,0,0,0.591,0.415,0.548,0.452,0.393,0.381,0.581,0.654,0.622,0.734,0.356,0.274,0.565,0.368,0.274,0.477,0.418,0.71,0.637,0.661,0.603,0.669,0.489,0.394,0.505,0.374,0.702,0.643,0.38,0.384,0.7,0,0.699,0.699,0.699,0.699,0.699,0.457,0.621,0.407,0.439,0.669
"CLDN17",0.672,0.646,0.446,0.542,0.687,0.732,0.587,0.783,0.688,0.539,0.485,0,0.616,0.668,0.734,0.604,0.566,0.706,0.72,0.512,0.46,0.791,0.746,0.647,0.761,0.613,0.792,0.561,0.748,0.528,0,0.588,0.792,0.614,0.739,0.766,0.792,0.55,0.585,0.358,0.739,0.771,0.745,0.561,0.859,0.664,0.213,0.514,0.49,0.413,0,0,0.706,0.543,0.688,0.565,0.468,0.536,0.598,0.762,0.631,0.817,0.42,0.327,0.641,0.412,0.327,0.47,0.553,0.775,0.746,0.759,0.803,0.727,0.716,0.524,0.616,0.332,0.791,0.769,0.599,0.42,0.792,0.313,0.823,0.823,0.823,0.823,0.823,0.627,0.746,0.67,0.724,0.761
"CLRN1",0.531,0.626,0.438,0.592,0.57,0.623,0.4,0.646,0.634,0.475,0.481,0.616,0,0.583,0.599,0.515,0.545,0.635,0.631,0.426,0.512,0.648,0.635,0.63,0.532,0.546,0.647,0.496,0.649,0.51,0,0.54,0.647,0.564,0.655,0.575,0.647,0.518,0.493,0.584,0.51,0.639,0.528,0.438,0.853,0.657,0.599,0.477,0.592,0.499,0,0,0.537,0.589,0.619,0.453,0.504,0.434,0.604,0.576,0.603,0.711,0.505,0.489,0.534,0.517,0.489,0.588,0.548,0.659,0.605,0.703,0.704,0.626,0.611,0.544,0.553,0.502,0.648,0.576,0.401,0.505,0.647,0.313,0.618,0.618,0.618,0.618,0.618,0.457,0.612,0.531,0.568,0.428
"CLSTN2",0.509,0.673,0.432,0.438,0.528,0.627,0.606,0.662,0.668,0.471,0.461,0.668,0.583,0,0.608,0.388,0.498,0.618,0.654,0.354,0.584,0.678,0.64,0.679,0.678,0.611,0.682,0.411,0.651,0.615,0.427,0.349,0.682,0.449,0.664,0.6,0.682,0.344,0.343,0.658,0.664,0.71,0.668,0.573,0.853,0.7,0.659,0.452,0.66,0.57,0.427,0.427,0.515,0.438,0.651,0.537,0.414,0.531,0.508,0.647,0.735,0.534,0.584,0.563,0.599,0.582,0.563,0.549,0.505,0.686,0.642,0,0.707,0.662,0.566,0.588,0.463,0.58,0.678,0.619,0.384,0.482,0.682,0.457,0.548,0.548,0.548,0.548,0.548,0.457,0.598,0.531,0.474,0.68
"CMTM3",0.427,0.524,0.477,0.538,0.298,0.38,0.448,0.475,0.381,0.572,0.571,0.734,0.599,0.608,0,0.598,0.525,0.48,0.306,0.636,0.484,0.543,0.341,0.577,0.477,0.408,0.542,0.593,0.425,0.668,0.67,0.726,0.542,0.355,0.429,0.421,0.542,0.647,0.554,0.737,0.522,0.432,0.448,0.354,0.871,0.473,0.725,0.425,0.612,0.52,0.67,0.67,0.494,0.53,0.302,0.41,0.418,0.489,0.718,0.429,0.77,0.523,0.516,0.61,0.62,0.646,0.61,0.701,0.498,0.576,0.544,0.481,0.532,0.504,0.411,0.398,0.46,0.511,0.543,0.315,0.663,0.627,0.542,0.531,0.389,0.389,0.389,0.389,0.389,0.197,0.289,0,0.386,0.564
"CNTNAP2",0.43,0.646,0.387,0.511,0.543,0.613,0.562,0.622,0.647,0.305,0.431,0.604,0.515,0.388,0.598,0,0.508,0.618,0.636,0.432,0.543,0.682,0.621,0.653,0.642,0.582,0.694,0.384,0.622,0.592,0.313,0.296,0.694,0.485,0.642,0.617,0.694,0.365,0.19,0.569,0.628,0.683,0.637,0.536,0.853,0.68,0.617,0.482,0.637,0.539,0.313,0.313,0.539,0.526,0.638,0.47,0.469,0.444,0.576,0.613,0.602,0.687,0.567,0.519,0.572,0.597,0.519,0.611,0.463,0.685,0.649,0.292,0.707,0.628,0.573,0.517,0.459,0.447,0.682,0.568,0.337,0.51,0.694,0,0.357,0.357,0.357,0.357,0.357,0.457,0.589,0.531,0.385,0.644
