"","ACTBL2","ADAMTS16","ADCY4","B3GALT1","BMP10","BTG4","C10orf90","C1D","CCL7","CD40","CHL1","CLDN17","CLRN1","CLSTN2","CMTM3","CNTNAP2","COL23A1","COL4A1","DOK6","DRD4","EFS","ESRRG","EYA4","FBN2","FIGN","FLG","FOXI2","GAP43","GATA2","GFRAL","GPR26","GRIK3","GSC2","HMGCLL1","IKZF1","INA","IRX4","ITGA8","KCNA1","KCNG1","KIFC3","KRTAP24-1","KY","LRRFIP1","MMP26","NALCN","NDRG4","NPR3","NTM","OR10J5","PCDH10","PDE4B","PIGB","PODN","PPP1R16B","PTPN5","RASGRF1","RIMS4","SALL1","SCN7A","SHISA2","SIRPG","SLC18A3","SLC4A11","SLC6A15","SLITRK5","SORCS1","SOX17","SOX21","ST6GALNAC5","SUB1","TBX5","THBS4","TRDN","TRPC6","TWIST1","TYR","UNC5C","UNC5D","UNCX","ZNF132","ZNF135","ZNF229","ZNF334","ZNF793","C6orf186","C8orf42","C8orf85","FAM19A4","WDR8"
"ACTBL2",0,0.754,0.309,0.874,0.447,0,0.702,0.515,0.506,0.392,0.343,0.397,0,0.56,0.453,0.367,0.445,0.438,0,0.546,0.4,0.569,0.504,0.488,0.369,0.484,0.788,0.468,0.518,0.459,0.671,0.834,0.556,0.745,0.494,0.337,0.509,0.671,0.568,0.908,0.333,0.37,0.683,0.528,0.803,0.586,0.282,0.515,0,0.809,0.689,0.518,0.82,0.68,0.516,0.378,0.65,0.411,0.513,0.826,0,0,0.578,0.667,0.607,0,0.486,0.518,0.701,0.814,0.512,0.543,0.498,0.401,0.552,0.491,0.474,0.394,0.671,0.77,0.733,0.523,0.534,0.523,0.733,0.671,0,0,0.449,0
"ADAMTS16",0.754,0,0.57,0.922,0.79,0.643,0.819,0.795,0.809,0.761,0.79,0.769,0.643,0.598,0.758,0.739,0.764,0.785,0.643,0.683,0.74,0.756,0.412,0.642,0.717,0.486,0.9,0.744,0.745,0.801,0.913,0.945,0.815,0.441,0.604,0.788,0.794,0.435,0.847,0.963,0.775,0.79,0.333,0.814,0.145,0.855,0.681,0.758,0.643,0.92,0.175,0.65,0.899,0.82,0.818,0.726,0.862,0.748,0.623,0.96,0.643,0.643,0.842,0.895,0.865,0.643,0.779,0.814,0.867,0.875,0.794,0.821,0.618,0.75,0.818,0.812,0.65,0.805,0.913,0.889,0.542,0.554,0.56,0.554,0.542,0.853,0.671,0.643,0.754,0.643
"ADCY4",0.309,0.57,0,0.908,0.462,0,0.724,0.549,0.521,0.435,0.343,0.51,0,0.459,0.477,0.388,0.5,0.529,0,0.509,0.421,0.575,0.367,0.467,0.397,0.386,0.857,0.485,0.517,0.543,0.853,0.914,0.607,0.527,0.414,0.556,0.556,0.488,0.62,0.95,0.363,0.694,0.76,0.568,0.68,0.646,0.458,0.547,0,0.897,0.175,0.448,0.877,0.752,0.596,0.43,0.698,0.432,0.443,0.923,0,0,0.622,0.765,0.67,0,0.529,0.561,0.79,0.863,0.543,0.601,0.416,0.446,0.592,0.525,0.418,0.473,0.853,0.837,0.604,0.421,0.426,0.421,0.604,0.782,0.533,0,0.473,0
"B3GALT1",0.874,0.922,0.908,0,0.937,0.9,0.871,0.931,0.942,0.918,0.946,0.897,0.9,0.94,0.918,0.919,0.918,0.914,0.9,0.939,0.917,0.939,0.905,0.924,0.903,0.921,0.942,0.926,0.936,0.922,0.946,0.965,0.933,0.912,0.926,0.91,0.923,0.946,0.943,0.978,0.93,0.854,0.843,0.937,0.927,0.943,0.811,0.927,0.9,0.947,0.958,0.943,0.584,0.93,0.924,0.916,0.95,0.919,0.93,0.978,0.9,0.9,0.938,0.946,0.944,0.9,0.918,0.936,0.931,0.635,0.932,0.934,0.931,0.911,0.942,0.94,0.923,0.931,0.946,0.94,0.943,0.927,0.931,0.927,0.943,0.76,0.772,0.9,0.916,0.9
"BMP10",0.447,0.79,0.462,0.937,0,0,0.657,0.455,0.371,0.354,0.343,0.409,0,0.492,0.148,0.303,0.396,0.421,0,0.553,0.313,0.557,0.421,0.318,0.486,0.442,0.873,0.413,0.501,0.444,0.853,0.915,0.524,0.788,0.448,0.433,0.433,0.57,0.522,0.952,0.442,0.694,0.846,0.494,0.842,0.537,0.35,0.482,0,0.901,0.689,0.608,0.914,0.733,0.48,0.4,0.525,0.323,0.468,0.923,0,0,0.504,0.709,0.568,0,0.394,0.476,0.803,0.903,0.458,0.525,0.273,0.298,0.514,0.465,0.409,0.433,0.853,0.854,0.784,0.454,0.459,0.454,0.784,0.853,0.533,0,0.146,0
"BTG4",0,0.643,0,0.9,0,0,0.427,0,0,0,0.343,0,0,0.212,0,0,0,0,0,0,0,0,0,0,0,0,0.807,0,0,0,0.853,0.853,0,0.643,0,0,0,0.469,0,0.926,0,0.694,0.846,0,0.719,0,0,0,0,0.853,0.689,0.212,0.872,0.572,0,0,0.343,0,0,0.923,0,0,0,0.212,0,0,0,0,0.675,0.853,0,0,0,0,0,0,0,0,0.853,0.762,0.643,0,0,0,0.643,0.853,0.533,0,0,0
"C10orf90",0.702,0.819,0.724,0.871,0.657,0.427,0,0.737,0.733,0.647,0.681,0.677,0.427,0.69,0.633,0.599,0.675,0.701,0.427,0.792,0.602,0.802,0.645,0.74,0.693,0.724,0.915,0.692,0.765,0.72,0.929,0.954,0.784,0.854,0.724,0.708,0.715,0.801,0.785,0.97,0.527,0.813,0.684,0.762,0.848,0.799,0.581,0.744,0.427,0.932,0.861,0.744,0.829,0.844,0.754,0.648,0.811,0.615,0.74,0.969,0.427,0.427,0.774,0.879,0.817,0.427,0.674,0.749,0.887,0.793,0.735,0.784,0.703,0.631,0.777,0.742,0.688,0.612,0.929,0.907,0.881,0.734,0.739,0.734,0.881,0.73,0.704,0.427,0.624,0.427
"C1D",0.515,0.795,0.549,0.931,0.455,0,0.737,0,0.517,0.439,0.343,0.503,0,0.575,0.467,0.392,0.495,0.523,0,0.577,0.414,0.514,0.536,0.558,0.586,0.546,0.679,0.503,0.435,0.548,0.853,0.911,0.314,0.792,0.313,0.549,0.448,0.679,0.615,0.947,0.537,0.694,0.846,0.332,0.843,0.641,0.446,0.558,0,0.892,0.689,0.647,0.907,0.741,0.541,0.5,0.643,0.425,0.475,0.923,0,0,0.616,0.761,0.665,0,0.521,0.412,0.506,0.895,0.204,0.336,0.509,0.431,0.605,0.41,0.5,0.525,0.853,0.613,0.647,0.47,0.488,0.47,0.647,0.853,0.533,0,0.461,0
"CCL7",0.506,0.809,0.521,0.942,0.371,0,0.733,0.517,0,0.414,0.343,0.476,0,0.561,0.356,0.37,0.331,0.487,0,0.588,0.387,0.598,0.495,0.501,0.552,0.508,0.881,0.469,0.538,0.51,0.853,0.92,0.575,0.806,0.504,0.507,0.507,0.63,0.578,0.956,0.507,0.694,0.846,0.542,0.858,0.598,0.433,0.53,0,0.908,0.689,0.651,0.92,0.754,0.548,0.467,0.605,0.396,0.524,0.923,0,0,0.571,0.743,0.623,0,0.477,0.527,0.815,0.91,0.514,0.573,0.337,0.383,0.569,0.502,0.47,0.493,0.853,0.866,0.801,0.52,0.525,0.52,0.801,0.853,0.533,0,0.372,0
"CD40",0.392,0.761,0.435,0.918,0.354,0,0.647,0.439,0.414,0,0.188,0.375,0,0.477,0.308,0.189,0.369,0.397,0,0.406,0.2,0.461,0.394,0.446,0.47,0.42,0.842,0.39,0.483,0.198,0.343,0.715,0.515,0.758,0.392,0.408,0.407,0.619,0.496,0.938,0.42,0.694,0.846,0.483,0.814,0.527,0.274,0.366,0,0.656,0.689,0.597,0.893,0.701,0.464,0.361,0.587,0.269,0.453,0.923,0,0,0.49,0.702,0.562,0,0.266,0.463,0.776,0.877,0.443,0.517,0.397,0.314,0.502,0.42,0.387,0.262,0.343,0.819,0.754,0.433,0.439,0.433,0.754,0.853,0.533,0,0.304,0
