estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
LogisticRegressionElastic,FOXI2,MMP26,PDE4B,SLC18A3,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.12195121951219512, 0.12195121951219512, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.8854166666666666, 0.8854166666666666, 0.9375, 0.9375, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[           inf 1.00000000e+00 9.62490502e-01 9.25433933e-01
 8.58189970e-01 8.41311549e-01 5.64316718e-01 1.58258657e-01
 1.52432898e-01 3.05734886e-04 1.72950152e-04]"
LogisticRegressionElastic,CLRN1,VSTM2B,WDR8,ZNF135,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 1.0]","[           inf 9.99999920e-01 7.23451144e-01 7.02881675e-01
 5.96552563e-01 1.81066778e-04 2.96787583e-05]"
LogisticRegressionElastic,CLRN1,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.5365853658536586, 0.5365853658536586, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.9166666666666666, 0.9166666666666666, 0.96875, 0.96875, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[           inf 9.99999466e-01 7.74355529e-01 7.41107314e-01
 6.07139378e-01 4.96040854e-01 4.28126708e-01 3.27681701e-02
 3.24051296e-02 3.81505708e-04 3.23372179e-04]"
LogisticRegressionElastic,CLRN1,VSTM2B,WDR8,ZNF793,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.07317073170731707, 0.07317073170731707, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 0.99987882 0.5606614  0.52195628 0.49140228 0.35115396
 0.28950415 0.007782   0.00723885]"
LogisticRegressionElastic,MIR124-3,PDE4B,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.6097560975609756, 0.6097560975609756, 0.975609756097561, 0.975609756097561, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.40083173 0.0215722  0.0212433  0.00803471
 0.00758002 0.00368716]"
LogisticRegressionElastic,MIR124-3,PTPN5,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.975609756097561, 0.975609756097561, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 1.         0.52929161 0.48860402 0.4496396  0.016144
 0.01563764 0.010701   0.00987163]"
LogisticRegressionElastic,CLRN1,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.975609756097561, 0.975609756097561, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[           inf 1.00000000e+00 4.67037115e-01 3.42012090e-03
 2.01480227e-03 8.52477280e-04]"
LogisticRegressionElastic,SIRPG,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.36585365853658536, 0.36585365853658536, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.53663598 0.32401919 0.31561781 0.03460741
 0.03336982 0.00177638]"
LogisticRegressionElastic,B3GALT1,CLRN1,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 0.99995523 0.53036036 0.51891241 0.51397691 0.01219562
 0.01164426]"
LogisticRegressionElastic,B3GALT1,EFS,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.07317073170731707, 0.07317073170731707, 0.8536585365853658, 0.8536585365853658, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.99999488 0.65946826 0.33043426 0.29559489 0.01830675
 0.01575304 0.01014327]"
LogisticRegressionElastic,B3GALT1,SIRPG,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.6097560975609756, 0.6097560975609756, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 0.99996468 0.55025745 0.05118423 0.05108684 0.01471403]
LogisticRegressionElastic,CD40,CMTM3,LRRFIP1,TMEM196,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.0975609756097561, 0.0975609756097561, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.9270833333333334, 0.9270833333333334, 0.9375, 0.9375, 0.9583333333333334, 0.9583333333333334, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 0.99999855 0.67620525 0.4509435  0.41303847 0.35382478
 0.32787423 0.20970595 0.1393359  0.01313859 0.01249627]"
LogisticRegressionElastic,CD40,KRTAP24-1,LRRFIP1,TMEM196,"[0.0, 0.0, 0.0, 0.04878048780487805, 0.04878048780487805, 0.8536585365853658, 0.8536585365853658, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.99999992 0.38769047 0.27578897 0.27306192 0.02427604
 0.02381748 0.00941897]"
