estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
LogisticRegression,FOXI2,MMP26,PDE4B,SLC18A3,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.12195121951219512, 0.12195121951219512, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.8854166666666666, 0.8854166666666666, 0.9375, 0.9375, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[           inf 1.00000000e+00 9.61426011e-01 9.23026134e-01
 8.55319097e-01 8.36800847e-01 5.61534868e-01 1.56176539e-01
 1.53183478e-01 3.07016388e-04 1.73355915e-04]"
LogisticRegression,CLRN1,VSTM2B,WDR8,ZNF135,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 1.0]","[           inf 9.99999957e-01 7.35672861e-01 7.21351407e-01
 5.96907669e-01 1.39654394e-04 2.14934448e-05]"
LogisticRegression,CLRN1,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.5365853658536586, 0.5365853658536586, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.9166666666666666, 0.9166666666666666, 0.96875, 0.96875, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[           inf 9.99999304e-01 7.66464967e-01 7.35562206e-01
 6.02284546e-01 4.91251979e-01 4.26158941e-01 3.43600752e-02
 3.41182929e-02 4.25949127e-04 3.61009020e-04]"
LogisticRegression,CLRN1,VSTM2B,WDR8,ZNF793,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.14634146341463414, 0.14634146341463414, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[           inf 1.00000000e+00 8.58568067e-01 7.26417635e-01
 6.57069912e-01 1.35275483e-01 1.23524383e-01 1.03389127e-04
 9.23827209e-05]"
LogisticRegression,MIR124-3,PDE4B,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.7073170731707317, 0.7073170731707317, 0.975609756097561, 0.975609756097561, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.40622607 0.01814911 0.01760579 0.00806351
 0.00779006 0.00367257]"
LogisticRegression,MIR124-3,PTPN5,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.04878048780487805, 0.04878048780487805, 0.8780487804878049, 0.8780487804878049, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]","[       inf 1.         0.57098158 0.45817167 0.38269607 0.01436697
 0.01404527 0.00633411 0.00205037]"
LogisticRegression,CLRN1,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.975609756097561, 0.975609756097561, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[           inf 1.00000000e+00 6.06184737e-01 1.09268419e-03
 4.90679845e-04 1.72156296e-04]"
LogisticRegression,SIRPG,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.36585365853658536, 0.36585365853658536, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.32423167 0.03824678 0.03230981 0.00195176]
LogisticRegression,B3GALT1,CLRN1,FOXI2,PODN,"[0.0, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0]",[       inf 0.99999979 0.60415187 0.00223053 0.00189857]
LogisticRegression,B3GALT1,EFS,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.07317073170731707, 0.07317073170731707, 0.8780487804878049, 0.8780487804878049, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.99999844 0.64144942 0.33887422 0.33202133 0.01174578
 0.01127089 0.00715162]"
