estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
SVM,FOXI2,MMP26,PDE4B,SLC18A3,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.12195121951219512, 0.12195121951219512, 1.0]","[0.0, 0.010416666666666666, 0.9583333333333334, 0.9583333333333334, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.92716703 0.91448966 0.80384392 0.69247841
 0.62809715 0.09914091 0.06170306 0.01153225]"
SVM,CLRN1,VSTM2B,WDR8,ZNF135,"[0.0, 0.0, 0.0, 0.4146341463414634, 0.4146341463414634, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.89766278 0.03677533 0.03447664 0.00583884]
SVM,CLRN1,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.24390243902439024, 0.24390243902439024, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.76217133 0.76144385 0.35541736 0.0600333
 0.05846391 0.00479622]"
SVM,CLRN1,VSTM2B,WDR8,ZNF793,"[0.0, 0.0, 0.0, 0.2926829268292683, 0.2926829268292683, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.94876121 0.04721523 0.04433951 0.00665597]
SVM,MIR124-3,PDE4B,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.14634146341463414, 0.14634146341463414, 1.0]","[0.0, 0.28125, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.7222217  0.2346445  0.20173065 0.08284887
 0.07662247 0.00608214]"
SVM,MIR124-3,PTPN5,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.0975609756097561, 0.0975609756097561, 1.0]","[0.0, 0.53125, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.80391189 0.11063696 0.09459605 0.0106696 ]
SVM,CLRN1,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.5121951219512195, 0.5121951219512195, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.73127747 0.62685739 0.54725767 0.02678534
 0.02607024 0.00796757]"
SVM,SIRPG,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.21951219512195122, 0.21951219512195122, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.43495865 0.05256168 0.0520474  0.00667967]
SVM,B3GALT1,CLRN1,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.12195121951219512, 0.12195121951219512, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.65209629 0.13716756 0.127819   0.01166359]
SVM,B3GALT1,EFS,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.24390243902439024, 0.24390243902439024, 1.0]","[0.0, 0.052083333333333336, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 1.         0.85886107 0.82441993 0.51084121 0.04911926
 0.04340036 0.01551563]"
SVM,B3GALT1,SIRPG,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.6341463414634146, 0.6341463414634146, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.7455351  0.01928175 0.0185522  0.00308254]
SVM,CD40,CMTM3,LRRFIP1,TMEM196,"[0.0, 0.0, 0.0, 0.12195121951219512, 0.12195121951219512, 1.0]","[0.0, 0.09375, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 1.         0.17722985 0.07809141 0.07701141 0.00461994]
