estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
Voting,FOXI2,MMP26,PDE4B,SLC18A3,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.6341463414634146, 0.6341463414634146, 1.0]","[0.0, 0.010416666666666666, 0.9375, 0.9375, 0.9583333333333334, 0.9583333333333334, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.9944556  0.82550351 0.81769173 0.79617384 0.78209119
 0.65076564 0.05100028 0.05028081 0.03081658]"
Voting,CLRN1,VSTM2B,WDR8,ZNF135,"[0.0, 0.0, 0.0, 0.8292682926829268, 0.8292682926829268, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 0.99217282 0.81073657 0.03350224 0.03279545 0.02289181]
Voting,CLRN1,VSTM2B,WDR8,ZNF334,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.04878048780487805, 0.04878048780487805, 0.8536585365853658, 0.8536585365853658, 1.0]","[0.0, 0.010416666666666666, 0.9375, 0.9375, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.9947753  0.84941667 0.8279341  0.62331868 0.52522245
 0.51532936 0.0399155  0.03727558 0.0220346 ]"
Voting,CLRN1,VSTM2B,WDR8,ZNF793,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.8536585365853658, 0.8536585365853658, 1.0]","[0.0, 0.010416666666666666, 0.96875, 0.96875, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.99631188 0.80881222 0.80091004 0.55243476 0.03288712
 0.03145381 0.02586181]"
Voting,MIR124-3,PDE4B,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.24390243902439024, 0.24390243902439024, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 0.99641877 0.53276463 0.09553004 0.09519219 0.04010134]
Voting,MIR124-3,PTPN5,UNC5D,UNCX,"[0.0, 0.0, 0.0, 0.14634146341463414, 0.14634146341463414, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 0.99497524 0.55151938 0.13954111 0.12155314 0.04168482]
Voting,CLRN1,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.12195121951219512, 0.12195121951219512, 0.5365853658536586, 0.5365853658536586, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.99706123 0.65297363 0.3653362  0.3162445  0.04486209
 0.04457134 0.02815008]"
Voting,SIRPG,LRRFIP1,PIGB,PODN,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.4634146341463415, 0.4634146341463415, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.9976469  0.72527686 0.67090123 0.26497497 0.05953915
 0.05932908 0.02313817]"
Voting,B3GALT1,CLRN1,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.024390243902439025, 0.024390243902439025, 0.5609756097560976, 0.5609756097560976, 1.0]","[0.0, 0.010416666666666666, 0.9791666666666666, 0.9791666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]","[       inf 0.99430836 0.73364701 0.72080729 0.71981196 0.06014826
 0.05989127 0.02739303]"
Voting,B3GALT1,EFS,FOXI2,PODN,"[0.0, 0.0, 0.0, 0.5609756097560976, 0.5609756097560976, 1.0]","[0.0, 0.010416666666666666, 0.9895833333333334, 0.9895833333333334, 1.0, 1.0]",[       inf 0.9952972  0.69882569 0.05663942 0.05543051 0.03058475]
